date,fold,strategy_label,paired_trade_id,bar_entry,side,strike,contract_idx,delta_at_entry,spread_at_entry,context_spread_at_entry,entry_mid,trigger_vwap_dist_min_prior,trigger_vwap_dist_now,first15_acceptance_at_entry,bar_delta_at_entry,bar_exit,exit_mid,bars_held,exit_reason,gross_pct,spread_cost_pct,net_pct,net_pnl_dollars,vix_regime_at_entry,predicted_net_pct,score_rank_in_day,n_candidates_in_day,first15_range_pct,pop_ctrl_a_mean_net_pct,pop_ctrl_a_n_bars,pop_ctrl_b_mean_net_pct,pop_ctrl_b_n_days,delta_vs_pop_A,delta_vs_pop_B
2024-12-19,0,strategy,-1,114,C,5910.0,195,0.5231439471244812,0.019999999552965164,0.05183098465204239,17.600000381469727,0.0,0.000604640634264797,-1.0,0.3263888955116272,120,18.0,6,time_stop,0.022727250560256557,0.006360000157356262,0.016367250402900296,28.806361333465574,0.33000001311302185,0.011314900232079192,1,142,0.0038556521758437157,-0.012762050253175389,70,-0.0016063743791741858,40,0.029129300656075684,0.017973624782074482
2024-12-20,0,strategy,-1,40,C,5855.0,257,0.48538005352020264,0.04359649121761322,0.10608020424842834,17.100000381469727,0.0,0.0007864118088036776,0.20437291264533997,-0.3908296823501587,43,27.489999771118164,3,target_first15,0.6076022899337169,0.00848000020980835,0.5991222897239086,1024.4991382825854,0.33000001311302185,-0.003219857442974842,1,160,0.005624531302601099,0.067929205597513,79,-0.042163614079974515,29,0.5311930841263955,0.6412859038038831
2024-12-23,0,strategy,-1,117,C,5935.0,152,0.46704593300819397,0.037745099514722824,0.09756097197532654,10.199999809265137,0.0,0.0006338646053336561,-1.0,0.3004694879055023,120,9.5,3,time_stop,-0.0686274335641942,0.006,-0.07462743356419421,-76.11998081207277,-0.33000001311302185,-0.003370076030007764,1,138,0.002187825972214341,-0.008639967578126502,68,-0.00869814661959406,38,-0.06598746598606771,-0.06592928694460015
2024-12-24,0,strategy,-1,115,C,6020.0,175,0.46494123339653015,0.05833333358168602,0.1538461595773697,3.5999999046325684,0.0,0.0029307559598237276,1.0,-0.22033898532390594,116,3.700000047683716,1,target_first15,0.027777818250068514,0.006,0.021777818250068512,7.840014362335205,-0.33000001311302185,-0.007196049773310186,1,90,0.002488275757059455,0.010439790654156017,40,0.0010215432716610651,38,0.011338027595912495,0.020756274978407447
2024-12-27,0,strategy,-1,101,P,5955.0,200,-0.4956120550632477,0.056843969970941544,0.13304567337036133,14.100000381469727,0.0,-0.003313386579975486,-1.0,-0.035971224308013916,102,14.100000381469727,1,target_first15,0.0,0.006,-0.006,-8.460000228881837,-0.33000001311302185,-0.019731367320400105,1,98,0.00287995464168489,-0.01617577895049667,49,-0.014964605487646136,35,0.010175778950496669,0.008964605487646136
2024-12-30,0,strategy,-1,74,C,5890.0,132,0.5189998745918274,0.05454545468091965,0.1548387110233307,15.399999618530273,0.0,0.001038951682858169,-0.5096904039382935,0.6181318759918213,78,11.369999885559082,4,stop_vwap,-0.26168830083099714,0.006,-0.26768830083099715,-412.2399730682373,-0.33000001311302185,0.016666213856223265,1,164,0.006752702873200178,0.059978953570596474,81,-0.03140645539263286,36,-0.3276672544015936,-0.23628184543836428
2024-12-31,0,strategy,-1,68,P,5920.0,204,-0.5121318697929382,0.043989069759845734,0.10725551843643188,18.299999237060547,0.0,-0.00048265341320075095,-0.22543950378894806,0.7692307829856873,79,22.0,11,target_first15,0.20218584246967264,0.006,0.19618584246967263,359.020076751709,-0.33000001311302185,0.005638531288604328,1,178,0.0032683825120329857,0.02209547467935996,88,-0.010178970233561409,33,0.17409036779031267,0.20636481270323404
2025-01-02,0,strategy,-1,56,P,5910.0,146,-0.5184386372566223,0.06525423377752304,0.14814814925193787,17.700000762939453,0.0,-0.0013055215822532773,0.1961015909910202,0.3203883469104767,86,17.200000762939453,30,time_stop,-0.02824858635299655,0.008,-0.03624858635299655,-64.16000061035156,-0.33000001311302185,0.011611470318966066,1,134,0.005742058623582125,0.147568068052019,67,-0.02243631959265073,38,-0.18381665440501554,-0.013812266760345818
2025-01-03,0,strategy,-1,32,C,5905.0,173,0.4957292377948761,0.04904458671808243,0.14965985715389252,15.699999809265137,0.0,-9.834679804043844e-05,-0.08827893435955048,0.9739696383476257,45,15.100000381469727,13,stop_vwap,-0.038216524527683676,0.008,-0.046216524527683676,-72.55994262695312,-0.33000001311302185,0.0005653746989290525,1,160,0.0045585897751152515,0.14077509114096284,79,-0.015237917671783459,26,-0.18699161566864653,-0.030978606855900218
2025-01-06,0,strategy,-1,81,C,6010.0,167,0.5330115556716919,0.032692309468984604,0.09366390854120255,9.100000381469727,0.0,0.001810392364859581,1.0,0.3963963985443115,82,10.100000381469727,1,target_first15,0.10989010528354413,0.006,0.10389010528354413,94.53999977111816,-0.33000001311302185,-0.00186094719063467,1,162,0.0033779223449528217,-0.0024700244373235974,80,-0.025850052420419833,38,0.10636012972086772,0.12974015770396397
