Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 146,330
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating with enhanced ETV loss weight
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5, etv=0.3
EV gate scale: 10.0

step 01600 ( 13.3%) | loss: 3.032689 | trade:0.57 call:0.62 put:0.38 | ATM:0.39 OTM:0.61 | etv:+1.450 | lr: 1.50e-04 | left: 208s
step 01650 ( 13.9%) | loss: 2.925164 | trade:0.48 call:0.58 put:0.42 | ATM:0.40 OTM:0.60 | etv:+1.103 | lr: 1.50e-04 | left: 207s
step 01700 ( 14.4%) | loss: 2.845338 | trade:0.50 call:0.57 put:0.43 | ATM:0.40 OTM:0.60 | etv:+1.399 | lr: 1.50e-04 | left: 205s
step 01750 ( 15.0%) | loss: 2.802234 | trade:0.48 call:0.59 put:0.41 | ATM:0.42 OTM:0.58 | etv:+1.237 | lr: 1.50e-04 | left: 204s
step 01800 ( 15.5%) | loss: 2.750796 | trade:0.45 call:0.58 put:0.42 | ATM:0.42 OTM:0.58 | etv:+1.073 | lr: 1.50e-04 | left: 203s
step 01850 ( 16.1%) | loss: 2.705713 | trade:0.54 call:0.60 put:0.40 | ATM:0.38 OTM:0.62 | etv:+2.204 | lr: 1.50e-04 | left: 201s
step 01900 ( 16.7%) | loss: 2.659657 | trade:0.54 call:0.57 put:0.43 | ATM:0.40 OTM:0.60 | etv:+2.011 | lr: 1.50e-04 | left: 200s
step 01950 ( 17.2%) | loss: 2.623984 | trade:0.47 call:0.57 put:0.43 | ATM:0.40 OTM:0.60 | etv:+1.644 | lr: 1.50e-04 | left: 199s
step 02000 ( 17.8%) | loss: 2.558024 | trade:0.50 call:0.58 put:0.42 | ATM:0.40 OTM:0.60 | etv:+1.751 | lr: 1.50e-04 | left: 197s
step 02050 ( 18.3%) | loss: 2.529775 | trade:0.49 call:0.63 put:0.37 | ATM:0.40 OTM:0.60 | etv:+1.664 | lr: 1.50e-04 | left: 196s
step 02100 ( 18.9%) | loss: 2.458369 | trade:0.45 call:0.61 put:0.39 | ATM:0.40 OTM:0.60 | etv:+1.730 | lr: 1.50e-04 | left: 195s
step 02150 ( 19.5%) | loss: 2.392452 | trade:0.48 call:0.56 put:0.44 | ATM:0.41 OTM:0.59 | etv:+1.313 | lr: 1.50e-04 | left: 193s
step 02200 ( 20.0%) | loss: 2.310307 | trade:0.49 call:0.62 put:0.38 | ATM:0.39 OTM:0.61 | etv:+1.277 | lr: 1.50e-04 | left: 192s
step 02250 ( 20.6%) | loss: 2.316733 | trade:0.45 call:0.62 put:0.38 | ATM:0.42 OTM:0.58 | etv:+0.856 | lr: 1.50e-04 | left: 191s
step 02300 ( 21.1%) | loss: 2.282249 | trade:0.50 call:0.51 put:0.49 | ATM:0.41 OTM:0.59 | etv:+2.470 | lr: 1.50e-04 | left: 189s
step 02350 ( 21.7%) | loss: 2.189395 | trade:0.43 call:0.65 put:0.35 | ATM:0.42 OTM:0.58 | etv:+1.321 | lr: 1.50e-04 | left: 188s
step 02400 ( 22.2%) | loss: 2.158363 | trade:0.45 call:0.64 put:0.36 | ATM:0.39 OTM:0.61 | etv:+1.383 | lr: 1.50e-04 | left: 187s
step 02450 ( 22.8%) | loss: 2.132360 | trade:0.50 call:0.63 put:0.37 | ATM:0.42 OTM:0.58 | etv:+1.517 | lr: 1.50e-04 | left: 185s
step 02500 ( 23.4%) | loss: 2.160791 | trade:0.55 call:0.56 put:0.44 | ATM:0.40 OTM:0.60 | etv:+2.039 | lr: 1.50e-04 | left: 184s
step 02550 ( 23.9%) | loss: 2.128663 | trade:0.47 call:0.62 put:0.38 | ATM:0.42 OTM:0.58 | etv:+1.516 | lr: 1.50e-04 | left: 183s
step 02600 ( 24.5%) | loss: 2.080959 | trade:0.49 call:0.55 put:0.45 | ATM:0.42 OTM:0.58 | etv:+1.412 | lr: 1.50e-04 | left: 181s
step 02650 ( 25.0%) | loss: 2.022890 | trade:0.47 call:0.60 put:0.40 | ATM:0.42 OTM:0.58 | etv:+1.540 | lr: 1.50e-04 | left: 180s
