Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir), ATM-biased, no ETV
Training from scratch (v4: no warm-start).
Day-sequential batching: 40% sequential, 60% random (batch=16)

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00035 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 1.5x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=0.4, dir=1.0, pnl=0.5, exit=0.3
Binary gate classification (no EV scaling)

step 01700 ( 14.7%) | loss: 0.598345 | trade:0.14 call:0.70 put:0.30 | ATM:0.58 OTM:0.42 [rnd] | lr: 3.43e-04 | left: 205s
step 01750 ( 15.1%) | loss: 0.482146 | trade:0.19 call:0.72 put:0.28 | ATM:0.57 OTM:0.43 [rnd] | lr: 3.50e-04 | left: 204s
step 01800 ( 15.5%) | loss: 0.529184 | trade:0.14 call:0.68 put:0.32 | ATM:0.65 OTM:0.35 [rnd] | lr: 3.50e-04 | left: 203s
step 01850 ( 16.0%) | loss: 0.600167 | trade:0.03 call:0.91 put:0.09 | ATM:0.46 OTM:0.54 [seq] | lr: 3.50e-04 | left: 202s
step 01900 ( 16.4%) | loss: 0.475295 | trade:0.01 call:0.77 put:0.23 | ATM:0.49 OTM:0.51 [seq] | lr: 3.50e-04 | left: 201s
step 01950 ( 16.8%) | loss: 0.535810 | trade:0.16 call:0.76 put:0.24 | ATM:0.57 OTM:0.43 [rnd] | lr: 3.50e-04 | left: 200s
step 02000 ( 17.3%) | loss: 0.616344 | trade:0.18 call:0.71 put:0.29 | ATM:0.62 OTM:0.38 [rnd] | lr: 3.50e-04 | left: 199s
step 02050 ( 17.7%) | loss: 0.596045 | trade:0.15 call:0.70 put:0.30 | ATM:0.64 OTM:0.36 [rnd] | lr: 3.50e-04 | left: 197s
step 02100 ( 18.1%) | loss: 0.460680 | trade:0.85 call:0.04 put:0.96 | ATM:0.64 OTM:0.36 [seq] | lr: 3.50e-04 | left: 196s
step 02150 ( 18.5%) | loss: 0.469899 | trade:0.18 call:0.76 put:0.24 | ATM:0.55 OTM:0.45 [rnd] | lr: 3.50e-04 | left: 195s
step 02200 ( 19.0%) | loss: 0.416418 | trade:0.25 call:0.02 put:0.98 | ATM:0.57 OTM:0.43 [seq] | lr: 3.50e-04 | left: 194s
step 02250 ( 19.4%) | loss: 0.537272 | trade:0.00 call:0.05 put:0.95 | ATM:0.95 OTM:0.05 [seq] | lr: 3.50e-04 | left: 193s
step 02300 ( 19.8%) | loss: 0.463252 | trade:0.13 call:0.69 put:0.31 | ATM:0.62 OTM:0.38 [rnd] | lr: 3.50e-04 | left: 192s
step 02350 ( 20.2%) | loss: 0.517642 | trade:0.17 call:0.68 put:0.32 | ATM:0.62 OTM:0.38 [rnd] | lr: 3.50e-04 | left: 191s
step 02400 ( 20.7%) | loss: 0.619326 | trade:0.16 call:0.69 put:0.31 | ATM:0.60 OTM:0.40 [rnd] | lr: 3.50e-04 | left: 190s
step 02450 ( 21.1%) | loss: 0.466195 | trade:0.00 call:0.87 put:0.13 | ATM:0.70 OTM:0.30 [seq] | lr: 3.50e-04 | left: 189s
step 02500 ( 21.6%) | loss: 0.542171 | trade:0.00 call:0.57 put:0.43 | ATM:0.43 OTM:0.57 [seq] | lr: 3.50e-04 | left: 188s
step 02550 ( 22.0%) | loss: 0.521930 | trade:0.00 call:0.71 put:0.29 | ATM:0.51 OTM:0.49 [seq] | lr: 3.50e-04 | left: 187s
step 02600 ( 22.4%) | loss: 0.596226 | trade:0.16 call:0.69 put:0.31 | ATM:0.59 OTM:0.41 [rnd] | lr: 3.50e-04 | left: 186s
