session,trades,wins,win_rate,daily_pnl,ending_equity
2025-08-08,2,2,1.0,440.0,96710.0
2025-08-11,3,1,0.333333,-650.0,96060.0
2025-08-12,6,6,1.0,2670.0,98730.0
2025-08-13,3,3,1.0,780.0,99510.0
2025-08-14,4,3,0.75,150.0,99660.0
2025-08-15,5,4,0.8,520.0,100180.0
2025-08-18,5,2,0.4,-160.0,100020.0
2025-08-19,4,4,1.0,1470.0,101490.0
2025-08-20,5,3,0.6,1610.0,103100.0
2025-08-21,4,4,1.0,2080.0,105180.0
2025-08-22,4,4,1.0,4940.0,110120.0
2025-08-25,3,3,1.0,450.0,110570.0
2025-08-26,3,2,0.666667,100.0,110670.0
2025-08-27,3,2,0.666667,360.0,111030.0
2025-08-28,3,1,0.333333,400.0,111430.0
2025-08-29,6,5,0.833333,910.0,112340.0
2025-09-02,3,2,0.666667,-810.0,111530.0
2025-09-03,5,4,0.8,450.0,111980.0
2025-09-04,6,6,1.0,2350.0,114330.0
2025-09-05,11,11,1.0,5110.0,119440.0
2025-09-08,5,4,0.8,1380.0,120820.0
2025-09-09,3,2,0.666667,370.0,121190.0
2025-09-10,3,1,0.333333,-440.0,120750.0
2025-09-11,5,5,1.0,1280.0,122030.0
2025-09-12,5,5,1.0,640.0,122670.0
2025-09-15,3,3,1.0,470.0,123140.0
2025-09-16,2,1,0.5,-350.0,122790.0
2025-09-17,8,8,1.0,4920.0,127710.0
2025-09-18,6,5,0.833333,1570.0,129280.0
2025-09-19,4,4,1.0,520.0,129800.0
2025-09-22,3,3,1.0,1310.0,131110.0
2025-09-23,7,7,1.0,1580.0,132690.0
2025-09-24,3,2,0.666667,200.0,132890.0
2025-09-25,3,1,0.333333,-1200.0,131690.0
2025-09-26,9,9,1.0,4330.0,136020.0
2025-09-29,2,1,0.5,380.0,136400.0
2025-09-30,4,4,1.0,620.0,137020.0
2025-10-01,2,0,0.0,-420.0,136600.0
2025-10-02,4,3,0.75,1280.0,137880.0
2025-10-03,3,3,1.0,1880.0,139760.0
2025-10-06,7,7,1.0,1100.0,140860.0
2025-10-07,3,3,1.0,660.0,141520.0
2025-10-08,4,3,0.75,1310.0,142830.0
2025-10-09,3,1,0.333333,410.0,143240.0
2025-10-10,4,3,0.75,730.0,143970.0
2025-10-13,4,3,0.75,2040.0,146010.0
2025-10-14,8,5,0.625,1260.0,147270.0
2025-10-15,9,7,0.777778,3460.0,150730.0
2025-10-16,3,2,0.666667,820.0,151550.0
2025-10-17,7,5,0.714286,3510.0,155060.0
2025-10-20,4,4,1.0,1820.0,156880.0
2025-10-21,2,1,0.5,1050.0,157930.0
2025-10-22,4,4,1.0,1910.0,159840.0
2025-10-23,4,3,0.75,1450.0,161290.0
2025-10-24,4,3,0.75,1080.0,162370.0
2025-10-27,6,5,0.833333,650.0,163020.0
2025-10-28,5,3,0.6,20.0,163040.0
2025-10-29,6,6,1.0,5850.0,168890.0
2025-10-30,4,3,0.75,620.0,169510.0
2025-10-31,7,7,1.0,2490.0,172000.0
2025-11-03,7,7,1.0,2930.0,174930.0
2025-11-04,10,7,0.7,1850.0,176780.0
2025-11-05,3,2,0.666667,850.0,177630.0
2025-11-06,2,2,1.0,990.0,178620.0
2025-11-07,5,3,0.6,1610.0,180230.0
2025-11-10,4,2,0.5,-270.0,179960.0
2025-11-11,4,3,0.75,1380.0,181340.0
2025-11-12,4,3,0.75,2310.0,183650.0
2025-11-13,4,3,0.75,3940.0,187590.0
2025-11-14,9,8,0.888889,5780.0,193370.0
2025-11-17,7,4,0.571429,880.0,194250.0
2025-11-18,7,7,1.0,4780.0,199030.0
2025-11-19,9,7,0.777778,3770.0,202800.0
2025-11-20,6,5,0.833333,5170.0,207970.0
2025-11-21,11,10,0.909091,7400.0,215370.0
2025-11-24,4,4,1.0,2700.0,218070.0
2025-11-25,3,1,0.333333,-100.0,217970.0
2025-11-26,2,0,0.0,-1420.0,216550.0
2025-11-28,3,2,0.666667,30.0,216580.0
2025-12-01,3,3,1.0,1600.0,218180.0
2025-12-02,3,3,1.0,1520.0,219700.0
2025-12-03,5,4,0.8,1850.0,221550.0
2025-12-04,6,4,0.666667,1440.0,222990.0
2025-12-05,7,5,0.714286,1620.0,224610.0
2025-12-08,4,4,1.0,2030.0,226640.0
2025-12-09,5,3,0.6,250.0,226890.0
2025-12-10,4,4,1.0,2970.0,229860.0
2025-12-11,2,1,0.5,-1540.0,228320.0
2025-12-12,2,2,1.0,1320.0,229640.0
2025-12-15,3,2,0.666667,810.0,230450.0
2025-12-16,2,0,0.0,-950.0,229500.0
2025-12-17,2,2,1.0,1720.0,231220.0
2025-12-18,4,2,0.5,-260.0,230960.0
2025-12-19,5,4,0.8,680.0,231640.0
2025-12-22,3,2,0.666667,610.0,232250.0
2025-12-23,2,2,1.0,1010.0,233260.0
2025-12-24,2,2,1.0,190.0,233450.0
2025-12-26,3,1,0.333333,-280.0,233170.0
2025-12-29,4,3,0.75,220.0,233390.0
2025-12-30,8,5,0.625,460.0,233850.0
2025-12-31,4,3,0.75,190.0,234040.0
2026-01-02,4,3,0.75,1420.0,235460.0
2026-01-05,3,3,1.0,1160.0,236620.0
2026-01-06,3,1,0.333333,-570.0,236050.0
2026-01-07,4,2,0.5,220.0,236270.0
2026-01-08,2,0,0.0,-990.0,235280.0
2026-01-09,3,2,0.666667,1130.0,236410.0
2026-01-12,4,2,0.5,740.0,237150.0
2026-01-13,4,2,0.5,-150.0,237000.0
2026-01-14,4,2,0.5,1510.0,238510.0
2026-01-15,3,2,0.666667,130.0,238640.0
2026-01-16,2,1,0.5,1710.0,240350.0
2026-01-20,4,3,0.75,1270.0,241620.0
2026-01-21,4,4,1.0,5600.0,247220.0
2026-01-22,4,4,1.0,1220.0,248440.0
2026-01-23,3,2,0.666667,190.0,248630.0
2026-01-26,2,1,0.5,50.0,248680.0
2026-01-27,4,4,1.0,1570.0,250250.0
2026-01-28,3,3,1.0,1560.0,251810.0
2026-01-29,6,5,0.833333,4300.0,256110.0
2026-01-30,2,1,0.5,-220.0,255890.0
2026-02-02,1,0,0.0,-10.0,255880.0
2026-02-03,4,4,1.0,2510.0,258390.0
2026-02-04,5,4,0.8,1740.0,260130.0
2026-02-05,7,5,0.714286,3430.0,263560.0
2026-02-09,3,3,1.0,1480.0,265040.0
2026-02-10,2,2,1.0,260.0,265300.0
2026-02-11,5,3,0.6,2610.0,267910.0
2026-02-12,2,1,0.5,2400.0,270310.0
2026-02-13,7,5,0.714286,4090.0,274400.0
2026-02-17,3,3,1.0,5580.0,279980.0
2026-02-18,4,2,0.5,-160.0,279820.0
2026-02-19,5,4,0.8,250.0,280070.0
2026-02-20,5,4,0.8,2480.0,282550.0
2026-02-23,4,4,1.0,2000.0,284550.0
2026-02-24,4,2,0.5,1830.0,286380.0
2026-02-25,2,1,0.5,-560.0,285820.0
2026-02-26,3,2,0.666667,220.0,286040.0
2026-02-27,5,4,0.8,1220.0,287260.0
2026-03-02,4,2,0.5,1520.0,288780.0
2026-03-03,6,6,1.0,9270.0,298050.0
2026-03-04,5,3,0.6,-1980.0,296070.0
2026-03-05,5,4,0.8,4900.0,300970.0
2026-03-06,4,3,0.75,2010.0,302980.0
2026-03-09,3,1,0.333333,1130.0,304110.0
2026-03-10,3,2,0.666667,-470.0,303640.0
2026-03-11,3,1,0.333333,-910.0,302730.0
2026-03-12,6,4,0.666667,1330.0,304060.0
2026-03-13,6,4,0.666667,740.0,304800.0
2026-03-16,5,3,0.6,-1140.0,303660.0
2026-03-17,4,3,0.75,200.0,303860.0
2026-03-18,2,2,1.0,2430.0,306290.0
2026-03-19,6,4,0.666667,2230.0,308520.0
2026-03-20,7,6,0.857143,2650.0,311170.0
2026-03-23,6,6,1.0,3790.0,314960.0
2026-03-24,4,3,0.75,2060.0,317020.0
2026-03-25,6,4,0.666667,1910.0,318930.0
2026-03-26,6,4,0.666667,130.0,319060.0
2026-03-27,8,5,0.625,1650.0,320710.0
2026-03-30,7,7,1.0,5380.0,326090.0
2026-03-31,4,4,1.0,2960.0,329050.0
