session,trades,wins,win_rate,daily_pnl,ending_equity
2024-10-01,7,4,0.571429,3910.0,13910.0
2024-10-02,3,3,1.0,2510.0,16420.0
2024-10-03,4,3,0.75,2550.0,18970.0
2024-10-04,4,3,0.75,2310.0,21280.0
2024-10-07,4,2,0.5,170.0,21450.0
2024-10-08,2,1,0.5,1040.0,22490.0
2024-10-09,3,3,1.0,1030.0,23520.0
2024-10-10,2,1,0.5,630.0,24150.0
2024-10-11,4,4,1.0,2670.0,26820.0
2024-10-14,4,2,0.5,-680.0,26140.0
2024-10-15,2,2,1.0,670.0,26810.0
2024-10-16,3,2,0.666667,930.0,27740.0
2024-10-17,4,3,0.75,180.0,27920.0
2024-10-18,5,4,0.8,670.0,28590.0
2024-10-21,3,3,1.0,2170.0,30760.0
2024-10-22,3,1,0.333333,-480.0,30280.0
2024-10-23,3,3,1.0,1170.0,31450.0
2024-10-24,2,0,0.0,-630.0,30820.0
2024-10-25,5,5,1.0,3070.0,33890.0
2024-10-28,2,1,0.5,-180.0,33710.0
2024-10-29,3,3,1.0,770.0,34480.0
2024-10-30,3,1,0.333333,360.0,34840.0
2024-10-31,4,0,0.0,-2080.0,32760.0
2024-11-01,5,3,0.6,1720.0,34480.0
2024-11-04,2,1,0.5,60.0,34540.0
2024-11-05,7,6,0.857143,1590.0,36130.0
2024-11-06,7,3,0.428571,20.0,36150.0
2024-11-07,2,2,1.0,440.0,36590.0
2024-11-08,2,1,0.5,-20.0,36570.0
2024-11-11,2,1,0.5,-160.0,36410.0
2024-11-12,2,2,1.0,870.0,37280.0
2024-11-13,3,3,1.0,1450.0,38730.0
2024-11-14,3,1,0.333333,230.0,38960.0
2024-11-15,3,3,1.0,1720.0,40680.0
2024-11-18,2,2,1.0,1560.0,42240.0
2024-11-19,5,4,0.8,1490.0,43730.0
2024-11-20,5,5,1.0,3880.0,47610.0
2024-11-21,4,4,1.0,5710.0,53320.0
2024-11-22,5,2,0.4,-1300.0,52020.0
2024-11-25,4,3,0.75,590.0,52610.0
2024-11-26,3,0,0.0,-890.0,51720.0
2024-11-27,4,4,1.0,640.0,52360.0
2024-11-29,1,1,1.0,710.0,53070.0
2024-12-02,2,0,0.0,-280.0,52790.0
2024-12-03,2,1,0.5,-640.0,52150.0
2024-12-04,3,2,0.666667,-460.0,51690.0
2024-12-05,2,1,0.5,-580.0,51110.0
2024-12-06,3,2,0.666667,190.0,51300.0
2024-12-09,3,2,0.666667,70.0,51370.0
2024-12-10,2,2,1.0,290.0,51660.0
2024-12-11,2,1,0.5,110.0,51770.0
2024-12-12,2,0,0.0,-1190.0,50580.0
2024-12-13,2,2,1.0,1220.0,51800.0
2024-12-16,3,3,1.0,670.0,52470.0
2024-12-17,4,4,1.0,1190.0,53660.0
2024-12-18,3,2,0.666667,550.0,54210.0
2024-12-19,3,2,0.666667,200.0,54410.0
2024-12-20,2,1,0.5,4020.0,58430.0
2024-12-23,6,6,1.0,2170.0,60600.0
2024-12-24,1,1,1.0,550.0,61150.0
2024-12-26,3,1,0.333333,390.0,61540.0
2024-12-27,4,4,1.0,5400.0,66940.0
2024-12-30,6,4,0.666667,450.0,67390.0
2024-12-31,3,2,0.666667,890.0,68280.0
2025-07-01,5,4,0.8,320.0,68600.0
2025-07-02,2,2,1.0,690.0,69290.0
2025-07-03,2,2,1.0,490.0,69780.0
2025-07-07,6,5,0.833333,1580.0,71360.0
2025-07-08,3,2,0.666667,1010.0,72370.0
2025-07-09,4,4,1.0,670.0,73040.0
2025-07-10,6,6,1.0,1020.0,74060.0
2025-07-11,5,3,0.6,360.0,74420.0
2025-07-14,3,3,1.0,870.0,75290.0
2025-07-15,5,5,1.0,1480.0,76770.0
2025-07-16,7,7,1.0,3940.0,80710.0
2025-07-17,4,4,1.0,1240.0,81950.0
2025-07-18,1,0,0.0,-90.0,81860.0
2025-07-21,2,2,1.0,500.0,82360.0
2025-07-22,3,3,1.0,850.0,83210.0
2025-07-23,3,2,0.666667,-20.0,83190.0
2025-07-24,3,3,1.0,360.0,83550.0
2025-07-25,2,2,1.0,450.0,84000.0
2025-07-28,4,4,1.0,660.0,84660.0
2025-07-29,2,2,1.0,540.0,85200.0
2025-07-30,9,8,0.888889,2750.0,87950.0
2025-07-31,4,3,0.75,-140.0,87810.0
2025-08-01,6,5,0.833333,2520.0,90330.0
2025-08-04,3,3,1.0,750.0,91080.0
2025-08-05,6,6,1.0,2840.0,93920.0
2025-08-06,5,5,1.0,2510.0,96430.0
2025-08-07,6,5,0.833333,-160.0,96270.0
