category,rank,trade_number,session,decision_time,exit_time,side,offset,contract_id,premium_paid,cash_before,buying_power_pct_cash,pnl,path_mae,exit_reason
top_winner,1,187,2024-12-20,2024-12-20T15:13:00+00:00,2024-12-20T15:33:00+00:00,CALL,-30.0,SPXW-20241220-05840.000-C,3429.9999999999995,54410.0,0.06304,4140.000000000001,-39.99999999999986,target
top_winner,2,886,2026-02-17,2026-02-17T15:47:00+00:00,2026-02-17T16:12:00+00:00,CALL,-30.0,SPXW-20260217-06765.000-C,3490.0,276200.0,0.012636,3780.000000000001,-29.999999999999716,target
top_winner,3,199,2024-12-27,2024-12-27T15:00:00+00:00,2024-12-27T15:18:00+00:00,PUT,40.0,SPXW-20241227-06025.000-P,3500.0,61540.0,0.056874,3659.999999999999,-39.99999999999986,target
top_winner,4,934,2026-03-05,2026-03-05T15:07:00+00:00,2026-03-05T15:31:00+00:00,PUT,30.0,SPXW-20260305-06880.000-P,3370.0000000000005,296070.0,0.011382,3650.0,-360.0000000000001,target
top_winner,5,822,2026-01-21,2026-01-21T19:19:00+00:00,2026-01-21T19:29:00+00:00,CALL,-25.0,SPXW-20260121-06800.000-C,2710.0,242350.0,0.011182,3619.999999999999,-70.00000000000028,target
top_winner,6,842,2026-01-29,2026-01-29T15:27:00+00:00,2026-01-29T15:51:00+00:00,PUT,30.0,SPXW-20260129-06950.000-P,3300.0,252700.0,0.013059,3579.9999999999995,-39.99999999999986,target
top_winner,7,364,2025-08-22,2025-08-22T14:00:00+00:00,2025-08-22T14:02:00+00:00,CALL,-50.0,SPXW-20250822-06390.000-C,2960.0,105180.0,0.028142,3390.0,-40.00000000000021,target
top_winner,8,859,2026-02-05,2026-02-05T16:15:00+00:00,2026-02-05T16:39:00+00:00,CALL,-30.0,SPXW-20260205-06765.000-C,3220.0000000000005,260190.0,0.012376,3259.9999999999995,-40.00000000000021,target
top_winner,9,673,2025-11-20,2025-11-20T15:58:00+00:00,2025-11-20T16:15:00+00:00,PUT,30.0,SPXW-20251120-06775.000-P,3050.0,204850.0,0.014889,3120.0000000000005,-39.99999999999986,target
top_winner,10,133,2024-11-21,2024-11-21T15:33:00+00:00,2024-11-21T15:57:00+00:00,CALL,-25.0,SPXW-20241121-05870.000-C,2920.0,50230.0,0.058133,3090.0,-30.00000000000007,target
worst_loser,1,929,2026-03-04,2026-03-04T15:03:00+00:00,2026-03-04T15:21:00+00:00,PUT,35.0,SPXW-20260304-06860.000-P,3500.0,298050.0,0.011743,-1840.0,-1840.0,hard_stop
worst_loser,2,947,2026-03-10,2026-03-10T14:15:00+00:00,2026-03-10T14:31:00+00:00,PUT,25.0,SPXW-20260310-06785.000-P,3130.0,304760.0,0.01027,-1680.0,-1680.0,hard_stop
worst_loser,3,468,2025-09-25,2025-09-25T14:00:00+00:00,2025-09-25T14:10:00+00:00,PUT,30.0,SPXW-20250925-06610.000-P,3210.0,132890.0,0.024155,-1610.0000000000002,-1610.0000000000002,hard_stop
worst_loser,4,734,2025-12-11,2025-12-11T15:00:00+00:00,2025-12-11T15:09:00+00:00,PUT,30.0,SPXW-20251211-06865.000-P,3340.0,229860.0,0.014531,-1559.9999999999998,-1559.9999999999998,sequence_residual_override
worst_loser,5,950,2026-03-11,2026-03-11T14:33:00+00:00,2026-03-11T14:58:00+00:00,PUT,25.0,SPXW-20260311-06790.000-P,3260.0,303580.0,0.010739,-1530.0,-1530.0,protocol054_fallback
worst_loser,6,204,2024-12-30,2024-12-30T15:27:00+00:00,2024-12-30T15:46:00+00:00,PUT,20.0,SPXW-20241230-05890.000-P,2750.0,67220.0,0.04091,-1530.0,-1530.0,hard_stop
worst_loser,7,862,2026-02-05,2026-02-05T19:01:00+00:00,2026-02-05T19:13:00+00:00,PUT,30.0,SPXW-20260205-06830.000-P,2820.0,264220.0,0.010673,-1480.0,-1480.0,hard_stop
worst_loser,8,317,2025-08-07,2025-08-07T14:00:00+00:00,2025-08-07T14:15:00+00:00,CALL,-30.0,SPXW-20250807-06355.000-C,3320.0000000000005,96430.0,0.034429,-1420.0000000000002,-1500.0000000000005,sequence_residual_override
worst_loser,9,966,2026-03-16,2026-03-16T15:11:00+00:00,2026-03-16T15:36:00+00:00,PUT,25.0,SPXW-20260316-06725.000-P,3190.0,305550.0,0.01044,-1409.9999999999998,-1409.9999999999998,protocol054_fallback
worst_loser,10,388,2025-09-02,2025-09-02T14:36:00+00:00,2025-09-02T14:51:00+00:00,CALL,-30.0,SPXW-20250902-06375.000-C,3310.0,112920.0,0.029313,-1390.0000000000002,-1390.0000000000002,sequence_residual_override
