Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 149,043
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating with enhanced ETV head
Training from scratch (v4: no warm-start).
Day-sequential batching: disabled (data.pt missing day_boundaries)

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5, etv=0.2
EV gate scale: 10.0

step 00650 (  7.6%) | loss: 3.172863 | trade:0.55 call:0.54 put:0.46 | ATM:0.36 OTM:0.64 | etv:+0.680 [rnd] | lr: 1.13e-04 | left: 222s
step 00700 (  8.2%) | loss: 3.071123 | trade:0.60 call:0.55 put:0.45 | ATM:0.36 OTM:0.64 | etv:+0.894 [rnd] | lr: 1.22e-04 | left: 220s
step 00750 (  8.7%) | loss: 2.997173 | trade:0.57 call:0.56 put:0.44 | ATM:0.38 OTM:0.62 | etv:+0.770 [rnd] | lr: 1.31e-04 | left: 219s
step 00800 (  9.3%) | loss: 2.875897 | trade:0.57 call:0.51 put:0.49 | ATM:0.38 OTM:0.62 | etv:+0.882 [rnd] | lr: 1.40e-04 | left: 218s
step 00850 (  9.9%) | loss: 2.743673 | trade:0.56 call:0.51 put:0.49 | ATM:0.36 OTM:0.64 | etv:+0.868 [rnd] | lr: 1.49e-04 | left: 216s
step 00900 ( 10.5%) | loss: 2.624001 | trade:0.52 call:0.56 put:0.44 | ATM:0.35 OTM:0.65 | etv:+0.892 [rnd] | lr: 1.50e-04 | left: 215s
step 00950 ( 11.1%) | loss: 2.491224 | trade:0.56 call:0.57 put:0.43 | ATM:0.36 OTM:0.64 | etv:+1.122 [rnd] | lr: 1.50e-04 | left: 213s
step 01000 ( 11.7%) | loss: 2.381963 | trade:0.50 call:0.61 put:0.39 | ATM:0.37 OTM:0.63 | etv:+0.951 [rnd] | lr: 1.50e-04 | left: 212s
step 01050 ( 12.3%) | loss: 2.282872 | trade:0.48 call:0.54 put:0.46 | ATM:0.38 OTM:0.62 | etv:+0.899 [rnd] | lr: 1.50e-04 | left: 210s
step 01100 ( 12.9%) | loss: 2.182213 | trade:0.44 call:0.68 put:0.32 | ATM:0.40 OTM:0.60 | etv:+0.784 [rnd] | lr: 1.50e-04 | left: 209s
step 01150 ( 13.5%) | loss: 2.099178 | trade:0.56 call:0.55 put:0.45 | ATM:0.40 OTM:0.60 | etv:+1.174 [rnd] | lr: 1.50e-04 | left: 207s
step 01200 ( 14.1%) | loss: 2.049219 | trade:0.47 call:0.58 put:0.42 | ATM:0.40 OTM:0.60 | etv:+0.894 [rnd] | lr: 1.50e-04 | left: 206s
step 01250 ( 14.7%) | loss: 2.015968 | trade:0.48 call:0.66 put:0.34 | ATM:0.41 OTM:0.59 | etv:+0.957 [rnd] | lr: 1.50e-04 | left: 205s
step 01300 ( 15.3%) | loss: 1.972321 | trade:0.48 call:0.54 put:0.46 | ATM:0.41 OTM:0.59 | etv:+1.067 [rnd] | lr: 1.50e-04 | left: 203s
step 01350 ( 15.9%) | loss: 1.951877 | trade:0.47 call:0.52 put:0.48 | ATM:0.42 OTM:0.58 | etv:+1.059 [rnd] | lr: 1.50e-04 | left: 202s
step 01400 ( 16.5%) | loss: 1.913783 | trade:0.46 call:0.70 put:0.30 | ATM:0.42 OTM:0.58 | etv:+1.022 [rnd] | lr: 1.50e-04 | left: 200s
step 01450 ( 17.1%) | loss: 1.898372 | trade:0.49 call:0.66 put:0.34 | ATM:0.41 OTM:0.59 | etv:+1.027 [rnd] | lr: 1.50e-04 | left: 199s
step 01500 ( 17.7%) | loss: 1.876267 | trade:0.48 call:0.61 put:0.39 | ATM:0.42 OTM:0.58 | etv:+0.970 [rnd] | lr: 1.50e-04 | left: 197s
step 01550 ( 18.3%) | loss: 1.861866 | trade:0.44 call:0.61 put:0.39 | ATM:0.43 OTM:0.57 | etv:+1.025 [rnd] | lr: 1.50e-04 | left: 196s
step 01600 ( 18.9%) | loss: 1.830846 | trade:0.47 call:0.55 put:0.45 | ATM:0.42 OTM:0.58 | etv:+1.093 [rnd] | lr: 1.50e-04 | left: 195s
step 01650 ( 19.5%) | loss: 1.816637 | trade:0.39 call:0.67 put:0.33 | ATM:0.43 OTM:0.57 | etv:+0.871 [rnd] | lr: 1.50e-04 | left: 193s
step 01700 ( 20.1%) | loss: 1.815543 | trade:0.51 call:0.54 put:0.46 | ATM:0.42 OTM:0.58 | etv:+1.317 [rnd] | lr: 1.50e-04 | left: 192s
step 01750 ( 20.7%) | loss: 1.803429 | trade:0.49 call:0.56 put:0.44 | ATM:0.42 OTM:0.58 | etv:+1.278 [rnd] | lr: 1.50e-04 | left: 190s
step 01800 ( 21.3%) | loss: 1.780129 | trade:0.50 call:0.55 put:0.45 | ATM:0.44 OTM:0.56 | etv:+1.364 [rnd] | lr: 1.50e-04 | left: 189s
step 01850 ( 21.9%) | loss: 1.794130 | trade:0.49 call:0.66 put:0.34 | ATM:0.42 OTM:0.58 | etv:+1.126 [rnd] | lr: 1.50e-04 | left: 187s
step 01900 ( 22.5%) | loss: 1.766007 | trade:0.44 call:0.68 put:0.32 | ATM:0.43 OTM:0.57 | etv:+0.934 [rnd] | lr: 1.50e-04 | left: 186s
step 01950 ( 23.1%) | loss: 1.777794 | trade:0.45 call:0.55 put:0.45 | ATM:0.43 OTM:0.57 | etv:+1.068 [rnd] | lr: 1.50e-04 | left: 185s
step 02000 ( 23.7%) | loss: 1.765307 | trade:0.50 call:0.62 put:0.38 | ATM:0.44 OTM:0.56 | etv:+1.133 [rnd] | lr: 1.50e-04 | left: 183s
step 02050 ( 24.3%) | loss: 1.742421 | trade:0.43 call:0.67 put:0.33 | ATM:0.43 OTM:0.57 | etv:+1.285 [rnd] | lr: 1.50e-04 | left: 182s
step 02100 ( 24.9%) | loss: 1.753664 | trade:0.52 call:0.59 put:0.41 | ATM:0.40 OTM:0.60 | etv:+1.513 [rnd] | lr: 1.50e-04 | left: 180s
step 02150 ( 25.5%) | loss: 1.744577 | trade:0.45 call:0.67 put:0.33 | ATM:0.45 OTM:0.55 | etv:+1.057 [rnd] | lr: 1.50e-04 | left: 179s
step 02200 ( 26.1%) | loss: 1.734476 | trade:0.44 call:0.58 put:0.42 | ATM:0.44 OTM:0.56 | etv:+1.133 [rnd] | lr: 1.50e-04 | left: 177s
step 02250 ( 26.7%) | loss: 1.729573 | trade:0.44 call:0.58 put:0.42 | ATM:0.43 OTM:0.57 | etv:+0.990 [rnd] | lr: 1.50e-04 | left: 176s
step 02300 ( 27.3%) | loss: 1.719647 | trade:0.41 call:0.59 put:0.41 | ATM:0.46 OTM:0.54 | etv:+1.115 [rnd] | lr: 1.50e-04 | left: 175s
step 02350 ( 27.9%) | loss: 1.720892 | trade:0.50 call:0.60 put:0.40 | ATM:0.42 OTM:0.58 | etv:+1.389 [rnd] | lr: 1.50e-04 | left: 173s
step 02400 ( 28.5%) | loss: 1.722137 | trade:0.46 call:0.58 put:0.42 | ATM:0.45 OTM:0.55 | etv:+1.116 [rnd] | lr: 1.50e-04 | left: 172s
step 02450 ( 29.1%) | loss: 1.700998 | trade:0.47 call:0.65 put:0.35 | ATM:0.46 OTM:0.54 | etv:+1.304 [rnd] | lr: 1.50e-04 | left: 170s
step 02500 ( 29.6%) | loss: 1.699252 | trade:0.38 call:0.59 put:0.41 | ATM:0.45 OTM:0.55 | etv:+0.822 [rnd] | lr: 1.50e-04 | left: 169s
step 02550 ( 30.2%) | loss: 1.705115 | trade:0.54 call:0.65 put:0.35 | ATM:0.44 OTM:0.56 | etv:+1.231 [rnd] | lr: 1.50e-04 | left: 167s
step 02600 ( 30.8%) | loss: 1.699993 | trade:0.46 call:0.57 put:0.43 | ATM:0.46 OTM:0.54 | etv:+1.010 [rnd] | lr: 1.50e-04 | left: 166s
step 02650 ( 31.4%) | loss: 1.699592 | trade:0.48 call:0.59 put:0.41 | ATM:0.45 OTM:0.55 | etv:+1.434 [rnd] | lr: 1.50e-04 | left: 165s
step 02700 ( 32.0%) | loss: 1.691238 | trade:0.47 call:0.61 put:0.39 | ATM:0.46 OTM:0.54 | etv:+1.348 [rnd] | lr: 1.50e-04 | left: 163s
step 02750 ( 32.6%) | loss: 1.689187 | trade:0.56 call:0.58 put:0.42 | ATM:0.41 OTM:0.59 | etv:+1.525 [rnd] | lr: 1.50e-04 | left: 162s
step 02800 ( 33.2%) | loss: 1.686675 | trade:0.40 call:0.52 put:0.48 | ATM:0.46 OTM:0.54 | etv:+0.924 [rnd] | lr: 1.50e-04 | left: 160s
step 02850 ( 33.8%) | loss: 1.680322 | trade:0.45 call:0.61 put:0.39 | ATM:0.47 OTM:0.53 | etv:+1.142 [rnd] | lr: 1.50e-04 | left: 159s
step 02900 ( 34.4%) | loss: 1.695713 | trade:0.47 call:0.53 put:0.47 | ATM:0.45 OTM:0.55 | etv:+1.181 [rnd] | lr: 1.50e-04 | left: 157s
step 02950 ( 35.0%) | loss: 1.679720 | trade:0.47 call:0.59 put:0.41 | ATM:0.45 OTM:0.55 | etv:+1.033 [rnd] | lr: 1.50e-04 | left: 156s
step 03000 ( 35.6%) | loss: 1.684937 | trade:0.48 call:0.58 put:0.42 | ATM:0.46 OTM:0.54 | etv:+1.518 [rnd] | lr: 1.50e-04 | left: 154s
step 03050 ( 36.2%) | loss: 1.676624 | trade:0.51 call:0.56 put:0.44 | ATM:0.42 OTM:0.58 | etv:+1.686 [rnd] | lr: 1.50e-04 | left: 153s
step 03100 ( 36.8%) | loss: 1.677467 | trade:0.49 call:0.59 put:0.41 | ATM:0.43 OTM:0.57 | etv:+1.591 [rnd] | lr: 1.50e-04 | left: 152s
step 03150 ( 37.4%) | loss: 1.670125 | trade:0.50 call:0.57 put:0.43 | ATM:0.46 OTM:0.54 | etv:+1.410 [rnd] | lr: 1.50e-04 | left: 150s
step 03200 ( 38.0%) | loss: 1.665441 | trade:0.44 call:0.53 put:0.47 | ATM:0.45 OTM:0.55 | etv:+1.502 [rnd] | lr: 1.50e-04 | left: 149s
step 03250 ( 38.6%) | loss: 1.676610 | trade:0.46 call:0.57 put:0.43 | ATM:0.46 OTM:0.54 | etv:+1.020 [rnd] | lr: 1.50e-04 | left: 147s
step 03300 ( 39.2%) | loss: 1.665778 | trade:0.50 call:0.55 put:0.45 | ATM:0.43 OTM:0.57 | etv:+1.398 [rnd] | lr: 1.50e-04 | left: 146s
step 03350 ( 39.8%) | loss: 1.655263 | trade:0.49 call:0.55 put:0.45 | ATM:0.47 OTM:0.53 | etv:+1.558 [rnd] | lr: 1.50e-04 | left: 144s
step 03400 ( 40.4%) | loss: 1.659496 | trade:0.50 call:0.59 put:0.41 | ATM:0.46 OTM:0.54 | etv:+1.311 [rnd] | lr: 1.50e-04 | left: 143s
step 03450 ( 41.0%) | loss: 1.649672 | trade:0.51 call:0.62 put:0.38 | ATM:0.43 OTM:0.57 | etv:+1.415 [rnd] | lr: 1.50e-04 | left: 142s
step 03500 ( 41.6%) | loss: 1.675168 | trade:0.47 call:0.60 put:0.40 | ATM:0.46 OTM:0.54 | etv:+1.021 [rnd] | lr: 1.50e-04 | left: 140s
step 03550 ( 42.2%) | loss: 1.653429 | trade:0.47 call:0.62 put:0.38 | ATM:0.44 OTM:0.56 | etv:+1.493 [rnd] | lr: 1.50e-04 | left: 139s
step 03600 ( 42.8%) | loss: 1.655448 | trade:0.51 call:0.53 put:0.47 | ATM:0.44 OTM:0.56 | etv:+1.493 [rnd] | lr: 1.50e-04 | left: 137s
step 03650 ( 43.3%) | loss: 1.658205 | trade:0.48 call:0.54 put:0.46 | ATM:0.43 OTM:0.57 | etv:+1.776 [rnd] | lr: 1.50e-04 | left: 136s
step 03700 ( 43.9%) | loss: 1.663075 | trade:0.48 call:0.57 put:0.43 | ATM:0.44 OTM:0.56 | etv:+1.257 [rnd] | lr: 1.50e-04 | left: 135s
step 03750 ( 44.5%) | loss: 1.649132 | trade:0.44 call:0.62 put:0.38 | ATM:0.44 OTM:0.56 | etv:+1.218 [rnd] | lr: 1.50e-04 | left: 133s
step 03800 ( 45.1%) | loss: 1.657585 | trade:0.47 call:0.57 put:0.43 | ATM:0.44 OTM:0.56 | etv:+1.246 [rnd] | lr: 1.50e-04 | left: 132s
step 03850 ( 45.7%) | loss: 1.640694 | trade:0.49 call:0.56 put:0.44 | ATM:0.42 OTM:0.58 | etv:+1.698 [rnd] | lr: 1.50e-04 | left: 130s
step 03900 ( 46.3%) | loss: 1.647813 | trade:0.49 call:0.57 put:0.43 | ATM:0.44 OTM:0.56 | etv:+1.468 [rnd] | lr: 1.50e-04 | left: 129s
step 03950 ( 46.9%) | loss: 1.643023 | trade:0.51 call:0.65 put:0.35 | ATM:0.44 OTM:0.56 | etv:+1.567 [rnd] | lr: 1.50e-04 | left: 127s
step 04000 ( 47.5%) | loss: 1.636687 | trade:0.38 call:0.65 put:0.35 | ATM:0.48 OTM:0.52 | etv:+0.875 [rnd] | lr: 1.50e-04 | left: 126s
step 04050 ( 48.1%) | loss: 1.647927 | trade:0.45 call:0.61 put:0.39 | ATM:0.46 OTM:0.54 | etv:+1.066 [rnd] | lr: 1.50e-04 | left: 124s
step 04100 ( 48.7%) | loss: 1.634915 | trade:0.42 call:0.56 put:0.44 | ATM:0.46 OTM:0.54 | etv:+0.916 [rnd] | lr: 1.50e-04 | left: 123s
step 04150 ( 49.3%) | loss: 1.648882 | trade:0.50 call:0.52 put:0.48 | ATM:0.46 OTM:0.54 | etv:+1.468 [rnd] | lr: 1.50e-04 | left: 122s
step 04200 ( 49.9%) | loss: 1.630377 | trade:0.43 call:0.60 put:0.40 | ATM:0.45 OTM:0.55 | etv:+1.280 [rnd] | lr: 1.50e-04 | left: 120s
step 04250 ( 50.5%) | loss: 1.636321 | trade:0.46 call:0.53 put:0.47 | ATM:0.45 OTM:0.55 | etv:+1.769 [rnd] | lr: 1.50e-04 | left: 119s
step 04300 ( 51.1%) | loss: 1.638293 | trade:0.49 call:0.59 put:0.41 | ATM:0.43 OTM:0.57 | etv:+1.511 [rnd] | lr: 1.50e-04 | left: 117s
step 04350 ( 51.7%) | loss: 1.639428 | trade:0.51 call:0.53 put:0.47 | ATM:0.45 OTM:0.55 | etv:+1.412 [rnd] | lr: 1.50e-04 | left: 116s
step 04400 ( 52.3%) | loss: 1.633830 | trade:0.45 call:0.66 put:0.34 | ATM:0.44 OTM:0.56 | etv:+1.139 [rnd] | lr: 1.50e-04 | left: 114s
step 04450 ( 52.9%) | loss: 1.638679 | trade:0.48 call:0.53 put:0.47 | ATM:0.45 OTM:0.55 | etv:+1.583 [rnd] | lr: 1.50e-04 | left: 113s
step 04500 ( 53.5%) | loss: 1.624147 | trade:0.49 call:0.64 put:0.36 | ATM:0.44 OTM:0.56 | etv:+1.674 [rnd] | lr: 1.50e-04 | left: 112s
step 04550 ( 54.1%) | loss: 1.628345 | trade:0.43 call:0.49 put:0.51 | ATM:0.44 OTM:0.56 | etv:+1.822 [rnd] | lr: 1.50e-04 | left: 110s
step 04600 ( 54.7%) | loss: 1.623737 | trade:0.44 call:0.61 put:0.39 | ATM:0.45 OTM:0.55 | etv:+1.099 [rnd] | lr: 1.50e-04 | left: 109s
step 04650 ( 55.3%) | loss: 1.632010 | trade:0.45 call:0.61 put:0.39 | ATM:0.43 OTM:0.57 | etv:+1.565 [rnd] | lr: 1.50e-04 | left: 107s
step 04700 ( 55.9%) | loss: 1.626930 | trade:0.42 call:0.60 put:0.40 | ATM:0.48 OTM:0.52 | etv:+0.973 [rnd] | lr: 1.50e-04 | left: 106s
step 04750 ( 56.5%) | loss: 1.620046 | trade:0.46 call:0.55 put:0.45 | ATM:0.44 OTM:0.56 | etv:+1.282 [rnd] | lr: 1.50e-04 | left: 104s
step 04800 ( 57.1%) | loss: 1.618133 | trade:0.46 call:0.57 put:0.43 | ATM:0.44 OTM:0.56 | etv:+1.391 [rnd] | lr: 1.50e-04 | left: 103s
step 04850 ( 57.6%) | loss: 1.626005 | trade:0.41 call:0.58 put:0.42 | ATM:0.48 OTM:0.52 | etv:+1.629 [rnd] | lr: 1.50e-04 | left: 102s
step 04900 ( 58.2%) | loss: 1.608790 | trade:0.42 call:0.58 put:0.42 | ATM:0.48 OTM:0.52 | etv:+1.009 [rnd] | lr: 1.50e-04 | left: 100s
step 04950 ( 58.8%) | loss: 1.630615 | trade:0.50 call:0.59 put:0.41 | ATM:0.44 OTM:0.56 | etv:+1.538 [rnd] | lr: 1.50e-04 | left: 99s
step 05000 ( 59.4%) | loss: 1.629713 | trade:0.51 call:0.54 put:0.46 | ATM:0.44 OTM:0.56 | etv:+1.663 [rnd] | lr: 1.50e-04 | left: 97s
step 05050 ( 60.0%) | loss: 1.627622 | trade:0.39 call:0.65 put:0.35 | ATM:0.50 OTM:0.50 | etv:+1.310 [rnd] | lr: 1.50e-04 | left: 96s
step 05100 ( 60.6%) | loss: 1.620727 | trade:0.50 call:0.63 put:0.37 | ATM:0.42 OTM:0.58 | etv:+2.129 [rnd] | lr: 1.50e-04 | left: 95s
step 05150 ( 61.2%) | loss: 1.616159 | trade:0.46 call:0.58 put:0.42 | ATM:0.45 OTM:0.55 | etv:+1.869 [rnd] | lr: 1.50e-04 | left: 93s
step 05200 ( 61.8%) | loss: 1.618310 | trade:0.49 call:0.62 put:0.38 | ATM:0.44 OTM:0.56 | etv:+1.279 [rnd] | lr: 1.50e-04 | left: 92s
step 05250 ( 62.4%) | loss: 1.635001 | trade:0.47 call:0.55 put:0.45 | ATM:0.44 OTM:0.56 | etv:+1.355 [rnd] | lr: 1.50e-04 | left: 90s
step 05300 ( 63.0%) | loss: 1.613254 | trade:0.46 call:0.57 put:0.43 | ATM:0.43 OTM:0.57 | etv:+1.523 [rnd] | lr: 1.50e-04 | left: 89s
step 05350 ( 63.6%) | loss: 1.625825 | trade:0.45 call:0.58 put:0.42 | ATM:0.46 OTM:0.54 | etv:+1.101 [rnd] | lr: 1.50e-04 | left: 87s
step 05400 ( 64.2%) | loss: 1.618106 | trade:0.40 call:0.57 put:0.43 | ATM:0.48 OTM:0.52 | etv:+0.814 [rnd] | lr: 1.50e-04 | left: 86s
step 05450 ( 64.8%) | loss: 1.607554 | trade:0.49 call:0.61 put:0.39 | ATM:0.45 OTM:0.55 | etv:+1.285 [rnd] | lr: 1.50e-04 | left: 85s
step 05500 ( 65.4%) | loss: 1.624164 | trade:0.47 call:0.59 put:0.41 | ATM:0.47 OTM:0.53 | etv:+1.239 [rnd] | lr: 1.50e-04 | left: 83s
step 05550 ( 65.9%) | loss: 1.601579 | trade:0.46 call:0.61 put:0.39 | ATM:0.45 OTM:0.55 | etv:+1.293 [rnd] | lr: 1.50e-04 | left: 82s
step 05600 ( 66.5%) | loss: 1.615475 | trade:0.48 call:0.52 put:0.48 | ATM:0.45 OTM:0.55 | etv:+1.331 [rnd] | lr: 1.50e-04 | left: 80s
step 05650 ( 67.1%) | loss: 1.608710 | trade:0.46 call:0.59 put:0.41 | ATM:0.45 OTM:0.55 | etv:+1.442 [rnd] | lr: 1.50e-04 | left: 79s
step 05700 ( 67.7%) | loss: 1.614267 | trade:0.42 call:0.61 put:0.39 | ATM:0.46 OTM:0.54 | etv:+1.249 [rnd] | lr: 1.50e-04 | left: 77s
step 05750 ( 68.3%) | loss: 1.603729 | trade:0.43 call:0.69 put:0.31 | ATM:0.44 OTM:0.56 | etv:+1.674 [rnd] | lr: 1.50e-04 | left: 76s
step 05800 ( 68.9%) | loss: 1.614480 | trade:0.41 call:0.61 put:0.39 | ATM:0.48 OTM:0.52 | etv:+1.127 [rnd] | lr: 1.50e-04 | left: 75s
step 05850 ( 69.5%) | loss: 1.611406 | trade:0.42 call:0.59 put:0.41 | ATM:0.44 OTM:0.56 | etv:+1.004 [rnd] | lr: 1.50e-04 | left: 73s
step 05900 ( 70.1%) | loss: 1.601910 | trade:0.50 call:0.61 put:0.39 | ATM:0.45 OTM:0.55 | etv:+1.380 [rnd] | lr: 1.50e-04 | left: 72s
step 05950 ( 70.7%) | loss: 1.628405 | trade:0.44 call:0.58 put:0.42 | ATM:0.47 OTM:0.53 | etv:+1.418 [rnd] | lr: 1.50e-04 | left: 70s
step 06000 ( 71.3%) | loss: 1.601303 | trade:0.49 call:0.59 put:0.41 | ATM:0.42 OTM:0.58 | etv:+1.689 [rnd] | lr: 1.49e-04 | left: 69s
step 06050 ( 71.9%) | loss: 1.602296 | trade:0.47 call:0.58 put:0.42 | ATM:0.47 OTM:0.53 | etv:+1.730 [rnd] | lr: 1.49e-04 | left: 67s
step 06100 ( 72.5%) | loss: 1.624832 | trade:0.50 call:0.61 put:0.39 | ATM:0.44 OTM:0.56 | etv:+1.643 [rnd] | lr: 1.47e-04 | left: 66s
step 06150 ( 73.1%) | loss: 1.603338 | trade:0.42 call:0.61 put:0.39 | ATM:0.48 OTM:0.52 | etv:+1.061 [rnd] | lr: 1.46e-04 | left: 65s
step 06200 ( 73.7%) | loss: 1.607027 | trade:0.50 call:0.55 put:0.45 | ATM:0.44 OTM:0.56 | etv:+1.929 [rnd] | lr: 1.44e-04 | left: 63s
step 06250 ( 74.3%) | loss: 1.597161 | trade:0.47 call:0.57 put:0.43 | ATM:0.44 OTM:0.56 | etv:+1.797 [rnd] | lr: 1.43e-04 | left: 62s
step 06300 ( 74.9%) | loss: 1.614014 | trade:0.49 call:0.53 put:0.47 | ATM:0.45 OTM:0.55 | etv:+2.077 [rnd] | lr: 1.40e-04 | left: 60s
step 06350 ( 75.5%) | loss: 1.598002 | trade:0.41 call:0.60 put:0.40 | ATM:0.48 OTM:0.52 | etv:+1.186 [rnd] | lr: 1.38e-04 | left: 59s
step 06400 ( 76.1%) | loss: 1.611724 | trade:0.44 call:0.58 put:0.42 | ATM:0.48 OTM:0.52 | etv:+1.247 [rnd] | lr: 1.35e-04 | left: 57s
step 06450 ( 76.7%) | loss: 1.608013 | trade:0.43 call:0.63 put:0.37 | ATM:0.45 OTM:0.55 | etv:+1.165 [rnd] | lr: 1.32e-04 | left: 56s
step 06500 ( 77.3%) | loss: 1.601388 | trade:0.47 call:0.58 put:0.42 | ATM:0.46 OTM:0.54 | etv:+1.890 [rnd] | lr: 1.29e-04 | left: 55s
step 06550 ( 77.9%) | loss: 1.599702 | trade:0.49 call:0.63 put:0.37 | ATM:0.45 OTM:0.55 | etv:+1.390 [rnd] | lr: 1.26e-04 | left: 53s
step 06600 ( 78.5%) | loss: 1.596959 | trade:0.50 call:0.56 put:0.44 | ATM:0.43 OTM:0.57 | etv:+2.140 [rnd] | lr: 1.22e-04 | left: 52s
