date,fold,strategy_label,paired_trade_id,bar_entry,side,strike,contract_idx,delta_at_entry,spread_at_entry,context_spread_at_entry,entry_mid,trigger_vwap_dist_min_prior,trigger_vwap_dist_now,first15_acceptance_at_entry,bar_delta_at_entry,bar_exit,exit_mid,bars_held,exit_reason,gross_pct,spread_cost_pct,net_pct,net_pnl_dollars,vix_regime_at_entry
2024-12-26,0,strategy,-1,31,C,6025.0,165,0.5301581621170044,0.038235295563936234,0.10788381844758987,11.899999618530273,-0.0025216490030288696,0.0005012938054278493,0.18215613067150116,0.4000000059604645,39,9.369999885559082,8,stop_vwap,-0.2126050263927372,0.008,-0.2206050263927372,-262.51997299194335,-0.33000001311302185
2024-12-30,0,strategy,-1,78,P,5880.0,129,-0.47658011317253113,0.0556660033762455,0.14330218732357025,15.09000015258789,0.0018746210262179375,-0.0005741066997870803,-0.9813742637634277,-0.7904762029647827,79,15.5,1,target_first15,0.027170301077949002,0.006,0.021170301077949004,31.945984649658204,-0.33000001311302185
2024-12-31,0,strategy,-1,30,C,5925.0,205,0.5083787441253662,0.02857142873108387,0.08290155231952667,19.600000381469727,-0.0010842306073755026,0.0006207876140251756,0.5191313624382019,0.43171805143356323,32,21.299999237060547,2,target_first15,0.08673463380123383,0.008,0.07873463380123383,154.31988525390622,-0.33000001311302185
2025-01-02,0,strategy,-1,52,P,5905.0,144,-0.5168513655662537,0.0855555534362793,0.19178082048892975,18.0,0.0031050010584294796,-0.0022112608421593904,-0.09273479133844376,-0.7735247015953064,82,14.100000381469727,30,time_stop,-0.21666664547390407,0.008,-0.22466664547390408,-404.3999618530274,-0.33000001311302185
2025-01-03,0,strategy,-1,58,C,5905.0,173,0.5129499435424805,0.031612902879714966,0.09459459781646729,15.5,-0.002509584417566657,0.0001819094904931262,0.04080118611454964,0.9430894255638123,60,14.699999809265137,2,stop_vwap,-0.0516129155312815,0.008,-0.0596129155312815,-92.40001907348633,-0.33000001311302185
2025-01-08,0,strategy,-1,32,C,5910.0,142,0.48917925357818604,0.05762195214629173,0.17252396047115326,16.399999618530273,-0.001814134418964386,0.0012276566121727228,0.6436915993690491,0.9967741966247559,33,17.049999237060547,1,target_first15,0.0396341240030178,0.008,0.0316341240030178,51.87996215820313,-0.33000001311302185
2025-01-10,0,strategy,-1,81,P,5845.0,178,-0.5185990929603577,0.03500000014901161,0.0997067466378212,18.0,0.0016352632082998753,-0.00020120553381275386,-1.0,-0.6779026389122009,82,22.200000762939453,1,target_first15,0.2333333757188585,0.006,0.2273333757188585,409.20007629394536,-0.33000001311302185
2025-01-13,0,strategy,-1,59,P,5780.0,119,-0.4801103174686432,0.02641509473323822,0.04651162773370743,15.899999618530273,0.002253821585327387,-0.0007349039660766721,-0.012234385125339031,-0.620512843132019,60,12.899999618530273,1,stop_vwap,-0.18867924980977496,0.00848000020980835,-0.19715925001958332,-313.483200010109,0.33000001311302185
2025-01-14,0,strategy,-1,41,C,5865.0,155,0.5073291659355164,0.06343749910593033,0.19795222580432892,16.0,-0.0017292092088609934,0.0009025256731547415,0.05512820556759834,0.794453501701355,51,12.600000381469727,10,stop_vwap,-0.2124999761581421,0.008,-0.2204999761581421,-352.79996185302736,-0.33000001311302185
2025-01-21,0,strategy,-1,31,P,6020.0,205,-0.47331634163856506,0.07280000299215317,0.17931035161018372,12.5,0.0010657035745680332,-0.0008064634166657925,-0.25441884994506836,-0.3002309501171112,41,17.0,10,target_first15,0.36,0.008,0.352,439.99999999999994,-0.33000001311302185
2025-01-28,0,strategy,-1,31,C,6020.0,143,0.5034388899803162,0.057500001043081284,0.17898832261562347,14.0,-0.002131659770384431,0.0006202630465850234,0.30917873978614807,1.0,37,17.700000762939453,6,target_first15,0.2642857687813895,0.008,0.2562857687813895,358.80007629394527,-0.33000001311302185
2025-01-29,0,strategy,-1,42,P,6050.0,166,-0.4772132933139801,0.059062499552965164,0.11209439486265182,16.0,0.0012602241476997733,-0.0005326457321643829,-0.3162729740142822,-0.6447601914405823,44,14.600000381469727,2,stop_vwap,-0.08749997615814209,0.008,-0.0954999761581421,-152.79996185302736,-0.33000001311302185
2025-01-30,0,strategy,-1,33,P,6055.0,142,-0.4952116310596466,0.07482758909463882,0.13432836532592773,14.5,0.0023585681337863207,-0.0016575166955590248,-0.6045454740524292,-0.4632652997970581,37,14.600000381469727,4,target_first15,0.006896578032394935,0.008,-0.001103421967605065,-1.599961853027344,-0.33000001311302185
2025-02-07,0,strategy,-1,31,P,6080.0,209,-0.4747326076030731,0.08723880350589752,0.1782178282737732,13.399999618530273,0.0015663731610402465,-0.0015225469833239913,-1.0,-0.45626476407051086,32,16.700000762939453,1,target_first15,0.2462687491308397,0.008,0.2382687491308397,319.2801147460938,-0.33000001311302185
2025-02-27,0,strategy,-1,62,P,5960.0,153,-0.4928250014781952,0.04605263099074364,0.11578947305679321,19.0,0.0029344188515096903,-6.439594289986417e-05,-1.0,-0.32714617252349854,63,22.600000381469727,1,target_first15,0.18947370428788035,0.006,0.18347370428788035,348.6000381469727,-0.33000001311302185
2025-03-03,0,strategy,-1,76,P,5950.0,175,-0.478432834148407,0.07357723265886307,0.13861386477947235,17.219999313354492,0.001682042027823627,-0.00021687128173653036,-1.0,-1.0,77,17.5,1,target_first15,0.016260203124884045,0.006360000157356262,0.009900202967527784,17.048148830289854,0.33000001311302185
2025-03-05,0,strategy,-1,32,C,5795.0,162,0.4882993996143341,0.04933447018265724,0.14611101150512695,29.299999237060547,-0.003269380424171686,0.0008074124925769866,0.1000363752245903,0.21793416142463684,37,35.29999923706055,5,target_first15,0.2047781623287829,0.00848000020980835,0.19629816211897455,575.1536000322342,0.33000001311302185
