date,fold,strategy_label,paired_trade_id,bar_entry,side,strike,contract_idx,delta_at_entry,spread_at_entry,context_spread_at_entry,entry_mid,trigger_vwap_dist_min_prior,trigger_vwap_dist_now,first15_acceptance_at_entry,bar_delta_at_entry,bar_exit,exit_mid,bars_held,exit_reason,gross_pct,spread_cost_pct,net_pct,net_pnl_dollars,vix_regime_at_entry
2025-12-10,4,strategy,-1,78,C,6840.0,171,0.5073469281196594,0.020388349890708923,0.05999999865889549,20.600000381469727,-0.0013059385819360614,0.00022469005489256233,0.6661101579666138,0.9238578677177429,79,21.5,1,target_first15,0.04368930106136542,0.006,0.03768930106136542,77.6399616241455,-0.33000001311302185
2025-12-11,4,strategy,-1,80,P,6855.0,181,-0.49099692702293396,0.08880597352981567,0.17749065160751343,13.399999618530273,0.002038553124293685,-0.0005160445580258965,-1.0,-0.8211920261383057,81,13.0,1,target_first15,-0.02985071865055365,0.006,-0.03585071865055365,-48.039961624145505,-0.33000001311302185
2025-12-16,4,strategy,-1,43,P,6800.0,164,-0.4843653440475464,0.04481707140803337,0.12204507738351822,16.399999618530273,0.001419551088474691,-0.0009655755711719394,-0.11694086343050003,-0.9346733689308167,51,23.5,8,target_first15,0.43292686259867186,0.008,0.42492686259867185,696.8800384521484,-0.33000001311302185
2025-12-17,4,strategy,-1,33,C,6805.0,161,0.48048505187034607,0.06858108192682266,0.1860465109348297,14.800000190734863,-0.0010315824765712023,0.0004508054698817432,0.04869251698255539,0.6253822445869446,34,13.5,1,stop_vwap,-0.08783784959331913,0.008,-0.09583784959331912,-141.84001922607422,-0.33000001311302185
2025-12-18,4,strategy,-1,30,C,6795.0,173,0.48264607787132263,0.03523178771138191,0.10764872282743454,15.100000381469727,-0.0016870185500010848,0.0013135225744917989,0.6619190573692322,0.7161290049552917,39,10.800000190734863,9,stop_vwap,-0.2847682173579079,0.008,-0.2927682173579079,-442.08001937866214,-0.33000001311302185
2025-12-23,4,strategy,-1,47,C,6885.0,155,0.4546917974948883,0.0555555559694767,0.1411764770746231,6.300000190734863,-0.0012054267572239041,8.443019760306925e-05,0.40534642338752747,0.5055555701255798,48,5.699999809265137,1,stop_vwap,-0.09523815290547467,0.008,-0.10323815290547467,-65.04003829956055,-1.0
2025-12-30,4,strategy,-1,83,C,6905.0,150,0.48042356967926025,0.041525423526763916,0.12173912674188614,5.900000095367432,-0.001240223995409906,0.00018508285575080663,0.2523616850376129,1.0,91,7.199999809265137,8,target_first15,0.22033893099738086,0.006,0.21433893099738086,126.45997133255005,-1.0
2026-01-02,4,strategy,-1,43,P,6875.0,190,-0.525416374206543,0.0454198457300663,0.08494208753108978,13.100000381469727,0.001490974216721952,-0.0016188560985028744,-0.6254212856292725,-0.611940324306488,45,17.0,2,target_first15,0.2977098858750355,0.008,0.2897098858750355,379.5199615478516,-1.0
2026-01-09,4,strategy,-1,44,C,6940.0,208,0.49993911385536194,0.06100917607545853,0.1890547275543213,10.899999618530273,-0.0023708122316747904,0.0003764043212868273,0.016806723549962044,0.8444444537162781,52,15.699999809265137,8,target_first15,0.44036700538729767,0.008,0.43236700538729766,471.28001937866213,-0.33000001311302185
2026-01-14,4,strategy,-1,44,C,6930.0,156,0.5191214084625244,0.05404411628842354,0.1596958190202713,13.600000381469727,-0.0022425760980695486,0.0012991441180929542,0.0022573363967239857,0.6197530627250671,53,9.199999809265137,9,stop_vwap,-0.32352944476381623,0.008,-0.33152944476381624,-450.88005752563475,-0.33000001311302185
2026-01-15,4,strategy,-1,75,P,6965.0,180,-0.5107690095901489,0.0486111119389534,0.11444141715765,10.800000190734863,0.0011105003068223596,-0.0003399243869353086,-0.5810692310333252,-0.36942675709724426,76,13.199999809265137,1,target_first15,0.22222218297636628,0.006,0.21622218297636628,233.51996173858646,-0.33000001311302185
2026-01-20,4,strategy,-1,30,P,6840.0,172,-0.48502010107040405,0.05528037250041962,0.11360634118318558,21.399999618530273,0.0013341674348339438,-0.000864026544149965,-0.7911968231201172,-1.0,38,21.700000762939453,8,target_first15,0.0140187453157433,0.008,0.0060187453157433,12.88011474609375,-0.33000001311302185
2026-01-30,4,strategy,-1,37,C,6960.0,247,0.4837171137332916,0.038141027092933655,0.11428571492433548,15.600000381469727,-0.0014050002209842205,0.0010268850019201636,0.6851927042007446,0.6183574795722961,41,17.299999237060547,4,target_first15,0.10897428295002759,0.008,0.10097428295002758,157.51988525390624,-0.33000001311302185
