day,origin,v1_pnl,v1_n_trades,v1_direction,v1_bar,fold_idx,v0_pnl,v0_n_trades,v0_direction,v0_bar,pnl_delta,label,v0_chose,v1_chose,opening_gap_pct,session_open_dist,vwap_dist,first15_range_pct,first15_close_position,vix_roc,atm_iv,iv_percentile,realized_vol,vix_regime,sigma_pos,omar_range_pct,omar_mid_pos_units
2024-12-19,in_sample,-1139.5475946690824,1,put,36,0,-1139.5475946690824,1.0,put,36.0,0.0,0,True,True,0.007409843150526285,0.0010846188524737954,-0.0008548166370019317,0.0038536067586392164,0.28145551681518555,0.027241207659244537,0.14172494411468506,0.7142857313156128,0.0008075864752754569,0.33000001311302185,-1.487468957901001,0.00128904078155756,0.3414154648780823
2024-12-20,in_sample,-1058.882828421548,1,put,85,0,1300.5666290332874,1.0,call,85.0,2359.4494574548353,1,True,True,-0.00410325825214386,0.0019117780029773712,0.0013268671464174986,0.005625992082059383,0.6343759298324585,-0.01529720239341259,0.14818060398101807,0.0714285746216774,0.0008602283778600395,0.33000001311302185,0.810161828994751,0.0016572159947827458,1.6536082029342651
2024-12-23,in_sample,-1047.6509833489106,1,put,41,0,-1047.6509833489106,1.0,put,41.0,0.0,0,True,True,0.0012557308655232191,-0.001362064853310585,-0.0015131349209696054,0.002188069513067603,0.018489984795451164,0.014570966362953186,0.11129200458526611,0.9285714030265808,0.0004938182537443936,-0.33000001311302185,-2.674736738204956,0.002078497316688299,-0.5332522392272949
2024-12-24,in_sample,-1123.6434789597988,1,put,44,0,-1123.6434789597988,1.0,put,44.0,0.0,0,True,True,0.002076276345178485,0.001693139667622745,0.0015520601300522685,0.002488831989467144,0.8941018581390381,-0.007147111464291811,0.06015072017908096,0.0714285746216774,0.0003318504604976624,-0.33000001311302185,2.339891195297241,0.00036364971310831606,5.15596342086792
2024-12-26,in_sample,-437.4000283390284,1,put,104,0,-437.4000283390284,1.0,put,104.0,0.0,0,True,True,-0.00230175512842834,3.3195076412084745e-06,3.0142118703224696e-05,0.0013394212583079934,0.47831475734710693,0.003919007256627083,0.07763425260782242,0.4285714328289032,0.0002610187220852822,-0.33000001311302185,-0.25517669320106506,0.0006788392784073949,0.4437652826309204
2024-12-27,in_sample,-358.4572304263711,1,put,38,0,-358.4572304263711,1.0,put,38.0,0.0,0,True,True,-0.0051216729916632175,-0.0028401310555636883,-0.001270800712518394,0.0028818731661885977,0.014484357088804245,0.031017370522022247,0.09496638923883438,0.7857142686843872,0.0003701710083987564,-0.33000001311302185,-1.8641033172607422,0.0011587601620703936,-1.951008677482605
2024-12-30,in_sample,-1069.7709164000644,1,put,44,0,2776.3098355431357,1.0,call,44.0,3846.0807519432,1,True,True,-0.008636610582470894,-0.006018436048179865,-0.0013401367468759418,0.006750775035470724,0.1084822565317154,0.008574490435421467,0.12914049625396729,0.0714285746216774,0.0006470305961556733,-0.33000001311302185,-1.3381315469741821,0.0036735907196998596,-1.1382979154586792
2024-12-31,in_sample,1862.5567787982336,1,put,49,0,1862.5567787982336,1.0,put,49.0,0.0,0,True,True,0.0020838165655732155,-0.0006947696092538536,-0.0009702365496195853,0.003269305219873786,0.2890382707118988,0.017772512510418892,0.14318647980690002,0.7142857313156128,0.0004665706364903599,-0.33000001311302185,-1.3729000091552734,0.0009770726319402456,-1.0726643800735474
2025-01-02,in_sample,6094.980250449437,1,put,36,0,0.0,,,,-6094.980250449437,0,False,True,0.0032715783454477787,-0.0013383383629843593,-0.0020409002900123596,0.005743490066379309,0.2569403350353241,0.03016505390405655,0.13434375822544098,0.3571428656578064,0.0007108509307727218,-0.33000001311302185,-1.1118413209915161,0.002110130386427045,-1.1342443227767944
2025-01-03,in_sample,-1026.149997250239,1,put,51,0,-1026.149997250239,1.0,put,51.0,0.0,0,True,True,0.003787801368162036,0.004256074316799641,0.001955522457137704,0.0045569404028356075,0.9339762330055237,-0.011020882055163383,0.11615181714296341,0.2142857164144516,0.0004906881367787719,-0.33000001311302185,1.8911117315292358,0.0016344812465831637,2.1039297580718994
