fold_idx,day,entry_bar,exit_bar,direction,exit_pnl,trigger,bars_held
0,2024-12-19,36,126,put,-880.4250092866018,time_of_day_90,90
0,2024-12-20,85,175,put,-1103.9999753247878,time_of_day_90,90
0,2024-12-23,41,131,put,-1016.2500376948811,time_of_day_90,90
0,2024-12-24,44,134,put,-1072.4250054113568,time_of_day_90,90
0,2024-12-26,104,194,put,-433.55003759651896,time_of_day_90,90
0,2024-12-27,38,128,put,-175.24998201065273,time_of_day_90,90
0,2024-12-30,44,134,put,-995.4999931509427,time_of_day_90,90
0,2024-12-31,49,139,put,595.72499770966,time_of_day_90,90
0,2025-01-02,36,126,put,890.1000014993849,time_of_day_90,90
0,2025-01-03,51,141,put,-999.7499991103194,time_of_day_90,90
0,2025-01-06,39,129,put,-814.8000096465871,time_of_day_90,90
0,2025-01-07,35,125,put,819.2498859087257,time_of_day_90,90
0,2025-01-08,80,170,put,-179.12492349697706,time_of_day_90,90
0,2025-01-10,33,123,put,-209.47497258181863,time_of_day_90,90
0,2025-01-13,30,120,put,-331.92501881911824,time_of_day_90,90
0,2025-01-14,30,120,put,-45.25005768480581,time_of_day_90,90
0,2025-01-15,48,138,put,1578.800076429546,time_of_day_90,90
0,2025-01-16,40,130,put,-453.99995957687497,time_of_day_90,90
0,2025-01-17,70,160,put,-550.0499633673628,time_of_day_90,90
0,2025-01-21,111,201,put,-796.2249535066793,time_of_day_90,90
0,2025-01-22,45,135,put,-443.7249909395325,time_of_day_90,90
0,2025-01-23,103,193,put,-283.2999800041318,time_of_day_90,90
0,2025-01-24,112,202,put,184.2999435223639,time_of_day_90,90
0,2025-01-27,54,144,put,591.375118218461,time_of_day_90,90
0,2025-01-28,51,141,put,-370.99996789477973,time_of_day_90,90
0,2025-01-29,71,161,put,154.59996188580988,time_of_day_90,90
0,2025-01-30,120,210,put,-491.0000017769863,time_of_day_90,90
0,2025-01-31,40,130,put,-318.82496176794785,time_of_day_90,90
0,2025-02-03,57,147,put,-635.0499780501191,time_of_day_90,90
0,2025-02-04,49,139,put,-373.4999821194876,time_of_day_90,90
0,2025-02-05,34,124,put,-964.7499539479526,time_of_day_90,90
0,2025-02-06,45,135,put,449.32494121560075,time_of_day_90,90
0,2025-02-07,87,177,put,51.650045168288706,time_of_day_90,90
0,2025-02-10,77,167,put,1223.7999437570572,time_of_day_90,90
0,2025-02-11,74,164,put,545.1699731505987,time_of_day_90,90
0,2025-02-12,30,120,put,-379.7749907331115,time_of_day_90,90
0,2025-02-13,73,163,put,689.7899100380391,time_of_day_90,90
0,2025-02-14,87,177,put,568.7499541873949,time_of_day_90,90
0,2025-02-18,89,179,put,137.28495820067826,time_of_day_90,90
0,2025-02-19,61,151,put,-722.7499857000423,time_of_day_90,90
0,2025-02-20,34,124,put,-222.82492316362445,time_of_day_90,90
0,2025-02-21,48,138,put,537.9899260912017,time_of_day_90,90
0,2025-02-24,36,126,put,-1031.524979561458,time_of_day_90,90
0,2025-02-25,33,123,put,1319.475081841571,time_of_day_90,90
0,2025-02-26,43,133,put,-342.62505585831104,time_of_day_90,90
0,2025-02-27,33,123,put,-1016.7500079786207,time_of_day_90,90
0,2025-02-28,55,145,put,-196.5000017396099,time_of_day_90,90
0,2025-03-03,33,123,put,-483.49996969741613,time_of_day_90,90
0,2025-03-04,30,120,put,-232.00002561959235,time_of_day_90,90
0,2025-03-05,120,210,put,-1096.0999952356021,time_of_day_90,90
0,2025-03-06,38,128,put,-239.0000378384885,time_of_day_90,90
0,2025-03-07,71,161,put,455.3000746290767,time_of_day_90,90
0,2025-03-10,85,175,put,-474.4249933142788,time_of_day_90,90
0,2025-03-11,35,125,put,-530.0499610159442,time_of_day_90,90
0,2025-03-12,71,161,put,-881.3750301322636,time_of_day_90,90
0,2025-03-13,30,120,put,-195.2500584889242,time_of_day_90,90
0,2025-03-14,53,143,put,-988.6249996013939,time_of_day_90,90
0,2025-03-18,31,121,put,-93.15005796643716,time_of_day_90,90
0,2025-03-19,35,125,put,-167.24996224666634,time_of_day_90,90
1,2025-03-20,32,125,put,-419.49997038555307,model,93
1,2025-03-21,90,124,put,524.974961879065,model,34
1,2025-03-24,79,84,put,-44.65003836378456,model,5
1,2025-03-26,118,196,put,1174.6999256826937,model,78
1,2025-03-27,50,215,put,-66.05001938651169,model,165
1,2025-03-28,43,67,put,1361.7748841925186,model,24
1,2025-03-31,64,111,put,-481.249960765504,model,47
1,2025-04-01,67,131,put,-981.1249907364447,model,64
1,2025-04-02,36,105,put,-519.8749603512452,model,69
1,2025-04-03,106,111,put,167.75002091120558,model,5
1,2025-04-08,35,97,put,590.824953574351,model,62
1,2025-04-10,32,113,put,150.62495755331628,model,81
1,2025-04-14,79,87,put,143.34998144770717,model,8
1,2025-04-16,115,193,put,1013.874980566234,model,78
1,2025-04-17,52,72,put,255.2500002091781,model,20
1,2025-04-21,32,92,put,259.0800281652063,model,60
1,2025-04-22,40,143,put,-673.1249803180225,model,103
1,2025-04-23,91,93,put,-144.74999828960586,model,2
1,2025-04-24,74,140,put,-404.7499904782523,model,66
1,2025-04-29,35,220,put,-350.00001347085447,model,185
1,2025-05-01,33,210,put,-624.2500092844336,model,177
1,2025-05-02,71,103,put,-410.50000174343586,model,32
1,2025-05-06,34,160,put,-923.9999558980226,model,126
1,2025-05-07,89,192,put,-233.55000162220227,model,103
1,2025-05-08,119,265,put,-974.6250234958952,model,146
1,2025-05-13,44,266,put,-931.374957993736,model,222
1,2025-05-15,31,185,put,-906.4749766071913,model,154
1,2025-05-16,30,200,put,-928.8249603403111,model,170
1,2025-05-19,37,125,put,-391.49999608731997,model,88
1,2025-05-21,99,189,put,-387.25003733485937,model,90
1,2025-05-23,35,113,put,-389.50000095553696,model,78
1,2025-05-27,39,103,put,-641.9249537080725,model,64
1,2025-05-29,32,110,put,223.0000196466079,model,78
1,2025-05-30,31,155,put,-294.19996201992035,model,124
1,2025-06-02,93,200,put,-556.0499863342933,model,107
1,2025-06-03,37,145,put,-952.250000505071,model,108
1,2025-06-05,72,265,put,-676.8000396812811,model,193
1,2025-06-06,96,130,put,1099.9250751890243,model,34
1,2025-06-09,69,180,put,-161.17501880899073,model,111
1,2025-06-10,51,224,put,-917.7000051882263,model,173
1,2025-06-12,92,215,put,156.3499786550567,model,123
1,2025-06-13,113,200,put,-388.60001103116986,model,87
2,2025-06-16,41,165,put,-249.22498952771213,model,124
2,2025-06-17,35,131,put,-351.9999411520274,model,96
2,2025-06-18,31,250,put,-107.25001913214388,model,219
2,2025-06-20,49,120,put,928.2749644567276,model,71
2,2025-06-23,110,223,put,1131.6000388614834,model,113
2,2025-06-24,46,100,put,-523.4000482885202,model,54
2,2025-06-25,39,160,put,425.2950116648671,model,121
2,2025-06-26,38,181,put,-854.3749659910159,model,143
2,2025-06-27,66,176,put,-735.1749568793044,model,110
2,2025-06-30,33,235,put,-338.3500158497642,model,202
2,2025-07-01,39,105,put,767.9999956247098,model,66
2,2025-07-02,32,185,put,-738.1250324160868,model,153
2,2025-07-03,32,47,put,-57.72494178189034,model,15
2,2025-07-07,36,115,put,710.5000006742775,model,79
2,2025-07-08,71,85,put,924.2499618441014,model,14
2,2025-07-09,34,110,put,1818.1998867916698,model,76
2,2025-07-10,33,212,put,-949.7249829053344,model,179
2,2025-07-11,37,170,put,-332.75002991372526,model,133
2,2025-07-14,39,192,put,-892.6750564014545,model,153
2,2025-07-15,39,110,put,692.999904856452,model,71
2,2025-07-16,34,265,put,-842.524963858748,model,231
2,2025-07-17,37,133,put,-728.1249997256879,model,96
2,2025-07-18,38,47,put,428.9999609209916,model,9
2,2025-07-21,37,110,put,-368.2500051226881,model,73
2,2025-07-22,97,120,put,118.75003818593102,model,23
2,2025-07-23,36,140,put,-553.7499712715445,model,104
2,2025-07-24,34,185,put,79.25003806106383,model,151
2,2025-07-25,36,43,put,-100.37503996362977,model,7
2,2025-07-28,33,41,put,-88.04999303827847,model,8
2,2025-07-29,31,136,put,1909.1249622084201,model,105
2,2025-07-30,34,130,put,-75.47500000707805,model,96
2,2025-07-31,37,38,put,-8.09998166958492,model,1
2,2025-08-01,50,52,put,300.27496179961815,model,2
2,2025-08-04,36,200,put,-876.1249955305831,model,164
2,2025-08-05,33,165,put,1207.5749936582108,model,132
2,2025-08-06,50,200,put,-1062.7499995045364,model,150
2,2025-08-07,33,140,put,3075.1799893977027,model,107
2,2025-08-08,34,135,put,627.6000377595425,model,101
2,2025-08-11,30,100,put,327.8750756624676,model,70
2,2025-08-12,64,145,put,-974.9999726746975,model,81
2,2025-08-13,38,105,put,1510.5500378591812,model,67
2,2025-08-14,36,135,put,292.25001954562333,model,99
2,2025-08-15,36,120,put,65.24994254298926,model,84
2,2025-08-18,38,210,put,-133.64997898611367,model,172
2,2025-08-19,31,221,put,3416.214985122755,model,190
2,2025-08-20,33,163,put,-468.1000179760158,model,130
2,2025-08-21,46,105,put,716.6250712112085,model,59
2,2025-08-22,39,90,put,-824.7000043746023,model,51
2,2025-08-25,38,92,put,-110.72492032732094,model,54
2,2025-08-26,31,32,put,-47.17499459500678,model,1
2,2025-08-27,34,36,put,-147.42498097230572,model,2
2,2025-08-28,39,103,put,-589.1749717151614,model,64
2,2025-08-29,31,151,put,459.14997934207537,model,120
2,2025-09-02,39,57,put,137.17501862064123,model,18
