fold_idx,day,bar_index,direction,csv_pnl,asym_pnl,corrected_pnl,oracle_pnl,ts_exit_bar,oracle_exit_bar,bars_held_oracle,entry_mid,entry_spread_frac,gap_oracle_minus_corrected
0,2024-12-19,36,put,-1139.5475946690824,-1139.5475946690824,-1140.5500145082242,130.64994794318085,269,66,30,11.880000114440918,0.07100168615579605,1271.199962451405
0,2024-12-20,85,call,1300.5666290332874,1300.5666290332874,1304.4749621021788,4609.24984978986,269,178,93,12.0,0.046666666865348816,3304.774887687681
0,2024-12-23,41,put,-1047.6509833489106,-1047.6509833489106,-1048.500039965336,-201.20002791043865,186,43,2,10.600000381469727,0.06603773683309555,847.3000120548975
0,2024-12-24,44,put,-1123.6434789597988,-1123.6434789597988,-1125.3250005878508,104.05003739182506,188,50,6,11.5,0.03773913159966469,1229.3750379796759
0,2024-12-26,104,put,-437.4000283390284,-437.4000283390284,-459.30002702285276,305.1000190354884,269,118,14,10.300000190734863,0.019999999552965164,764.4000460583411
0,2024-12-27,38,put,-358.4572304263711,-358.4572304263711,-343.4999633542296,2235.6999428841423,269,171,133,11.699999809265137,0.06581196933984756,2579.199906238372
0,2024-12-30,44,call,2776.3098355431357,2776.3098355431357,2830.9898346292225,3354.6999253846707,269,224,180,12.0,0.046666666865348816,523.7100907554482
0,2024-12-31,49,put,1862.5567787982336,1862.5567787982336,1872.8249602324945,2377.725186939506,269,237,188,11.109999656677246,0.02677767723798752,504.90022670701137
0,2025-01-03,51,put,-1026.149997250239,-1026.149997250239,-1026.7499973724287,-262.7499642015197,211,52,1,10.5,0.06333333253860474,764.000033170909
0,2025-01-06,39,put,1870.302910045468,1870.302910045468,1854.8999440225464,1854.8999440225464,269,269,230,11.800000190734863,0.029661016538739204,0.0
0,2025-01-07,35,put,1027.2171402590543,1027.2171402590543,1087.8598996403864,2457.899853586945,269,201,166,11.600000381469727,0.07241379469633102,1370.0399539465586
0,2025-01-08,80,call,-474.6757324146661,-474.6757324146661,-479.5000572912335,806.5000371925465,269,132,52,11.100000381469727,0.037837836891412735,1286.00009448378
0,2025-01-10,33,put,-1075.5590165550943,-1075.5590165550943,-1076.2249907995697,373.92497236923015,265,43,10,10.829999923706055,0.07336103171110153,1450.1499631687998
0,2025-01-13,30,call,445.3111263779302,445.3111263779302,478.77501793754095,519.2749790184614,269,259,229,10.800000190734863,0.06222222372889519,40.49996108092046
0,2025-01-14,30,put,-959.5453261361648,-959.5453261361649,-960.5000431281698,1399.6249600080948,269,150,120,10.600000381469727,0.02641509473323822,2360.1250031362647
0,2025-01-15,48,put,-599.2000184759497,-599.2000184759497,-607.0000188812132,1864.4750742795375,269,143,95,12.0,0.019999999552965164,2471.4750931607505
0,2025-01-16,40,put,-350.18747707456356,-350.18747707456356,-332.77497833513405,77.25000263334196,269,44,4,10.399999618530273,0.08749999850988388,410.02498096847603
0,2025-01-17,70,put,-823.6890881174266,-823.6890881174266,-829.6749849277087,131.57501938558926,269,75,5,11.699999809265137,0.04217948764562607,961.250004313298
0,2025-01-21,111,put,-1031.5350489839748,-1031.5350489839748,-1032.499961220643,274.00003826154165,269,134,23,11.399999618530273,0.024561403319239616,1306.4999994821846
0,2025-01-22,45,put,-503.201572415612,-503.20157241561196,-507.22498178109527,234.52498121679264,269,102,57,11.0,0.03722727298736572,741.7499629978879
0,2025-01-23,103,put,-832.7499896585941,-832.7499896585941,-817.8999895662068,9.74002383857966,269,107,4,12.0,0.08749999850988388,827.6400134047865
0,2025-01-24,112,put,1728.6999816365542,1728.6999816365542,1725.324979826063,1936.6000194489955,269,268,156,11.300000190734863,0.019999999552965164,211.27503962293235
0,2025-01-27,54,put,48.059992051815726,48.059992051815726,73.47500537301117,753.1249679938555,269,131,77,11.1899995803833,0.060991957783699036,679.6499626208443
0,2025-01-28,51,put,-1126.0500024204453,-1126.0500024204453,-1127.5000023961895,-159.62499848008156,269,131,80,12.0,0.023333333432674408,967.875003916108
0,2025-01-29,71,put,1077.164330906408,1077.164330906408,1096.0899847576768,2211.250075507647,269,215,144,11.5,0.03652174025774002,1115.1600907499703
0,2025-01-30,120,put,-997.4363612375814,-997.4363612375814,-998.024997664919,313.5000378871719,269,177,57,11.0,0.05090909078717232,1311.525035552091
0,2025-01-31,40,put,2154.2750190891325,2154.2750190891325,2178.650020057708,2587.32496064203,269,247,207,10.199999809265137,0.03500000014901161,408.67494058432203
0,2025-02-04,49,put,-661.9364558970082,-661.9364558970082,-657.4250157909346,454.700004701635,269,181,132,11.800000190734863,0.05932203307747841,1112.1250204925695
0,2025-02-05,34,put,-1047.4777393412032,-1047.4777393412032,-1048.7499564323762,-156.37491952468355,243,36,2,10.6899995803833,0.049111317843198776,892.3750369076927
0,2025-02-06,45,put,-56.633766656607975,-56.633766656607975,-44.42503937506734,1096.2498938943588,269,77,32,10.600000381469727,0.04325471818447113,1140.6749332694262
