Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Curriculum: enabled with 4 stages
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 01700 ( 17.1%) | loss: 1.422047 | trade:0.33 call:0.68 put:0.32 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | stage:1 | left: 199s
step 01750 ( 17.6%) | loss: 1.362965 | trade:0.36 call:0.70 put:0.30 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | stage:1 | left: 198s
step 01800 ( 18.1%) | loss: 1.391175 | trade:0.31 call:0.64 put:0.36 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 | left: 197s
step 01850 ( 18.6%) | loss: 1.374718 | trade:0.36 call:0.66 put:0.34 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | stage:1 | left: 195s
step 01900 ( 19.1%) | loss: 1.347252 | trade:0.36 call:0.65 put:0.35 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | stage:1 | left: 194s
step 01950 ( 19.6%) | loss: 1.353276 | trade:0.33 call:0.62 put:0.38 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | stage:1 | left: 193s
step 02000 ( 20.1%) | loss: 1.308974 | trade:0.32 call:0.69 put:0.31 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 | left: 192s
step 02050 ( 20.6%) | loss: 1.349564 | trade:0.36 call:0.68 put:0.32 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | stage:1 | left: 191s
step 02100 ( 21.1%) | loss: 1.300677 | trade:0.35 call:0.65 put:0.35 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 | left: 189s
step 02150 ( 21.6%) | loss: 1.319410 | trade:0.34 call:0.67 put:0.33 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 | left: 188s
step 02200 ( 22.1%) | loss: 1.311608 | trade:0.39 call:0.62 put:0.38 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | stage:1 | left: 187s
step 02250 ( 22.6%) | loss: 1.276989 | trade:0.35 call:0.67 put:0.33 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:1 | left: 186s
step 02300 ( 23.1%) | loss: 1.270458 | trade:0.33 call:0.63 put:0.37 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | stage:1 | left: 184s
step 02350 ( 23.6%) | loss: 1.260887 | trade:0.34 call:0.70 put:0.30 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:1 | left: 183s
step 02400 ( 24.1%) | loss: 1.246413 | trade:0.31 call:0.73 put:0.27 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | stage:1 | left: 182s
step 02450 ( 24.7%) | loss: 1.274510 | trade:0.39 call:0.67 put:0.33 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | stage:1 | left: 181s
step 02500 ( 25.2%) | loss: 1.264195 | trade:0.38 call:0.58 put:0.42 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | stage:1 | left: 180s
step 02550 ( 25.7%) | loss: 1.239407 | trade:0.33 call:0.60 put:0.40 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 | left: 178s
step 02600 ( 26.1%) | loss: 1.242151 | trade:0.33 call:0.56 put:0.44 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | stage:1 | left: 177s
step 02650 ( 26.7%) | loss: 1.235089 | trade:0.36 call:0.62 put:0.38 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:1 | left: 176s
step 02700 ( 27.2%) | loss: 1.238148 | trade:0.31 call:0.65 put:0.35 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | stage:1 | left: 175s
step 02750 ( 27.7%) | loss: 1.242870 | trade:0.37 call:0.54 put:0.46 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:1 | left: 174s
step 02800 ( 28.2%) | loss: 1.240432 | trade:0.34 call:0.63 put:0.37 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:1 | left: 172s
step 02850 ( 28.7%) | loss: 1.193742 | trade:0.27 call:0.66 put:0.34 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | stage:1 | left: 171s
step 02900 ( 29.2%) | loss: 1.196519 | trade:0.37 call:0.63 put:0.37 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | stage:1 | left: 170s
step 02950 ( 29.7%) | loss: 1.214841 | trade:0.35 call:0.61 put:0.39 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | stage:1 | left: 169s
step 03000 ( 30.2%) | loss: 1.211651 | trade:0.39 call:0.57 put:0.43 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:1 | left: 167s
step 03050 ( 30.7%) | loss: 1.195169 | trade:0.35 call:0.63 put:0.37 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:1 | left: 166s
step 03100 ( 31.2%) | loss: 1.199877 | trade:0.36 call:0.66 put:0.34 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:1 | left: 165s
step 03150 ( 31.7%) | loss: 1.177524 | trade:0.36 call:0.63 put:0.37 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | stage:1 | left: 164s
step 03200 ( 32.2%) | loss: 1.195246 | trade:0.33 call:0.61 put:0.39 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | stage:1 | left: 163s
step 03250 ( 32.7%) | loss: 1.209596 | trade:0.27 call:0.62 put:0.38 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:1 | left: 161s
step 03300 ( 33.2%) | loss: 1.186866 | trade:0.36 call:0.68 put:0.32 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:1 | left: 160s
step 03350 ( 33.8%) | loss: 1.188835 | trade:0.30 call:0.62 put:0.38 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:1 | left: 159s
step 03400 ( 34.3%) | loss: 1.163552 | trade:0.33 call:0.63 put:0.37 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:1 | left: 158s
step 03450 ( 34.8%) | loss: 1.155620 | trade:0.33 call:0.65 put:0.35 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:1 | left: 157s
step 03500 ( 35.3%) | loss: 1.165519 | trade:0.32 call:0.64 put:0.36 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:1 | left: 155s
step 03550 ( 35.8%) | loss: 1.184190 | trade:0.35 call:0.64 put:0.36 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:1 | left: 154s
step 03600 ( 36.3%) | loss: 1.177113 | trade:0.31 call:0.64 put:0.36 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:1 | left: 153s
step 03650 ( 36.8%) | loss: 1.168560 | trade:0.31 call:0.66 put:0.34 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:1 | left: 152s
step 03700 ( 37.3%) | loss: 1.169274 | trade:0.35 call:0.64 put:0.36 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:1 | left: 150s
step 03750 ( 37.8%) | loss: 1.191017 | trade:0.27 call:0.65 put:0.35 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | stage:1 | left: 149s
step 03800 ( 38.3%) | loss: 1.162826 | trade:0.34 call:0.58 put:0.42 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:1 | left: 148s
step 03850 ( 38.8%) | loss: 1.148785 | trade:0.34 call:0.61 put:0.39 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:1 | left: 147s
step 03900 ( 39.3%) | loss: 1.141902 | trade:0.39 call:0.60 put:0.40 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:1 | left: 146s
step 03950 ( 39.8%) | loss: 1.127153 | trade:0.26 call:0.67 put:0.33 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:1 | left: 144s
step 04000 ( 40.3%) | loss: 1.141227 | trade:0.34 call:0.62 put:0.38 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | stage:1 | left: 143s
step 04050 ( 40.9%) | loss: 1.151724 | trade:0.36 call:0.62 put:0.38 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | stage:1 | left: 142s
step 04100 ( 41.4%) | loss: 1.143791 | trade:0.29 call:0.66 put:0.34 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:1 | left: 141s
step 04150 ( 41.9%) | loss: 1.118266 | trade:0.31 call:0.57 put:0.43 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | stage:1 | left: 139s
step 04200 ( 42.4%) | loss: 1.122042 | trade:0.31 call:0.62 put:0.38 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:1 | left: 138s
step 04250 ( 42.9%) | loss: 1.123878 | trade:0.31 call:0.59 put:0.41 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:1 | left: 137s
step 04300 ( 43.4%) | loss: 1.144210 | trade:0.39 call:0.60 put:0.40 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:1 | left: 136s
step 04350 ( 43.9%) | loss: 1.117598 | trade:0.29 call:0.65 put:0.35 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:1 | left: 135s
step 04400 ( 44.4%) | loss: 1.138625 | trade:0.32 call:0.63 put:0.37 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:1 | left: 133s
step 04450 ( 44.9%) | loss: 1.122056 | trade:0.36 call:0.61 put:0.39 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:1 | left: 132s
step 04500 ( 45.4%) | loss: 1.114362 | trade:0.34 call:0.63 put:0.37 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:1 | left: 131s
step 04550 ( 45.9%) | loss: 1.109794 | trade:0.33 call:0.59 put:0.41 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:1 | left: 130s
step 04600 ( 46.4%) | loss: 1.118643 | trade:0.34 call:0.64 put:0.36 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:1 | left: 129s
step 04650 ( 46.9%) | loss: 1.113357 | trade:0.34 call:0.60 put:0.40 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:1 | left: 127s
step 04700 ( 47.4%) | loss: 1.118491 | trade:0.38 call:0.62 put:0.38 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:1 | left: 126s
step 04750 ( 47.9%) | loss: 1.149435 | trade:0.30 call:0.60 put:0.40 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:2 | left: 125s
step 04800 ( 48.4%) | loss: 1.102517 | trade:0.38 call:0.61 put:0.39 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | stage:2 | left: 124s
step 04850 ( 48.9%) | loss: 1.111405 | trade:0.38 call:0.61 put:0.39 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:2 | left: 123s
step 04900 ( 49.4%) | loss: 1.097364 | trade:0.30 call:0.64 put:0.36 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | stage:2 | left: 121s
step 04950 ( 49.9%) | loss: 1.141300 | trade:0.34 call:0.62 put:0.38 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:2 | left: 120s
step 05000 ( 50.4%) | loss: 1.118541 | trade:0.35 call:0.61 put:0.39 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:2 | left: 119s
step 05050 ( 50.9%) | loss: 1.103463 | trade:0.33 call:0.62 put:0.38 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:2 | left: 118s
step 05100 ( 51.3%) | loss: 1.116579 | trade:0.31 call:0.64 put:0.36 | ATM:0.68 OTM:0.32 | lr: 1.50e-04 | stage:2 | left: 117s
step 05150 ( 51.6%) | loss: 1.092275 | trade:0.37 call:0.58 put:0.42 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | stage:2 | left: 116s
step 05200 ( 51.9%) | loss: 1.097624 | trade:0.32 call:0.65 put:0.35 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:2 | left: 115s
step 05250 ( 52.2%) | loss: 1.105237 | trade:0.31 call:0.66 put:0.34 | ATM:0.69 OTM:0.31 | lr: 1.50e-04 | stage:2 | left: 115s
step 05300 ( 52.5%) | loss: 1.100165 | trade:0.31 call:0.66 put:0.34 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:2 | left: 114s
step 05350 ( 52.9%) | loss: 1.126582 | trade:0.28 call:0.66 put:0.34 | ATM:0.68 OTM:0.32 | lr: 1.50e-04 | stage:2 | left: 113s
step 05400 ( 53.5%) | loss: 1.103703 | trade:0.40 call:0.58 put:0.42 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | stage:2 | left: 112s
step 05450 ( 54.0%) | loss: 1.074397 | trade:0.37 call:0.57 put:0.43 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:2 | left: 110s
step 05500 ( 54.5%) | loss: 1.090604 | trade:0.34 call:0.56 put:0.44 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:2 | left: 109s
step 05550 ( 55.0%) | loss: 1.104872 | trade:0.33 call:0.61 put:0.39 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | stage:2 | left: 108s
step 05600 ( 55.5%) | loss: 1.083201 | trade:0.34 call:0.65 put:0.35 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | stage:2 | left: 107s
step 05650 ( 56.0%) | loss: 1.092267 | trade:0.31 call:0.65 put:0.35 | ATM:0.70 OTM:0.30 | lr: 1.50e-04 | stage:2 | left: 106s
step 05700 ( 56.5%) | loss: 1.095010 | trade:0.40 call:0.64 put:0.36 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:2 | left: 104s
step 05750 ( 57.0%) | loss: 1.074481 | trade:0.34 call:0.62 put:0.38 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:2 | left: 103s
step 05800 ( 57.5%) | loss: 1.085279 | trade:0.33 call:0.65 put:0.35 | ATM:0.68 OTM:0.32 | lr: 1.50e-04 | stage:2 | left: 102s
step 05850 ( 58.0%) | loss: 1.073841 | trade:0.33 call:0.61 put:0.39 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:2 | left: 101s
step 05900 ( 58.5%) | loss: 1.096533 | trade:0.36 call:0.63 put:0.37 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | stage:2 | left: 100s
step 05950 ( 59.0%) | loss: 1.060405 | trade:0.34 call:0.55 put:0.45 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:2 | left: 98s
step 06000 ( 59.5%) | loss: 1.081727 | trade:0.35 call:0.63 put:0.37 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:2 | left: 97s
step 06050 ( 60.1%) | loss: 1.105776 | trade:0.35 call:0.63 put:0.37 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | stage:2 | left: 96s
step 06100 ( 60.6%) | loss: 1.094433 | trade:0.30 call:0.57 put:0.43 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:2 | left: 95s
step 06150 ( 61.1%) | loss: 1.076280 | trade:0.27 call:0.62 put:0.38 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:2 | left: 93s
step 06200 ( 61.6%) | loss: 1.070075 | trade:0.33 call:0.56 put:0.44 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | stage:2 | left: 92s
step 06250 ( 62.1%) | loss: 1.059292 | trade:0.36 call:0.67 put:0.33 | ATM:0.68 OTM:0.32 | lr: 1.50e-04 | stage:2 | left: 91s
step 06300 ( 62.6%) | loss: 1.075619 | trade:0.35 call:0.61 put:0.39 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:2 | left: 90s
step 06350 ( 63.1%) | loss: 1.078776 | trade:0.31 call:0.67 put:0.33 | ATM:0.68 OTM:0.32 | lr: 1.50e-04 | stage:2 | left: 89s
step 06400 ( 63.6%) | loss: 1.094035 | trade:0.35 call:0.62 put:0.38 | ATM:0.70 OTM:0.30 | lr: 1.50e-04 | stage:2 | left: 87s
step 06450 ( 64.1%) | loss: 1.072165 | trade:0.33 call:0.55 put:0.45 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:2 | left: 86s
step 06500 ( 64.6%) | loss: 1.079550 | trade:0.30 call:0.55 put:0.45 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:2 | left: 85s
step 06550 ( 65.1%) | loss: 1.079445 | trade:0.36 call:0.63 put:0.37 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:3 | left: 84s
step 06600 ( 65.6%) | loss: 1.071806 | trade:0.36 call:0.62 put:0.38 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:3 | left: 83s
step 06650 ( 66.1%) | loss: 1.054144 | trade:0.37 call:0.63 put:0.37 | ATM:0.70 OTM:0.30 | lr: 1.50e-04 | stage:3 | left: 81s
step 06700 ( 66.6%) | loss: 1.071498 | trade:0.35 call:0.68 put:0.32 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:3 | left: 80s
step 06750 ( 67.1%) | loss: 1.068002 | trade:0.38 call:0.62 put:0.38 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:3 | left: 79s
step 06800 ( 67.6%) | loss: 1.075963 | trade:0.33 call:0.54 put:0.46 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:3 | left: 78s
step 06850 ( 68.1%) | loss: 1.044033 | trade:0.33 call:0.60 put:0.40 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | stage:3 | left: 77s
step 06900 ( 68.6%) | loss: 1.046106 | trade:0.34 call:0.58 put:0.42 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:3 | left: 75s
step 06950 ( 69.1%) | loss: 1.074969 | trade:0.30 call:0.58 put:0.42 | ATM:0.74 OTM:0.26 | lr: 1.50e-04 | stage:3 | left: 74s
step 07000 ( 69.6%) | loss: 1.065055 | trade:0.35 call:0.62 put:0.38 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | stage:3 | left: 73s
step 07050 ( 70.2%) | loss: 1.067359 | trade:0.29 call:0.58 put:0.42 | ATM:0.69 OTM:0.31 | lr: 1.50e-04 | stage:3 | left: 72s
step 07100 ( 70.7%) | loss: 1.060126 | trade:0.30 call:0.65 put:0.35 | ATM:0.69 OTM:0.31 | lr: 1.50e-04 | stage:3 | left: 70s
step 07150 ( 71.2%) | loss: 1.042464 | trade:0.33 call:0.62 put:0.38 | ATM:0.63 OTM:0.37 | lr: 1.49e-04 | stage:3 | left: 69s
step 07200 ( 71.7%) | loss: 1.038599 | trade:0.32 call:0.60 put:0.40 | ATM:0.62 OTM:0.38 | lr: 1.49e-04 | stage:3 | left: 68s
step 07250 ( 72.2%) | loss: 1.054818 | trade:0.33 call:0.63 put:0.37 | ATM:0.64 OTM:0.36 | lr: 1.48e-04 | stage:3 | left: 67s
step 07300 ( 72.7%) | loss: 1.050181 | trade:0.37 call:0.63 put:0.37 | ATM:0.63 OTM:0.37 | lr: 1.47e-04 | stage:3 | left: 66s
step 07350 ( 73.2%) | loss: 1.042145 | trade:0.30 call:0.58 put:0.42 | ATM:0.66 OTM:0.34 | lr: 1.46e-04 | stage:3 | left: 64s
step 07400 ( 73.7%) | loss: 1.049241 | trade:0.32 call:0.62 put:0.38 | ATM:0.66 OTM:0.34 | lr: 1.44e-04 | stage:3 | left: 63s
step 07450 ( 74.2%) | loss: 1.045271 | trade:0.33 call:0.66 put:0.34 | ATM:0.71 OTM:0.29 | lr: 1.43e-04 | stage:3 | left: 62s
step 07500 ( 74.7%) | loss: 1.039886 | trade:0.33 call:0.59 put:0.41 | ATM:0.65 OTM:0.35 | lr: 1.41e-04 | stage:3 | left: 61s
