member,feature,horizon_minutes,sign,n_sessions,measured_raw_ic,excess_wild,excess_wild_se,excess_wild_maxT_p,excess_block,excess_block_p,sign_stable_folds,nulls_agree,status,control_excess,control_maxT_p,fold0_mean_excess,fold1_mean_excess,fold2_mean_excess,fold3_mean_excess,fold4_mean_excess
omar_clipped_neg3_pos3|60m|-,omar_clipped_neg3_pos3,60,-,213,0.5217198901738914,0.07798695109615199,0.015872497233990136,4.999750012499375e-05,0.10683243456174724,9.721366031989349e-11,5,True,EXCESS_SURVIVES,-0.015277741539615704,1.0,0.07021584102735497,0.13954521807807851,0.06876802490789453,0.06601937604046743,0.06321313476709138
omar_clipped_neg3_pos3|15m|-,omar_clipped_neg3_pos3,15,-,213,0.32455748695220465,0.05209812413780706,0.011097380914943004,0.00014999250037498125,0.062189212577770575,4.715221540096793e-09,5,True,EXCESS_SURVIVES,-0.00452722307099497,1.0,0.0341932867741516,0.08398394946033741,0.04040923873092702,0.08588111517407213,0.0339727542921165
omar_clipped_neg3_pos3|30m|-,omar_clipped_neg3_pos3,30,-,213,0.4187646029320599,0.06343936430630727,0.01399872885189344,0.000199990000499975,0.08404061198610517,2.6953151214576402e-09,5,True,EXCESS_SURVIVES,-0.013218717591480548,1.0,0.052854011706883856,0.1295852200374408,0.04013589018348463,0.07908257788562019,0.0348361756392024
momentum_5m_bps|30m|-,momentum_5m_bps,30,-,213,0.08117172591547687,0.024249956286242085,0.008684990099240826,0.06244687765611719,0.0018529246855411045,0.3986460604114576,5,False,NO_EXCESS,-0.001869693540564013,1.0,0.029468697963002097,0.04470627647826976,0.024451858939258633,0.030551129804327705,0.014023844685782971
momentum_5m_bps|15m|-,momentum_5m_bps,15,-,213,0.06040977635624562,0.02281567226336669,0.008576923569537301,0.08934553272336383,-0.00413558946844687,0.773119922124352,5,False,NO_EXCESS,-0.01075756385624315,1.0,0.020547141988406736,0.00217867872410595,0.03110299761882804,0.03249539485201835,0.030697834408206115
momentum_5m_over_session_range|30m|-,momentum_5m_over_session_range,30,-,213,0.07109179003874089,0.023439732907226455,0.008857296509653886,0.09249537523123844,0.0019048211023730921,0.39795100168335157,5,False,NO_EXCESS,-0.00021357004858523694,1.0,0.025327739725971597,0.047923684265384306,0.025417141960755073,0.03195228385768411,0.011089642015767672
momentum_5m_over_session_range|15m|-,momentum_5m_over_session_range,15,-,213,0.052283906769090054,0.02178817305009876,0.008686293510801477,0.12764361781910905,-0.004409048360751872,0.7813702029796343,5,False,NO_EXCESS,-0.009589465585247675,1.0,0.018853595226335753,0.003046359036816735,0.03179598909151515,0.029844601990953297,0.031151080504375143
spx_vwap_gap_bps|15m|-,spx_vwap_gap_bps,15,-,213,0.29089344059829614,0.025814968678425365,0.011274584377657191,0.208039598020099,0.02825992615728759,0.004358628462813484,5,True,NO_EXCESS,-0.0059606339680698325,1.0,0.01641677495592841,0.06862782883139434,0.016720898058452924,0.03842965094681859,0.006455343532719871
spx_vwap_gap_points|15m|-,spx_vwap_gap_points,15,-,213,0.2908259407508549,0.02573801815392518,0.011275835704763343,0.21083945802709864,0.028186654309221286,0.004448460037316656,5,True,NO_EXCESS,-0.005925544233642097,1.0,0.016181189376776747,0.06843434674914119,0.016546995813670556,0.03856247256685103,0.006446236355471727
spx_vwap_gap_bps|60m|-,spx_vwap_gap_bps,60,-,213,0.47872675985218,0.03740985144475855,0.017306009097857195,0.2686865656717164,0.05418257954230671,0.001021432552612297,5,True,NO_EXCESS,-0.016256405903567302,1.0,0.025394384213487622,0.09323517821438156,0.010078274912601224,0.031266448861742624,0.03833074256087199
spx_vwap_gap_points|60m|-,spx_vwap_gap_points,60,-,213,0.4787317562969434,0.03740859440268504,0.01730612702640547,0.2687365631718414,0.05418429428142213,0.001020614916491819,5,True,NO_EXCESS,-0.016260774417576025,1.0,0.025321484058166158,0.09322545829752457,0.01000358804884091,0.03133447911732261,0.03837007084785734
spx_vwap_gap_over_session_range|15m|-,spx_vwap_gap_over_session_range,15,-,213,0.22581939077464222,0.02255029203001062,0.011828760814840897,0.42522873856307186,0.015511882963632904,0.07841439193895929,4,False,NO_EXCESS,-0.004621674760572591,1.0,-0.010932178414912461,0.07659276686240378,0.021249333351347616,0.02682742125598163,0.008378645895649432
momentum_15m_over_session_range|15m|-,momentum_15m_over_session_range,15,-,213,0.0694204081908274,0.022782645543042566,0.012390016618634037,0.47087645617719115,-0.004233050216030453,0.678082252172705,5,False,NO_EXCESS,-0.001015248199619964,1.0,0.02840628994794633,0.020267972022753968,0.039672814297472575,0.04235632590105071,0.02768707489848971
momentum_15m_bps|15m|-,momentum_15m_bps,15,-,213,0.08221485817123529,0.022345523997911558,0.012231807662084954,0.47982600869956504,-0.006207947278030022,0.7552682932073713,5,False,NO_EXCESS,-0.001945296564330265,1.0,0.026642519487183353,0.01696602254302644,0.03475275393656214,0.0480866687239571,0.029714550560741647
spx_vwap_gap_bps|30m|-,spx_vwap_gap_bps,30,-,213,0.37419773755454183,0.026393586594367958,0.014553372824654676,0.49027548622568873,0.03692254502547524,0.005438031734078709,5,True,NO_EXCESS,-0.011597860191888807,1.0,0.015212247140342508,0.09484808822078462,0.0014200993716744063,0.03323812326012998,0.0013204669891975335
