date,bar_of_day,global_bar_idx,spot_price,vix_regime,minutes_to_close,no_trade_score,best_contract_score,score_delta,top_5_scores,top_5_strikes,top_5_rights,n_valid_contracts,decision,skip_reason,selected_strike,selected_right,selected_mid,selected_contract_idx,oracle_contract_idx,oracle_strike,oracle_right,oracle_pnl,label_quality,bar_is_labelable,model_pnl,delta_pnl,exit_reason,bars_held
2025-12-05,60,351960,6893.14013671875,-0.33000001311302185,330,2.286226987838745,2.3301286697387695,0.043901681900024414,2.3301;2.3288;2.3201;2.1778;2.1357,6900;6910;6905;6895;6915,C;C;C;C;C,51,trade,,6900.0,C,6.400000095367432,236,203,6815.0,P,0.45529404282569885,0.003181278705596924,True,-0.36408345119241264,-0.8193774940181116,STOP_LOSS,14
2025-12-05,61,351961,6893.16015625,-0.33000001311302185,329,2.286374807357788,2.2519822120666504,-0.034392595291137695,2.2520;2.1983;2.1278;2.0121;1.9920,6900;6910;6905;6915;6895,C;C;C;C;C,51,no_trade,in_position,0.0,,0.0,-1,197,6800.0,P,0.5672726035118103,0.011490285396575928,True,nan,nan,,0
2025-12-05,62,351962,6895.259765625,-0.33000001311302185,328,2.1171154975891113,2.714672327041626,0.5975568294525146,2.7147;2.6821;2.6426;2.5305;2.5234,6900;6910;6905;6920;6915,C;C;C;C;C,61,no_trade,in_position,0.0,,0.0,-1,231,6885.0,P,0.42096075415611267,0.004223436117172241,True,nan,nan,,0
2025-12-05,63,351963,6894.68017578125,-0.33000001311302185,327,2.1239583492279053,2.4089534282684326,0.28499507904052734,2.4090;2.2212;2.2117;2.2078;2.1584,6900;6905;6915;6910;6895,C;C;C;C;C,52,no_trade,in_position,0.0,,0.0,-1,203,6815.0,P,0.3141176104545593,0.09590865671634674,True,nan,nan,,0
2025-12-05,64,351964,6895.0498046875,-0.33000001311302185,326,2.1428685188293457,2.0382490158081055,-0.10461950302124023,2.0382;2.0319;1.9839;1.9784;1.7924,6900;6910;6915;6905;6920,C;C;C;C;C,46,no_trade,in_position,0.0,,0.0,-1,231,6885.0,P,0.3854929506778717,0.02079913020133972,True,nan,nan,,0
2025-12-05,65,351965,6893.7001953125,-0.33000001311302185,325,2.0608325004577637,2.390183448791504,0.32935094833374023,2.3902;2.3226;2.2288;2.2248;2.1757,6900;6910;6905;6895;6915,C;C;C;C;C,55,no_trade,in_position,0.0,,0.0,-1,205,6820.0,P,0.412631630897522,0.015358895063400269,True,nan,nan,,0
2025-12-05,66,351966,6894.0498046875,-0.33000001311302185,324,1.9188687801361084,1.6685354709625244,-0.250333309173584,1.6685;1.5658;1.5210;1.4720;1.3934,6890;6910;6900;6905;6880,P;C;C;C;P,43,no_trade,in_position,0.0,,0.0,-1,203,6815.0,P,0.43977275490760803,0.028084397315979004,True,nan,nan,,0
2025-12-05,67,351967,6893.33984375,-0.33000001311302185,323,2.0479674339294434,2.1809961795806885,0.13302874565124512,2.1810;2.1381;1.9992;1.9595;1.8559,6900;6910;6895;6905;6920,C;C;C;C;C,49,no_trade,in_position,0.0,,0.0,-1,223,6865.0,P,0.32081082463264465,0.011251986026763916,True,nan,nan,,0
2025-12-05,68,351968,6890.77001953125,-0.33000001311302185,322,1.7850661277770996,2.256359815597534,0.47129368782043457,2.2564;2.1595;2.1368;2.0316;1.9648,6900;6910;6895;6905;6915,C;C;C;C;C,52,no_trade,in_position,0.0,,0.0,-1,219,6855.0,P,0.49698108434677124,0.004955798387527466,True,nan,nan,,0
2025-12-05,69,351969,6891.27001953125,-0.33000001311302185,321,2.1418979167938232,2.1117348670959473,-0.030163049697875977,2.1117;2.0517;1.9863;1.9780;1.8014,6900;6895;6910;6905;6920,C;C;C;C;C,46,no_trade,in_position,0.0,,0.0,-1,231,6885.0,P,0.40204817056655884,0.028728902339935303,True,nan,nan,,0
2025-12-05,70,351970,6889.39990234375,-0.33000001311302185,320,2.011645793914795,2.4694604873657227,0.45781469345092773,2.4695;2.4558;2.3712;2.2758;2.2283,6895;6900;6910;6905;6890,C;C;C;C;C,51,no_trade,in_position,0.0,,0.0,-1,229,6880.0,P,0.42875003814697266,0.014249980449676514,True,nan,nan,,0
2025-12-05,71,351971,6889.1201171875,-0.33000001311302185,319,1.7951548099517822,2.498318910598755,0.7031641006469727,2.4983;2.3973;2.3360;2.3082;2.2629,6900;6895;6910;6905;6890,C;C;C;C;C,52,no_trade,in_position,0.0,,0.0,-1,221,6860.0,P,0.5718181729316711,0.03023916482925415,True,nan,nan,,0
