Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 146,265
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating + chunk consistency buffer for temporal robustness
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5, temporal=0.1
Score tuning: R:R bonus=0.3, hold bonus=0.25, freq center=2.5, drawdown penalty=0.05

step 01000 ( 10.7%) | loss: 1.363176 | consistency: 0.0000 | trade:0.42 call:0.58 put:0.42 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | left: 214s
step 01050 ( 11.3%) | loss: 1.243561 | consistency: 0.0000 | trade:0.41 call:0.58 put:0.42 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 213s
step 01100 ( 11.8%) | loss: 1.164126 | consistency: 0.0000 | trade:0.43 call:0.55 put:0.45 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 212s
step 01150 ( 12.4%) | loss: 1.058291 | consistency: 0.0000 | trade:0.42 call:0.53 put:0.47 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 210s
step 01200 ( 12.9%) | loss: 1.030852 | consistency: 0.0000 | trade:0.44 call:0.62 put:0.38 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 209s
step 01250 ( 13.4%) | loss: 0.971686 | consistency: 0.0000 | trade:0.41 call:0.55 put:0.45 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | left: 208s
step 01300 ( 14.0%) | loss: 0.966400 | consistency: 0.0000 | trade:0.40 call:0.57 put:0.43 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 206s
step 01350 ( 14.5%) | loss: 0.859830 | consistency: 0.0000 | trade:0.40 call:0.50 put:0.50 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 205s
step 01400 ( 15.1%) | loss: 0.873801 | consistency: 0.0000 | trade:0.42 call:0.53 put:0.47 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 204s
step 01450 ( 15.6%) | loss: 0.844277 | consistency: 0.0000 | trade:0.37 call:0.65 put:0.35 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 203s
step 01500 ( 16.2%) | loss: 0.856037 | consistency: 0.0000 | trade:0.46 call:0.52 put:0.48 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 201s
step 01550 ( 16.7%) | loss: 0.835923 | consistency: 0.0000 | trade:0.38 call:0.63 put:0.37 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 200s
step 01600 ( 17.2%) | loss: 0.770058 | consistency: 0.0000 | trade:0.46 call:0.56 put:0.44 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 199s
step 01650 ( 17.8%) | loss: 0.779790 | consistency: 0.0000 | trade:0.42 call:0.60 put:0.40 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 197s
step 01700 ( 18.3%) | loss: 0.752147 | consistency: 0.0000 | trade:0.42 call:0.54 put:0.46 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 196s
step 01750 ( 18.9%) | loss: 0.747684 | consistency: 0.0000 | trade:0.43 call:0.57 put:0.43 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 195s
step 01800 ( 19.4%) | loss: 0.756252 | consistency: 0.0000 | trade:0.39 call:0.53 put:0.47 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 193s
step 01850 ( 20.0%) | loss: 0.696502 | consistency: 0.0000 | trade:0.48 call:0.61 put:0.39 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | left: 192s
step 01900 ( 20.5%) | loss: 0.709453 | consistency: 0.0000 | trade:0.40 call:0.54 put:0.46 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 191s
step 01950 ( 21.1%) | loss: 0.716994 | consistency: 0.0000 | trade:0.39 call:0.51 put:0.49 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 189s
step 02000 ( 21.6%) | loss: 0.652275 | consistency: 0.0000 | trade:0.42 call:0.58 put:0.42 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 188s
step 02050 ( 22.2%) | loss: 0.713020 | consistency: 0.0000 | trade:0.40 call:0.59 put:0.41 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 187s
step 02100 ( 22.7%) | loss: 0.702942 | consistency: 0.0000 | trade:0.38 call:0.58 put:0.42 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 185s
step 02150 ( 23.2%) | loss: 0.702007 | consistency: 0.0000 | trade:0.44 call:0.57 put:0.43 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 184s
step 02200 ( 23.8%) | loss: 0.688971 | consistency: 0.0000 | trade:0.46 call:0.55 put:0.45 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 183s
step 02250 ( 24.3%) | loss: 0.670062 | consistency: 0.0000 | trade:0.40 call:0.60 put:0.40 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 182s
step 02300 ( 24.9%) | loss: 0.641496 | consistency: 0.0000 | trade:0.44 call:0.48 put:0.52 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 180s
step 02350 ( 25.4%) | loss: 0.659929 | consistency: 0.0000 | trade:0.41 call:0.63 put:0.37 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 179s
step 02400 ( 26.0%) | loss: 0.690074 | consistency: 0.0000 | trade:0.39 call:0.61 put:0.39 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 178s
step 02450 ( 26.5%) | loss: 0.644179 | consistency: 0.0000 | trade:0.44 call:0.62 put:0.38 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 176s
step 02500 ( 27.1%) | loss: 0.643544 | consistency: 0.0000 | trade:0.46 call:0.53 put:0.47 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 175s
step 02550 ( 27.6%) | loss: 0.635454 | consistency: 0.0000 | trade:0.41 call:0.55 put:0.45 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 174s
