Mixed precision: bf16 enabled (Ampere+ GPU detected)
Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir), ATM-biased, no ETV
Training from scratch (v4: no warm-start).
Day-sequential batching: 70% sequential, 30% random (batch=16)

Budget: 240s | Batch: 512 | Lookback: 120
LR: 0.00025 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=0.5, dir=2.0, pnl=0.3
Exit override strength: 0.15 (gate targets flipped on exit bars)
Position state: flat for random batches, tracked for day-sequential

step 00000 (  0.0%) | loss: 0.000000 | trade:0.61 call:0.47 put:0.53 | ATM:0.43 OTM:0.57 [seq] | lr: 0.00e+00 | left: 240s
step 00050 (  0.2%) | loss: 1.198970 | trade:0.59 call:0.55 put:0.45 | ATM:0.42 OTM:0.58 [seq] | lr: 2.60e-06 | left: 240s
step 00100 (  0.4%) | loss: 1.561061 | trade:0.69 call:0.47 put:0.53 | ATM:0.44 OTM:0.56 [seq] | lr: 6.02e-06 | left: 239s
step 00150 (  0.6%) | loss: 1.363288 | trade:0.66 call:0.50 put:0.50 | ATM:0.48 OTM:0.52 [seq] | lr: 1.02e-05 | left: 239s
step 00200 (  0.8%) | loss: 1.062339 | trade:0.69 call:0.45 put:0.55 | ATM:0.46 OTM:0.54 [seq] | lr: 1.33e-05 | left: 238s
step 00250 (  1.0%) | loss: 0.804564 | trade:0.62 call:0.50 put:0.49 | ATM:0.46 OTM:0.54 [seq] | lr: 1.70e-05 | left: 238s
step 00300 (  1.4%) | loss: 1.296264 | trade:0.61 call:0.63 put:0.37 | ATM:0.47 OTM:0.53 [seq] | lr: 2.35e-05 | left: 237s
step 00350 (  1.8%) | loss: 1.335642 | trade:0.55 call:0.60 put:0.40 | ATM:0.45 OTM:0.55 [rnd] | lr: 3.05e-05 | left: 236s
step 00400 (  2.3%) | loss: 1.196412 | trade:0.59 call:0.63 put:0.36 | ATM:0.44 OTM:0.56 [seq] | lr: 3.80e-05 | left: 235s
step 00450 (  2.7%) | loss: 1.337304 | trade:0.28 call:0.71 put:0.29 | ATM:0.48 OTM:0.52 [seq] | lr: 4.54e-05 | left: 233s
step 00500 (  3.2%) | loss: 0.915774 | trade:0.40 call:0.80 put:0.20 | ATM:0.55 OTM:0.45 [seq] | lr: 5.27e-05 | left: 232s
step 00550 (  3.5%) | loss: 1.163839 | trade:0.33 call:0.73 put:0.27 | ATM:0.49 OTM:0.51 [seq] | lr: 5.89e-05 | left: 232s
step 00600 (  3.9%) | loss: 0.867412 | trade:0.33 call:0.89 put:0.11 | ATM:0.56 OTM:0.44 [seq] | lr: 6.56e-05 | left: 231s
step 00650 (  4.3%) | loss: 1.159568 | trade:0.27 call:0.88 put:0.12 | ATM:0.54 OTM:0.46 [seq] | lr: 7.15e-05 | left: 230s
step 00700 (  4.7%) | loss: 1.323875 | trade:0.23 call:0.55 put:0.45 | ATM:0.44 OTM:0.56 [seq] | lr: 7.76e-05 | left: 229s
step 00750 (  5.0%) | loss: 1.513380 | trade:0.12 call:0.49 put:0.51 | ATM:0.46 OTM:0.54 [seq] | lr: 8.33e-05 | left: 228s
step 00800 (  5.2%) | loss: 0.995257 | trade:0.72 call:0.40 put:0.60 | ATM:0.49 OTM:0.51 [seq] | lr: 8.62e-05 | left: 228s
step 00850 (  5.3%) | loss: 0.446154 | trade:0.71 call:0.42 put:0.58 | ATM:0.46 OTM:0.54 [seq] | lr: 8.88e-05 | left: 227s
step 00900 (  5.5%) | loss: 0.792831 | trade:0.83 call:0.94 put:0.06 | ATM:0.57 OTM:0.43 [seq] | lr: 9.19e-05 | left: 227s
step 00950 (  5.7%) | loss: 0.532917 | trade:0.75 call:0.88 put:0.12 | ATM:0.43 OTM:0.57 [seq] | lr: 9.46e-05 | left: 226s
step 01000 (  5.9%) | loss: 0.812948 | trade:0.30 call:0.68 put:0.32 | ATM:0.55 OTM:0.45 [rnd] | lr: 9.87e-05 | left: 226s
step 01050 (  6.1%) | loss: 0.592955 | trade:0.09 call:0.74 put:0.26 | ATM:0.55 OTM:0.45 [seq] | lr: 1.02e-04 | left: 225s
step 01100 (  6.3%) | loss: 0.583479 | trade:0.64 call:0.86 put:0.15 | ATM:0.68 OTM:0.32 [seq] | lr: 1.05e-04 | left: 225s
step 01150 (  6.6%) | loss: 0.618589 | trade:0.71 call:0.97 put:0.03 | ATM:0.64 OTM:0.36 [seq] | lr: 1.09e-04 | left: 224s
step 01200 (  6.8%) | loss: 0.977804 | trade:0.34 call:0.68 put:0.32 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.14e-04 | left: 224s
step 01250 (  7.1%) | loss: 0.940582 | trade:0.33 call:0.68 put:0.32 | ATM:0.60 OTM:0.40 [rnd] | lr: 1.18e-04 | left: 223s
step 01300 (  7.3%) | loss: 0.449556 | trade:0.88 call:0.96 put:0.04 | ATM:0.80 OTM:0.20 [seq] | lr: 1.21e-04 | left: 223s
step 01350 (  7.4%) | loss: 0.624164 | trade:0.36 call:0.68 put:0.32 | ATM:0.59 OTM:0.41 [rnd] | lr: 1.24e-04 | left: 222s
step 01400 (  7.6%) | loss: 0.715779 | trade:0.37 call:0.70 put:0.30 | ATM:0.60 OTM:0.40 [rnd] | lr: 1.27e-04 | left: 222s
step 01450 (  7.8%) | loss: 0.969215 | trade:0.36 call:0.67 put:0.33 | ATM:0.62 OTM:0.38 [rnd] | lr: 1.30e-04 | left: 221s
step 01500 (  8.1%) | loss: 0.642712 | trade:0.01 call:0.65 put:0.35 | ATM:0.61 OTM:0.39 [seq] | lr: 1.35e-04 | left: 221s
step 01550 (  8.3%) | loss: 0.318549 | trade:0.02 call:0.50 put:0.50 | ATM:0.78 OTM:0.22 [seq] | lr: 1.38e-04 | left: 220s
step 01600 (  8.4%) | loss: 0.931773 | trade:0.35 call:0.70 put:0.30 | ATM:0.61 OTM:0.39 [rnd] | lr: 1.40e-04 | left: 220s
step 01650 (  8.6%) | loss: 0.660883 | trade:0.96 call:0.02 put:0.98 | ATM:0.81 OTM:0.19 [seq] | lr: 1.43e-04 | left: 219s
step 01700 (  8.8%) | loss: 0.628704 | trade:0.00 call:0.89 put:0.10 | ATM:0.63 OTM:0.37 [seq] | lr: 1.46e-04 | left: 219s
step 01750 (  8.9%) | loss: 0.308416 | trade:0.49 call:0.92 put:0.08 | ATM:0.85 OTM:0.15 [seq] | lr: 1.49e-04 | left: 219s
step 01800 (  9.1%) | loss: 0.625532 | trade:0.01 call:0.84 put:0.16 | ATM:0.75 OTM:0.25 [seq] | lr: 1.52e-04 | left: 218s
step 01850 (  9.3%) | loss: 0.752702 | trade:0.00 call:0.77 put:0.23 | ATM:0.70 OTM:0.30 [seq] | lr: 1.55e-04 | left: 218s
step 01900 (  9.5%) | loss: 0.612369 | trade:0.00 call:0.98 put:0.03 | ATM:0.86 OTM:0.14 [seq] | lr: 1.58e-04 | left: 217s
step 01950 (  9.6%) | loss: 0.341934 | trade:0.00 call:0.70 put:0.30 | ATM:0.60 OTM:0.40 [seq] | lr: 1.61e-04 | left: 217s
step 02000 (  9.8%) | loss: 0.658386 | trade:0.31 call:0.86 put:0.14 | ATM:0.59 OTM:0.41 [seq] | lr: 1.64e-04 | left: 216s
step 02050 ( 10.0%) | loss: 1.235334 | trade:0.36 call:0.71 put:0.28 | ATM:0.59 OTM:0.41 [rnd] | lr: 1.67e-04 | left: 216s
step 02100 ( 10.2%) | loss: 0.882703 | trade:0.33 call:0.73 put:0.27 | ATM:0.61 OTM:0.39 [rnd] | lr: 1.70e-04 | left: 215s
step 02150 ( 10.4%) | loss: 0.727690 | trade:0.36 call:0.74 put:0.26 | ATM:0.58 OTM:0.42 [rnd] | lr: 1.73e-04 | left: 215s
step 02200 ( 10.8%) | loss: 0.587646 | trade:0.36 call:0.77 put:0.23 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.80e-04 | left: 214s
step 02250 ( 11.2%) | loss: 0.470230 | trade:0.00 call:0.98 put:0.01 | ATM:0.85 OTM:0.15 [seq] | lr: 1.87e-04 | left: 213s
step 02300 ( 11.6%) | loss: 0.818357 | trade:0.37 call:0.74 put:0.26 | ATM:0.59 OTM:0.41 [rnd] | lr: 1.94e-04 | left: 212s
step 02350 ( 12.1%) | loss: 0.641988 | trade:0.86 call:0.01 put:0.99 | ATM:0.96 OTM:0.04 [seq] | lr: 2.02e-04 | left: 211s
step 02400 ( 12.5%) | loss: 0.746617 | trade:0.02 call:0.40 put:0.59 | ATM:0.74 OTM:0.26 [seq] | lr: 2.09e-04 | left: 210s
step 02450 ( 12.9%) | loss: 0.769762 | trade:0.34 call:0.72 put:0.28 | ATM:0.58 OTM:0.42 [rnd] | lr: 2.15e-04 | left: 209s
step 02500 ( 13.3%) | loss: 0.584351 | trade:0.00 call:0.79 put:0.21 | ATM:0.75 OTM:0.25 [seq] | lr: 2.22e-04 | left: 208s
step 02550 ( 13.7%) | loss: 0.413737 | trade:0.00 call:0.81 put:0.19 | ATM:0.60 OTM:0.40 [seq] | lr: 2.29e-04 | left: 207s
step 02600 ( 14.1%) | loss: 0.411445 | trade:0.16 call:0.01 put:0.98 | ATM:0.92 OTM:0.08 [seq] | lr: 2.36e-04 | left: 206s
step 02650 ( 14.6%) | loss: 0.405239 | trade:0.94 call:0.02 put:0.98 | ATM:0.68 OTM:0.32 [seq] | lr: 2.43e-04 | left: 205s
step 02700 ( 15.0%) | loss: 0.459252 | trade:0.36 call:0.77 put:0.23 | ATM:0.58 OTM:0.42 [rnd] | lr: 2.50e-04 | left: 204s
step 02750 ( 15.4%) | loss: 0.662967 | trade:0.92 call:0.99 put:0.01 | ATM:0.29 OTM:0.71 [seq] | lr: 2.50e-04 | left: 203s
step 02800 ( 15.9%) | loss: 1.035289 | trade:0.90 call:0.53 put:0.47 | ATM:0.90 OTM:0.10 [seq] | lr: 2.50e-04 | left: 202s
step 02850 ( 16.3%) | loss: 0.605453 | trade:0.00 call:0.70 put:0.30 | ATM:0.64 OTM:0.36 [seq] | lr: 2.50e-04 | left: 201s
step 02900 ( 16.7%) | loss: 0.502062 | trade:0.00 call:0.90 put:0.10 | ATM:0.41 OTM:0.59 [seq] | lr: 2.50e-04 | left: 200s
step 02950 ( 17.1%) | loss: 0.695180 | trade:0.36 call:0.77 put:0.24 | ATM:0.58 OTM:0.42 [rnd] | lr: 2.50e-04 | left: 199s
step 03000 ( 17.5%) | loss: 0.611279 | trade:0.00 call:0.64 put:0.36 | ATM:0.49 OTM:0.51 [seq] | lr: 2.50e-04 | left: 198s
step 03050 ( 17.9%) | loss: 0.563705 | trade:0.00 call:0.75 put:0.25 | ATM:0.35 OTM:0.65 [seq] | lr: 2.50e-04 | left: 197s
step 03100 ( 18.4%) | loss: 0.809043 | trade:0.46 call:0.70 put:0.30 | ATM:0.50 OTM:0.50 [seq] | lr: 2.50e-04 | left: 196s
step 03150 ( 18.9%) | loss: 0.626415 | trade:0.36 call:0.75 put:0.25 | ATM:0.56 OTM:0.44 [rnd] | lr: 2.50e-04 | left: 195s
