Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,121
Architecture: v4 simplified two-head (gate+dir) + position sizing curriculum
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Position sizing curriculum weight: 0.3
Label smoothing: gate=0.05 dir=0.05

step 01600 ( 16.9%) | loss: 1.507283 | trade:0.39 call:0.65 put:0.35 | ATM:0.50 OTM:0.50 | curriculum:0.17 | lr: 1.50e-04 | left: 199s
step 01650 ( 17.5%) | loss: 1.503258 | trade:0.39 call:0.67 put:0.33 | ATM:0.48 OTM:0.52 | curriculum:0.17 | lr: 1.50e-04 | left: 198s
step 01700 ( 18.0%) | loss: 1.474424 | trade:0.32 call:0.69 put:0.31 | ATM:0.52 OTM:0.48 | curriculum:0.18 | lr: 1.50e-04 | left: 197s
step 01750 ( 18.5%) | loss: 1.407060 | trade:0.37 call:0.68 put:0.32 | ATM:0.51 OTM:0.49 | curriculum:0.19 | lr: 1.50e-04 | left: 195s
step 01800 ( 19.1%) | loss: 1.440587 | trade:0.33 call:0.69 put:0.31 | ATM:0.48 OTM:0.52 | curriculum:0.19 | lr: 1.50e-04 | left: 194s
step 01850 ( 19.6%) | loss: 1.416827 | trade:0.38 call:0.68 put:0.32 | ATM:0.50 OTM:0.50 | curriculum:0.20 | lr: 1.50e-04 | left: 193s
step 01900 ( 20.1%) | loss: 1.392118 | trade:0.38 call:0.68 put:0.32 | ATM:0.47 OTM:0.53 | curriculum:0.20 | lr: 1.50e-04 | left: 192s
step 01950 ( 20.7%) | loss: 1.410244 | trade:0.34 call:0.63 put:0.37 | ATM:0.47 OTM:0.53 | curriculum:0.21 | lr: 1.50e-04 | left: 190s
step 02000 ( 21.2%) | loss: 1.356990 | trade:0.33 call:0.74 put:0.26 | ATM:0.50 OTM:0.50 | curriculum:0.21 | lr: 1.50e-04 | left: 189s
step 02050 ( 21.7%) | loss: 1.397284 | trade:0.36 call:0.72 put:0.28 | ATM:0.52 OTM:0.48 | curriculum:0.22 | lr: 1.50e-04 | left: 188s
step 02100 ( 22.3%) | loss: 1.353067 | trade:0.35 call:0.70 put:0.30 | ATM:0.48 OTM:0.52 | curriculum:0.22 | lr: 1.50e-04 | left: 187s
step 02150 ( 22.8%) | loss: 1.356969 | trade:0.35 call:0.68 put:0.32 | ATM:0.49 OTM:0.51 | curriculum:0.23 | lr: 1.50e-04 | left: 185s
step 02200 ( 23.3%) | loss: 1.349683 | trade:0.41 call:0.66 put:0.34 | ATM:0.45 OTM:0.55 | curriculum:0.23 | lr: 1.50e-04 | left: 184s
step 02250 ( 23.9%) | loss: 1.331250 | trade:0.36 call:0.71 put:0.29 | ATM:0.53 OTM:0.47 | curriculum:0.24 | lr: 1.50e-04 | left: 183s
step 02300 ( 24.4%) | loss: 1.314422 | trade:0.34 call:0.64 put:0.36 | ATM:0.49 OTM:0.51 | curriculum:0.24 | lr: 1.50e-04 | left: 181s
step 02350 ( 24.9%) | loss: 1.316718 | trade:0.36 call:0.73 put:0.27 | ATM:0.52 OTM:0.48 | curriculum:0.25 | lr: 1.50e-04 | left: 180s
step 02400 ( 25.5%) | loss: 1.300528 | trade:0.31 call:0.77 put:0.23 | ATM:0.44 OTM:0.56 | curriculum:0.25 | lr: 1.50e-04 | left: 179s
step 02450 ( 26.0%) | loss: 1.322808 | trade:0.40 call:0.71 put:0.29 | ATM:0.51 OTM:0.49 | curriculum:0.26 | lr: 1.50e-04 | left: 178s
step 02500 ( 26.5%) | loss: 1.293564 | trade:0.40 call:0.65 put:0.35 | ATM:0.52 OTM:0.48 | curriculum:0.27 | lr: 1.50e-04 | left: 176s
step 02550 ( 27.1%) | loss: 1.293738 | trade:0.35 call:0.65 put:0.35 | ATM:0.49 OTM:0.51 | curriculum:0.27 | lr: 1.50e-04 | left: 175s
step 02600 ( 27.6%) | loss: 1.291060 | trade:0.35 call:0.61 put:0.39 | ATM:0.50 OTM:0.50 | curriculum:0.28 | lr: 1.50e-04 | left: 174s
step 02650 ( 28.1%) | loss: 1.283529 | trade:0.33 call:0.67 put:0.33 | ATM:0.51 OTM:0.49 | curriculum:0.28 | lr: 1.50e-04 | left: 172s
step 02700 ( 28.7%) | loss: 1.319112 | trade:0.31 call:0.72 put:0.28 | ATM:0.53 OTM:0.47 | curriculum:0.29 | lr: 1.50e-04 | left: 171s
step 02750 ( 29.2%) | loss: 1.299498 | trade:0.35 call:0.63 put:0.37 | ATM:0.53 OTM:0.47 | curriculum:0.29 | lr: 1.50e-04 | left: 170s
step 02800 ( 29.7%) | loss: 1.276647 | trade:0.36 call:0.66 put:0.34 | ATM:0.55 OTM:0.45 | curriculum:0.30 | lr: 1.50e-04 | left: 169s
step 02850 ( 30.3%) | loss: 1.245952 | trade:0.28 call:0.73 put:0.27 | ATM:0.61 OTM:0.39 | curriculum:0.30 | lr: 1.50e-04 | left: 167s
step 02900 ( 30.8%) | loss: 1.239239 | trade:0.41 call:0.68 put:0.32 | ATM:0.51 OTM:0.49 | curriculum:0.31 | lr: 1.50e-04 | left: 166s
step 02950 ( 31.3%) | loss: 1.248907 | trade:0.39 call:0.67 put:0.33 | ATM:0.54 OTM:0.46 | curriculum:0.31 | lr: 1.50e-04 | left: 165s
step 03000 ( 31.9%) | loss: 1.247487 | trade:0.40 call:0.63 put:0.37 | ATM:0.51 OTM:0.49 | curriculum:0.32 | lr: 1.50e-04 | left: 164s
step 03050 ( 32.4%) | loss: 1.228096 | trade:0.36 call:0.71 put:0.29 | ATM:0.58 OTM:0.42 | curriculum:0.32 | lr: 1.50e-04 | left: 162s
step 03100 ( 32.9%) | loss: 1.243490 | trade:0.34 call:0.73 put:0.27 | ATM:0.60 OTM:0.40 | curriculum:0.33 | lr: 1.50e-04 | left: 161s
step 03150 ( 33.4%) | loss: 1.217752 | trade:0.36 call:0.68 put:0.32 | ATM:0.55 OTM:0.45 | curriculum:0.33 | lr: 1.50e-04 | left: 160s
step 03200 ( 34.0%) | loss: 1.236157 | trade:0.35 call:0.69 put:0.31 | ATM:0.52 OTM:0.48 | curriculum:0.34 | lr: 1.50e-04 | left: 158s
step 03250 ( 34.5%) | loss: 1.246655 | trade:0.29 call:0.69 put:0.31 | ATM:0.53 OTM:0.47 | curriculum:0.34 | lr: 1.50e-04 | left: 157s
step 03300 ( 35.0%) | loss: 1.228862 | trade:0.36 call:0.72 put:0.28 | ATM:0.58 OTM:0.42 | curriculum:0.35 | lr: 1.50e-04 | left: 156s
step 03350 ( 35.6%) | loss: 1.235544 | trade:0.31 call:0.65 put:0.35 | ATM:0.57 OTM:0.43 | curriculum:0.36 | lr: 1.50e-04 | left: 155s
step 03400 ( 36.1%) | loss: 1.216707 | trade:0.36 call:0.68 put:0.32 | ATM:0.57 OTM:0.43 | curriculum:0.36 | lr: 1.50e-04 | left: 153s
step 03450 ( 36.6%) | loss: 1.209804 | trade:0.34 call:0.69 put:0.31 | ATM:0.49 OTM:0.51 | curriculum:0.37 | lr: 1.50e-04 | left: 152s
step 03500 ( 37.2%) | loss: 1.202530 | trade:0.34 call:0.69 put:0.31 | ATM:0.50 OTM:0.50 | curriculum:0.37 | lr: 1.50e-04 | left: 151s
step 03550 ( 37.7%) | loss: 1.212794 | trade:0.33 call:0.67 put:0.33 | ATM:0.54 OTM:0.46 | curriculum:0.38 | lr: 1.50e-04 | left: 150s
step 03600 ( 38.2%) | loss: 1.218880 | trade:0.32 call:0.66 put:0.34 | ATM:0.58 OTM:0.42 | curriculum:0.38 | lr: 1.50e-04 | left: 148s
step 03650 ( 38.8%) | loss: 1.199363 | trade:0.30 call:0.71 put:0.29 | ATM:0.55 OTM:0.45 | curriculum:0.39 | lr: 1.50e-04 | left: 147s
step 03700 ( 39.3%) | loss: 1.196441 | trade:0.34 call:0.69 put:0.31 | ATM:0.55 OTM:0.45 | curriculum:0.39 | lr: 1.50e-04 | left: 146s
step 03750 ( 39.8%) | loss: 1.214181 | trade:0.28 call:0.69 put:0.31 | ATM:0.66 OTM:0.34 | curriculum:0.40 | lr: 1.50e-04 | left: 144s
step 03800 ( 40.4%) | loss: 1.200938 | trade:0.35 call:0.66 put:0.34 | ATM:0.57 OTM:0.43 | curriculum:0.40 | lr: 1.50e-04 | left: 143s
step 03850 ( 40.9%) | loss: 1.180275 | trade:0.35 call:0.64 put:0.36 | ATM:0.56 OTM:0.44 | curriculum:0.41 | lr: 1.50e-04 | left: 142s
step 03900 ( 41.4%) | loss: 1.186774 | trade:0.41 call:0.63 put:0.37 | ATM:0.56 OTM:0.44 | curriculum:0.41 | lr: 1.50e-04 | left: 141s
step 03950 ( 42.0%) | loss: 1.172660 | trade:0.26 call:0.74 put:0.26 | ATM:0.60 OTM:0.40 | curriculum:0.42 | lr: 1.50e-04 | left: 139s
step 04000 ( 42.5%) | loss: 1.173892 | trade:0.38 call:0.66 put:0.34 | ATM:0.57 OTM:0.43 | curriculum:0.42 | lr: 1.50e-04 | left: 138s
step 04050 ( 43.0%) | loss: 1.181710 | trade:0.36 call:0.68 put:0.32 | ATM:0.55 OTM:0.45 | curriculum:0.43 | lr: 1.50e-04 | left: 137s
step 04100 ( 43.6%) | loss: 1.165559 | trade:0.29 call:0.72 put:0.28 | ATM:0.58 OTM:0.42 | curriculum:0.44 | lr: 1.50e-04 | left: 135s
step 04150 ( 44.1%) | loss: 1.137627 | trade:0.33 call:0.63 put:0.37 | ATM:0.58 OTM:0.42 | curriculum:0.44 | lr: 1.50e-04 | left: 134s
step 04200 ( 44.6%) | loss: 1.164556 | trade:0.30 call:0.70 put:0.30 | ATM:0.64 OTM:0.36 | curriculum:0.45 | lr: 1.50e-04 | left: 133s
step 04250 ( 45.2%) | loss: 1.156084 | trade:0.33 call:0.64 put:0.36 | ATM:0.61 OTM:0.39 | curriculum:0.45 | lr: 1.50e-04 | left: 132s
step 04300 ( 45.7%) | loss: 1.165832 | trade:0.39 call:0.66 put:0.34 | ATM:0.58 OTM:0.42 | curriculum:0.46 | lr: 1.50e-04 | left: 130s
step 04350 ( 46.2%) | loss: 1.156819 | trade:0.32 call:0.68 put:0.32 | ATM:0.59 OTM:0.41 | curriculum:0.46 | lr: 1.50e-04 | left: 129s
step 04400 ( 46.7%) | loss: 1.152926 | trade:0.34 call:0.70 put:0.30 | ATM:0.57 OTM:0.43 | curriculum:0.47 | lr: 1.50e-04 | left: 128s
step 04450 ( 47.3%) | loss: 1.139061 | trade:0.38 call:0.68 put:0.32 | ATM:0.60 OTM:0.40 | curriculum:0.47 | lr: 1.50e-04 | left: 127s
step 04500 ( 47.8%) | loss: 1.162356 | trade:0.36 call:0.65 put:0.35 | ATM:0.61 OTM:0.39 | curriculum:0.48 | lr: 1.50e-04 | left: 125s
step 04550 ( 48.3%) | loss: 1.135840 | trade:0.35 call:0.62 put:0.38 | ATM:0.57 OTM:0.43 | curriculum:0.48 | lr: 1.50e-04 | left: 124s
step 04600 ( 48.9%) | loss: 1.155946 | trade:0.34 call:0.67 put:0.33 | ATM:0.56 OTM:0.44 | curriculum:0.49 | lr: 1.50e-04 | left: 123s
step 04650 ( 49.4%) | loss: 1.129492 | trade:0.34 call:0.65 put:0.35 | ATM:0.56 OTM:0.44 | curriculum:0.49 | lr: 1.50e-04 | left: 121s
step 04700 ( 49.9%) | loss: 1.138133 | trade:0.39 call:0.69 put:0.31 | ATM:0.61 OTM:0.39 | curriculum:0.50 | lr: 1.50e-04 | left: 120s
step 04750 ( 50.5%) | loss: 1.175913 | trade:0.31 call:0.64 put:0.36 | ATM:0.62 OTM:0.38 | curriculum:0.50 | lr: 1.50e-04 | left: 119s
step 04800 ( 51.0%) | loss: 1.119097 | trade:0.38 call:0.64 put:0.36 | ATM:0.55 OTM:0.45 | curriculum:0.51 | lr: 1.50e-04 | left: 118s
step 04850 ( 51.5%) | loss: 1.131819 | trade:0.38 call:0.65 put:0.35 | ATM:0.61 OTM:0.39 | curriculum:0.52 | lr: 1.50e-04 | left: 116s
step 04900 ( 52.1%) | loss: 1.127138 | trade:0.31 call:0.66 put:0.34 | ATM:0.66 OTM:0.34 | curriculum:0.52 | lr: 1.50e-04 | left: 115s
step 04950 ( 52.6%) | loss: 1.156865 | trade:0.35 call:0.65 put:0.35 | ATM:0.62 OTM:0.38 | curriculum:0.53 | lr: 1.50e-04 | left: 114s
step 05000 ( 53.1%) | loss: 1.145754 | trade:0.35 call:0.61 put:0.39 | ATM:0.61 OTM:0.39 | curriculum:0.53 | lr: 1.50e-04 | left: 112s
step 05050 ( 53.7%) | loss: 1.125825 | trade:0.35 call:0.64 put:0.36 | ATM:0.52 OTM:0.48 | curriculum:0.54 | lr: 1.50e-04 | left: 111s
step 05100 ( 54.2%) | loss: 1.136257 | trade:0.31 call:0.66 put:0.34 | ATM:0.65 OTM:0.35 | curriculum:0.54 | lr: 1.50e-04 | left: 110s
step 05150 ( 54.7%) | loss: 1.112588 | trade:0.39 call:0.61 put:0.39 | ATM:0.65 OTM:0.35 | curriculum:0.55 | lr: 1.50e-04 | left: 109s
step 05200 ( 55.3%) | loss: 1.142437 | trade:0.32 call:0.68 put:0.32 | ATM:0.61 OTM:0.39 | curriculum:0.55 | lr: 1.50e-04 | left: 107s
step 05250 ( 55.8%) | loss: 1.132914 | trade:0.30 call:0.68 put:0.32 | ATM:0.65 OTM:0.35 | curriculum:0.56 | lr: 1.50e-04 | left: 106s
