date,bar_of_day,global_bar_idx,spot_price,vix_regime,minutes_to_close,no_trade_score,best_contract_score,score_delta,top_5_scores,top_5_strikes,top_5_rights,n_valid_contracts,decision,skip_reason,selected_strike,selected_right,selected_mid,selected_contract_idx,oracle_contract_idx,oracle_strike,oracle_right,oracle_pnl,label_quality,bar_is_labelable,model_pnl,delta_pnl,exit_reason,bars_held
2025-12-05,60,351960,6893.14013671875,-0.33000001311302185,330,2.430086851119995,2.2490739822387695,-0.18101286888122559,2.2491;2.2343;2.2261;2.1806;2.0644,6895;6900;6890;6905;6910,C;C;C;C;C,51,no_trade,gate,0.0,,0.0,-1,203,6815.0,P,0.45529404282569885,0.003181278705596924,True,nan,nan,,0
2025-12-05,61,351961,6893.16015625,-0.33000001311302185,329,2.533543586730957,2.2015764713287354,-0.3319671154022217,2.2016;2.1721;2.1394;2.1335;2.0772,6895;6900;6890;6905;6890,C;C;C;C;P,51,no_trade,gate,0.0,,0.0,-1,197,6800.0,P,0.5672726035118103,0.011490285396575928,True,nan,nan,,0
2025-12-05,62,351962,6895.259765625,-0.33000001311302185,328,2.317068338394165,2.4467551708221436,0.12968683242797852,2.4468;2.4463;2.4152;2.3702;2.3540,6900;6895;6905;6890;6910,C;C;C;C;C,61,trade,,6900.0,C,7.400000095367432,236,231,6885.0,P,0.42096075415611267,0.004223436117172241,True,-0.3053146852437975,-0.7262754393999102,STOP_LOSS,10
2025-12-05,63,351963,6894.68017578125,-0.33000001311302185,327,2.469040632247925,2.3808164596557617,-0.08822417259216309,2.3808;2.3732;2.3262;2.3011;2.2109,6900;6905;6895;6910;6915,C;C;C;C;C,52,no_trade,in_position,0.0,,0.0,-1,203,6815.0,P,0.3141176104545593,0.09590865671634674,True,nan,nan,,0
2025-12-05,64,351964,6895.0498046875,-0.33000001311302185,326,2.477611541748047,2.203077793121338,-0.274533748626709,2.2031;2.1608;2.1531;2.1033;1.9863,6900;6905;6895;6910;6915,C;C;C;C;C,46,no_trade,in_position,0.0,,0.0,-1,231,6885.0,P,0.3854929506778717,0.02079913020133972,True,nan,nan,,0
2025-12-05,65,351965,6893.7001953125,-0.33000001311302185,325,2.1821646690368652,2.2260799407958984,0.0439152717590332,2.2261;2.2230;2.1929;2.1537;2.1193,6900;6895;6905;6910;6890,C;C;C;C;C,55,no_trade,in_position,0.0,,0.0,-1,205,6820.0,P,0.412631630897522,0.015358895063400269,True,nan,nan,,0
2025-12-05,66,351966,6894.0498046875,-0.33000001311302185,324,2.303973913192749,1.922183632850647,-0.38179028034210205,1.9222;1.8049;1.7722;1.7630;1.7492,6890;6880;6875;6870;6895,P;P;P;P;C,43,no_trade,in_position,0.0,,0.0,-1,203,6815.0,P,0.43977275490760803,0.028084397315979004,True,nan,nan,,0
2025-12-05,67,351967,6893.33984375,-0.33000001311302185,323,2.2381913661956787,2.090780258178711,-0.14741110801696777,2.0908;2.0801;2.0449;2.0180;1.9481,6895;6890;6900;6905;6910,C;C;C;C;C,49,no_trade,in_position,0.0,,0.0,-1,223,6865.0,P,0.32081082463264465,0.011251986026763916,True,nan,nan,,0
2025-12-05,68,351968,6890.77001953125,-0.33000001311302185,322,1.982191562652588,2.0865864753723145,0.10439491271972656,2.0866;2.0749;2.0464;1.9965;1.9225,6890;6895;6900;6905;6885,C;C;C;C;C,52,no_trade,in_position,0.0,,0.0,-1,219,6855.0,P,0.49698108434677124,0.004955798387527466,True,nan,nan,,0
2025-12-05,69,351969,6891.27001953125,-0.33000001311302185,321,2.3104500770568848,2.124919891357422,-0.1855301856994629,2.1249;2.1216;2.0745;2.0203;1.9516,6895;6900;6905;6910;6890,C;C;C;C;C,46,no_trade,in_position,0.0,,0.0,-1,231,6885.0,P,0.40204817056655884,0.028728902339935303,True,nan,nan,,0
