policy,starting_cash,ending_cash,total_pnl,return_on_starting_cash,candidate_trades,taken_trades,skipped_trades,skip_counts,total_contracts,max_quantity,max_drawdown,max_drawdown_pct,worst_day_pnl,best_day_pnl,min_cash,risk_of_ruin,longest_recovery_trades,policy_kind,stress_per_side,max_drawdown_pct_start,worst_day_pct_start,return_over_max_drawdown,return_over_worst_day,experiment,baseline_total_pnl,incremental_pnl,total_improved,drawdown_pct_ok,worst_day_pct_ok,passes_cash_level_gate
one_contract_baseline,25000.0,344050.0,319050.0,12.762,1028,1028,0,{},1028,1,-2790.0,-0.045754,-2080.0,9270.0,24790.0,False,42,baseline,0.0,0.1116,0.0832,114.354839,153.389423,daily_stop_1.00%_equity,,,,,,
daily_stop_1.00%_equity,25000.0,397800.0,372800.0,14.912,1028,1006,22,{'daily_loss_stop': 22},1229,3,-3060.0,-0.047259,-1980.0,10760.0,24790.0,False,37,candidate,0.0,0.1224,0.0792,121.830065,188.282828,daily_stop_1.00%_equity,319050.0,53750.0,True,True,True,True
one_contract_baseline,25000.0,292650.0,267650.0,10.706,1028,1028,0,{},1028,1,-4640.0,-0.075239,-2280.0,8970.0,24640.0,False,53,baseline,0.25,0.1856,0.0912,57.68319,117.390351,daily_stop_1.00%_equity,,,,,,
daily_stop_1.00%_equity,25000.0,331560.0,306560.0,12.2624,1028,1002,26,{'daily_loss_stop': 26},1197,3,-4420.0,-0.07588,-2230.0,10360.0,24640.0,False,45,candidate,0.25,0.1768,0.0892,69.357466,137.470852,daily_stop_1.00%_equity,267650.0,38910.0,True,True,True,True
one_contract_baseline,25000.0,241250.0,216250.0,8.65,1028,1028,0,{},1028,1,-6540.0,-0.118866,-2480.0,8670.0,24490.0,False,57,baseline,0.5,0.2616,0.0992,33.065749,87.197581,daily_stop_1.00%_equity,,,,,,
daily_stop_1.00%_equity,25000.0,263190.0,238190.0,9.5276,1028,985,43,{'daily_loss_stop': 43},1144,3,-6400.0,-0.123815,-2450.0,9960.0,24490.0,False,49,candidate,0.5,0.256,0.098,37.217188,97.220408,daily_stop_1.00%_equity,216250.0,21940.0,True,True,True,True
one_contract_baseline,30000.0,349050.0,319050.0,10.635,1028,1028,0,{},1028,1,-2790.0,-0.041599,-2080.0,9270.0,29790.0,False,42,baseline,0.0,0.093,0.069333,114.354839,153.389423,daily_stop_1.00%_equity,,,,,,
daily_stop_1.00%_equity,30000.0,402800.0,372800.0,12.426667,1028,1006,22,{'daily_loss_stop': 22},1229,3,-3060.0,-0.043871,-1980.0,10760.0,29790.0,False,37,candidate,0.0,0.102,0.066,121.830065,188.282828,daily_stop_1.00%_equity,319050.0,53750.0,True,True,True,True
one_contract_baseline,30000.0,297650.0,267650.0,8.921667,1028,1028,0,{},1028,1,-4640.0,-0.069597,-2280.0,8970.0,29640.0,False,53,baseline,0.25,0.154667,0.076,57.68319,117.390351,daily_stop_1.00%_equity,,,,,,
daily_stop_1.00%_equity,30000.0,336950.0,306950.0,10.231667,1028,1002,26,{'daily_loss_stop': 26},1198,3,-4420.0,-0.069881,-2230.0,10360.0,29640.0,False,45,candidate,0.25,0.147333,0.074333,69.445701,137.64574,daily_stop_1.00%_equity,267650.0,39300.0,True,True,True,True
