policy,starting_cash,ending_cash,total_pnl,return_on_starting_cash,candidate_trades,taken_trades,skipped_trades,skip_counts,total_contracts,max_quantity,max_drawdown,max_drawdown_pct,worst_day_pnl,best_day_pnl,min_cash,risk_of_ruin,longest_recovery_trades,policy_kind,stress_per_side,max_drawdown_pct_start,worst_day_pct_start,return_over_max_drawdown,return_over_worst_day,experiment,baseline_total_pnl,incremental_pnl,total_improved,drawdown_pct_ok,worst_day_pct_ok,passes_cash_level_gate
one_contract_baseline,30000.0,246250.0,216250.0,7.208333,1028,1028,0,{},1028,1,-6540.0,-0.108964,-2480.0,8670.0,29490.0,False,57,baseline,0.5,0.218,0.082667,33.065749,87.197581,daily_stop_1.00%_equity,,,,,,
daily_stop_1.00%_equity,30000.0,268450.0,238450.0,7.948333,1028,986,42,{'daily_loss_stop': 42},1146,3,-6400.0,-0.112895,-2450.0,9960.0,29490.0,False,49,candidate,0.5,0.213333,0.081667,37.257812,97.326531,daily_stop_1.00%_equity,216250.0,22200.0,True,True,True,True
one_contract_baseline,50000.0,369050.0,319050.0,6.381,1028,1028,0,{},1028,1,-2790.0,-0.030513,-2080.0,9270.0,49790.0,False,42,baseline,0.0,0.0558,0.0416,114.354839,153.389423,daily_stop_1.00%_equity,,,,,,
daily_stop_1.00%_equity,50000.0,426400.0,376400.0,7.528,1028,1013,15,{'daily_loss_stop': 15},1246,3,-3130.0,-0.035074,-1980.0,10760.0,49790.0,False,37,candidate,0.0,0.0626,0.0396,120.255591,190.10101,daily_stop_1.00%_equity,319050.0,57350.0,True,True,True,True
one_contract_baseline,50000.0,317650.0,267650.0,5.353,1028,1028,0,{},1028,1,-4640.0,-0.053536,-2280.0,8970.0,49640.0,False,53,baseline,0.25,0.0928,0.0456,57.68319,117.390351,daily_stop_1.00%_equity,,,,,,
daily_stop_1.00%_equity,50000.0,358720.0,308720.0,6.1744,1028,1006,22,{'daily_loss_stop': 22},1209,3,-4420.0,-0.053093,-2230.0,10360.0,49640.0,False,45,candidate,0.25,0.0884,0.0446,69.846154,138.439462,daily_stop_1.00%_equity,267650.0,41070.0,True,True,True,True
one_contract_baseline,50000.0,266250.0,216250.0,4.325,1028,1028,0,{},1028,1,-6540.0,-0.08173,-2480.0,8670.0,49490.0,False,57,baseline,0.5,0.1308,0.0496,33.065749,87.197581,daily_stop_1.00%_equity,,,,,,
daily_stop_1.00%_equity,50000.0,292530.0,242530.0,4.8506,1028,992,36,{'daily_loss_stop': 36},1158,3,-6400.0,-0.083453,-2480.0,9960.0,49490.0,False,49,candidate,0.5,0.128,0.0496,37.895313,97.794355,daily_stop_1.00%_equity,216250.0,26280.0,True,True,True,True
one_contract_baseline,100000.0,419050.0,319050.0,3.1905,1028,1028,0,{},1028,1,-2790.0,-0.01946,-2080.0,9270.0,99790.0,False,42,baseline,0.0,0.0279,0.0208,114.354839,153.389423,daily_stop_1.00%_equity,,,,,,
daily_stop_1.00%_equity,100000.0,484220.0,384220.0,3.8422,1028,1026,2,{'daily_loss_stop': 2},1263,3,-3150.0,-0.02166,-1980.0,10760.0,99790.0,False,37,candidate,0.0,0.0315,0.0198,121.974603,194.050505,daily_stop_1.00%_equity,319050.0,65170.0,True,True,True,True
one_contract_baseline,100000.0,367650.0,267650.0,2.6765,1028,1028,0,{},1028,1,-4640.0,-0.03395,-2280.0,8970.0,99640.0,False,53,baseline,0.25,0.0464,0.0228,57.68319,117.390351,daily_stop_1.00%_equity,,,,,,
daily_stop_1.00%_equity,100000.0,417210.0,317210.0,3.1721,1028,1026,2,{'daily_loss_stop': 2},1241,3,-4880.0,-0.035421,-2230.0,10360.0,99640.0,False,53,candidate,0.25,0.0488,0.0223,65.002049,142.246637,daily_stop_1.00%_equity,267650.0,49560.0,True,True,True,True
one_contract_baseline,100000.0,316250.0,216250.0,2.1625,1028,1028,0,{},1028,1,-6540.0,-0.0503,-2480.0,8670.0,99490.0,False,57,baseline,0.5,0.0654,0.0248,33.065749,87.197581,daily_stop_1.00%_equity,,,,,,
daily_stop_1.00%_equity,100000.0,351360.0,251360.0,2.5136,1028,1021,7,{'daily_loss_stop': 7},1204,3,-6930.0,-0.052982,-2480.0,9960.0,99490.0,False,57,candidate,0.5,0.0693,0.0248,36.271284,101.354839,daily_stop_1.00%_equity,216250.0,35110.0,True,True,True,True
