Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Training from scratch with progressive feature masking curriculum.

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Curriculum stages: 4

step 01700 (  7.6%) | loss: 2.380282 | trade:0.43 call:0.66 put:0.34 | ATM:0.45 OTM:0.55 | stage:Core | lr: 1.15e-04 | left: 222s
step 01750 (  8.1%) | loss: 2.318015 | trade:0.43 call:0.67 put:0.33 | ATM:0.46 OTM:0.54 | stage:Core | lr: 1.22e-04 | left: 220s
step 01800 (  8.5%) | loss: 2.298821 | trade:0.42 call:0.62 put:0.38 | ATM:0.45 OTM:0.55 | stage:Core | lr: 1.28e-04 | left: 220s
step 01850 (  8.7%) | loss: 2.233925 | trade:0.43 call:0.66 put:0.34 | ATM:0.45 OTM:0.55 | stage:Core | lr: 1.31e-04 | left: 219s
step 01900 (  8.9%) | loss: 2.224602 | trade:0.45 call:0.66 put:0.34 | ATM:0.46 OTM:0.54 | stage:Core | lr: 1.34e-04 | left: 219s
step 01950 (  9.2%) | loss: 2.199488 | trade:0.44 call:0.59 put:0.41 | ATM:0.44 OTM:0.56 | stage:Core | lr: 1.39e-04 | left: 218s
step 02000 (  9.5%) | loss: 2.090941 | trade:0.38 call:0.70 put:0.30 | ATM:0.49 OTM:0.51 | stage:Core | lr: 1.42e-04 | left: 217s
step 02050 (  9.7%) | loss: 2.139219 | trade:0.41 call:0.61 put:0.39 | ATM:0.42 OTM:0.58 | stage:Core | lr: 1.45e-04 | left: 217s
step 02100 (  9.9%) | loss: 2.067283 | trade:0.43 call:0.67 put:0.33 | ATM:0.47 OTM:0.53 | stage:Core | lr: 1.48e-04 | left: 216s
step 02150 ( 10.1%) | loss: 2.028928 | trade:0.43 call:0.61 put:0.39 | ATM:0.44 OTM:0.56 | stage:Core | lr: 1.50e-04 | left: 216s
step 02200 ( 10.3%) | loss: 1.995942 | trade:0.46 call:0.57 put:0.43 | ATM:0.44 OTM:0.56 | stage:Core | lr: 1.50e-04 | left: 215s
step 02250 ( 10.5%) | loss: 1.938851 | trade:0.41 call:0.66 put:0.34 | ATM:0.47 OTM:0.53 | stage:Core | lr: 1.50e-04 | left: 215s
step 02300 ( 10.7%) | loss: 1.912841 | trade:0.42 call:0.62 put:0.38 | ATM:0.46 OTM:0.54 | stage:Core | lr: 1.50e-04 | left: 214s
step 02350 ( 10.9%) | loss: 1.869978 | trade:0.44 call:0.67 put:0.33 | ATM:0.46 OTM:0.54 | stage:Core | lr: 1.50e-04 | left: 214s
step 02400 ( 11.1%) | loss: 1.840618 | trade:0.39 call:0.73 put:0.27 | ATM:0.50 OTM:0.50 | stage:Core | lr: 1.50e-04 | left: 213s
step 02450 ( 11.3%) | loss: 1.854303 | trade:0.41 call:0.71 put:0.29 | ATM:0.48 OTM:0.52 | stage:Core | lr: 1.50e-04 | left: 213s
step 02500 ( 11.5%) | loss: 1.792316 | trade:0.42 call:0.62 put:0.38 | ATM:0.46 OTM:0.54 | stage:Core | lr: 1.50e-04 | left: 212s
step 02550 ( 12.0%) | loss: 1.776226 | trade:0.42 call:0.64 put:0.36 | ATM:0.46 OTM:0.54 | stage:Core | lr: 1.50e-04 | left: 211s
step 02600 ( 12.5%) | loss: 1.749823 | trade:0.42 call:0.62 put:0.38 | ATM:0.45 OTM:0.55 | stage:Core | lr: 1.50e-04 | left: 210s
step 02650 ( 13.0%) | loss: 1.729819 | trade:0.44 call:0.64 put:0.36 | ATM:0.45 OTM:0.55 | stage:Core | lr: 1.50e-04 | left: 209s
step 02700 ( 13.5%) | loss: 1.714308 | trade:0.44 call:0.69 put:0.31 | ATM:0.46 OTM:0.54 | stage:Core | lr: 1.50e-04 | left: 207s
step 02750 ( 14.0%) | loss: 1.691536 | trade:0.41 call:0.57 put:0.43 | ATM:0.46 OTM:0.54 | stage:Core | lr: 1.50e-04 | left: 206s
step 02800 ( 14.5%) | loss: 1.679182 | trade:0.44 call:0.66 put:0.34 | ATM:0.50 OTM:0.50 | stage:Core | lr: 1.50e-04 | left: 205s
step 02850 ( 15.0%) | loss: 1.627501 | trade:0.38 call:0.66 put:0.34 | ATM:0.54 OTM:0.46 | stage:Core | lr: 1.50e-04 | left: 204s
step 02900 ( 15.5%) | loss: 1.604997 | trade:0.44 call:0.60 put:0.40 | ATM:0.46 OTM:0.54 | stage:Core | lr: 1.50e-04 | left: 203s
step 02950 ( 15.9%) | loss: 1.620195 | trade:0.43 call:0.63 put:0.37 | ATM:0.47 OTM:0.53 | stage:Core | lr: 1.50e-04 | left: 202s
step 03000 ( 16.3%) | loss: 1.590677 | trade:0.43 call:0.62 put:0.38 | ATM:0.45 OTM:0.55 | stage:Core | lr: 1.50e-04 | left: 201s
step 03050 ( 16.8%) | loss: 1.585522 | trade:0.44 call:0.66 put:0.34 | ATM:0.50 OTM:0.50 | stage:Core | lr: 1.50e-04 | left: 200s
step 03100 ( 17.1%) | loss: 1.575750 | trade:0.46 call:0.66 put:0.34 | ATM:0.47 OTM:0.53 | stage:Core | lr: 1.50e-04 | left: 199s
step 03150 ( 17.3%) | loss: 1.525483 | trade:0.39 call:0.67 put:0.33 | ATM:0.48 OTM:0.52 | stage:Core | lr: 1.50e-04 | left: 198s
step 03200 ( 17.7%) | loss: 1.546423 | trade:0.42 call:0.61 put:0.39 | ATM:0.48 OTM:0.52 | stage:Core | lr: 1.50e-04 | left: 197s
step 03250 ( 18.2%) | loss: 1.549633 | trade:0.32 call:0.68 put:0.32 | ATM:0.49 OTM:0.51 | stage:Core | lr: 1.50e-04 | left: 196s
step 03300 ( 18.7%) | loss: 1.532267 | trade:0.42 call:0.64 put:0.36 | ATM:0.48 OTM:0.52 | stage:Core | lr: 1.50e-04 | left: 195s
step 03350 ( 19.2%) | loss: 1.509484 | trade:0.37 call:0.62 put:0.38 | ATM:0.55 OTM:0.45 | stage:Core | lr: 1.50e-04 | left: 194s
step 03400 ( 19.7%) | loss: 1.497898 | trade:0.38 call:0.66 put:0.34 | ATM:0.51 OTM:0.49 | stage:Core | lr: 1.50e-04 | left: 193s
step 03450 ( 20.1%) | loss: 1.444604 | trade:0.40 call:0.68 put:0.32 | ATM:0.44 OTM:0.56 | stage:Core | lr: 1.50e-04 | left: 192s
step 03500 ( 20.4%) | loss: 1.482443 | trade:0.40 call:0.65 put:0.35 | ATM:0.47 OTM:0.53 | stage:Core | lr: 1.50e-04 | left: 191s
step 03550 ( 20.8%) | loss: 1.468483 | trade:0.37 call:0.66 put:0.34 | ATM:0.51 OTM:0.49 | stage:Core | lr: 1.50e-04 | left: 190s
step 03600 ( 21.0%) | loss: 1.465075 | trade:0.36 call:0.62 put:0.38 | ATM:0.48 OTM:0.52 | stage:Core | lr: 1.50e-04 | left: 189s
step 03650 ( 21.4%) | loss: 1.442686 | trade:0.35 call:0.66 put:0.34 | ATM:0.49 OTM:0.51 | stage:Core | lr: 1.50e-04 | left: 189s
step 03700 ( 21.9%) | loss: 1.434721 | trade:0.37 call:0.63 put:0.37 | ATM:0.53 OTM:0.47 | stage:Core | lr: 1.50e-04 | left: 187s
step 03750 ( 22.4%) | loss: 1.448254 | trade:0.34 call:0.70 put:0.30 | ATM:0.57 OTM:0.43 | stage:Core | lr: 1.50e-04 | left: 186s
step 03800 ( 22.9%) | loss: 1.445774 | trade:0.35 call:0.65 put:0.35 | ATM:0.53 OTM:0.47 | stage:Core | lr: 1.50e-04 | left: 185s
step 03850 ( 23.4%) | loss: 1.413886 | trade:0.37 call:0.62 put:0.38 | ATM:0.53 OTM:0.47 | stage:Core | lr: 1.50e-04 | left: 184s
