width,start,end,n_trades,pf,win_rate,avg_pnl,median_pnl,sharpe,gross_profit,gross_loss,max_drawdown
75,126,201,73135,97.5786,0.9305,0.300631,0.340323,1.3221,22214.32668,227.655636,0.004015
75,50,125,72763,99.3931,0.9301,0.300227,0.328772,1.3099,22067.410418,222.021551,0.002592
75,171,246,72736,78.4161,0.9252,0.301215,0.336834,1.3038,22192.188456,283.005563,0.003005
75,105,180,73069,100.1404,0.9309,0.299092,0.337132,1.3183,22074.794943,220.438491,0.004015
75,190,265,72501,65.9486,0.9203,0.298889,0.33253,1.2818,22003.411071,333.644861,0.013493
120,109,229,116780,89.9226,0.9286,0.300096,0.33852,1.3138,35439.302202,394.108972,0.013701
120,143,263,116414,77.579,0.9254,0.299803,0.335632,1.2999,35357.019397,455.755085,0.002863
120,140,260,116445,78.9211,0.9259,0.30006,0.33617,1.3023,35388.866452,448.408391,0.005435
120,76,196,116826,99.4115,0.9308,0.300238,0.336592,1.3183,35432.032732,356.417994,0.019497
120,103,223,116823,93.5442,0.9295,0.300118,0.338039,1.315,35439.480342,378.85293,0.012445
120,54,174,116661,97.6722,0.9298,0.299069,0.331724,1.311,35250.625101,360.907348,0.017687
120,120,240,116670,86.48,0.9273,0.300148,0.337865,1.3095,35427.974873,409.666503,0.004047
120,38,158,116516,95.1516,0.9296,0.300159,0.331061,1.31,35344.745461,371.457322,0.016215
120,35,155,116491,93.0625,0.9293,0.300143,0.330962,1.3077,35343.739574,379.7848,0.014416
120,114,234,116733,88.8714,0.928,0.300102,0.338293,1.3118,35430.523238,398.671888,0.003039
120,59,179,116699,99.3718,0.9302,0.299396,0.333554,1.3145,35294.365182,355.174898,0.017397
120,128,248,116583,83.0103,0.9264,0.299978,0.33678,1.3063,35398.821565,426.438748,0.004015
120,67,187,116762,99.6665,0.9308,0.29979,0.334875,1.3168,35358.887222,354.771919,0.008065
120,40,160,116537,96.9343,0.9299,0.299977,0.331053,1.3116,35322.772692,364.399202,0.017602
120,139,259,116457,79.3719,0.926,0.300115,0.336425,1.3031,35396.409994,445.956213,0.005247
120,59,179,116699,99.3718,0.9302,0.299396,0.333554,1.3145,35294.365182,355.174898,0.017397
120,140,260,116445,78.9211,0.9259,0.30006,0.33617,1.3023,35388.866452,448.408391,0.005435
120,42,162,116557,98.0546,0.9299,0.299995,0.331483,1.312,35326.787501,360.276617,0.017869
120,78,198,116841,99.4094,0.9307,0.300073,0.336562,1.3177,35417.057924,356.274577,0.017433
120,65,185,116745,99.5602,0.9307,0.299683,0.334576,1.3161,35341.412229,354.975469,0.002888
