session,status,neural_rows,expected_decision_minutes,early_close_session,report_only_reason,ladder_shape_ok_share,tradable_minute_share,mean_tradable_candidates,min_tradable_candidates,near_atm_tradable_share,label_total_cell_count,label_candidate_cell_count,label_finite_share,label_nonzero_share,label_positive_share,label_negative_share,label_spot_sample_count,label_spot_match_count,label_spot_mismatch_count,entry_quote_match_count,entry_quote_mismatch_count,entry_quote_missing_count,entry_quote_match_share,entry_quote_sweep_match_count,entry_quote_sweep_mismatch_count,entry_quote_sweep_missing_count,entry_quote_sweep_stale_count,entry_quote_sweep_match_share,ladder_quote_sweep_match_count,ladder_quote_sweep_mismatch_count,ladder_quote_sweep_match_share,label_fee_model,feature_contract_version,decision_grid,context_lag_exact_one_minute_share,future_context_row_count,opening_no_leading_backfill,context_reconstruction_match_share,context_reconstruction_mismatch_count,context_window_sample_match_share,vix_close_finite_share,failed_checks,record_hash
2024-10-01,pass,360,360,False,,1.0,1.0,27.97222222222222,11,0.9322530864197531,45360,30210,1.0,0.9907977490897054,0.3638861304203906,0.6269116186693148,20,20,0,20,0,0,1.0,10070,0,0,0,1.0,10070,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,d1a7537a7e05dacd6efdb3cddf78cfee6cae156a2bf85b94df5c88d486803b9f
2024-10-02,pass,360,360,False,,1.0,1.0,27.675,12,0.958179012345679,45360,29889,1.0,0.9811636387968818,0.34959349593495936,0.6315701428619225,20,20,0,20,0,0,1.0,9963,0,0,0,1.0,9963,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9944444444444445,,eb835338a183453dcd2cbad1f939632ebf986666532a21ecf222a9e6038e9c36
2024-10-03,pass,360,360,False,,1.0,1.0,27.56111111111111,13,0.9385802469135802,45360,29766,1.0,0.9878720688033327,0.3453604783981724,0.6425115904051603,20,20,0,20,0,0,1.0,9922,0,0,0,1.0,9922,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,f63e6133898d4cd0f64dcee922837766980eec8b294f00f67acca4b284c6af30
2024-10-04,pass,360,360,False,,1.0,1.0,27.06111111111111,10,0.9427469135802469,45360,29226,1.0,0.9886402518305618,0.3815780469445015,0.6070622048860603,20,20,0,20,0,0,1.0,9742,0,0,0,1.0,9742,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,d8beec3915d5d373c1dde29e25abd2a7785f808ed933449ababd7aa1c9c54cba
2024-10-07,pass,360,360,False,,1.0,1.0,26.67222222222222,14,0.9641975308641976,45360,28806,1.0,0.9828855099632021,0.3150038186488926,0.6678816913143095,20,20,0,20,0,0,1.0,9602,0,0,0,1.0,9602,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,6455496ca62cda42ad7f82304d61dd47fa9429baaed4a9bbe01cb46844490863
2024-10-08,pass,360,360,False,,1.0,1.0,25.20277777777778,11,0.9279320987654321,45360,27219,1.0,0.9795730923252141,0.3373378889746133,0.6422352033506007,20,20,0,20,0,0,1.0,9073,0,0,0,1.0,9073,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,2be640c787045b86ad0e3c30846b67b7b80410c67ff0a26313a96fa14bcd67bb
2024-10-09,pass,360,360,False,,1.0,1.0,27.019444444444446,12,0.9589506172839506,45360,29181,1.0,0.982522874473116,0.3774716425071108,0.6050512319660053,20,20,0,20,0,0,1.0,9727,0,0,0,1.0,9727,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,92334b63fa28ee650d02867e7b8528502d36f83632cd6601661e4a137d5a84e1
2024-10-10,pass,360,360,False,,1.0,1.0,26.95,13,0.9626543209876544,45360,29106,1.0,0.9832680546966261,0.35697107125678557,0.6262969834398406,20,20,0,20,0,0,1.0,9702,0,0,0,1.0,9702,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,10a54cb0f6b28d46ce6dfbdfb95fb1555dd778f6692ea61f21bf9f1de2114549
2024-10-11,pass,360,360,False,,1.0,1.0,24.65277777777778,10,0.9313271604938271,45360,26625,1.0,0.984225352112676,0.340018779342723,0.6442065727699531,20,20,0,20,0,0,1.0,8875,0,0,0,1.0,8875,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,b8a14aa6c95a6d8b8014d714541828c8a30f0573f6fbb176fbbae0cb8978273c
2024-10-14,pass,360,360,False,,1.0,1.0,19.886111111111113,9,0.8516975308641975,45360,21477,1.0,0.9809563719327653,0.32248451832192576,0.6584718536108395,20,20,0,20,0,0,1.0,7159,0,0,0,1.0,7159,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,4591e74d79c25dfb5af62aed064081af34a16fee3e086e6d7f26b1ca8378b2c1
2024-10-15,pass,360,360,False,,1.0,1.0,23.105555555555554,12,0.9162037037037037,45360,24954,1.0,0.9808046806123267,0.3609842109481446,0.6198204696641821,20,20,0,20,0,0,1.0,8318,0,0,0,1.0,8318,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,63e7e09bb15dc4013e3c0a9735dad0ce63ca7b976de41cf5896d01fccdb10786
2024-10-16,pass,360,360,False,,1.0,1.0,23.116666666666667,10,0.9151234567901234,45360,24966,1.0,0.979371945846351,0.330769846991909,0.6486020988544421,20,20,0,20,0,0,1.0,8322,0,0,0,1.0,8322,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9944444444444445,,62d79b1c0dd7574dd5cb8849a5cb06c91d80d444cbda7281f29fc5b3dd68ad25
2024-10-17,pass,360,360,False,,1.0,1.0,22.48611111111111,12,0.8910493827160494,45360,24285,1.0,0.982828906732551,0.31949763228330247,0.6633312744492486,20,20,0,20,0,0,1.0,8095,0,0,0,1.0,8095,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,cfed52e8c366372782ff3a5cef3404eeeb72aaa7a217f82520b6e3ef59d1234e
2024-10-18,pass,360,360,False,,1.0,1.0,19.98611111111111,10,0.8512345679012345,45360,21585,1.0,0.9764188093583507,0.2751911049339819,0.7012277044243688,20,20,0,20,0,0,1.0,7195,0,0,0,1.0,7195,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,45431a3d44ed9a7183b9e4901d65469fab87b864cf65b0cf4697534e6d79b6c3
2024-10-21,pass,360,360,False,,1.0,1.0,20.594444444444445,7,0.8577160493827161,45360,22242,1.0,0.982735365524683,0.3747414800827264,0.6079938854419566,20,20,0,20,0,0,1.0,7414,0,0,0,1.0,7414,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,0299b5219b8bb98f51931dfc7ca49ee2f464c7d1f5b3738faf7fcc19898e15ae
2024-10-22,pass,360,360,False,,1.0,1.0,20.1,8,0.845216049382716,45360,21708,1.0,0.9798231066887784,0.3216786438179473,0.6581444628708311,20,20,0,20,0,0,1.0,7236,0,0,0,1.0,7236,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,d19db17021d636f2b5ac99985e87a273dabc4e15c3dd5ada2e567105a1be1c46
2024-10-23,pass,360,360,False,,1.0,1.0,26.84722222222222,14,0.9554012345679013,45360,28995,1.0,0.9871357130539749,0.4125193998965339,0.5746163131574409,20,20,0,20,0,0,1.0,9665,0,0,0,1.0,9665,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9944444444444445,,02e8b1cedb3a2bc640d4fe75a6244d515d8eea3445fbf8772e5dee30093efd8f
2024-10-24,pass,360,360,False,,1.0,1.0,24.825,9,0.9277777777777778,45360,26811,1.0,0.9857521166685316,0.36223937935921824,0.6235127373093133,20,20,0,20,0,0,1.0,8937,0,0,0,1.0,8937,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,d98d3bc724133acd2f47570f7ef11b3610a868ac11795af72cc22ab2fde63009
2024-10-25,pass,360,360,False,,1.0,1.0,25.558333333333334,13,0.9444444444444444,45360,27603,1.0,0.9854725935586711,0.40615150527116617,0.579321088287505,20,20,0,20,0,0,1.0,9201,0,0,0,1.0,9201,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,0a35e166e63f9c749aeba565c1d4ff522e2ee287e5c41f8ea6d82f4328ee0212
2024-10-28,pass,360,360,False,,1.0,1.0,23.03611111111111,8,0.8944444444444445,45360,24879,1.0,0.9785361147956108,0.3106636118815065,0.6678725029141043,20,20,0,20,0,0,1.0,8293,0,0,0,1.0,8293,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,cd4e1966a499cc0b408f7d8b57eac5da1ca406a91e5f4164c115d9a30ca72ffe
2024-10-29,pass,360,360,False,,1.0,1.0,20.883333333333333,8,0.8621913580246914,45360,22554,1.0,0.984171322160149,0.3578522656734947,0.6263190564866542,20,20,0,20,0,0,1.0,7518,0,0,0,1.0,7518,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,2a0dbde1f25bbe142cf36f1205168c17426d8722a82323f85c4dc1f6e869c350
2024-10-30,pass,360,360,False,,1.0,1.0,23.630555555555556,7,0.9297839506172839,45360,25521,1.0,0.983660514870107,0.3678539242192704,0.6158065906508365,20,20,0,20,0,0,1.0,8507,0,0,0,1.0,8507,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9944444444444445,,d021ffdbcf4f1ffd23b4a0380df932aebabb8428f8b8608e2fc1092a1c64008e
2024-10-31,pass,360,360,False,,1.0,1.0,29.45,15,0.9884259259259259,45360,31806,1.0,0.9862918946110797,0.357165314720493,0.6291265798905867,20,20,0,20,0,0,1.0,10602,0,0,0,1.0,10602,0,1.0,gross_no_fees,protocol101-live-v1,,1.0,0,True,1.0,0,1.0,0.9972222222222222,,86a601117691a160bb58e3400ba2fecaf60e56c98a89dd25a54d615312e7d4e0
