index,hypothesis,change,policy,starting_cash,ending_cash,total_pnl,return_on_starting_cash,candidate_trades,taken_trades,skipped_trades,skip_counts,total_contracts,max_quantity,max_drawdown,max_drawdown_pct,worst_day_pnl,best_day_pnl,min_cash,risk_of_ruin,longest_recovery_trades,baseline_total_pnl,baseline_max_drawdown_pct,baseline_worst_day_pnl,total_improved,drawdown_ok,worst_day_ok,skip_ok,risk_ok,passes_acceptance
1,132a_confidence_ladder,Add score-margin thresholds plus 3% drawdown lock and profit cushion.,confidence_ladder,10000.0,389770.0,379770.0,37.977,1028,969,59,"{'daily_loss_stop': 57, 'premium_exposure_cap': 2}",1290,3,-5000.0,-0.062628,-4260.0,12510.0,9950.0,False,37,319050.0,-0.065335,-2080.0,True,True,False,True,True,False
2,132b_high_conviction_profit_cushion,"Raise score thresholds, require larger profit cushion, cap scalable premiums.",high_conviction_profit_cushion,10000.0,342870.0,332870.0,33.287,1028,964,64,"{'daily_loss_stop': 59, 'premium_exposure_cap': 5}",1110,3,-5000.0,-0.080475,-1840.0,9810.0,9950.0,False,37,319050.0,-0.065335,-2080.0,True,True,True,True,True,True
3,132c_slow_growth_two_contract,Allow only two contracts after larger account growth with stricter exposure cap.,slow_growth_two_contract,10000.0,341270.0,331270.0,33.127,1028,960,68,"{'daily_loss_stop': 52, 'premium_exposure_cap': 16}",1090,2,-5000.0,-0.068167,-1840.0,10460.0,10000.0,False,37,319050.0,-0.065335,-2080.0,True,True,True,True,True,True
4,132d_lower_two_contract_threshold,Relax the two-contract score threshold while keeping profit/drawdown locks.,lower_two_contract_threshold,10000.0,364000.0,354000.0,35.4,1028,964,64,"{'daily_loss_stop': 59, 'premium_exposure_cap': 5}",1172,3,-5000.0,-0.080475,-1840.0,10760.0,9950.0,False,37,319050.0,-0.065335,-2080.0,True,True,True,True,True,True
5,132e_delayed_three_contract_unlock,Use confidence ladder but delay three-contract sizing until $125k equity.,delayed_three_contract_unlock,10000.0,382350.0,372350.0,37.235,1028,971,57,"{'daily_loss_stop': 55, 'premium_exposure_cap': 2}",1261,3,-5000.0,-0.062628,-3220.0,12510.0,9950.0,False,37,319050.0,-0.065335,-2080.0,True,True,False,True,True,False
6,132f_prior_131_policy_regression_check,Retest the previous non-confidence policies after adding the same acceptance gate.,recovery_lock_ladder,10000.0,709790.0,699790.0,69.979,1028,919,109,"{'daily_loss_stop': 107, 'premium_exposure_cap': 2}",2222,3,-11540.0,-0.074681,-4830.0,24500.0,9950.0,False,37,319050.0,-0.065335,-2080.0,True,True,False,True,True,False
