fold_idx,day,entry_bar,exit_bar,direction,exit_pnl,trigger,bars_held,max_prob
0,2024-12-19,36,126,put,-880.4250092866018,time_of_day_90,90,
0,2024-12-20,85,175,put,-1103.9999753247878,time_of_day_90,90,
0,2024-12-23,41,131,put,-1016.2500376948811,time_of_day_90,90,
0,2024-12-24,44,134,put,-1072.4250054113568,time_of_day_90,90,
0,2024-12-26,104,194,put,-433.55003759651896,time_of_day_90,90,
0,2024-12-27,38,128,put,-175.24998201065273,time_of_day_90,90,
0,2024-12-30,44,134,put,-995.4999931509427,time_of_day_90,90,
0,2024-12-31,49,139,put,595.72499770966,time_of_day_90,90,
0,2025-01-02,36,126,put,890.1000014993849,time_of_day_90,90,
0,2025-01-03,51,141,put,-999.7499991103194,time_of_day_90,90,
0,2025-01-06,39,129,put,-814.8000096465871,time_of_day_90,90,
0,2025-01-07,35,125,put,819.2498859087257,time_of_day_90,90,
0,2025-01-08,80,170,put,-179.12492349697706,time_of_day_90,90,
0,2025-01-10,33,123,put,-209.47497258181863,time_of_day_90,90,
0,2025-01-13,30,120,put,-331.92501881911824,time_of_day_90,90,
0,2025-01-14,30,120,put,-45.25005768480581,time_of_day_90,90,
0,2025-01-15,48,138,put,1578.800076429546,time_of_day_90,90,
0,2025-01-16,40,130,put,-453.99995957687497,time_of_day_90,90,
0,2025-01-17,70,160,put,-550.0499633673628,time_of_day_90,90,
0,2025-01-21,111,201,put,-796.2249535066793,time_of_day_90,90,
0,2025-01-22,45,135,put,-443.7249909395325,time_of_day_90,90,
0,2025-01-23,103,193,put,-283.2999800041318,time_of_day_90,90,
0,2025-01-24,112,202,put,184.2999435223639,time_of_day_90,90,
0,2025-01-27,54,144,put,591.375118218461,time_of_day_90,90,
0,2025-01-28,51,141,put,-370.99996789477973,time_of_day_90,90,
0,2025-01-29,71,161,put,154.59996188580988,time_of_day_90,90,
0,2025-01-30,120,210,put,-491.0000017769863,time_of_day_90,90,
0,2025-01-31,40,130,put,-318.82496176794785,time_of_day_90,90,
0,2025-02-03,57,147,put,-635.0499780501191,time_of_day_90,90,
0,2025-02-04,49,139,put,-373.4999821194876,time_of_day_90,90,
0,2025-02-05,34,124,put,-964.7499539479526,time_of_day_90,90,
0,2025-02-06,45,135,put,449.32494121560075,time_of_day_90,90,
0,2025-02-07,87,177,put,51.650045168288706,time_of_day_90,90,
0,2025-02-10,77,167,put,1223.7999437570572,time_of_day_90,90,
0,2025-02-11,74,164,put,545.1699731505987,time_of_day_90,90,
0,2025-02-12,30,120,put,-379.7749907331115,time_of_day_90,90,
0,2025-02-13,73,163,put,689.7899100380391,time_of_day_90,90,
0,2025-02-14,87,177,put,568.7499541873949,time_of_day_90,90,
0,2025-02-18,89,179,put,137.28495820067826,time_of_day_90,90,
0,2025-02-19,61,151,put,-722.7499857000423,time_of_day_90,90,
0,2025-02-20,34,124,put,-222.82492316362445,time_of_day_90,90,
0,2025-02-21,48,138,put,537.9899260912017,time_of_day_90,90,
0,2025-02-24,36,126,put,-1031.524979561458,time_of_day_90,90,
0,2025-02-25,33,123,put,1319.475081841571,time_of_day_90,90,
0,2025-02-26,43,133,put,-342.62505585831104,time_of_day_90,90,
0,2025-02-27,33,123,put,-1016.7500079786207,time_of_day_90,90,
0,2025-02-28,55,145,put,-196.5000017396099,time_of_day_90,90,
0,2025-03-03,33,123,put,-483.49996969741613,time_of_day_90,90,
0,2025-03-04,30,120,put,-232.00002561959235,time_of_day_90,90,
0,2025-03-05,120,210,put,-1096.0999952356021,time_of_day_90,90,
0,2025-03-06,38,128,put,-239.0000378384885,time_of_day_90,90,
0,2025-03-07,71,161,put,455.3000746290767,time_of_day_90,90,
0,2025-03-10,85,175,put,-474.4249933142788,time_of_day_90,90,
0,2025-03-11,35,125,put,-530.0499610159442,time_of_day_90,90,
0,2025-03-12,71,161,put,-881.3750301322636,time_of_day_90,90,
0,2025-03-13,30,120,put,-195.2500584889242,time_of_day_90,90,
0,2025-03-14,53,143,put,-988.6249996013939,time_of_day_90,90,
0,2025-03-18,31,121,put,-93.15005796643716,time_of_day_90,90,
0,2025-03-19,35,125,put,-167.24996224666634,time_of_day_90,90,
1,2025-03-20,32,125,put,-419.49997038555307,model,93,0.9481667681664299
1,2025-03-21,90,152,put,865.9749222546137,model,62,0.9601486396667418
1,2025-03-24,79,86,put,4.849961647391311,model,7,0.9513128563460025
1,2025-03-26,118,195,put,1026.199925649166,model,77,0.9534749310045295
1,2025-03-27,50,215,put,-66.05001938651169,model,165,0.9188818642210111
1,2025-03-28,43,67,put,1361.7748841925186,model,24,0.9781007665906137
1,2025-03-31,64,107,put,-320.3749230309123,model,43,0.9765958118940484
1,2025-04-01,67,130,put,-999.3749953115528,model,63,0.9505622696626836
1,2025-04-02,36,111,put,-765.999960368009,model,75,0.9620771119507092
1,2025-04-03,106,111,put,167.75002091120558,model,5,0.9246506772127525
1,2025-04-08,35,86,put,405.9249550700388,model,51,0.8738810771861306
1,2025-04-10,32,50,put,-19.424967799466785,model,18,0.9492055598001735
1,2025-04-14,79,87,put,143.34998144770717,model,8,0.9810430394936575
1,2025-04-16,115,180,put,1053.5000641839094,model,65,0.6436014840389673
1,2025-04-17,52,92,put,45.07505671747916,model,40,0.9561526797061591
1,2025-04-21,32,91,put,253.37498215172027,model,59,0.9776674378171317
1,2025-04-22,40,143,put,-673.1249803180225,model,103,0.9148685398515982
1,2025-04-23,91,93,put,-144.74999828960586,model,2,0.967064603057438
1,2025-04-24,74,140,put,-404.7499904782523,model,66,0.9385758073964602
1,2025-04-29,35,220,put,-350.00001347085447,model,185,0.8970334461688833
1,2025-05-01,33,269,put,-988.4000089002117,model,236,0.8328421905441412
1,2025-05-02,71,117,put,-199.00003784424476,model,46,0.9677344948568253
1,2025-05-06,34,160,put,-923.9999558980226,model,126,0.9521865548398462
1,2025-05-07,89,185,put,-68.70005769229161,model,96,0.8931958531654877
1,2025-05-08,119,269,put,-892.6000212687585,model,150,0.8418485949856194
1,2025-05-13,44,266,put,-931.374957993736,model,222,0.8915067116718288
1,2025-05-15,31,185,put,-906.4749766071913,model,154,0.9627380029929274
1,2025-05-16,30,200,put,-928.8249603403111,model,170,0.9364970753158978
1,2025-05-19,37,125,put,-391.49999608731997,model,88,0.9201115479015041
1,2025-05-21,99,141,put,-157.45001815184952,model,42,0.9082193072172593
1,2025-05-23,35,96,put,147.2499821165078,model,61,0.9169337443973052
1,2025-05-27,39,103,put,-641.9249537080725,model,64,0.40621983309573395
1,2025-05-29,32,110,put,223.0000196466079,model,78,0.9643264235093513
1,2025-05-30,31,218,put,936.1750008314848,model,187,0.966588518784999
1,2025-06-02,93,200,put,-556.0499863342933,model,107,0.9356054810352737
1,2025-06-03,37,145,put,-952.250000505071,model,108,0.22527139089726406
1,2025-06-05,72,268,put,-540.8000375326383,model,196,0.8929763355915433
1,2025-06-06,96,130,put,1099.9250751890243,model,34,0.9629632844396702
1,2025-06-09,69,181,put,-200.77498105242847,model,112,0.9227736374123815
1,2025-06-10,51,224,put,-917.7000051882263,model,173,0.9140465175487973
1,2025-06-12,92,210,put,341.24999815890857,model,118,0.9334070103861153
1,2025-06-13,113,200,put,-388.60001103116986,model,87,0.9551440490064865
2,2025-06-16,41,135,put,-309.25000018812716,model,94,0.9519509694291081
2,2025-06-17,35,131,put,-351.9999411520274,model,96,0.9654595625727933
2,2025-06-18,31,140,put,-462.8750098272749,model,109,0.9563593214843511
2,2025-06-20,49,200,put,761.2499171702359,model,151,0.9664175004455421
2,2025-06-23,110,190,put,2674.9248927328804,model,80,0.9691412934056898
2,2025-06-24,46,100,put,-523.4000482885202,model,54,0.9768772186412579
2,2025-06-25,39,160,put,425.2950116648671,model,121,0.9631174948458109
2,2025-06-26,38,210,put,-810.1499661756991,model,172,0.9729497169737311
2,2025-06-27,66,176,put,-735.1749568793044,model,110,0.9383616832474168
2,2025-06-30,33,235,put,-338.3500158497642,model,202,0.9413192219720578
2,2025-07-01,39,105,put,767.9999956247098,model,66,0.9786023647822566
2,2025-07-02,32,48,put,-287.1750407962843,model,16,0.972303455937081
2,2025-07-03,32,46,put,33.224982695051054,model,14,0.445598715419866
2,2025-07-07,36,115,put,710.5000006742775,model,79,0.42723866064550065
2,2025-07-08,71,235,put,93.69996504333781,model,164,0.9585346521948056
2,2025-07-09,34,60,put,622.0250370832916,model,26,0.9663565748337949
2,2025-07-10,33,202,put,-927.2499802365837,model,169,0.3917547438740223
2,2025-07-11,37,170,put,-332.75002991372526,model,133,0.9669821853270302
2,2025-07-14,39,195,put,-872.5000517519201,model,156,0.9701099173946454
2,2025-07-15,39,110,put,692.999904856452,model,71,0.9637966450013877
2,2025-07-16,34,263,put,-838.7249713517588,model,229,0.9614518671149392
2,2025-07-17,37,111,put,-371.6249620993038,model,74,0.975264864011045
2,2025-07-18,38,73,put,730.7200297424143,model,35,0.9774021969393198
2,2025-07-21,37,110,put,-368.2500051226881,model,73,0.9602169200018968
2,2025-07-22,97,120,put,118.75003818593102,model,23,0.9483289717465965
2,2025-07-23,36,140,put,-553.7499712715445,model,104,0.9537540957943681
2,2025-07-24,34,185,put,79.25003806106383,model,151,0.9611042698611472
2,2025-07-25,36,43,put,-100.37503996362977,model,7,0.9810237369310552
