[2026-03-23 08:18:37] Signal handlers installed
[2026-03-23 08:18:37] Loop starting: hours=2.17, max_experiments=21
[2026-03-23 08:18:37] phase=startup | rss_mb=807.4 | vmsize_kb=17375572 | vmrss_kb=722692 | cgroup_mb=1287 | pids=7 | disk_used_gb=3244.2 | disk_free_gb=3684.4
[2026-03-23 08:22:32] phase=pre_train_1 | rss_mb=807.4 | vmsize_kb=17378644 | vmrss_kb=725764 | cgroup_mb=1289 | pids=8 | disk_used_gb=3261.0 | disk_free_gb=3667.7
[2026-03-23 08:26:43] phase=post_train_1 | rss_mb=807.4 | vmsize_kb=17452392 | vmrss_kb=725764 | cgroup_mb=1276 | pids=8 | disk_used_gb=3261.5 | disk_free_gb=3667.1
[2026-03-23 08:26:43] phase=post_exp_1 | rss_mb=807.4 | vmsize_kb=17452392 | vmrss_kb=725764 | cgroup_mb=1277 | pids=7 | disk_used_gb=3261.5 | disk_free_gb=3667.1
[2026-03-23 08:26:43] phase=pre_train_2 | rss_mb=807.4 | vmsize_kb=17450512 | vmrss_kb=724464 | cgroup_mb=1275 | pids=7 | disk_used_gb=3261.5 | disk_free_gb=3667.1
[2026-03-23 08:30:53] phase=post_train_2 | rss_mb=807.4 | vmsize_kb=17450512 | vmrss_kb=724464 | cgroup_mb=1269 | pids=7 | disk_used_gb=3261.2 | disk_free_gb=3667.4
[2026-03-23 08:30:53] phase=post_exp_2 | rss_mb=807.4 | vmsize_kb=17450512 | vmrss_kb=724464 | cgroup_mb=1271 | pids=7 | disk_used_gb=3261.2 | disk_free_gb=3667.4
[2026-03-23 08:30:53] phase=pre_train_3 | rss_mb=807.4 | vmsize_kb=17450512 | vmrss_kb=724464 | cgroup_mb=1270 | pids=7 | disk_used_gb=3261.2 | disk_free_gb=3667.4
[2026-03-23 08:35:04] phase=post_train_3 | rss_mb=807.4 | vmsize_kb=17450512 | vmrss_kb=724464 | cgroup_mb=1283 | pids=7 | disk_used_gb=3261.3 | disk_free_gb=3667.4
[2026-03-23 08:35:04] phase=post_exp_3 | rss_mb=807.4 | vmsize_kb=17450512 | vmrss_kb=724464 | cgroup_mb=1267 | pids=6 | disk_used_gb=3261.3 | disk_free_gb=3667.4
[2026-03-23 08:35:04] phase=pre_train_4 | rss_mb=807.4 | vmsize_kb=17450512 | vmrss_kb=724464 | cgroup_mb=1268 | pids=6 | disk_used_gb=3261.3 | disk_free_gb=3667.4
[2026-03-23 08:39:14] phase=post_train_4 | rss_mb=807.4 | vmsize_kb=17450512 | vmrss_kb=724464 | cgroup_mb=1272 | pids=8 | disk_used_gb=3261.1 | disk_free_gb=3667.5
