Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 146,330
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating with enhanced PnL alignment and minimized drawdown penalty
Training from scratch (v4: no warm-start).
Day-sequential batching: 70% sequential, 30% random (batch=16)

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00025 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=2.0, dir=1.0, pnl=0.3, exit=0.5, etv=0.1
EV gate scale: 10.0

step 01500 ( 12.5%) | loss: 0.473098 | trade:0.01 call:0.60 put:0.40 | ATM:0.57 OTM:0.43 | etv:-0.511 [seq] | lr: 2.08e-04 | left: 210s
step 01550 ( 12.9%) | loss: 0.368239 | trade:0.04 call:0.73 put:0.27 | ATM:0.73 OTM:0.27 | etv:-0.427 [seq] | lr: 2.15e-04 | left: 209s
step 01600 ( 13.3%) | loss: 0.356999 | trade:0.00 call:0.82 put:0.18 | ATM:0.79 OTM:0.21 | etv:-0.175 [seq] | lr: 2.22e-04 | left: 208s
step 01650 ( 13.7%) | loss: 0.457088 | trade:0.31 call:0.69 put:0.31 | ATM:0.63 OTM:0.37 | etv:+0.666 [rnd] | lr: 2.28e-04 | left: 207s
step 01700 ( 14.1%) | loss: 0.199876 | trade:0.89 call:0.09 put:0.91 | ATM:0.56 OTM:0.44 | etv:+1.337 [seq] | lr: 2.35e-04 | left: 206s
step 01750 ( 14.5%) | loss: 0.433687 | trade:0.74 call:0.93 put:0.07 | ATM:0.21 OTM:0.79 | etv:+0.200 [seq] | lr: 2.42e-04 | left: 205s
step 01800 ( 15.0%) | loss: 1.196385 | trade:0.62 call:0.49 put:0.51 | ATM:0.87 OTM:0.13 | etv:+1.195 [seq] | lr: 2.50e-04 | left: 204s
step 01850 ( 15.4%) | loss: 0.595461 | trade:0.02 call:0.59 put:0.41 | ATM:0.87 OTM:0.13 | etv:-0.603 [seq] | lr: 2.50e-04 | left: 203s
step 01900 ( 15.8%) | loss: 0.369709 | trade:0.01 call:0.60 put:0.40 | ATM:0.76 OTM:0.24 | etv:-0.574 [seq] | lr: 2.50e-04 | left: 202s
step 01950 ( 16.2%) | loss: 0.465733 | trade:0.01 call:0.56 put:0.44 | ATM:0.83 OTM:0.17 | etv:-0.478 [seq] | lr: 2.50e-04 | left: 201s
step 02000 ( 16.7%) | loss: 0.628282 | trade:0.02 call:0.67 put:0.33 | ATM:0.58 OTM:0.42 | etv:-0.436 [seq] | lr: 2.50e-04 | left: 200s
step 02050 ( 17.2%) | loss: 0.523368 | trade:0.34 call:0.67 put:0.33 | ATM:0.64 OTM:0.36 | etv:+0.498 [rnd] | lr: 2.50e-04 | left: 199s
step 02100 ( 17.7%) | loss: 0.627251 | trade:0.49 call:0.78 put:0.22 | ATM:0.44 OTM:0.56 | etv:+1.068 [seq] | lr: 2.50e-04 | left: 198s
step 02150 ( 18.1%) | loss: 0.517246 | trade:0.45 call:0.90 put:0.10 | ATM:0.74 OTM:0.26 | etv:+0.234 [seq] | lr: 2.50e-04 | left: 196s
step 02200 ( 18.5%) | loss: 0.423946 | trade:0.88 call:0.99 put:0.01 | ATM:0.47 OTM:0.53 | etv:+0.572 [seq] | lr: 2.50e-04 | left: 196s
step 02250 ( 18.9%) | loss: 0.408730 | trade:0.33 call:0.12 put:0.88 | ATM:0.89 OTM:0.11 | etv:-0.297 [seq] | lr: 2.50e-04 | left: 195s
step 02300 ( 19.3%) | loss: 0.636151 | trade:0.26 call:0.72 put:0.28 | ATM:0.64 OTM:0.36 | etv:+0.528 [rnd] | lr: 2.50e-04 | left: 194s
step 02350 ( 19.8%) | loss: 0.467119 | trade:0.07 call:0.71 put:0.29 | ATM:0.58 OTM:0.42 | etv:-0.156 [seq] | lr: 2.50e-04 | left: 193s
step 02400 ( 20.2%) | loss: 0.379938 | trade:0.99 call:0.01 put:0.99 | ATM:0.72 OTM:0.28 | etv:+10.843 [seq] | lr: 2.50e-04 | left: 192s
