Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir), ATM-biased, no ETV
Training from scratch (v4: no warm-start).
Day-sequential batching: 50% sequential, 50% random (batch=16)

Budget: 240s | Batch: 128 | lookback: 120
LR: 0.00018 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 1.5x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=0.4, dir=1.2, pnl=0.4, exit=0.5

step 01700 ( 13.9%) | loss: 0.620964 | trade:0.24 call:0.75 put:0.25 | ATM:0.59 OTM:0.41 [rnd] | lr: 1.25e-04 | left: 207s
step 01750 ( 14.3%) | loss: 0.870927 | trade:0.27 call:0.72 put:0.28 | ATM:0.62 OTM:0.38 [rnd] | lr: 1.29e-04 | left: 206s
step 01800 ( 14.7%) | loss: 1.021757 | trade:0.22 call:0.76 put:0.24 | ATM:0.61 OTM:0.39 [rnd] | lr: 1.33e-04 | left: 205s
step 01850 ( 15.2%) | loss: 1.207235 | trade:0.37 call:0.91 put:0.09 | ATM:0.47 OTM:0.53 [seq] | lr: 1.37e-04 | left: 204s
step 01900 ( 15.7%) | loss: 1.052223 | trade:0.23 call:0.68 put:0.32 | ATM:0.61 OTM:0.39 [rnd] | lr: 1.41e-04 | left: 202s
step 01950 ( 16.1%) | loss: 0.936953 | trade:0.24 call:0.72 put:0.28 | ATM:0.62 OTM:0.38 [rnd] | lr: 1.45e-04 | left: 201s
step 02000 ( 16.5%) | loss: 0.824146 | trade:0.02 call:0.83 put:0.17 | ATM:0.82 OTM:0.18 [seq] | lr: 1.49e-04 | left: 200s
step 02050 ( 16.9%) | loss: 0.491853 | trade:0.01 call:0.08 put:0.92 | ATM:0.91 OTM:0.09 [seq] | lr: 1.52e-04 | left: 199s
step 02100 ( 17.3%) | loss: 0.653757 | trade:0.23 call:0.65 put:0.35 | ATM:0.64 OTM:0.36 [rnd] | lr: 1.55e-04 | left: 199s
step 02150 ( 17.7%) | loss: 0.860619 | trade:0.00 call:0.55 put:0.45 | ATM:0.49 OTM:0.51 [seq] | lr: 1.59e-04 | left: 198s
step 02200 ( 18.1%) | loss: 0.680473 | trade:0.29 call:0.75 put:0.25 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.63e-04 | left: 196s
