Mixed precision: bf16 enabled (Ampere+ GPU detected)
Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir), ATM-biased, no ETV
Training from scratch (v4: no warm-start).
Day-sequential batching: 70% sequential, 30% random (batch=16)

Budget: 240s | Batch: 512 | Lookback: 120
LR: 0.00025 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=0.5, dir=2.0, pnl=0.3
Exit override strength: 0.15 (gate targets flipped on exit bars)
Position state: flat for random batches, tracked for day-sequential

step 01700 (  7.7%) | loss: 0.649181 | trade:0.01 call:0.91 put:0.09 | ATM:0.60 OTM:0.40 [seq] | lr: 8.26e-05 | left: 222s
step 01750 (  7.9%) | loss: 0.318205 | trade:0.19 call:0.93 put:0.08 | ATM:0.81 OTM:0.19 [seq] | lr: 8.41e-05 | left: 221s
step 01800 (  8.1%) | loss: 0.646662 | trade:0.02 call:0.87 put:0.13 | ATM:0.75 OTM:0.25 [seq] | lr: 8.56e-05 | left: 221s
step 01850 (  8.4%) | loss: 0.775464 | trade:0.01 call:0.71 put:0.29 | ATM:0.71 OTM:0.29 [seq] | lr: 8.77e-05 | left: 220s
step 01900 (  8.6%) | loss: 0.629395 | trade:0.01 call:0.97 put:0.03 | ATM:0.84 OTM:0.16 [seq] | lr: 8.98e-05 | left: 219s
step 01950 (  8.9%) | loss: 0.350303 | trade:0.00 call:0.75 put:0.25 | ATM:0.65 OTM:0.35 [seq] | lr: 9.15e-05 | left: 219s
step 02000 (  9.1%) | loss: 0.672391 | trade:0.32 call:0.82 put:0.18 | ATM:0.59 OTM:0.41 [seq] | lr: 9.34e-05 | left: 218s
step 02050 (  9.4%) | loss: 1.287856 | trade:0.38 call:0.69 put:0.31 | ATM:0.61 OTM:0.39 [rnd] | lr: 9.52e-05 | left: 218s
step 02100 (  9.6%) | loss: 0.906673 | trade:0.34 call:0.70 put:0.30 | ATM:0.63 OTM:0.37 [rnd] | lr: 9.70e-05 | left: 217s
step 02150 (  9.8%) | loss: 0.745347 | trade:0.36 call:0.71 put:0.29 | ATM:0.61 OTM:0.39 [rnd] | lr: 9.84e-05 | left: 217s
step 02200 ( 10.0%) | loss: 0.600191 | trade:0.36 call:0.73 put:0.27 | ATM:0.60 OTM:0.40 [rnd] | lr: 9.99e-05 | left: 216s
step 02250 ( 10.3%) | loss: 0.479621 | trade:0.01 call:0.98 put:0.02 | ATM:0.84 OTM:0.16 [seq] | lr: 1.02e-04 | left: 215s
step 02300 ( 10.6%) | loss: 0.835854 | trade:0.37 call:0.72 put:0.28 | ATM:0.62 OTM:0.38 [rnd] | lr: 1.05e-04 | left: 215s
step 02350 ( 10.8%) | loss: 0.654533 | trade:0.89 call:0.02 put:0.98 | ATM:0.93 OTM:0.07 [seq] | lr: 1.06e-04 | left: 214s
step 02400 ( 11.2%) | loss: 0.760194 | trade:0.05 call:0.31 put:0.69 | ATM:0.77 OTM:0.23 [seq] | lr: 1.09e-04 | left: 213s
step 02450 ( 11.4%) | loss: 0.784799 | trade:0.34 call:0.70 put:0.30 | ATM:0.61 OTM:0.39 [rnd] | lr: 1.11e-04 | left: 213s
step 02500 ( 11.6%) | loss: 0.594888 | trade:0.00 call:0.79 put:0.21 | ATM:0.77 OTM:0.23 [seq] | lr: 1.12e-04 | left: 212s
