fold_id,evidence_grade,split,gate,strategy,v_sel_n,v_sel_mean,v_sel_winsor600_mean,v_sel_trim10_mean,v_sel_median,v_sel_share_positive,v_sel_sum,v_sel_top5pct_contribution_share,v_sel_mean_without_top_session,v_sel_winsor600_mean_boot_ci_low,v_sel_winsor600_mean_boot_ci_high,return_on_premium_mean,return_on_premium_median,stratum_key,stratum_value
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,212,22.264150943396228,11.367924528301886,-1.7058823529411764,-45.0,0.4386792452830189,4720.0,1.9067796610169492,-3.763440860215054,-76.50641822894848,104.28620144778778,0.048999511246027444,-0.045620058814882514,gate_age,gate_age_4_10
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,166,16.927710843373493,-10.542168674698795,-16.940298507462686,-60.0,0.3674698795180723,2810.0,3.170818505338078,-27.36111111111111,-113.062379799131,92.16898148148147,0.02252992715407375,-0.1,gate_age,gate_age_2_3
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,174,47.5,44.741379310344826,13.821428571428571,-35.0,0.3735632183908046,8265.0,0.7090139140955838,1.78125,-53.333333333333336,268.52941176470586,-0.04376976296951887,-0.15192307692307694,gate_age,gate_age_gt_10
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,143,-8.776223776223777,-31.713286713286713,-47.0,-95.0,0.35664335664335667,-1255.0,-6.063745019920319,-35.96,-111.82326897060632,57.57044057377047,-0.024049467783227776,-0.14285714934472354,gate_age,gate_age_1
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,211,17.511848341232227,8.554502369668246,-9.023668639053254,-50.0,0.4218009478672986,3695.0,2.257104194857916,-8.172413793103448,-70.00354609929077,69.1093029953917,0.02218525510762939,-0.0638297898243758,time_bucket,midday_1130_1329
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,68,33.529411764705884,-16.470588235294116,-9.107142857142858,-90.0,0.4117647058823529,2280.0,2.1096491228070176,-9.696969696969697,-211.53171992481202,229.5976063829787,0.008547517465117916,-0.06926707986234393,time_bucket,open_0931_0959
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,164,67.6219512195122,35.426829268292686,48.10606060606061,-45.0,0.42073170731707316,11090.0,0.806131650135257,-0.24,-153.9564255189255,171.03478426880488,0.062170198587745876,-0.042357687026162244,time_bucket,morning_1000_1129
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,194,-13.556701030927835,-13.8659793814433,-40.80128205128205,-50.0,0.31958762886597936,-2630.0,-1.870722433460076,-38.44827586206897,-73.0901287553648,147.9338662790697,-0.07994872982509106,-0.21169441182891868,time_bucket,afternoon_1330_1459
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,58,1.8103448275862069,1.8103448275862069,-6.875,-35.0,0.3793103448275862,105.0,6.857142857142857,-7.0,-37.765957446808514,27.77777777777778,0.05387366628234011,-0.35714286322496386,time_bucket,late_1500_1530
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,384,46.848958333333336,25.078125,18.181818181818183,-40.0,0.4244791666666667,17990.0,1.0617009449694275,10.616883116883116,-69.09293611793612,119.86200893907315,0.0327451189591225,-0.07378393536010515,momentum5_side,mom5_pos
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,311,-11.093247588424438,-18.392282958199356,-35.94377510040161,-50.0,0.3440514469453376,-3450.0,-3.5652173913043477,-41.149825783972126,-96.71058751995135,90.32246671774733,-0.030550720380279214,-0.13698629779067634,momentum5_side,mom5_neg
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,381,23.74015748031496,14.133858267716535,5.852459016393443,-35.0,0.4146981627296588,9045.0,1.773355444997236,-8.37171052631579,-102.78478422619047,108.01968492406651,0.02598944036563793,-0.07272727272727272,momentum15_side,mom15_pos
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,28,210.71428571428572,101.78571428571429,169.58333333333334,55.0,0.5,5900.0,0.49491525423728816,126.52173913043478,-147.89219858156028,390.7001915708812,0.11865344711146394,0.026623460394347643,momentum15_side,mom15_flat
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,286,-1.416083916083916,-15.122377622377622,-36.108695652173914,-60.0,0.34265734265734266,-405.0,-31.530864197530864,-29.35185185185185,-73.58408167229477,102.95698507462684,-0.03549448131605885,-0.19419306132213668,momentum15_side,mom15_neg
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,490,6.316326530612245,-6.357142857142857,-21.339285714285715,-50.0,0.3673469387755102,3095.0,6.9176090468497575,-30.576470588235296,-102.13581497552055,115.70270532741397,-0.010637669641739976,-0.13515981556200485,vwap_gap_bucket,vwap_gap_2_10
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,98,43.87755102040816,15.510204081632653,7.0,-50.0,0.42857142857142855,4300.0,1.2232558139534884,-1.6666666666666667,-75.94285869722907,127.1077425373134,0.04450344214953554,-0.08577454392981625,vwap_gap_bucket,vwap_gap_m2_0
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,107,66.77570093457943,51.44859813084112,49.252873563218394,-20.0,0.4485981308411215,7145.0,0.7109867039888034,26.686046511627907,-26.349056603773587,159.2393292682926,0.03667263958723657,-0.02702702667871647,vwap_gap_bucket,vwap_gap_0_2
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,239,1.7364016736401673,1.4435146443514644,-24.844559585492227,-50.0,0.3891213389121339,415.0,14.506024096385541,-25.218446601941746,-78.1205671293077,92.43963533142387,-0.015257900284337945,-0.1111111111111111,premium_bucket,premium_3_7_5
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,54,3.3333333333333335,-40.74074074074074,-42.5,-65.0,0.46296296296296297,180.0,22.11111111111111,-69.52380952380952,-247.68097083794757,152.88690476190465,0.007005629300952908,-0.04037266985087259,premium_bucket,premium_gte_15
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,279,58.27956989247312,28.96057347670251,31.511111111111113,-60.0,0.4229390681003584,16260.0,0.7853628536285363,12.851063829787234,-94.95468687049555,127.80966887218939,0.058994927295176816,-0.052631578192580686,premium_bucket,premium_7_5_15
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,123,-18.821138211382113,-18.821138211382113,-28.232323232323232,-40.0,0.2764227642276423,-2315.0,-0.591792656587473,-20.5327868852459,-31.40549313358302,10.164843749999992,-0.08226340559034806,-0.32258065508506084,premium_bucket,premium_lt_3
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,gate_first_eligible,20,-11.5,-85.5,-83.125,-180.0,0.3,-230.0,-5.913043478260869,-67.77777777777777,-252.50694444444446,54.01249999999999,-0.028098397875903302,-0.09830826012334898,gate_age,gate_age_1
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,gate_first_eligible,3,-86.66666666666667,-46.666666666666664,-86.66666666666667,-20.0,0.3333333333333333,-260.0,-1.8461538461538463,-370.0,-600.0,480.0,-0.05313967585991931,-0.015151515370448652,gate_age,gate_age_2_3
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,gate_first_eligible,9,-75.55555555555556,-125.55555555555556,-75.55555555555556,-130.0,0.2222222222222222,-680.0,-1.5441176470588236,-181.66666666666666,-310.0,35.56249999999999,-0.08557063069161057,-0.09701492813494464,time_bucket,morning_1000_1129
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,gate_first_eligible,14,13.571428571428571,-51.42857142857143,-34.166666666666664,-175.0,0.35714285714285715,190.0,7.157894736842105,-90.0,-262.3607843137255,202.02692307692305,0.003482049366190779,-0.08706787591822057,time_bucket,open_0931_0959
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,gate_first_eligible,19,45.78947368421053,-25.789473684210527,15.882352941176471,-130.0,0.3684210526315789,870.0,1.5632183908045978,-7.0588235294117645,-218.73125,121.51684782608694,0.019951031231497208,-0.07453415972468785,momentum5_side,mom5_pos
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,gate_first_eligible,4,-340.0,-340.0,-340.0,-415.0,0.0,-1360.0,0.014705882352941176,-446.6666666666667,-470.0,-122.5,-0.27511414462406775,-0.35889184480653763,momentum5_side,mom5_neg
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,gate_first_eligible,5,-200.0,-176.0,-200.0,-130.0,0.2,-1000.0,-0.34,-335.0,-414.0,106.0,-0.12213552641310663,-0.07453415972468785,momentum15_side,mom15_neg
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,gate_first_eligible,8,238.75,90.0,238.75,75.0,0.5,1910.0,0.7120418848167539,78.57142857142857,-208.9375,387.5,0.13113563841370887,0.04867415073063276,momentum15_side,mom15_flat
