Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 146,330
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating with enhanced PnL alignment and cosine LR decay
Training from scratch (v4: no warm-start).
Day-sequential batching: 70% sequential, 30% random (batch=16)

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00025 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=2.0, dir=1.0, pnl=0.3, exit=0.5, etv=0.1
EV gate scale: 10.0

step 01500 ( 12.4%) | loss: 0.477776 | trade:0.01 call:0.66 put:0.34 | ATM:0.58 OTM:0.42 | etv:-0.346 [seq] | lr: 2.06e-04 | left: 210s
step 01550 ( 12.8%) | loss: 0.372081 | trade:0.02 call:0.66 put:0.34 | ATM:0.68 OTM:0.32 | etv:-0.467 [seq] | lr: 2.13e-04 | left: 209s
step 01600 ( 13.2%) | loss: 0.360455 | trade:0.00 call:0.70 put:0.30 | ATM:0.73 OTM:0.27 | etv:-0.294 [seq] | lr: 2.19e-04 | left: 208s
step 01650 ( 13.6%) | loss: 0.461980 | trade:0.31 call:0.69 put:0.31 | ATM:0.61 OTM:0.39 | etv:+0.660 [rnd] | lr: 2.26e-04 | left: 207s
step 01700 ( 14.0%) | loss: 0.201361 | trade:0.88 call:0.09 put:0.91 | ATM:0.55 OTM:0.45 | etv:+1.353 [seq] | lr: 2.33e-04 | left: 206s
step 01750 ( 14.4%) | loss: 0.442157 | trade:0.74 call:0.94 put:0.06 | ATM:0.20 OTM:0.80 | etv:+0.241 [seq] | lr: 2.39e-04 | left: 206s
step 01800 ( 14.8%) | loss: 1.203512 | trade:0.62 call:0.49 put:0.51 | ATM:0.87 OTM:0.13 | etv:+1.403 [seq] | lr: 2.47e-04 | left: 204s
step 01850 ( 15.3%) | loss: 0.598992 | trade:0.01 call:0.44 put:0.56 | ATM:0.84 OTM:0.16 | etv:-0.605 [seq] | lr: 2.50e-04 | left: 203s
step 01900 ( 15.7%) | loss: 0.372763 | trade:0.01 call:0.58 put:0.42 | ATM:0.69 OTM:0.31 | etv:-0.493 [seq] | lr: 2.50e-04 | left: 202s
step 01950 ( 16.1%) | loss: 0.467070 | trade:0.01 call:0.50 put:0.50 | ATM:0.81 OTM:0.19 | etv:-0.478 [seq] | lr: 2.50e-04 | left: 201s
step 02000 ( 16.5%) | loss: 0.630453 | trade:0.02 call:0.66 put:0.34 | ATM:0.55 OTM:0.45 | etv:-0.406 [seq] | lr: 2.50e-04 | left: 200s
