Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 146,330
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating with enhanced PnL alignment and enhanced ETV magnitude awareness
Training from scratch (v4: no warm-start).
Day-sequential batching disabled: day_boundaries not in data.pt

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5, etv=0.4
EV gate scale: 10.0

step 01500 ( 16.2%) | loss: 2.883818 | trade:0.51 call:0.57 put:0.43 | ATM:0.39 OTM:0.61 | etv:+1.533 [rnd] | lr: 1.50e-04 | left: 201s
step 01550 ( 16.8%) | loss: 2.855656 | trade:0.45 call:0.63 put:0.37 | ATM:0.42 OTM:0.58 | etv:+1.319 [rnd] | lr: 1.50e-04 | left: 200s
step 01600 ( 17.3%) | loss: 2.916685 | trade:0.55 call:0.62 put:0.38 | ATM:0.39 OTM:0.61 | etv:+1.444 [rnd] | lr: 1.50e-04 | left: 198s
step 01650 ( 17.9%) | loss: 2.834744 | trade:0.47 call:0.59 put:0.41 | ATM:0.40 OTM:0.60 | etv:+1.091 [rnd] | lr: 1.50e-04 | left: 197s
step 01700 ( 18.4%) | loss: 2.758616 | trade:0.49 call:0.57 put:0.43 | ATM:0.41 OTM:0.59 | etv:+1.375 [rnd] | lr: 1.50e-04 | left: 196s
step 01750 ( 19.0%) | loss: 2.723365 | trade:0.48 call:0.59 put:0.41 | ATM:0.42 OTM:0.58 | etv:+1.269 [rnd] | lr: 1.50e-04 | left: 194s
step 01800 ( 19.5%) | loss: 2.689876 | trade:0.44 call:0.56 put:0.44 | ATM:0.42 OTM:0.58 | etv:+1.072 [rnd] | lr: 1.50e-04 | left: 193s
step 01850 ( 20.1%) | loss: 2.637191 | trade:0.54 call:0.59 put:0.41 | ATM:0.39 OTM:0.61 | etv:+2.205 [rnd] | lr: 1.50e-04 | left: 192s
step 01900 ( 20.6%) | loss: 2.612488 | trade:0.52 call:0.58 put:0.42 | ATM:0.41 OTM:0.59 | etv:+1.994 [rnd] | lr: 1.50e-04 | left: 191s
step 01950 ( 21.2%) | loss: 2.572647 | trade:0.47 call:0.57 put:0.43 | ATM:0.41 OTM:0.59 | etv:+1.670 [rnd] | lr: 1.50e-04 | left: 189s
step 02000 ( 21.7%) | loss: 2.511177 | trade:0.50 call:0.59 put:0.41 | ATM:0.40 OTM:0.60 | etv:+1.770 [rnd] | lr: 1.50e-04 | left: 188s
step 02050 ( 22.3%) | loss: 2.473097 | trade:0.48 call:0.63 put:0.37 | ATM:0.40 OTM:0.60 | etv:+1.637 [rnd] | lr: 1.50e-04 | left: 187s
step 02100 ( 22.8%) | loss: 2.426186 | trade:0.45 call:0.61 put:0.39 | ATM:0.41 OTM:0.59 | etv:+1.734 [rnd] | lr: 1.50e-04 | left: 185s
step 02150 ( 23.3%) | loss: 2.354805 | trade:0.49 call:0.56 put:0.44 | ATM:0.41 OTM:0.59 | etv:+1.358 [rnd] | lr: 1.50e-04 | left: 184s
step 02200 ( 23.9%) | loss: 2.285783 | trade:0.49 call:0.62 put:0.38 | ATM:0.40 OTM:0.60 | etv:+1.277 [rnd] | lr: 1.50e-04 | left: 183s
step 02250 ( 24.5%) | loss: 2.308537 | trade:0.46 call:0.62 put:0.38 | ATM:0.42 OTM:0.58 | etv:+0.869 [rnd] | lr: 1.50e-04 | left: 181s
step 02300 ( 25.0%) | loss: 2.288729 | trade:0.49 call:0.52 put:0.48 | ATM:0.41 OTM:0.59 | etv:+2.472 [rnd] | lr: 1.50e-04 | left: 180s
step 02350 ( 25.5%) | loss: 2.185859 | trade:0.42 call:0.66 put:0.34 | ATM:0.43 OTM:0.57 | etv:+1.310 [rnd] | lr: 1.50e-04 | left: 179s
