fold_id,evidence_grade,split,gate,strategy,n_all_gated,n_selected,gate_value_G,entry_uplift_E,selection_delta_C,identity_check_mean_V_sel,selected_mean_V_sel,identity_error,lifecycle_delta_policy1,lifecycle_delta_policy2,train_designated_alt_policy,train_designated_lifecycle_delta,serial_sampling_delta_A,bootstrap_ci_E_low,bootstrap_ci_E_high,bootstrap_ci_C_low,bootstrap_ci_C_high
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,695,695,20.92086330935252,0.0,0.0,20.92086330935252,20.92086330935252,0.0,64.37410071942446,91.26618705035972,1,64.37410071942446,0.0,0.0,0.0,0.0,0.0
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,gate_first_eligible,695,23,20.92086330935252,-61.986706287144195,19.761495151704718,-21.304347826086957,-21.304347826086957,0.0,-159.56521739130434,-174.34782608695653,1,-159.56521739130434,0.0,-288.4686333188892,125.2801662566947,-42.20800333814594,91.60016190969371
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,slot_schedule_3win,695,22,20.92086330935252,-37.47089601046435,47.23185088293002,30.681818181818187,30.681818181818183,3.552713678800501e-15,-170.45454545454547,38.18181818181818,1,-170.45454545454547,0.0,-220.82921130449475,128.79807092906515,-12.223022178086726,118.14596212813267
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,attempt131_serial,695,22,20.92086330935252,175.71092217135381,-61.17724002616087,135.45454545454547,135.45454545454547,0.0,-56.81818181818182,-51.81818181818182,1,-56.81818181818182,-94.31818181818184,0.03367307392598456,365.0658124831853,-129.72679368519306,2.6184181583800563
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,695,22,20.92086330935252,68.66546762589928,-48.449967298888176,41.13636363636362,41.13636363636363,-1.4210854715202004e-14,147.27272727272728,182.5,1,147.27272727272728,0.0,-268.0765941415146,490.0741572543331,-176.1576627486437,65.92904486527706
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,all_gated_parallel,857,857,10.618436406067678,0.0,0.0,10.618436406067678,10.618436406067678,0.0,54.03150525087515,121.49358226371062,1,54.03150525087515,0.0,0.0,0.0,0.0,0.0
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,gate_first_eligible,857,25,10.618436406067678,-151.14912485414237,64.53068844807468,-76.00000000000001,-76.0,-1.4210854715202004e-14,-12.8,-30.8,1,-12.8,0.0,-346.70998628886696,-7.559516178266194,19.520932564907067,114.62775859866946
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,slot_schedule_3win,857,23,10.618436406067678,13.294353406727204,-8.695398508447056,15.217391304347828,15.217391304347826,1.7763568394002505e-15,-30.869565217391305,-140.43478260869566,1,-30.869565217391305,0.0,-245.35985185632038,210.35280814256072,-68.64907076328493,55.22893427023864
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_serial,857,22,10.618436406067678,-14.976397581415085,9.357961175347405,4.999999999999998,5.0,-1.7763568394002505e-15,38.18181818181818,-105.0,1,38.18181818181818,81.36363636363636,-248.77547126419125,162.49094118023547,-42.18860519982266,70.63502846326621
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,857,22,10.618436406067678,130.02360241858491,-54.27840246101624,86.36363636363635,86.36363636363636,-1.4210854715202004e-14,163.86363636363637,107.5,1,163.86363636363637,0.0,-91.76216904449151,344.6669413939937,-116.03875575216328,5.044879167165424
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,all_gated_parallel,205,205,55.829268292682926,0.0,0.0,55.829268292682926,55.829268292682926,0.0,57.78048780487805,107.53658536585365,2,107.53658536585365,0.0,0.0,0.0,0.0,0.0
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,gate_first_eligible,205,25,55.829268292682926,104.34878048780489,7.421951219512181,167.6,167.6,0.0,-206.4,-155.2,2,-155.2,0.0,-125.89584014300306,322.66503169907014,-58.72802148033128,73.16344474821963
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,slot_schedule_3win,205,21,55.829268292682926,-4.7369337979094155,39.86004645760744,90.95238095238095,90.95238095238095,0.0,-183.0952380952381,17.38095238095238,2,17.38095238095238,0.0,-177.97708333333333,205.96436403508773,-17.711554276315784,79.98548012130917
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,attempt130_serial,205,20,55.829268292682926,242.5487804878049,-40.3780487804878,258.0,258.0,0.0,-34.0,-80.0,2,-80.0,-90.0,61.51300818307206,450.802885378002,-81.02599962785736,4.425571328208959
