fold_id,evidence_grade,split,gate,strategy,v_sel_n,v_sel_mean,v_sel_winsor600_mean,v_sel_trim10_mean,v_sel_median,v_sel_share_positive,v_sel_sum,v_sel_top5pct_contribution_share,v_sel_mean_without_top_session,v_sel_winsor600_mean_boot_ci_low,v_sel_winsor600_mean_boot_ci_high,return_on_premium_mean,return_on_premium_median
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,all_gated_parallel,695,20.92086330935252,5.625899280575539,-7.289048473967684,-50.0,0.38848920863309355,14540.0,2.1423658872077027,-7.66612641815235,-81.66415620531168,97.9428378998051,0.004421369269116845,-0.10416666252745539
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,gate_first_eligible,23,-21.304347826086957,-80.43478260869566,-74.73684210526316,-130.0,0.30434782608695654,-490.0,-4.918367346938775,-70.47619047619048,-254.79761904761904,56.94230769230767,-0.03136465152599234,-0.09701492813494464
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,slot_schedule_3win,22,30.681818181818183,-48.86363636363637,-27.5,-177.5,0.3181818181818182,675.0,3.5703703703703704,-15.75,-209.49279448621556,68.71247563352824,-0.0369029318707269,-0.20763246376112243
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,attempt131_serial,22,135.45454545454547,70.45454545454545,112.22222222222223,0.0,0.5,2980.0,0.7718120805369127,83.15789473684211,-107.31590909090909,203.05562659846547,0.10334512035009795,-0.007644529402817551
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,22,41.13636363636363,-20.227272727272727,-11.944444444444445,-77.5,0.3181818181818182,905.0,2.3535911602209945,-28.157894736842106,-217.3812111801242,204.5119047619047,-0.02139234935978927,-0.1913622900194225
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,all_gated_parallel,857,10.618436406067678,4.924154025670945,-4.366812227074236,-25.0,0.44224037339556593,9100.0,3.479120879120879,-5.472887767969735,-35.413498503845304,54.48817905441284,0.03495050555447496,-0.0392156870078234
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,gate_first_eligible,25,-76.0,-99.2,-118.0952380952381,-170.0,0.4,-1900.0,-1.1368421052631579,-131.36363636363637,-241.92532467532467,13.861111111111098,-0.04366137031122374,-0.11724137931034483
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,slot_schedule_3win,23,15.217391304347826,13.478260869565217,20.526315789473685,10.0,0.5652173913043478,350.0,4.4,-39.0,-163.034375,151.69499999999996,0.11990015129475849,0.009615384968074833
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_serial,22,5.0,-15.0,-20.0,-110.0,0.4090909090909091,110.0,17.636363636363637,-57.89473684210526,-170.07894736842104,119.59782608695649,0.03160654143391856,-0.08681732511546261
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,22,86.36363636363636,64.54545454545455,77.77777777777777,30.0,0.5909090909090909,1900.0,0.9947368421052631,11.578947368421053,-74.09577922077922,196.6022727272727,0.12732262599101787,0.030580888867114436
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,all_gated_parallel,205,55.829268292682926,34.26829268292683,27.545454545454547,-35.0,0.43902439024390244,11445.0,0.90782000873744,13.201219512195122,-38.55191791545516,126.24058813324072,0.04041614520238438,-0.052631578192580686
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,gate_first_eligible,25,167.6,88.0,130.47619047619048,-50.0,0.48,4190.0,0.6324582338902148,112.27272727272727,-118.98958333333333,248.47703703703698,0.1145991536492073,-0.03472222314204701
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,slot_schedule_3win,21,90.95238095238095,19.523809523809526,29.41176470588235,-60.0,0.38095238095238093,1910.0,1.3664921465968587,17.5,-142.36703431372547,160.01388888888889,0.05976626277116867,-0.04477612067766675
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,attempt130_serial,20,258.0,175.5,220.0,130.0,0.6,5160.0,0.3023255813953488,211.1764705882353,40.592708333333334,281.69791666666663,0.20124975034613724,0.1022727250234463
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,attempt130_topk_parallel,20,168.0,85.5,123.75,45.0,0.55,3360.0,0.4642857142857143,104.70588235294117,-134.88095238095238,327.22587719298247,0.1316405869881814,0.02992840474141523
