session,status,neural_rows,expected_decision_minutes,early_close_session,ladder_shape_ok_share,tradable_minute_share,mean_tradable_candidates,min_tradable_candidates,near_atm_tradable_share,label_finite_share,label_nonzero_share,label_positive_share,label_negative_share,label_spot_sample_count,label_spot_match_count,label_spot_mismatch_count,label_fee_model,feature_contract_version,context_lag_exact_one_minute_share,future_context_row_count,opening_no_leading_backfill,failed_checks,record_hash
2024-10-01,pass,360,360,False,1.0,1.0,27.97222222222222,11,0.9322530864197531,0.666005291005291,0.9907977490897054,0.3638861304203906,0.6269116186693148,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,1f04e012c820bb723dee5001d2f0051cb4ce75a3de6920a18e8779f330ee4678
2024-10-02,pass,360,360,False,1.0,1.0,27.675,12,0.958179012345679,0.6589285714285714,0.9811636387968818,0.34959349593495936,0.6315701428619225,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,02220cb1663def91f55429901fbb46230ab21e293893d6c13ead16f20d694145
2024-10-03,pass,360,360,False,1.0,1.0,27.56111111111111,13,0.9385802469135802,0.6562169312169313,0.9878720688033327,0.3453604783981724,0.6425115904051603,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,9d12d78e526058401a32d8639f71aa5d0910627562355449b0aaf871b1a9b4cd
2024-10-04,pass,360,360,False,1.0,1.0,27.06111111111111,10,0.9427469135802469,0.6443121693121693,0.9886402518305618,0.3815780469445015,0.6070622048860603,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,ee8fecc8b8457e2bca85f03d0a5fe116ad087d6bc26bd98ac4ff94f590392942
2024-10-07,pass,360,360,False,1.0,1.0,26.67222222222222,14,0.9641975308641976,0.6350529100529101,0.9828855099632021,0.3150038186488926,0.6678816913143095,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,ea16b1574e50c1c23c4a0a726ec78a5b1df71a3763c309fa8fd9369adb932f46
2024-10-08,pass,360,360,False,1.0,1.0,25.20277777777778,11,0.9279320987654321,0.6000661375661376,0.9795730923252141,0.3373378889746133,0.6422352033506007,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,479ef5ce52155e0a35f1d437b90ad58f3e512a309c353700afe9498bf177a435
2024-10-09,pass,360,360,False,1.0,1.0,27.019444444444446,12,0.9589506172839506,0.6433201058201058,0.982522874473116,0.3774716425071108,0.6050512319660053,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,38d1ac2d12380f0405a64aaf7eee37e4003adc269602a0db56a721fb867822f2
2024-10-10,pass,360,360,False,1.0,1.0,26.95,13,0.9626543209876544,0.6416666666666667,0.9832680546966261,0.35697107125678557,0.6262969834398406,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,49c7adeeb497951e45df0b4b7b3eeca07079884b756ed79476588ba4a4cc42da
2024-10-11,pass,360,360,False,1.0,1.0,24.65277777777778,10,0.9313271604938271,0.5869708994708994,0.984225352112676,0.340018779342723,0.6442065727699531,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,5c5ed1ed93ccbfe71ab19af3b076f0fb79950d7e703eca4e89484bfbd3321858
2024-10-14,pass,360,360,False,1.0,1.0,19.886111111111113,9,0.8516975308641975,0.473478835978836,0.9809563719327653,0.32248451832192576,0.6584718536108395,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,ec89fbae0ad5d511881db397561edec19f2a3da67733ca0c9c6cc1211138b043
2024-10-15,pass,360,360,False,1.0,1.0,23.105555555555554,12,0.9162037037037037,0.5501322751322751,0.9808046806123267,0.3609842109481446,0.6198204696641821,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,7bc53e00886478899b41c3e2141f6d186857e6ec5f31ac7ba489727f60409eb9
2024-10-16,pass,360,360,False,1.0,1.0,23.116666666666667,10,0.9151234567901234,0.5503968253968254,0.979371945846351,0.330769846991909,0.6486020988544421,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,9a470475fd540117e51e7aff80eb25b13245fa9a401ef0e7de6306eecf1bb2c5
2024-10-17,pass,360,360,False,1.0,1.0,22.48611111111111,12,0.8910493827160494,0.5353835978835979,0.982828906732551,0.31949763228330247,0.6633312744492486,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,5b61dcd04bcdce06b6cb19fafc76e2656cb08a77ce8ea209d0f49eff223a2bde
2024-10-18,pass,360,360,False,1.0,1.0,19.98611111111111,10,0.8512345679012345,0.47585978835978837,0.9764188093583507,0.2751911049339819,0.7012277044243688,5,5,0,gross_no_fees,protocol101-live-v1,1.0,0,True,,27f16858b3d6d888ed2cdd4f675ecdbac95cb3c20c8be8fedd22137a0dfd5b42
