stress_per_side,policy,group_type,group,total_pnl,taken_trades,skipped_trades,total_contracts,worst_trade
0.0,one_contract_baseline,segment,q1_2026,95010.0,249,0,249,-1840.0
0.0,one_contract_baseline,segment,q3_2025,68740.0,274,0,274,-1610.0
0.0,one_contract_baseline,segment,q4_2024_external,58280.0,211,0,211,-1530.0
0.0,one_contract_baseline,segment,q4_2025,97020.0,294,0,294,-1560.0
0.0,high_conviction_profit_cushion,segment,q1_2026,87880.0,227,22,242,-2060.0
0.0,high_conviction_profit_cushion,segment,q3_2025,96070.0,257,17,378,-1610.0
0.0,high_conviction_profit_cushion,segment,q4_2024_external,48950.0,189,22,194,-1530.0
0.0,high_conviction_profit_cushion,segment,q4_2025,99970.0,291,3,296,-1560.0
0.0,slow_growth_two_contract,segment,q1_2026,90930.0,227,22,248,-2060.0
0.0,slow_growth_two_contract,segment,q3_2025,90530.0,261,13,356,-1610.0
0.0,slow_growth_two_contract,segment,q4_2024_external,49180.0,181,30,186,-1530.0
0.0,slow_growth_two_contract,segment,q4_2025,100630.0,291,3,300,-1560.0
0.0,lower_two_contract_threshold,segment,q1_2026,96780.0,227,22,264,-2960.0
0.0,lower_two_contract_threshold,segment,q3_2025,105360.0,257,17,402,-1610.0
0.0,lower_two_contract_threshold,segment,q4_2024_external,50570.0,189,22,199,-1530.0
0.0,lower_two_contract_threshold,segment,q4_2025,101290.0,291,3,307,-1560.0
0.1,one_contract_baseline,segment,q1_2026,90030.0,249,0,249,-1860.0
0.1,one_contract_baseline,segment,q3_2025,63260.0,274,0,274,-1630.0
0.1,one_contract_baseline,segment,q4_2024_external,54060.0,211,0,211,-1550.0
0.1,one_contract_baseline,segment,q4_2025,91140.0,294,0,294,-1580.0
0.1,high_conviction_profit_cushion,segment,q1_2026,82880.0,227,22,241,-2100.0
0.1,high_conviction_profit_cushion,segment,q3_2025,87440.0,261,13,375,-1630.0
0.1,high_conviction_profit_cushion,segment,q4_2024_external,45070.0,189,22,194,-1550.0
0.1,high_conviction_profit_cushion,segment,q4_2025,94050.0,291,3,296,-1580.0
0.1,slow_growth_two_contract,segment,q1_2026,85810.0,227,22,247,-2100.0
0.1,slow_growth_two_contract,segment,q3_2025,81560.0,261,13,351,-1630.0
0.1,slow_growth_two_contract,segment,q4_2024_external,45460.0,181,30,186,-1550.0
0.1,slow_growth_two_contract,segment,q4_2025,94630.0,291,3,300,-1580.0
0.1,lower_two_contract_threshold,segment,q1_2026,91340.0,227,22,263,-3000.0
0.1,lower_two_contract_threshold,segment,q3_2025,94120.0,261,13,395,-1630.0
0.1,lower_two_contract_threshold,segment,q4_2024_external,45940.0,189,22,197,-1550.0
0.1,lower_two_contract_threshold,segment,q4_2025,95150.0,291,3,307,-1580.0
0.25,one_contract_baseline,segment,q1_2026,82560.0,249,0,249,-1890.0
0.25,one_contract_baseline,segment,q3_2025,55040.0,274,0,274,-1660.0
0.25,one_contract_baseline,segment,q4_2024_external,47730.0,211,0,211,-1580.0
0.25,one_contract_baseline,segment,q4_2025,82320.0,294,0,294,-1610.0
0.25,high_conviction_profit_cushion,segment,q1_2026,75070.0,222,27,235,-2160.0
0.25,high_conviction_profit_cushion,segment,q3_2025,75200.0,260,14,368,-1660.0
0.25,high_conviction_profit_cushion,segment,q4_2024_external,39350.0,189,22,193,-1580.0
0.25,high_conviction_profit_cushion,segment,q4_2025,85170.0,291,3,296,-1610.0
0.25,slow_growth_two_contract,segment,q1_2026,77820.0,222,27,241,-2160.0
0.25,slow_growth_two_contract,segment,q3_2025,70790.0,260,14,348,-1660.0
0.25,slow_growth_two_contract,segment,q4_2024_external,40120.0,181,30,183,-1580.0
0.25,slow_growth_two_contract,segment,q4_2025,85860.0,291,3,299,-1610.0
0.25,lower_two_contract_threshold,segment,q1_2026,82870.0,222,27,257,-3060.0
0.25,lower_two_contract_threshold,segment,q3_2025,81520.0,260,14,388,-1660.0
0.25,lower_two_contract_threshold,segment,q4_2024_external,39890.0,189,22,194,-1580.0
0.25,lower_two_contract_threshold,segment,q4_2025,86170.0,291,3,306,-1620.0
0.5,one_contract_baseline,segment,q1_2026,70110.0,249,0,249,-1940.0
0.5,one_contract_baseline,segment,q3_2025,41340.0,274,0,274,-1710.0
0.5,one_contract_baseline,segment,q4_2024_external,37180.0,211,0,211,-1630.0
0.5,one_contract_baseline,segment,q4_2025,67620.0,294,0,294,-1660.0
0.5,high_conviction_profit_cushion,segment,q1_2026,58680.0,217,32,228,-2260.0
0.5,high_conviction_profit_cushion,segment,q3_2025,51250.0,258,16,337,-1710.0
0.5,high_conviction_profit_cushion,segment,q4_2024_external,29730.0,180,31,184,-1630.0
0.5,high_conviction_profit_cushion,segment,q4_2025,69380.0,290,4,295,-1660.0
0.5,slow_growth_two_contract,segment,q1_2026,61130.0,217,32,234,-2260.0
0.5,slow_growth_two_contract,segment,q3_2025,52170.0,260,14,337,-1710.0
0.5,slow_growth_two_contract,segment,q4_2024_external,29940.0,172,39,172,-1630.0
0.5,slow_growth_two_contract,segment,q4_2025,69920.0,290,4,298,-1660.0
0.5,lower_two_contract_threshold,segment,q1_2026,64740.0,217,32,249,-3160.0
0.5,lower_two_contract_threshold,segment,q3_2025,55020.0,258,16,354,-1710.0
0.5,lower_two_contract_threshold,segment,q4_2024_external,30220.0,180,31,185,-1630.0
0.5,lower_two_contract_threshold,segment,q4_2025,69550.0,290,4,303,-1720.0
