Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + position state + curriculum learning
Training from scratch (v4: no warm-start).
Curriculum stages: 3 x 33% each

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

Starting curriculum stage 0: Conservative (OTM-only)
step 01700 ( 16.6%) | loss: 1.400963 | trade:0.39 call:0.67 put:0.33 | ATM:0.51 OTM:0.49 | stage:0 | lr: 1.50e-04 | left: 200s
step 01750 ( 17.1%) | loss: 1.371750 | trade:0.41 call:0.71 put:0.29 | ATM:0.54 OTM:0.46 | stage:0 | lr: 1.50e-04 | left: 199s
step 01800 ( 17.6%) | loss: 1.387029 | trade:0.36 call:0.66 put:0.34 | ATM:0.52 OTM:0.48 | stage:0 | lr: 1.50e-04 | left: 198s
step 01850 ( 18.1%) | loss: 1.368271 | trade:0.43 call:0.67 put:0.33 | ATM:0.51 OTM:0.49 | stage:0 | lr: 1.50e-04 | left: 197s
step 01900 ( 18.5%) | loss: 1.348247 | trade:0.42 call:0.67 put:0.33 | ATM:0.50 OTM:0.50 | stage:0 | lr: 1.50e-04 | left: 195s
step 01950 ( 19.0%) | loss: 1.352500 | trade:0.37 call:0.63 put:0.37 | ATM:0.47 OTM:0.53 | stage:0 | lr: 1.50e-04 | left: 194s
step 02000 ( 19.4%) | loss: 1.301468 | trade:0.36 call:0.71 put:0.29 | ATM:0.51 OTM:0.49 | stage:0 | lr: 1.50e-04 | left: 193s
step 02050 ( 19.7%) | loss: 1.348050 | trade:0.40 call:0.69 put:0.31 | ATM:0.54 OTM:0.46 | stage:0 | lr: 1.50e-04 | left: 193s
step 02100 ( 19.9%) | loss: 1.311059 | trade:0.39 call:0.69 put:0.31 | ATM:0.51 OTM:0.49 | stage:0 | lr: 1.50e-04 | left: 192s
step 02150 ( 20.2%) | loss: 1.319677 | trade:0.39 call:0.69 put:0.31 | ATM:0.51 OTM:0.49 | stage:0 | lr: 1.50e-04 | left: 191s
