cell,n,n_call,n_put,chosen_pf_hl,chosen_bfp_mean,opposite_bfp_mean,wrong_side_count,wrong_side_regret_sum
s0_iv0,126,68,58,1.8974812669264993,762.3288494736573,675.381097203738,59,64209.35018425873
s0_iv1,207,103,104,1.2450051420381465,882.3397914453843,588.4003869240139,81,79074.16190198559
s0_iv2,222,69,153,1.4033040237094903,999.7769437783695,791.454873280603,80,107719.22932771189
s1_iv0,205,115,90,1.7386617522414176,753.9086401079288,485.0913775347821,75,61014.54329566419
s1_iv1,169,97,72,1.7658674193727193,852.2488013864214,769.6492084560109,81,90487.42709742967
s1_iv2,180,52,128,3.0952887689418462,1445.7861126044486,781.7692386791197,60,96727.16604062614
s2_iv0,224,115,109,1.8382104979432292,749.6182317729136,466.3563001787252,84,71954.46328507883
s2_iv1,178,62,116,1.466087580321645,745.5716786287868,513.8891936990321,72,62097.00431821508
s2_iv2,153,43,110,2.5911537761304047,1202.2791656888462,848.9452000893301,68,93263.42131072428
