seed,src,day,bar,side,pred_exit_pnl,pred_exit_bar,time_stop_pnl,best_exit_pnl,entry_bar,pred_minus_time_stop,best_minus_time_stop,pred_minus_best,captured_of_best,exit_quality
42,oos,2023-03-31,60,call,903.0000610351562,269,903.0000610351562,1328.699951171875,1,0.0,425.69989013671875,-425.69989013671875,0.6796117213963441,ok (50-85%)
42,oos,2023-04-12,39,call,-14.880020141601562,47,-696.2059936523438,113.29999542236328,1,681.3259735107422,809.505989074707,-128.18001556396484,-0.1313329280034951,negative-on-winner
42,oos,2023-04-13,33,call,2489.368896484375,260,2559.796630859375,2733.9091796875,1,-70.427734375,174.112548828125,-244.540283203125,0.9105528870454003,good (≥85%)
42,oos,2023-04-14,34,put,2786.51806640625,214,3197.142578125,3387.0322265625,13,-410.62451171875,189.8896484375,-600.51416015625,0.8227019644375477,ok (50-85%)
42,oos,2023-04-17,38,call,-567.4700317382812,120,-1003.0700073242188,343.3300476074219,1,435.5999755859375,1346.4000549316406,-910.8000793457031,-1.6528411529746168,negative-on-winner
42,oos,2023-04-18,32,call,-333.953857421875,55,-607.4630737304688,25.150056838989258,1,273.50921630859375,632.613130569458,-359.10391426086426,,no-best-exists
42,oos,2023-04-19,37,call,754.1871948242188,256,1205.98828125,1205.98828125,1,-451.80108642578125,0.0,-451.80108642578125,0.6253685931695024,ok (50-85%)
42,oos,2023-04-20,36,call,23.624361038208008,150,741.3032836914062,1139.9046630859375,1,-717.6789226531982,398.60137939453125,-1116.2803020477295,0.020724856914132096,early-exit (0-50%)
42,oos,2023-04-21,31,call,101.8695297241211,35,712.434814453125,1057.1087646484375,1,-610.5652847290039,344.6739501953125,-955.2392349243164,0.09636617643407755,early-exit (0-50%)
42,oos,2023-04-24,40,put,522.550048828125,234,-140.7499542236328,1393.75,13,663.3000030517578,1534.4999542236328,-871.199951171875,0.3749238018497758,early-exit (0-50%)
42,oos,2023-04-25,36,call,-277.58331298828125,40,-1063.9583740234375,-102.83338928222656,1,786.3750610351562,961.1249847412109,-174.7499237060547,,no-best-exists
42,oos,2023-04-26,30,call,-406.24346923828125,45,-975.6521606445312,447.86956787109375,1,569.40869140625,1423.521728515625,-854.113037109375,-0.907057541706443,negative-on-winner
42,oos,2023-04-27,30,call,2155.085205078125,248,2475.25537109375,2632.4296875,1,-320.170166015625,157.17431640625,-477.344482421875,0.8186677180064758,ok (50-85%)
