seed,base_n,base_n_with_hl,base_pf,rescan_n,rescan_n_with_hl,rescan_pf,drop_n,drop_n_with_hl,drop_pf,n_days_replaced,n_days_dropped_no_replacement
42,712,291,2.386060214279984,704,244,2.612219821745403,564,237,2.767859464425691,148,8
43,717,256,2.124171044775239,714,206,2.492720320528647,547,201,2.5634905679755247,170,3
44,716,279,1.463954534529403,714,227,2.0554594774075725,546,218,1.9429070707675309,170,2
45,715,242,1.8012913425481134,711,193,2.1370398827775703,556,189,2.252734646918949,159,4
46,716,273,1.6322149870787472,709,226,1.9971009869897716,542,218,1.968052736043614,174,7
