trade_id,side,n_bars,peak_pnl,peak_bar_offset,n_target_1,n_target_1_post_peak,n_target_1_pre_peak,frac_target_1,mean_pnl_at_target_1
2026-03-04_112_put,put,157,16.25006457615148,0,24,24,0,0.15286624203821655,-748.4728752676887
2026-03-10_120_put,put,149,449.6499969949527,36,20,20,0,0.1342281879194631,-271.9987885425449
2026-03-11_70_put,put,199,1035.9749610529122,67,11,11,0,0.05527638190954774,494.54132090433774
2026-03-13_102_put,put,166,1461.7499813105574,43,7,7,0,0.04216867469879518,1297.3185395805342
2026-03-27_80_put,put,187,1536.7501071066933,183,2,2,0,0.0106951871657754,1520.6200844389111
2026-04-13_105_call,call,163,1916.950035600778,121,10,10,0,0.06134969325153374,1661.0675475645985
2026-03-03_50_put,put,148,173.62500112466728,1,40,40,0,0.2702702702702703,-753.8994166586456
2026-03-04_117_put,put,152,76.74994434917275,64,18,18,0,0.11842105263157894,-618.0639164026593
2026-03-10_120_put,put,149,449.6499969949527,36,20,20,0,0.1342281879194631,-271.9987885425449
2026-03-11_70_put,put,199,1035.9749610529122,67,11,11,0,0.05527638190954774,494.54132090433774
2026-03-13_48_put,put,220,1444.2500380599763,97,7,7,0,0.031818181818181815,1279.8185963299532
2026-03-18_90_put,put,179,640.9750445862529,150,10,10,0,0.055865921787709494,219.2329733587112
2026-03-27_77_put,put,190,781.1249153431431,186,2,2,0,0.010526315789473684,769.6249673559963
2026-03-31_82_put,put,181,212.97494293141347,4,33,33,0,0.18232044198895028,-709.8750427270016
2026-04-01_111_put,put,158,177.75005677060454,8,12,12,0,0.0759493670886076,-258.0437126521624
2026-04-08_85_put,put,183,155.849996154736,0,51,51,0,0.2786885245901639,-843.7826875371823
2026-02-25_117_put,put,152,-2.4999804305739772,0,33,33,0,0.21710526315789475,-539.8839017165417
2026-03-04_117_put,put,152,76.74994434917275,64,18,18,0,0.11842105263157894,-618.0639164026593
2026-03-10_120_put,put,149,449.6499969949527,36,20,20,0,0.1342281879194631,-271.9987885425449
2026-03-18_101_put,put,168,654.0751012951117,139,10,10,0,0.05952380952380952,232.33303006757
2026-03-30_64_put,put,205,426.3249244669579,180,5,5,0,0.024390243902439025,131.09499655113467
2026-04-01_106_put,put,163,207.90003744965853,13,12,12,0,0.0736196319018405,-227.89373197310843
2026-04-09_75_call,call,156,5218.170161905324,147,5,5,0,0.03205128205128205,4923.942074222928
2026-04-10_114_call,call,155,-197.5499983555647,0,42,42,0,0.2709677419354839,-815.0410525172894
2026-04-13_105_call,call,163,1916.950035600778,121,10,10,0,0.06134969325153374,1661.0675475645985
2026-04-14_115_call,call,154,1255.4200315143169,139,7,7,0,0.045454545454545456,1119.0828702831482
2026-04-15_120_call,call,149,341.2749430835811,125,7,7,0,0.04697986577181208,127.26354416953015
2026-04-16_92_call,call,177,1506.9000393956899,76,22,22,0,0.12429378531073447,610.6847915069358
2026-04-23_107_call,call,147,68.09994250501867,15,26,26,0,0.17687074829931973,-590.5269406040447
2026-04-24_120_call,call,146,1533.6999605265285,22,11,11,0,0.07534246575342465,1274.169516248482
2026-03-03_50_put,put,148,173.62500112466728,1,40,40,0,0.2702702702702703,-753.8994166586456
2026-03-04_116_put,put,153,-88.75001742690804,65,21,21,0,0.13725490196078433,-698.6107143257001
2026-03-06_81_put,put,188,-130.59997243748626,0,23,23,0,0.12234042553191489,-670.6815320780025
2026-03-10_119_put,put,150,503.3249980371112,37,20,20,0,0.13333333333333333,-218.32378750038637
2026-03-11_120_put,put,147,-4.075040610232094,17,11,11,0,0.07482993197278912,-519.247759656534
2026-03-13_48_put,put,220,1444.2500380599763,97,7,7,0,0.031818181818181815,1279.8185963299532
2026-03-18_91_put,put,178,426.1499230772758,149,9,9,0,0.05056179775280899,50.23884826768824
2026-03-31_82_put,put,181,212.97494293141347,4,33,33,0,0.18232044198895028,-709.8750427270016
2026-04-01_117_put,put,152,197.7500373483943,2,12,12,0,0.07894736842105263,-238.04373207437266
2026-04-13_106_put,put,162,363.9999996647239,45,44,44,0,0.2716049382716049,-620.9767051536796
2026-03-05_83_put,put,176,3978.6099610470087,170,4,4,0,0.022727272727272728,3748.18752141979
2026-03-10_120_put,put,149,449.6499969949527,36,20,20,0,0.1342281879194631,-271.9987885425449
2026-03-11_77_put,put,192,1618.250000687316,76,9,9,0,0.046875,889.8138762936733
2026-03-13_115_put,put,153,452.22489990829007,30,10,10,0,0.06535947712418301,197.82747205984828
2026-03-16_70_put,put,197,53.00003780052067,9,24,24,0,0.1218274111675127,-576.9353752960175
2026-03-17_88_put,put,176,1721.2499247811384,39,16,16,0,0.09090909090909091,984.4281109688546
2026-03-18_99_put,put,170,727.0751202028953,141,10,10,0,0.058823529411764705,305.33304897535345
2026-03-26_119_put,put,150,3266.559864076376,149,1,1,0,0.006666666666666667,3266.559864076376
2026-03-27_79_put,put,188,1234.875088534562,184,2,2,0,0.010638297872340425,1229.5625269766979
2026-03-30_64_put,put,205,426.3249244669579,180,5,5,0,0.024390243902439025,131.09499655113467
2026-03-31_82_put,put,181,212.97494293141347,4,33,33,0,0.18232044198895028,-709.8750427270016
2026-04-01_117_put,put,152,197.7500373483943,2,12,12,0,0.07894736842105263,-238.04373207437266
2026-04-08_85_put,put,183,155.849996154736,0,51,51,0,0.2786885245901639,-843.7826875371823
2026-04-09_75_call,call,156,5218.170161905324,147,5,5,0,0.03205128205128205,4923.942074222928
2026-04-10_114_call,call,155,-197.5499983555647,0,42,42,0,0.2709677419354839,-815.0410525172894
2026-04-13_105_call,call,163,1916.950035600778,121,10,10,0,0.06134969325153374,1661.0675475645985
2026-04-14_109_call,call,156,1758.6500182820705,138,7,7,0,0.04487179487179487,1649.8914392758434
2026-04-15_70_call,call,197,698.5999400394481,174,6,6,0,0.030456852791878174,514.1832815545955
2026-04-16_92_call,call,177,1506.9000393956899,76,22,22,0,0.12429378531073447,610.6847915069358
2026-04-17_50_call,call,216,1752.3499248195742,145,21,21,0,0.09722222222222222,973.7704546018696
2026-04-24_120_call,call,146,1533.6999605265285,22,11,11,0,0.07534246575342465,1274.169516248482
