seed,day,side,bar_index,pred_dollar_score,pred_return_score,pred_win_prob,pred_clean_entry_prob,pred_stopout_risk,decision_margin,sigma_pos,iv_percentile,hl,sigma_b,iv_b,cell_id
42,2023-03-31,call,60,-0.03557208925485611,0.07904306054115295,0.4346809685230255,0.3483101427555084,0.19987651705741882,0.06717179715633392,1.655632734298706,0.0051282052882015705,969.1184866816596,2,0,6
42,2023-04-12,call,39,-1.1881940364837646,-0.30794012546539307,0.44537004828453064,0.3820679783821106,0.2821241021156311,0.6698399782180786,0.056949734687805176,0.25410255789756775,-28.190022602677345,1,1,4
42,2023-04-13,call,33,-1.3026899099349976,-0.34862664341926575,0.44642794132232666,0.3809410631656647,0.259695440530777,0.7124305963516235,-0.604660153388977,0.06709402054548264,2717.157595390546,0,0,0
42,2023-04-14,put,34,-0.9951374530792236,-0.23301354050636292,0.44631892442703247,0.38771766424179077,0.306302934885025,0.6514366865158081,1.096563696861267,0.1159401684999466,2967.185451038477,1,0,3
42,2023-04-17,call,38,-1.1498639583587646,-0.3082316517829895,0.4544937312602997,0.40105924010276794,0.2873366177082062,0.7626346349716187,-1.501820683479309,0.03743589669466019,-633.082554142548,0,0,0
42,2023-04-18,call,32,-1.3248306512832642,-0.36913731694221497,0.45796334743499756,0.4072803258895874,0.25221285223960876,0.9054064750671387,-2.8895485401153564,0.039230767637491226,-382.8626885306122,0,0,0
42,2023-04-19,call,37,-1.4823194742202759,-0.39733466506004333,0.43905454874038696,0.3619178831577301,0.22916458547115326,0.6831569075584412,0.24400921165943146,0.0480341874063015,821.2468605778445,1,0,3
42,2023-04-20,call,36,-1.4366916418075562,-0.40016457438468933,0.4480142593383789,0.3805321156978607,0.23360466957092285,0.7709416151046753,0.28093284368515015,0.06623931974172592,8.789893730508586,1,0,3
42,2023-04-21,call,31,-1.1870932579040527,-0.3234596252441406,0.45861580967903137,0.4120020866394043,0.27921929955482483,0.8576683402061462,-3.039553642272949,0.16440171003341675,100.69230506573196,0,1,1
42,2023-04-24,put,40,-1.2768371105194092,-0.34003177285194397,0.45494508743286133,0.399422287940979,0.24717076122760773,0.8904660940170288,-0.4179384708404541,0.05410256236791611,495.6842438094833,1,0,3
42,2023-04-25,call,36,-1.4035887718200684,-0.39313575625419617,0.455057293176651,0.39754718542099,0.2386520504951477,0.8939443230628967,-0.28022727370262146,0.04025641083717346,-391.7610111667126,1,0,3
42,2023-04-26,call,30,-1.1216866970062256,-0.31178566813468933,0.4594489634037018,0.41191622614860535,0.2908908724784851,0.7803525328636169,-0.7954983115196228,0.2222222238779068,-465.10036852226955,0,1,1
42,2023-04-27,call,30,-1.372278094291687,-0.3710280656814575,0.44610360264778137,0.37840765714645386,0.24659307301044464,0.7449302673339844,1.6696834564208984,0.06623931974172592,2411.9056962972068,2,0,6
42,2023-04-28,put,30,-1.1542532444000244,-0.25770241022109985,0.43477877974510193,0.3623712956905365,0.28071218729019165,0.678300678730011,0.5115190148353577,0.14927349984645844,-463.7387873083353,1,0,3
42,2023-05-01,call,72,-2.1274733543395996,-0.7095312476158142,0.4773295223712921,0.443737268447876,0.11671224981546402,1.3806536197662354,0.5842278003692627,0.01512820553034544,-478.7418227957979,1,0,3
42,2023-05-02,call,33,-1.332249641418457,-0.400627076625824,0.4681817889213562,0.4248545169830322,0.24644583463668823,0.9468065500259399,-2.2642908096313477,0.07688034325838089,-1215.7102121185617,0,0,0
42,2023-05-05,call,37,-0.9804612398147583,-0.278373122215271,0.4658777713775635,0.427295982837677,0.31685671210289,0.7677783966064453,1.9352656602859497,0.3401709496974945,187.10790019054636,2,1,7
42,2023-05-08,put,38,-1.2425355911254883,-0.30482062697410583,0.4479304254055023,0.3856457471847534,0.2593076825141907,0.8756318092346191,-1.1034300327301025,0.17329059541225433,76.05578560595002,0,1,1
42,2023-05-09,put,113,-1.661062240600586,-0.4758795499801636,0.45773783326148987,0.40252652764320374,0.17986178398132324,1.0941650867462158,1.3809369802474976,0.0042307693511247635,156.63855132968803,2,0,6
42,2023-05-10,call,115,-1.012203574180603,-0.2848498225212097,0.4619078040122986,0.4166918098926544,0.3114888370037079,0.6577451229095459,-0.39694029092788696,0.2916666567325592,-643.7166584851938,1,1,4
42,2023-05-11,call,38,-1.091406226158142,-0.2873760163784027,0.4530215859413147,0.40060362219810486,0.3002015948295593,0.7185580730438232,-1.2515079975128174,0.44371795654296875,-58.22507842313219,0,1,1
42,2023-05-12,put,109,-1.1080763339996338,-0.26713135838508606,0.45314767956733704,0.4019201099872589,0.2845436930656433,0.8936020135879517,-1.8606034517288208,0.2579059898853302,131.31892331402054,0,1,1
42,2023-05-15,call,31,-1.0819849967956543,-0.30023592710494995,0.4620026648044586,0.4189773201942444,0.29916948080062866,0.798281192779541,-1.3618967533111572,0.29149574041366577,-557.4212852200346,0,1,1
42,2023-05-16,call,30,-1.1756062507629395,-0.3245251178741455,0.45827406644821167,0.409051775932312,0.2815997004508972,0.8091922402381897,-1.0187594890594482,0.17760683596134186,-284.66667921947436,0,1,1
42,2023-05-17,call,31,-1.2333481311798096,-0.3503720462322235,0.4641358256340027,0.4215465784072876,0.26856985688209534,0.9430235624313354,-1.7311404943466187,0.2319658100605011,67.68711084872484,0,1,1
42,2023-05-18,put,100,-1.3553260564804077,-0.3329150676727295,0.43623045086860657,0.35959821939468384,0.2369556725025177,0.7002193331718445,1.488678216934204,0.11401709169149399,-252.9649446356385,2,0,6
42,2023-05-19,call,38,-1.4473234415054321,-0.37201541662216187,0.437715083360672,0.36591556668281555,0.23746535181999207,0.7999808192253113,-0.1588825285434723,0.4894871711730957,-639.0415760013583,1,1,4
42,2023-05-22,call,34,-1.079331636428833,-0.2959301471710205,0.45788493752479553,0.4092499017715454,0.29989296197891235,0.7159285545349121,-1.445328712463379,0.3625641167163849,-180.2641998253596,0,1,1
42,2023-05-23,put,100,-1.5618547201156616,-0.3990892171859741,0.43843746185302734,0.3613278567790985,0.2039746195077896,0.8523422479629517,0.48736971616744995,0.05239316076040268,182.58889179833517,1,0,3
42,2023-05-25,call,49,-1.0293776988983154,-0.27091124653816223,0.4524621367454529,0.3996054530143738,0.3109665811061859,0.6255000829696655,-1.4804607629776,0.6147863268852234,61.01244773452336,0,2,2
42,2023-05-26,call,115,-1.294926404953003,-0.34431177377700806,0.4456588625907898,0.3821181654930115,0.2605848014354706,0.7203395366668701,0.3982146382331848,0.49521368741989136,628.0686496929959,1,1,4
42,2023-05-30,call,109,-1.2691456079483032,-0.3551562428474426,0.4593063294887543,0.40908509492874146,0.2621719241142273,0.8554011583328247,-1.8820528984069824,0.2623504400253296,-74.0129574333673,0,1,1
42,2023-05-31,call,32,-1.2932299375534058,-0.32401221990585327,0.4406585395336151,0.3729468882083893,0.2655654847621918,0.7504526376724243,-2.185107707977295,0.39350426197052,-496.17611909800996,0,1,1
42,2023-06-01,call,32,-1.3932383060455322,-0.3764297068119049,0.44637829065322876,0.37972158193588257,0.24273715913295746,0.7865613698959351,1.019457459449768,0.22940170764923096,3403.4012827713327,1,1,4
42,2023-06-02,call,30,-0.938991129398346,-0.26460546255111694,0.4645208716392517,0.42276832461357117,0.3258049786090851,0.6389685273170471,-2.285353899002075,0.5023504495620728,1738.6774721424501,0,1,1
42,2023-06-05,call,39,-1.344435214996338,-0.3670547902584076,0.45039796829223633,0.390181303024292,0.25060606002807617,0.792151927947998,-1.6271641254425049,0.22431623935699463,-30.633130025001805,0,1,1
42,2023-06-06,put,30,-1.7238268852233887,-0.4042976498603821,0.42177602648735046,0.33246228098869324,0.1901542693376541,0.9855087399482727,1.611855387687683,0.15333333611488342,-894.3857406702135,2,0,6
42,2023-06-07,put,118,-1.7546690702438354,-0.49296194314956665,0.4566720128059387,0.4039372205734253,0.16975007951259613,1.276347041130066,-0.9913716316223145,0.016025641933083534,-310.32784902715537,0,0,0
42,2023-06-08,call,30,-1.7981534004211426,-0.47396373748779297,0.436909943819046,0.3648333251476288,0.18265940248966217,1.081580400466919,-0.5912747383117676,0.1596153825521469,1764.8947070912786,0,0,0
42,2023-06-09,call,89,-2.3808014392852783,-0.7411453723907471,0.45848461985588074,0.4139595925807953,0.09904088079929352,1.5194231271743774,0.10975027829408646,0.08500000089406967,-40.25149807534539,1,0,3
