Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 146,947
Architecture: v4 three-head (gate+dir+regime) + market regime classifier + balanced strike gating + VIX regime robustness + light temporal chunking + stop prevention + FULL STOPPED P&L CONSISTENCY + feature noise injection + direction-side loss + MAXIMUM CONSERVATIVE GATE BIAS
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.5x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5, regime=0.4
VIX regime weights: vix_regime=0.2, vix_consistency=0.1
Temporal robustness: temporal_chunk=0.05
Direction-side loss: dir_side=0.4
Stop prevention: stop_prevention=0.3
Feature noise injection: std=0.05
CRITICAL: Training exclusively on STOPPED P&L to align with evaluation reality
NEW: Market regime classifier identifies high-probability trading windows
MAXIMUM CONSERVATIVE GATE BIAS: NO_TRADE=+1.2, TRADE=-1.2 for ultra-selectivity

step 01450 ( 17.5%) | loss: 1.651085 | trade:0.37 call:0.60 put:0.40 | ATM:0.48 OTM:0.52 | regime:0.50 | lr: 1.50e-04 | left: 198s
step 01500 ( 18.1%) | loss: 1.592251 | trade:0.33 call:0.61 put:0.39 | ATM:0.50 OTM:0.50 | regime:0.50 | lr: 1.50e-04 | left: 197s
step 01550 ( 18.7%) | loss: 1.658505 | trade:0.41 call:0.54 put:0.46 | ATM:0.46 OTM:0.54 | regime:0.50 | lr: 1.50e-04 | left: 195s
step 01600 ( 19.3%) | loss: 1.590766 | trade:0.34 call:0.68 put:0.32 | ATM:0.49 OTM:0.51 | regime:0.50 | lr: 1.50e-04 | left: 194s
step 01650 ( 20.0%) | loss: 1.533374 | trade:0.35 call:0.65 put:0.35 | ATM:0.51 OTM:0.49 | regime:0.50 | lr: 1.50e-04 | left: 192s
step 01700 ( 20.6%) | loss: 1.517693 | trade:0.37 call:0.69 put:0.31 | ATM:0.50 OTM:0.50 | regime:0.50 | lr: 1.50e-04 | left: 191s
step 01750 ( 21.2%) | loss: 1.515030 | trade:0.34 call:0.63 put:0.37 | ATM:0.51 OTM:0.49 | regime:0.50 | lr: 1.50e-04 | left: 189s
step 01800 ( 21.8%) | loss: 1.447241 | trade:0.36 call:0.67 put:0.33 | ATM:0.49 OTM:0.51 | regime:0.50 | lr: 1.50e-04 | left: 188s
step 01850 ( 22.5%) | loss: 1.473241 | trade:0.32 call:0.68 put:0.32 | ATM:0.51 OTM:0.49 | regime:0.50 | lr: 1.50e-04 | left: 186s
step 01900 ( 23.1%) | loss: 1.491112 | trade:0.33 call:0.62 put:0.38 | ATM:0.48 OTM:0.52 | regime:0.50 | lr: 1.50e-04 | left: 185s
