day,entry_bar,exit_bar,exit_prob,l2_0,l2_1,l2_2,l2_3,l2_4,l2_5,l2_6,l2_7,l2_8,l2_9,l2_10,l2_11,l2_12,l2_13,l2_14,l2_15,l2_16,l2_17,l2_18,l2_19,l2_20,l2_21,l2_22,l2_23,l2_24,l2_25,l2_26,l2_27,l2_28,l2_29,l2_30,l2_31,l2_32,l2_33,l2_34,l2_35,l2_36,l2_37,l2_38,l2_39,l2_40,l2_41,l2_42,l2_43,l2_44,l2_45,l2_46,l2_47,l2_48,l2_49,l2_50,l2_51,l2_52,l2_53,l2_54,l2_55,l2_56,l2_57,l2_58,l2_59,l2_60,l2_61,l2_62,l2_63,l2_64,l2_65,l2_66,l2_67,l2_68,l2_69,l2_70,l2_71,l2_72,l2_73,l2_74,l2_75,l2_76,l2_77,l2_78,l2_79,l2_80,l2_81,l2_82,l2_83,l2_84,l2_85,l2_86,l2_87,l2_88,bars_since_entry,bars_to_session_end,current_pnl_norm,mfe_norm,mae_norm,mfe_bar_age,direction_is_call,is_false_positive,delta_vs_v1,bars_held
2026-03-05,38,41,0.193235733998146,-5.9879628679482266e-05,0.0,0.8278854489326477,0.001101266941986978,0.0005831212038174272,1.581024169921875,-0.0006813532672822475,0.0051032183691859245,-0.00573710398748517,-0.0002626648056320846,-0.10000000149011612,2.003951072692871,0.029494382441043854,0.9814407825469971,0.33000001311302185,0.0,0.46975091099739075,0.31969091296195984,0.001086909556761384,0.4576247036457062,0.0,0.0007411330007016659,-0.8461538553237915,1.258316159248352,1.0,0.0,1.0,7.978946814546362e-05,-3.918600850738585e-05,0.6135433316230774,0.7896610498428345,0.1666666716337204,-0.0026015620678663254,-0.0006455702241510153,0.003536030650138855,0.2573316693305969,-0.07724080979824066,8.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.623885989189148,0.2164849191904068,0.0022770226933062077,1.6414368152618408,1.0,1.0,0.2164849191904068,0.0,0.1160486564040184,0.013466950505971909,0.3658536672592163,0.008408451452851295,-0.028826316818594933,-0.7460234761238098,-1.9398728609085083,0.1818181872367859,0.13980968296527863,-0.0972759872674942,-0.024247679859399796,0.05352877452969551,0.108779177069664,0.12466055899858475,-0.0019646119326353073,-1.0870113698047135e-07,0.03313269838690758,0.03313269838690758,0.0011851858580484986,2.0,2.0,0.021459829062223434,0.061062559485435486,0.3451990485191345,1.0,4.553876876831055,5.283203601837158,0.32413792610168457,5.673323154449463,0.44971123337745667,9.124564170837402,4.948760032653809,0.7785714268684387,3.0,229.0,-0.1543981432914734,-0.1543981432914734,-0.27037039399147034,0.0,0.0,True,3148.8610980957747,3
2026-03-06,108,125,0.27432982532225386,-0.0026583645958453417,-0.0019449501996859908,0.7552871704101562,0.0008248088415712118,0.0005279849283397198,1.1360143423080444,0.0015671049477532506,0.009160264395177364,-0.017377255484461784,-0.00021401506091933697,0.10000000149011612,0.21878691017627716,0.005795981269329786,0.9354615211486816,0.33000001311302185,0.3713207244873047,0.5594300031661987,0.67119300365448,0.004343810491263866,0.9620240926742554,0.0,0.0006829687627032399,0.4829443395137787,-1.8397037982940674,1.0,0.5829916596412659,2.202481985092163,0.00016082549700513482,3.616443427745253e-05,0.9034504294395447,-0.4286925494670868,0.5,-0.008913733996450901,-0.0023618852719664574,0.007744614500552416,0.11950286477804184,0.39005735516548157,30.0,97.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.6815239191055298,0.10120618343353271,0.003928577993065119,0.4387485980987549,1.0,0.0,-0.10120618343353271,0.0,0.1472143977880478,0.021671801805496216,0.40799999237060547,0.00772705115377903,-0.04053890332579613,6.905947208404541,-1.5420361757278442,0.14432989060878754,0.07724875956773758,-0.11965026706457138,0.028430314734578133,0.06142951175570488,0.14145967364311218,0.152395561337471,-0.0009135229629464447,2.4854727598722093e-05,0.03085201233625412,0.03085201233625412,0.0016032514395192266,0.0,0.0,-0.00043622383964248,0.046780914068222046,0.41034483909606934,1.0,5.147494316101074,3.8501474857330322,0.7880184054374695,5.384495258331299,0.675374448299408,8.655736923217773,4.553876876831055,0.28723403811454773,17.0,145.0,0.12209821492433548,0.2606920301914215,-0.15970981121063232,12.0,0.0,False,-683.414033575943,17
2026-03-09,50,140,0.20857042658149672,0.00017307439702562988,0.002567933639511466,0.5682204365730286,0.0003043195465579629,0.00032324553467333317,0.7388251423835754,0.004292390309274197,0.011207611300051212,-0.010433387011289597,6.041091546649113e-05,0.20000000298023224,0.38299354910850525,-0.013484740629792213,0.9257369041442871,0.33000001311302185,0.5550053119659424,0.6607049703598022,0.8976441025733948,0.0025934886652976274,0.8733388781547546,1.0,0.000391587644116953,0.0049019609577953815,4.318722248077393,-1.0,0.8272314667701721,0.9029185771942139,0.0002878172090277076,9.327157749794424e-05,0.7746049761772156,-0.6324453949928284,0.5,-0.005691473372280598,0.000548968615476042,0.0076706428080797195,0.12232594192028046,1.0,0.0,89.0,0.0,0.000548968615476042,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2930978536605835,0.18335825204849243,0.0029939673840999603,0.47234678268432617,0.0,0.0,0.6833582520484924,0.0,0.11808253079652786,0.013943379744887352,0.0,0.009991845116019249,-0.03352953493595123,2.3752031326293945,-0.9963281750679016,0.08580858260393143,0.06735852360725403,-0.2756774127483368,0.022675082087516785,0.06324554979801178,0.11485058814287186,0.12817732989788055,-0.0016916936729103327,8.208101644413546e-05,0.03564932569861412,0.03564932569861412,0.0016085997922345996,1.0,1.0,0.053817927837371826,0.02786851115524769,0.3729032278060913,1.0,4.653960227966309,3.8501474857330322,0.6933333277702332,5.017279624938965,0.5036243200302124,8.062747955322266,4.382026672363281,0.4177215099334717,90.0,130.0,-0.9035416841506958,0.16329163312911987,-0.9132916927337646,89.0,0.0,False,-97.73958323150873,90
2026-03-10,53,105,0.19067838867661796,0.0012730734888464212,0.008419069461524487,0.37683799862861633,0.00056313571985811,0.0002751158899627626,1.6279118061065674,0.0038523273542523384,0.010011790320277214,0.0012494573602452874,-2.428624611638952e-05,0.20000000298023224,1.6531999111175537,0.006156552117317915,0.9476074576377869,0.33000001311302185,0.6703854203224182,0.7050654888153076,0.8674381375312805,0.0033494990784674883,1.3621314764022827,1.0,0.0003711290773935616,0.8046875,7.122463226318359,-1.0,0.9235905408859253,2.162292242050171,0.00038344215136021376,7.6835356594529e-05,0.9927088618278503,-0.1205366775393486,0.3333333432674408,4.708485721494071e-05,0.0032849584240466356,0.004126728978008032,0.4854300022125244,1.0,0.0,57.0,0.0,0.0029329985845834017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3759032487869263,3.8411552906036377,0.0008124405867420137,2.070397138595581,0.0,1.0,4.341155052185059,0.0,0.10164245218038559,0.010331111960113049,0.02857142873108387,0.010688740760087967,-0.027851590886712074,5.801135540008545,-1.5837805271148682,0.17785844206809998,0.07580608129501343,-0.3513726592063904,0.015252165496349335,0.05923488736152649,0.1008470356464386,0.1133052334189415,-0.0017584756715223193,0.00010344622569391504,0.03529304638504982,0.03529304638504982,0.0012676342157647014,1.0,1.0,0.08513937145471573,0.05009731277823448,0.36359426379203796,1.0,5.802118301391602,5.141663551330566,0.6600000262260437,6.216606140136719,0.4509257972240448,8.87961196899414,5.26269006729126,0.2604166567325592,52.0,165.0,-0.7865899205207825,0.06782425194978714,-0.7865899205207825,51.0,0.0,False,-228.6847523841036,52
2026-03-11,40,140,0.26016165750720877,-0.001917840214446187,-0.005003667902201414,1.3944950103759766,0.0005699439789168537,0.0003156771417707205,1.3014963865280151,-0.0038680401630699635,0.009329316206276417,-0.013327806256711483,-0.0005598433781415224,0.20000000298023224,0.6660516858100891,0.013877874240279198,0.9257369041442871,0.33000001311302185,-0.4840126633644104,0.41449812054634094,0.10980641096830368,-0.005488811992108822,-0.38900986313819885,-1.0,0.00042846251744776964,0.84935063123703,-8.671099662780762,1.0,0.7149915099143982,1.526619553565979,-0.0001433579163858667,-0.00016803067410364747,0.7746049761772156,-0.6324453949928284,0.5,0.0012947351206094027,-0.005187230184674263,0.0017912525217980146,0.11487603187561035,-1.0,50.0,0.0,0.0,-0.002752015134319663,0.0,0.0,0.0,1.0,0.0,0.021768076345324516,0.0,-1.8480737209320068,7.265658855438232,0.0006854131352156401,3.0129590034484863,0.0,0.0,-7.765658855438232,0.0,0.13020750880241394,0.01695389673113823,0.3857142925262451,0.008990529924631119,-0.03712668642401695,4.110016822814941,-1.694299578666687,0.11965811997652054,0.028763549402356148,0.5173935890197754,-0.0007372956606559455,0.06324554979801178,0.12909691035747528,0.13730227947235107,-0.0006086133071221411,6.463751924457029e-05,0.03253324329853058,0.03253324329853058,0.0016581980744376779,0.0,0.0,-0.06462019681930542,0.04378587752580643,0.3890887200832367,1.0,5.370637893676758,4.682131290435791,0.6666666865348816,5.7745513916015625,0.5854946970939636,8.739856719970703,5.0998663902282715,0.30674847960472107,100.0,130.0,0.8861874341964722,1.2047290802001953,-0.4664791524410248,2.0,0.0,False,-949.5161562027783,100
2026-03-12,109,125,0.4373986465089739,-0.0006977585144340992,-0.001038066460750997,0.7894206643104553,0.0003633270098362118,0.00036406953586265445,0.7373499274253845,-0.0023858228232711554,0.009087660349905491,-0.018384644761681557,7.121593080228195e-05,-0.10000000149011612,1.7442957162857056,-0.003351955208927393,0.9354615211486816,0.33000001311302185,0.5114470720291138,0.6866154670715332,0.13310299813747406,-0.0007155000348575413,0.22122299671173096,-1.0,0.0005109219346195459,-0.43209877610206604,-12.78484058380127,1.0,2.8145132064819336,2.295973539352417,0.00032880419166758657,-4.266237738193013e-05,0.9034504294395447,-0.4286925494670868,0.5,-0.005000915378332138,-0.007878066040575504,0.004168541636317968,0.08393113315105438,-1.0,-1.0,0.0,0.0,-0.000674322945997119,0.0,0.0,0.5,1.0,0.0,0.0,0.0,-1.3758914470672607,1.2908695936203003,0.003438897430896759,0.42652174830436707,0.0,0.0,-1.7908695936203003,0.0,0.1370997279882431,0.018796203657984734,0.1599999964237213,0.008377650752663612,-0.037506651133298874,1.2344709634780884,-0.8454260230064392,0.08556149899959564,0.05748505890369415,0.47561535239219666,0.027063503861427307,0.06142951175570488,0.13709351420402527,0.1416693776845932,-0.0007144488045014441,7.394099520752206e-05,0.0322517491877079,0.0322517491877079,0.001584119745530188,0.0,0.0,0.06412941962480545,0.028355056419968605,0.49359720945358276,1.0,5.0106353759765625,4.934473991394043,0.5191637873649597,5.662960529327393,0.5058521032333374,8.161660194396973,4.955827236175537,0.588652491569519,16.0,145.0,-0.1878150999546051,0.03657564893364906,-0.4163234829902649,13.0,0.0,False,-608.2794162707731,16
2026-03-13,106,139,0.21063103190937776,-0.00236633513122797,-0.004022677894681692,0.5511299967765808,0.00027206752565689385,0.0006948807276785374,0.3874882757663727,-0.0056178634986281395,0.013615401461720467,-0.013245630078017712,-0.0003439254069235176,0.10000000149011612,1.3879203796386719,0.007037037052214146,0.9264031052589417,0.33000001311302185,-0.6029313206672668,0.35528573393821716,0.11084124445915222,-0.0009151690173894167,0.13215024769306183,-1.0,0.0007210755720734596,0.5635359287261963,-13.019532203674316,1.0,0.8339789509773254,0.5881772041320801,-0.00030505185713991523,-0.00027825305005535483,0.78469318151474,-0.6198843717575073,0.5,0.0002518057299312204,-0.0031159999780356884,0.008452131412923336,0.9978659152984619,-1.0,122.0,0.0,0.0,-0.0031159999780356884,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.4539011716842651,0.5221662521362305,0.005967447999864817,0.4324937164783478,0.0,0.0,-1.0221662521362305,0.0,0.14680244028568268,0.02155047282576561,0.8920863270759583,0.008080546744167805,-0.04086131975054741,-5.153904914855957,-1.5279971361160278,0.07865168899297714,0.05128615349531174,0.935555100440979,0.033673759549856186,0.06311944127082825,0.14015021920204163,0.1542738378047943,-0.0011414209147915244,3.392580401850864e-05,0.03136056289076805,0.03136056289076805,0.0016773169627413154,-1.0,-1.0,0.04998347535729408,0.024740619584918022,0.39093485474586487,1.0,4.753590106964111,4.356709003448486,0.5989583134651184,5.26269006729126,0.41286957263946533,8.657129287719727,4.653960227966309,0.48076921701431274,33.0,131.0,0.6974166631698608,1.049354076385498,-0.027375003322958946,6.0,0.0,False,252.30162936939587,33
2026-03-16,53,194,0.21645631254828973,-0.00031949643744155765,-0.0019406998762860894,0.36145853996276855,0.00021953732357360423,0.0001833555579651147,0.5723816752433777,-0.0008611418306827545,0.007243238389492035,-0.0055855074897408485,0.00032507232390344143,-0.10000000149011612,4.124542713165283,-0.01493742410093546,0.8851503729820251,0.33000001311302185,-0.21330247819423676,0.527307391166687,0.44391751289367676,0.00016320434224326164,0.37068483233451843,0.0,0.0003791232593357563,-0.06122449040412903,6.277210235595703,1.0,0.6848834156990051,2.2238526344299316,3.1988067348720506e-05,-1.1633835129032377e-05,0.01611003465950489,-0.999870240688324,0.5,0.006406931206583977,0.0032154005020856857,0.004723786376416683,0.9854568243026733,0.36136579513549805,55.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5690808296203613,0.14217506349086761,0.0028151555452495813,0.7782493233680725,1.0,0.0,0.6421750783920288,0.0,0.09962821006774902,0.009925746358931065,0.17010308802127838,0.013371191918849945,-0.032044462859630585,1.135284662246704,-1.1999123096466064,0.09064924716949463,0.06467161327600479,-0.08811216801404953,-0.0134396031498909,0.0714285746216774,0.09706016629934311,0.1116897463798523,-0.0024514514952898026,0.00013576836499851197,0.03962370753288269,0.03962370753288269,0.001540545141324401,1.0,1.0,-0.004839721601456404,0.033333707600831985,0.40042075514793396,1.0,5.153291702270508,5.062594890594482,0.5227963328361511,5.799092769622803,0.43005305528640747,8.330140113830566,5.0998663902282715,0.4969325065612793,141.0,76.0,0.4284697473049164,1.435603380203247,-0.2286207377910614,18.0,0.0,False,-446.9905163283208,141
2026-03-17,53,165,0.3293242640993233,-0.0010842873016372323,-0.0023292778059840202,0.3794885575771332,0.000343953724950552,0.0002589179784990847,0.8635332584381104,-0.0027247124817222357,0.006477050483226776,-0.00205032154917717,-0.00010882414790103212,-0.4000000059604645,1.0578514337539673,-0.0021795989014208317,0.9081588983535767,0.33000001311302185,-0.19335664808750153,0.5282100439071655,0.11999999731779099,-0.002732377266511321,-0.18631204962730408,-1.0,0.0004386101209092885,-0.3246753215789795,-6.662342071533203,1.0,1.0084880590438843,3.0,2.6887286367127672e-05,-5.85803973081056e-05,0.4647231698036194,-0.8854560256004333,0.5,0.003358284244313836,-0.0009425224852748215,0.003968123812228441,0.8596622943878174,-1.0,139.0,0.0,0.0,-0.0009425224852748215,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.6462222337722778,0.5231404900550842,0.0018016622634604573,0.8859503865242004,0.0,0.0,-1.023140549659729,0.0,0.09267037361860275,0.008587731048464775,0.7333333492279053,0.0133707569912076,-0.028135880827903748,4.051977157592773,-1.3303958177566528,0.1120000034570694,0.06651157140731812,0.2826075553894043,-0.015187857672572136,0.06666667014360428,0.08585942536592484,0.10017558187246323,-0.0021558834705501795,7.71413033362478e-05,0.04286313056945801,0.04286313056945801,0.0018425030866637826,1.0,1.0,0.01320901233702898,0.046813879162073135,0.3031141757965088,1.0,4.18965482711792,4.779123306274414,0.35519126057624817,5.214935779571533,0.5095831155776978,8.336869239807129,4.7004804611206055,0.6146789193153381,112.0,105.0,0.5769068002700806,0.8830083608627319,-0.3858051002025604,39.0,0.0,False,-1074.3771739876247,112
2026-03-18,115,160,0.19857289627906582,-0.0007049832493066788,-0.0014298834139481187,1.5032490491867065,0.0003460000443737954,0.0003467320348136127,0.9113761186599731,-0.0014169183559715748,0.00579063268378377,-0.011683117598295212,-0.0001289800275117159,-0.20000000298023224,0.142562597990036,0.0025641026441007853,0.9118251800537109,0.33000001311302185,0.31895604729652405,0.5577998757362366,0.25297465920448303,-0.0023367733228951693,0.3316640257835388,-1.0,0.00034867474460043013,-0.07359307259321213,-3.81650972366333,1.0,0.9495713114738464,1.917829155921936,5.1981052820337936e-05,-2.123471858794801e-05,0.5344658493995667,-0.8451901078224182,0.5,-0.0029819016344845295,-0.0031244850251823664,0.002399532590061426,0.449438214302063,-1.0,144.0,0.0,0.0,-0.001897757756523788,0.0,0.0,0.0,1.0,0.0,0.23461167514324188,0.0,-0.8436535000801086,2.5782313346862793,0.0008807273698039353,0.8690476417541504,0.0,0.0,-3.0782313346862793,0.0,0.14540061354637146,0.02114121802151203,0.925000011920929,0.008485546335577965,-0.04243374243378639,2.1594858169555664,-1.337443470954895,0.0572640523314476,0.04172568768262863,0.20520640909671783,-0.019468938931822777,0.06593804806470871,0.13840904831886292,0.15191978216171265,-0.0008784703095443547,3.403853042982519e-05,0.03315292298793793,0.03315292298793793,0.00190258608199656,-2.0,-2.0,-0.03313637524843216,0.02636118419468403,0.37128204107284546,1.0,4.248495101928711,5.056245803833008,0.30666667222976685,5.420535087585449,0.5872641801834106,8.447843551635742,4.477336883544922,0.6551724076271057,45.0,110.0,0.0018477927660569549,0.08989130705595016,-0.1713043749332428,10.0,0.0,False,-178.9605684844721,45
