fold_idx,day,entry_bar,exit_bar,direction,exit_pnl,trigger,bars_held,exit_prob,max_prob,v1_alone_pnl,delta_vs_v1,is_false_positive
-1,2026-03-05,38,41,put,-166.75000167168955,model,3,0.193235733998146,0.9882880540085941,2982.111096424085,3148.8610980957747,True
-1,2026-03-06,108,125,put,136.74999990968996,model,17,0.27432982532225386,0.9745520121835707,-546.6640336662531,-683.414033575943,False
-1,2026-03-09,50,140,put,-1084.2500008158386,model,90,0.20857042658149672,0.9694818205514585,-1181.9895840473473,-97.73958323150873,False
-1,2026-03-10,53,105,put,-939.9749751784102,model,52,0.19067838867661796,0.973731947650858,-1168.6597275625138,-228.6847523841036,False
-1,2026-03-11,40,140,put,1063.4249234366666,model,100,0.26016165750720877,0.976065980528614,113.9087672338883,-949.5161562027783,False
-1,2026-03-12,109,125,put,-223.4999617709614,model,16,0.4373986465089739,0.9678043763710238,-831.7793780417345,-608.2794162707731,False
-1,2026-03-13,106,139,put,836.8999632015448,model,33,0.21063103190937776,0.9603693716326908,1089.2015925709406,252.30162936939587,False
-1,2026-03-16,53,194,put,497.0249229009011,model,141,0.21645631254828973,0.9785169931063817,50.03440657258034,-446.9905163283208,False
-1,2026-03-17,53,165,put,680.7500189518906,model,112,0.3293242640993233,0.9814095539164701,-393.6271550357342,-1074.3771739876247,False
-1,2026-03-18,115,160,put,2.124961637727509,model,45,0.19857289627906582,0.9678986191727943,-176.8356068467446,-178.9605684844721,False
-1,2026-03-19,90,145,put,-2.099973013298893,model,55,0.24482026072416832,0.9823301216263185,-621.2209991789919,-619.1210261656929,False
-1,2026-03-20,97,100,put,-203.1249434947425,model,3,0.20042290984344666,0.9723717698434665,-336.87494292668987,-133.74999943194737,False
-1,2026-03-23,67,110,put,-510.12494358870345,model,43,0.2627731090070263,0.9846484362600351,-7.264650047263665,502.8602935414398,False
-1,2026-03-24,110,190,put,176.37495926627244,model,80,0.24084480880572048,0.982691459727556,59.58441276997328,-116.79054649629916,False
-1,2026-03-25,46,115,put,65.00001814916004,model,69,0.24717814775129288,0.9850919200875884,-811.9500055325979,-876.9500236817579,False
-1,2026-03-26,48,240,put,2599.4600914390385,model,192,0.2449819065176141,0.9730292953654939,4616.166666314006,2016.7065748749674,False
-1,2026-03-27,87,110,put,192.50005821805973,model,23,0.46587937222961884,0.9635641495914721,1227.717852691308,1035.2177944732484,False
-1,2026-03-30,117,120,put,166.24998242938278,model,3,0.37565761632925054,0.9702451082499,1134.3000763066111,968.0500938772284,True
-1,2026-03-31,65,100,put,289.62498202481135,model,35,0.31566903738655777,0.9808996175363364,-1032.4385753171991,-1322.0635573420104,False
-1,2026-04-01,49,65,put,54.99998286239545,model,16,0.2228067970146607,0.9685123369698867,-993.4168535478318,-1048.4168364102272,False
