Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Curriculum learning: enabled
  Stages: 3 | Selectivity growth: 1.5x
Label smoothing: gate=0.05 dir=0.05

step 01500 ( 15.0%) | loss: 1.506819 | trade:0.40 call:0.63 put:0.37 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 204s | cur_stage:0 thresh:0.000
step 01550 ( 15.6%) | loss: 1.462832 | trade:0.37 call:0.65 put:0.35 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 203s | cur_stage:0 thresh:0.000
step 01600 ( 16.1%) | loss: 1.451258 | trade:0.40 call:0.65 put:0.35 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 201s | cur_stage:0 thresh:0.000
step 01650 ( 16.6%) | loss: 1.437862 | trade:0.39 call:0.67 put:0.33 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 200s | cur_stage:0 thresh:0.000
step 01700 ( 17.1%) | loss: 1.402612 | trade:0.34 call:0.67 put:0.33 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 199s | cur_stage:0 thresh:0.000
step 01750 ( 17.6%) | loss: 1.350747 | trade:0.37 call:0.68 put:0.32 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 198s | cur_stage:0 thresh:0.000
step 01800 ( 18.1%) | loss: 1.380261 | trade:0.32 call:0.62 put:0.38 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 197s | cur_stage:0 thresh:0.000
step 01850 ( 18.6%) | loss: 1.356893 | trade:0.39 call:0.64 put:0.36 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 195s | cur_stage:0 thresh:0.000
step 01900 ( 19.1%) | loss: 1.327099 | trade:0.36 call:0.63 put:0.37 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 194s | cur_stage:0 thresh:0.000
step 01950 ( 19.6%) | loss: 1.349093 | trade:0.33 call:0.60 put:0.40 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 193s | cur_stage:0 thresh:0.000
step 02000 ( 20.2%) | loss: 1.297886 | trade:0.32 call:0.68 put:0.32 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 192s | cur_stage:0 thresh:0.000
step 02050 ( 20.7%) | loss: 1.339839 | trade:0.38 call:0.67 put:0.33 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 190s | cur_stage:0 thresh:0.000
step 02100 ( 21.2%) | loss: 1.296478 | trade:0.34 call:0.65 put:0.35 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 189s | cur_stage:0 thresh:0.000
step 02150 ( 21.7%) | loss: 1.308979 | trade:0.35 call:0.65 put:0.35 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 188s | cur_stage:0 thresh:0.000
step 02200 ( 22.2%) | loss: 1.301374 | trade:0.39 call:0.59 put:0.41 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 187s | cur_stage:0 thresh:0.000
step 02250 ( 22.7%) | loss: 1.270512 | trade:0.35 call:0.65 put:0.35 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 185s | cur_stage:0 thresh:0.000
step 02300 ( 23.2%) | loss: 1.252122 | trade:0.34 call:0.61 put:0.39 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 184s | cur_stage:0 thresh:0.000
step 02350 ( 23.7%) | loss: 1.257763 | trade:0.35 call:0.69 put:0.31 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 183s | cur_stage:0 thresh:0.000
step 02400 ( 24.2%) | loss: 1.238848 | trade:0.33 call:0.70 put:0.30 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 182s | cur_stage:0 thresh:0.000
step 02450 ( 24.8%) | loss: 1.275189 | trade:0.40 call:0.65 put:0.35 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 181s | cur_stage:0 thresh:0.000
step 02500 ( 25.3%) | loss: 1.253710 | trade:0.39 call:0.58 put:0.42 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 179s | cur_stage:0 thresh:0.000
step 02550 ( 25.8%) | loss: 1.235678 | trade:0.33 call:0.60 put:0.40 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 178s | cur_stage:0 thresh:0.000
step 02600 ( 26.3%) | loss: 1.243395 | trade:0.34 call:0.56 put:0.44 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 177s | cur_stage:0 thresh:0.000
step 02650 ( 26.8%) | loss: 1.221192 | trade:0.34 call:0.64 put:0.36 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 176s | cur_stage:0 thresh:0.000
step 02700 ( 27.4%) | loss: 1.236553 | trade:0.32 call:0.64 put:0.36 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 174s | cur_stage:0 thresh:0.000
step 02750 ( 27.9%) | loss: 1.243507 | trade:0.36 call:0.54 put:0.46 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 173s | cur_stage:0 thresh:0.000
step 02800 ( 28.4%) | loss: 1.238734 | trade:0.37 call:0.62 put:0.38 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 172s | cur_stage:0 thresh:0.000
step 02850 ( 28.9%) | loss: 1.186979 | trade:0.29 call:0.65 put:0.35 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 171s | cur_stage:0 thresh:0.000
step 02900 ( 29.4%) | loss: 1.188855 | trade:0.39 call:0.62 put:0.38 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 169s | cur_stage:0 thresh:0.000
step 02950 ( 29.9%) | loss: 1.203233 | trade:0.36 call:0.62 put:0.38 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 168s | cur_stage:0 thresh:0.000
step 03000 ( 30.4%) | loss: 1.205442 | trade:0.40 call:0.57 put:0.43 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 167s | cur_stage:0 thresh:0.000
step 03050 ( 30.9%) | loss: 1.186915 | trade:0.37 call:0.66 put:0.34 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 166s | cur_stage:0 thresh:0.000
step 03100 ( 31.4%) | loss: 1.191031 | trade:0.37 call:0.65 put:0.35 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 165s | cur_stage:0 thresh:0.000
step 03150 ( 31.9%) | loss: 1.170647 | trade:0.35 call:0.62 put:0.38 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 163s | cur_stage:0 thresh:0.000
step 03200 ( 32.4%) | loss: 1.199943 | trade:0.35 call:0.63 put:0.37 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 162s | cur_stage:0 thresh:0.000
step 03250 ( 32.9%) | loss: 1.204905 | trade:0.29 call:0.62 put:0.38 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 161s | cur_stage:0 thresh:0.000
step 03300 ( 33.4%) | loss: 1.183422 | trade:0.36 call:0.67 put:0.33 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 160s | cur_stage:1 thresh:0.038
step 03350 ( 33.9%) | loss: 1.183086 | trade:0.31 call:0.62 put:0.38 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 159s | cur_stage:1 thresh:0.038
step 03400 ( 34.4%) | loss: 1.164172 | trade:0.35 call:0.61 put:0.39 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 157s | cur_stage:1 thresh:0.038
step 03450 ( 34.9%) | loss: 1.151031 | trade:0.33 call:0.64 put:0.36 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 156s | cur_stage:1 thresh:0.038
step 03500 ( 35.4%) | loss: 1.158598 | trade:0.32 call:0.63 put:0.37 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 155s | cur_stage:1 thresh:0.038
step 03550 ( 36.0%) | loss: 1.172289 | trade:0.34 call:0.63 put:0.37 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 154s | cur_stage:1 thresh:0.038
step 03600 ( 36.5%) | loss: 1.179748 | trade:0.30 call:0.62 put:0.38 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 152s | cur_stage:1 thresh:0.039
step 03650 ( 37.0%) | loss: 1.166888 | trade:0.31 call:0.65 put:0.35 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 151s | cur_stage:1 thresh:0.039
