abs_delta,abs_single_feature_score_delta,case,contract_id,decision_ts,delta_historical_minus_live,family,feature,historical_score,historical_value,live_score,live_value,score_delta_historical_minus_live,session,single_feature_live_to_historical_score,single_feature_score_delta
16.0,0.3431224822998047,july1_score_ceiling_action_drift,SPXW-20260701-07510.000-P,2026-07-01T14:36:00+00:00,16.0,option,option.bid_size,55.5837516784668,18.0,25.337100982666016,2.0,30.24665069580078,2026-07-01,25.68022346496582,0.3431224822998047
10.0,0.0,july1_score_ceiling_action_drift,SPXW-20260701-07510.000-P,2026-07-01T14:36:00+00:00,-10.0,option,option.ask_size,55.5837516784668,3.0,25.337100982666016,13.0,30.24665069580078,2026-07-01,25.337100982666016,0.0
0.3497047424316406,0.0,july1_score_ceiling_action_drift,SPXW-20260701-07510.000-P,2026-07-01T14:36:00+00:00,0.3497047424316406,option,option.theta,55.5837516784668,-17.848180770874023,25.337100982666016,-18.197885513305664,30.24665069580078,2026-07-01,25.337100982666016,0.0
0.10000038146972656,0.0,july1_score_ceiling_action_drift,SPXW-20260701-07510.000-P,2026-07-01T14:36:00+00:00,-0.10000038146972656,option,option.bid,55.5837516784668,24.600000381469727,25.337100982666016,24.700000762939453,30.24665069580078,2026-07-01,25.337100982666016,0.0
0.10000038146972656,0.0,july1_score_ceiling_action_drift,SPXW-20260701-07510.000-P,2026-07-01T14:36:00+00:00,-0.10000038146972656,option,option.ask,55.5837516784668,24.799999237060547,25.337100982666016,24.899999618530273,30.24665069580078,2026-07-01,25.337100982666016,0.0
0.09999990463256836,0.0,july1_score_ceiling_action_drift,SPXW-20260701-07510.000-P,2026-07-01T14:36:00+00:00,-0.09999990463256836,option,option.breakeven_distance,55.5837516784668,3.509999990463257,25.337100982666016,3.609999895095825,30.24665069580078,2026-07-01,25.337100982666016,0.0
0.09999847412109375,0.0,july1_score_ceiling_action_drift,SPXW-20260701-07510.000-P,2026-07-01T14:36:00+00:00,-0.09999847412109375,option,option.mid,55.5837516784668,24.700000762939453,25.337100982666016,24.799999237060547,30.24665069580078,2026-07-01,25.337100982666016,0.0
0.0026763081550598145,0.0,july1_score_ceiling_action_drift,SPXW-20260701-07510.000-P,2026-07-01T14:36:00+00:00,-0.0026763081550598145,option,option.delta,55.5837516784668,-0.7739251255989075,25.337100982666016,-0.7712488174438477,30.24665069580078,2026-07-01,25.337100982666016,0.0
0.0017825067043304443,29.90353012084961,july1_score_ceiling_action_drift,SPXW-20260701-07510.000-P,2026-07-01T14:36:00+00:00,-0.0017825067043304443,option,option.iv,55.5837516784668,0.1500612497329712,25.337100982666016,0.15184375643730164,30.24665069580078,2026-07-01,55.240631103515625,29.90353012084961
5.567818880081177e-05,0.0,july1_score_ceiling_action_drift,SPXW-20260701-07510.000-P,2026-07-01T14:36:00+00:00,5.567818880081177e-05,option,option.gamma,55.5837516784668,0.010778184980154037,25.337100982666016,0.010722506791353226,30.24665069580078,2026-07-01,25.337100982666016,0.0
