policy_idx,heuristic,fold,threshold,net_pnl,max_drawdown_pct,trades_executed,trades_per_day
0,straddle_mid_expansion,0,56.800895402216426,-11162.999999999996,1.1673699015471168,421,9.355555555555556
0,straddle_mid_expansion,1,64.42225077430605,2108.9999999999977,0.1706,17,0.37777777777777777
0,straddle_mid_expansion,2,57.839400065309995,-7208.999999999998,0.954,133,2.9555555555555557
0,straddle_mid_expansion,3,55.01520478261862,-7729.000000000005,1.071396928529238,218,4.844444444444444
0,straddle_mid_expansion,4,53.45839003491943,-4185.999999999998,1.0040971488912356,457,10.155555555555555
0,put_call_ratio_skew,0,2.41465291065928,-12151.0,1.2697647352232104,677,15.044444444444444
0,put_call_ratio_skew,1,2.241270883027751,-10212.999999999996,1.0369361820974725,691,15.355555555555556
0,put_call_ratio_skew,2,2.5884473287288405,-10529.999999999998,1.0538999999999998,420,9.333333333333334
0,put_call_ratio_skew,3,2.6089592984579792,-9534.000000000005,1.031869918699187,463,10.28888888888889
0,put_call_ratio_skew,4,2.6051557779395775,-10397.0,1.0696,229,5.088888888888889
0,near_atm_band_momentum,0,0.22800974096538282,-9554.0,0.9955,318,7.066666666666666
0,near_atm_band_momentum,1,0.2138699145288805,-10758.999999999998,1.0754549050632911,683,15.177777777777777
0,near_atm_band_momentum,2,0.2256719976675684,-10092.0,1.0166517989889978,289,6.4222222222222225
0,near_atm_band_momentum,3,0.22631312607548879,-9286.0,0.9935810300558828,1267,28.155555555555555
0,near_atm_band_momentum,4,0.2295744416445,-10219.0,1.0355834136933462,378,8.4
0,internal_delta_geometry,0,-0.18384900670614962,-10877.999999999998,1.061605388717373,476,10.577777777777778
0,internal_delta_geometry,1,-0.18608994759914724,-9867.0,0.9989782649080439,204,4.533333333333333
0,internal_delta_geometry,2,-0.19006491673489728,-9858.0,1.0152420800956365,286,6.355555555555555
0,internal_delta_geometry,3,-0.19024378065961378,-7726.000000000007,0.9625817436056185,1617,35.93333333333333
0,internal_delta_geometry,4,-0.1903279425633516,-9857.000000000002,1.0137987905442551,614,13.644444444444444
1,straddle_mid_expansion,0,56.800895402216426,-10243.000000000002,1.1233513813688742,176,3.911111111111111
1,straddle_mid_expansion,1,64.42225077430605,-904.0000000000003,0.3245,8,0.17777777777777778
1,straddle_mid_expansion,2,57.839400065309995,-12641.999999999998,1.2642,94,2.088888888888889
1,straddle_mid_expansion,3,55.01520478261862,7453.999999999998,0.45711521183219295,152,3.3777777777777778
1,straddle_mid_expansion,4,53.45839003491943,15359.999999999998,0.8335123523093448,395,8.777777777777779
1,put_call_ratio_skew,0,2.41465291065928,-14307.0,1.4314999999999998,194,4.311111111111111
1,put_call_ratio_skew,1,2.241270883027751,-10056.0,1.0872093023255813,377,8.377777777777778
1,put_call_ratio_skew,2,2.5884473287288405,-6659.000000000001,0.9845207130622344,483,10.733333333333333
1,put_call_ratio_skew,3,2.6089592984579792,-11331.000000000002,1.1306873184898354,482,10.71111111111111
1,put_call_ratio_skew,4,2.6051557779395775,-10768.0,1.1342551293487957,191,4.2444444444444445
1,near_atm_band_momentum,0,0.22800974096538282,-11215.0,1.1215,290,6.444444444444445
1,near_atm_band_momentum,1,0.2138699145288805,-8923.0,0.8972230174634984,576,12.8
1,near_atm_band_momentum,2,0.2256719976675684,-10416.0,1.0455,287,6.377777777777778
1,near_atm_band_momentum,3,0.22631312607548879,-9786.999999999998,1.0164670658682635,189,4.2
1,near_atm_band_momentum,4,0.2295744416445,-10079.0,1.0952760469497174,513,11.4
1,internal_delta_geometry,0,-0.18384900670614962,-11394.0,1.136451488210282,108,2.4
1,internal_delta_geometry,1,-0.18608994759914724,-3825.0000000000014,0.7961328027853768,630,14.0
1,internal_delta_geometry,2,-0.19006491673489728,-10329.000000000002,1.0797101449275361,148,3.2888888888888888
1,internal_delta_geometry,3,-0.19024378065961378,-9018.999999999998,1.0287532759266191,103,2.2888888888888888
1,internal_delta_geometry,4,-0.1903279425633516,-10484.000000000002,1.075425147590096,208,4.622222222222222
2,straddle_mid_expansion,0,56.800895402216426,-13574.0,1.2887380836968816,53,1.1777777777777778
2,straddle_mid_expansion,1,64.42225077430605,-6173.0,0.62,6,0.13333333333333333
