source_file,line_number,timestamp,run_id,mode,candidate_count,candidate_sample_count,has_full_candidate_features,has_surface_scores,has_surface_gate_diagnostics,has_replay_candidate_set,status,missing_evidence
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,123,2026-05-19T16:58:01.457332+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,128,2026-05-19T16:58:06.547985+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,133,2026-05-19T16:58:11.597993+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,142,2026-05-19T17:00:53.424885+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,147,2026-05-19T17:00:58.519688+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,152,2026-05-19T17:01:03.594960+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,161,2026-05-19T17:03:14.192103+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,166,2026-05-19T17:03:19.271196+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,171,2026-05-19T17:03:24.324684+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,180,2026-05-19T17:05:50.600352+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,185,2026-05-19T17:05:55.661972+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,190,2026-05-19T17:06:00.714774+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,199,2026-05-19T17:08:40.879105+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,204,2026-05-19T17:08:45.931496+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,209,2026-05-19T17:08:51.010347+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,218,2026-05-19T17:11:14.668357+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,223,2026-05-19T17:11:19.771345+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,228,2026-05-19T17:11:24.824096+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,237,2026-05-19T17:14:09.604419+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,242,2026-05-19T17:14:14.654864+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,247,2026-05-19T17:14:19.705081+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,256,2026-05-19T17:16:44.777618+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,261,2026-05-19T17:16:49.882088+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,266,2026-05-19T17:16:54.937481+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,275,2026-05-19T17:19:37.043952+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,280,2026-05-19T17:19:42.121131+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,285,2026-05-19T17:19:47.174960+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,294,2026-05-19T17:22:15.296297+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,299,2026-05-19T17:22:20.369304+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,304,2026-05-19T17:22:25.421050+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,313,2026-05-19T17:24:35.830881+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,318,2026-05-19T17:24:40.903004+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,323,2026-05-19T17:24:45.957187+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,,0,false,false,false,false,not_comparable,full_candidate_features;surface_scores;replay_candidate_set
