Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir), ATM-biased, no ETV
Training from scratch (v4: no warm-start).
Day-sequential batching: 70% sequential, 30% random (batch=16)

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00025 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.2 | Weight decay: 0.05
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=0.5, dir=2.0, pnl=0.3
Exit override strength: 0.5 (gate targets flipped on exit bars)
Position state: flat for random batches, tracked for day-sequential

step 01550 (  6.3%) | loss: 0.390926 | trade:0.33 call:0.31 put:0.69 | ATM:0.57 OTM:0.43 [seq] | lr: 1.05e-04 wd: 0.027 | left: 225s
step 01600 (  6.6%) | loss: 1.105746 | trade:0.27 call:0.71 put:0.29 | ATM:0.52 OTM:0.48 [rnd] | lr: 1.10e-04 wd: 0.027 | left: 224s
step 01650 (  6.8%) | loss: 0.778852 | trade:0.85 call:0.20 put:0.80 | ATM:0.52 OTM:0.48 [seq] | lr: 1.13e-04 wd: 0.027 | left: 224s
step 01700 (  7.0%) | loss: 0.725909 | trade:0.12 call:0.88 put:0.12 | ATM:0.56 OTM:0.44 [seq] | lr: 1.16e-04 wd: 0.027 | left: 223s
step 01750 (  7.1%) | loss: 0.356571 | trade:0.09 call:0.75 put:0.25 | ATM:0.67 OTM:0.33 [seq] | lr: 1.18e-04 wd: 0.027 | left: 223s
step 01800 (  7.3%) | loss: 0.718858 | trade:0.05 call:0.95 put:0.05 | ATM:0.54 OTM:0.46 [seq] | lr: 1.21e-04 wd: 0.027 | left: 223s
step 01850 (  7.4%) | loss: 0.834332 | trade:0.03 call:0.83 put:0.17 | ATM:0.62 OTM:0.38 [seq] | lr: 1.24e-04 wd: 0.027 | left: 222s
step 01900 (  7.6%) | loss: 0.695349 | trade:0.04 call:0.95 put:0.05 | ATM:0.67 OTM:0.33 [seq] | lr: 1.27e-04 wd: 0.027 | left: 222s
step 01950 (  7.8%) | loss: 0.385747 | trade:0.01 call:0.89 put:0.11 | ATM:0.69 OTM:0.31 [seq] | lr: 1.31e-04 wd: 0.027 | left: 221s
step 02000 (  8.1%) | loss: 0.857689 | trade:0.05 call:0.70 put:0.30 | ATM:0.66 OTM:0.34 [seq] | lr: 1.35e-04 wd: 0.027 | left: 221s
step 02050 (  8.3%) | loss: 1.094116 | trade:0.31 call:0.69 put:0.31 | ATM:0.56 OTM:0.44 [rnd] | lr: 1.38e-04 wd: 0.027 | left: 220s
step 02100 (  8.4%) | loss: 0.950397 | trade:0.27 call:0.72 put:0.28 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.40e-04 wd: 0.027 | left: 220s
step 02150 (  8.6%) | loss: 0.798391 | trade:0.22 call:0.74 put:0.26 | ATM:0.56 OTM:0.44 [rnd] | lr: 1.44e-04 wd: 0.027 | left: 219s
step 02200 (  8.9%) | loss: 0.641160 | trade:0.23 call:0.69 put:0.31 | ATM:0.61 OTM:0.39 [rnd] | lr: 1.48e-04 wd: 0.027 | left: 219s
step 02250 (  9.0%) | loss: 0.543973 | trade:0.14 call:0.98 put:0.02 | ATM:0.84 OTM:0.16 [seq] | lr: 1.51e-04 wd: 0.027 | left: 218s
step 02300 (  9.3%) | loss: 0.898645 | trade:0.23 call:0.69 put:0.31 | ATM:0.57 OTM:0.43 [rnd] | lr: 1.54e-04 wd: 0.027 | left: 218s
step 02350 (  9.6%) | loss: 0.715313 | trade:0.26 call:0.13 put:0.87 | ATM:0.80 OTM:0.20 [seq] | lr: 1.60e-04 wd: 0.027 | left: 217s
step 02400 (  9.8%) | loss: 0.831328 | trade:0.00 call:0.31 put:0.69 | ATM:0.66 OTM:0.34 [seq] | lr: 1.64e-04 wd: 0.027 | left: 216s
step 02450 ( 10.1%) | loss: 0.853707 | trade:0.22 call:0.67 put:0.33 | ATM:0.60 OTM:0.40 [rnd] | lr: 1.68e-04 wd: 0.028 | left: 216s
step 02500 ( 10.3%) | loss: 0.628472 | trade:0.00 call:0.82 put:0.18 | ATM:0.68 OTM:0.32 [seq] | lr: 1.71e-04 wd: 0.028 | left: 215s
