session,era,era_assignment_reason,source_types,source_statuses,source_paths
2024-10-25,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-28,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-29,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-30,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-31,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-11-01,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-11-04,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-11-05,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-11-06,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-11-07,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-11-08,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-11-11,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-11-12,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-11-13,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-11-14,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-11-15,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
