date,bar_of_day,global_bar,target_delta,horizon,spot_mfe,spot_mae,spot_end_ret,opt_mfe,opt_mae,opt_end_ret,n_valid_spot_bars,n_valid_opt_bars
2022-04-11,143,143,0.4,5,-0.0002702024736997977,-0.0010653037699348555,-0.0007837741270079195,-0.06914893380923204,-0.255319159729225,-0.255319159729225,5,5
2022-04-11,143,143,0.4,10,-0.0002702024736997977,-0.0014345914812429225,-0.0012770008647138994,-0.06914893380923204,-0.3218085215999941,-0.26595744748307654,10,10
2022-04-11,143,143,0.4,20,-0.0002702024736997977,-0.0014345914812429225,-0.0014345914812429225,-0.06914893380923204,-0.37765959571691166,-0.37765959571691166,20,19
2022-04-11,143,143,0.4,30,-0.0002702024736997977,-0.0015134417757658185,-0.001299545230651408,-0.06914893380923204,-0.37765959571691166,-0.3085106619076796,30,28
2022-04-11,143,143,0.5,5,-0.0002702024736997977,-0.0010653037699348555,-0.0007837741270079195,-0.06735747608550377,-0.23316058156544509,-0.17098442318711446,5,5
2022-04-11,143,143,0.5,10,-0.0002702024736997977,-0.0014345914812429225,-0.0012770008647138994,-0.06735747608550377,-0.3367875286670558,-0.24663209654781743,10,10
2022-04-11,143,143,0.5,20,-0.0002702024736997977,-0.0014345914812429225,-0.0014345914812429225,-0.06735747608550377,-0.34715021349458103,-0.34715021349458103,20,20
2022-04-11,143,143,0.5,30,-0.0002702024736997977,-0.0015134417757658185,-0.001299545230651408,-0.06735747608550377,-0.34715021349458103,-0.28497405511625046,30,30
2022-04-13,100,490,0.4,5,0.0007825717321528421,-0.00012214568667245882,0.0007825717321528421,0.15942027383029947,-0.01449273960151203,0.15942027383029947,5,5
2022-04-13,100,490,0.4,10,0.000999695077539871,-0.00012214568667245882,0.0008028925335522385,0.17391308253864507,-0.01449273960151203,0.10144924631741778,10,10
2022-04-13,100,490,0.4,20,0.002006237381638234,-0.00012214568667245882,0.0018614516716675348,0.5405797054376504,-0.01449273960151203,0.46376815099621993,20,20
2022-04-13,100,490,0.4,30,0.0021939839163065706,-0.00012214568667245882,0.0015719906908641763,0.5405797054376504,-0.01449273960151203,0.31884061676743247,30,30
2022-04-13,100,490,0.5,5,0.0007825717321528421,-0.00012214568667245882,0.0007825717321528421,0.14782607037088144,0.0,0.14782607037088144,5,5
2022-04-13,100,490,0.5,10,0.000999695077539871,-0.00012214568667245882,0.0008028925335522385,0.16521735813306726,0.0,0.12173909726350204,10,10
2022-04-13,100,490,0.5,20,0.002006237381638234,-0.00012214568667245882,0.0018614516716675348,0.43478260869565216,0.0,0.391304347826087,20,20
2022-04-13,100,490,0.5,30,0.0021939839163065706,-0.00012214568667245882,0.0015719906908641763,0.48086962492569635,0.0,0.32173911384914233,30,30
2022-04-18,108,888,0.4,5,0.00010245636353473565,-0.000691858263955818,-0.000691858263955818,0.007692273834049358,-0.1538462102765844,-0.1538462102765844,5,5
