date,bar_of_day,global_bar,ablation_cell,target_delta,horizon,spot_mfe,spot_mae,spot_end_ret,opt_mfe,opt_mae,opt_end_ret,n_valid_spot_bars,n_valid_opt_bars,contract_idx,contract_strike,contract_delta,contract_mid_at_entry
2022-04-13,34,424,P-open,0.4,5,0.0008470682998300208,-0.000978802445686555,-0.000978802445686555,0.13253004849606137,-0.21686748787598464,-0.21686748787598464,5,5,117,4415.0,0.37147510051727295,8.300000190734863
2022-04-13,34,424,P-open,0.4,10,0.0008470682998300208,-0.0011149720846695718,-0.0007517051976106442,0.13253004849606137,-0.2409638498843124,-0.2120482154743191,10,9,117,4415.0,0.37147510051727295,8.300000190734863
2022-04-13,34,424,P-open,0.4,20,0.0019075947063720183,-0.0011149720846695718,0.0019075947063720183,0.3855421368347964,-0.2409638498843124,0.3855421368347964,20,19,117,4415.0,0.37147510051727295,8.300000190734863
2022-04-13,34,424,P-open,0.4,30,0.0019075947063720183,-0.0011149720846695718,0.0013035914298732457,0.3855421368347964,-0.2409638498843124,0.15662652540490654,30,29,117,4415.0,0.37147510051727295,8.300000190734863
2022-04-13,34,424,P-open,0.5,5,0.0008470682998300208,-0.000978802445686555,-0.000978802445686555,0.157480317325747,-0.16535428813655415,-0.16535428813655415,5,5,113,4405.0,0.49173760414123535,12.699999809265137
2022-04-13,34,424,P-open,0.5,10,0.0008470682998300208,-0.0011149720846695718,-0.0007517051976106442,0.157480317325747,-0.19133853448790505,-0.11811023799431024,10,10,113,4405.0,0.49173760414123535,12.699999809265137
2022-04-13,34,424,P-open,0.5,20,0.0019075947063720183,-0.0011149720846695718,0.0019075947063720183,0.31496070974396095,-0.19133853448790505,0.31496070974396095,20,20,113,4405.0,0.49173760414123535,12.699999809265137
2022-04-13,34,424,P-open,0.5,30,0.0019075947063720183,-0.0011149720846695718,0.0013035914298732457,0.31496070974396095,-0.19133853448790505,0.18110237994310244,30,29,113,4405.0,0.49173760414123535,12.699999809265137
2022-04-13,34,424,P-15m,0.4,5,0.0008470682998300208,-0.000978802445686555,-0.000978802445686555,0.13253004849606137,-0.21686748787598464,-0.21686748787598464,5,5,117,4415.0,0.37147510051727295,8.300000190734863
2022-04-13,34,424,P-15m,0.4,10,0.0008470682998300208,-0.0011149720846695718,-0.0007517051976106442,0.13253004849606137,-0.2409638498843124,-0.2120482154743191,10,9,117,4415.0,0.37147510051727295,8.300000190734863
2022-04-13,34,424,P-15m,0.4,20,0.0019075947063720183,-0.0011149720846695718,0.0019075947063720183,0.3855421368347964,-0.2409638498843124,0.3855421368347964,20,19,117,4415.0,0.37147510051727295,8.300000190734863
2022-04-13,34,424,P-15m,0.4,30,0.0019075947063720183,-0.0011149720846695718,0.0013035914298732457,0.3855421368347964,-0.2409638498843124,0.15662652540490654,30,29,117,4415.0,0.37147510051727295,8.300000190734863
2022-04-13,34,424,P-15m,0.5,5,0.0008470682998300208,-0.000978802445686555,-0.000978802445686555,0.157480317325747,-0.16535428813655415,-0.16535428813655415,5,5,113,4405.0,0.49173760414123535,12.699999809265137
2022-04-13,34,424,P-15m,0.5,10,0.0008470682998300208,-0.0011149720846695718,-0.0007517051976106442,0.157480317325747,-0.19133853448790505,-0.11811023799431024,10,10,113,4405.0,0.49173760414123535,12.699999809265137
2022-04-13,34,424,P-15m,0.5,20,0.0019075947063720183,-0.0011149720846695718,0.0019075947063720183,0.31496070974396095,-0.19133853448790505,0.31496070974396095,20,20,113,4405.0,0.49173760414123535,12.699999809265137
2022-04-13,34,424,P-15m,0.5,30,0.0019075947063720183,-0.0011149720846695718,0.0013035914298732457,0.31496070974396095,-0.19133853448790505,0.18110237994310244,30,29,113,4405.0,0.49173760414123535,12.699999809265137
2022-04-13,34,424,P-cooldown,0.4,5,0.0008470682998300208,-0.000978802445686555,-0.000978802445686555,0.13253004849606137,-0.21686748787598464,-0.21686748787598464,5,5,117,4415.0,0.37147510051727295,8.300000190734863
2022-04-13,34,424,P-cooldown,0.4,10,0.0008470682998300208,-0.0011149720846695718,-0.0007517051976106442,0.13253004849606137,-0.2409638498843124,-0.2120482154743191,10,9,117,4415.0,0.37147510051727295,8.300000190734863
2022-04-13,34,424,P-cooldown,0.4,20,0.0019075947063720183,-0.0011149720846695718,0.0019075947063720183,0.3855421368347964,-0.2409638498843124,0.3855421368347964,20,19,117,4415.0,0.37147510051727295,8.300000190734863
2022-04-13,34,424,P-cooldown,0.4,30,0.0019075947063720183,-0.0011149720846695718,0.0013035914298732457,0.3855421368347964,-0.2409638498843124,0.15662652540490654,30,29,117,4415.0,0.37147510051727295,8.300000190734863
2022-04-13,34,424,P-cooldown,0.5,5,0.0008470682998300208,-0.000978802445686555,-0.000978802445686555,0.157480317325747,-0.16535428813655415,-0.16535428813655415,5,5,113,4405.0,0.49173760414123535,12.699999809265137
2022-04-13,34,424,P-cooldown,0.5,10,0.0008470682998300208,-0.0011149720846695718,-0.0007517051976106442,0.157480317325747,-0.19133853448790505,-0.11811023799431024,10,10,113,4405.0,0.49173760414123535,12.699999809265137
2022-04-13,34,424,P-cooldown,0.5,20,0.0019075947063720183,-0.0011149720846695718,0.0019075947063720183,0.31496070974396095,-0.19133853448790505,0.31496070974396095,20,20,113,4405.0,0.49173760414123535,12.699999809265137
2022-04-13,34,424,P-cooldown,0.5,30,0.0019075947063720183,-0.0011149720846695718,0.0013035914298732457,0.31496070974396095,-0.19133853448790505,0.18110237994310244,30,29,113,4405.0,0.49173760414123535,12.699999809265137
2022-04-18,87,867,P-open,0.4,5,0.000534454432845906,0.00016834259717315468,0.00047982081951530436,0.10465111379174903,0.0,0.10465111379174903,5,5,110,4405.0,0.40624499320983887,8.600000381469727
2022-04-18,87,867,P-open,0.4,10,0.0011461954406472973,0.00016834259717315468,0.0007323347152750364,0.2325581292193156,0.0,0.13953485535311785,10,10,110,4405.0,0.40624499320983887,8.600000381469727
2022-04-18,87,867,P-open,0.4,20,0.0011461954406472973,-0.0006981331849786435,-0.0006981331849786435,0.2325581292193156,-0.18604654773239546,-0.18604654773239546,20,20,110,4405.0,0.40624499320983887,8.600000381469727
2022-04-18,87,867,P-open,0.4,30,0.0011461954406472973,-0.00275177961777569,-0.00275177961777569,0.2325581292193156,-0.5116279508179088,-0.5116279508179088,30,30,110,4405.0,0.40624499320983887,8.600000381469727
2022-04-18,87,867,P-open,0.5,5,0.000534454432845906,0.00016834259717315468,0.00047982081951530436,0.09174312247680953,0.027522954241654782,0.09174312247680953,5,5,108,4400.0,0.4729507267475128,10.899999618530273
2022-04-18,87,867,P-open,0.5,10,0.0011461954406472973,0.00016834259717315468,0.0007323347152750364,0.21100919919527383,0.027522954241654782,0.17431198520177388,10,10,108,4400.0,0.4729507267475128,10.899999618530273
2022-04-18,87,867,P-open,0.5,20,0.0011461954406472973,-0.0006981331849786435,-0.0006981331849786435,0.21100919919527383,-0.16513755046380946,-0.16513755046380946,20,20,108,4400.0,0.4729507267475128,10.899999618530273
2022-04-18,87,867,P-open,0.5,30,0.0011461954406472973,-0.00275177961777569,-0.00275177961777569,0.21100919919527383,-0.48623852287917263,-0.48623852287917263,30,30,108,4400.0,0.4729507267475128,10.899999618530273
2022-04-18,87,867,P-15m,0.4,5,0.000534454432845906,0.00016834259717315468,0.00047982081951530436,0.10465111379174903,0.0,0.10465111379174903,5,5,110,4405.0,0.40624499320983887,8.600000381469727
2022-04-18,87,867,P-15m,0.4,10,0.0011461954406472973,0.00016834259717315468,0.0007323347152750364,0.2325581292193156,0.0,0.13953485535311785,10,10,110,4405.0,0.40624499320983887,8.600000381469727
2022-04-18,87,867,P-15m,0.4,20,0.0011461954406472973,-0.0006981331849786435,-0.0006981331849786435,0.2325581292193156,-0.18604654773239546,-0.18604654773239546,20,20,110,4405.0,0.40624499320983887,8.600000381469727
2022-04-18,87,867,P-15m,0.4,30,0.0011461954406472973,-0.00275177961777569,-0.00275177961777569,0.2325581292193156,-0.5116279508179088,-0.5116279508179088,30,30,110,4405.0,0.40624499320983887,8.600000381469727
2022-04-18,87,867,P-15m,0.5,5,0.000534454432845906,0.00016834259717315468,0.00047982081951530436,0.09174312247680953,0.027522954241654782,0.09174312247680953,5,5,108,4400.0,0.4729507267475128,10.899999618530273
2022-04-18,87,867,P-15m,0.5,10,0.0011461954406472973,0.00016834259717315468,0.0007323347152750364,0.21100919919527383,0.027522954241654782,0.17431198520177388,10,10,108,4400.0,0.4729507267475128,10.899999618530273
2022-04-18,87,867,P-15m,0.5,20,0.0011461954406472973,-0.0006981331849786435,-0.0006981331849786435,0.21100919919527383,-0.16513755046380946,-0.16513755046380946,20,20,108,4400.0,0.4729507267475128,10.899999618530273
2022-04-18,87,867,P-15m,0.5,30,0.0011461954406472973,-0.00275177961777569,-0.00275177961777569,0.21100919919527383,-0.48623852287917263,-0.48623852287917263,30,30,108,4400.0,0.4729507267475128,10.899999618530273
2022-04-20,95,1265,P-open,0.4,5,-0.00035073678725975623,-0.0009719172745558843,-0.0009719172745558843,-0.0728814064788591,-0.23728814792167296,-0.23728814792167296,5,5,130,4485.0,0.36195144057273865,5.900000095367432
2022-04-20,95,1265,P-open,0.4,10,-0.00035073678725975623,-0.0016957550921199536,-0.0016957550921199536,-0.0728814064788591,-0.4237288067101817,-0.4237288067101817,10,10,130,4485.0,0.36195144057273865,5.900000095367432
2022-04-20,95,1265,P-open,0.4,20,-0.00035073678725975623,-0.0024621395184029355,-0.0023615549716366853,-0.0728814064788591,-0.4932203455582256,-0.47288138223290227,20,20,130,4485.0,0.36195144057273865,5.900000095367432
2022-04-20,95,1265,P-open,0.4,30,-0.00035073678725975623,-0.0024621395184029355,-0.0007350744860206026,-0.0728814064788591,-0.4932203455582256,-0.23728814792167296,30,30,130,4485.0,0.36195144057273865,5.900000095367432
2022-04-20,95,1265,P-open,0.5,5,-0.00035073678725975623,-0.0009719172745558843,-0.0009719172745558843,-0.0841121153806903,-0.20841117588669208,-0.20841117588669208,5,5,126,4475.0,0.5244706273078918,10.699999809265137
2022-04-20,95,1265,P-open,0.5,10,-0.00035073678725975623,-0.0016957550921199536,-0.0016957550921199536,-0.0841121153806903,-0.36448595215424784,-0.36448595215424784,10,10,126,4475.0,0.5244706273078918,10.699999809265137
2022-04-20,95,1265,P-open,0.5,20,-0.00035073678725975623,-0.0024621395184029355,-0.0023615549716366853,-0.0841121153806903,-0.44859811209915934,-0.42056075516033625,20,20,126,4475.0,0.5244706273078918,10.699999809265137
2022-04-20,95,1265,P-open,0.5,30,-0.00035073678725975623,-0.0024621395184029355,-0.0007350744860206026,-0.0841121153806903,-0.44859811209915934,-0.17757006097187614,30,30,126,4475.0,0.5244706273078918,10.699999809265137
2022-05-11,111,4791,P-open,0.4,5,0.0010678808414908323,3.2332400413927656e-05,0.0010678808414908323,0.07058828017290901,-0.01764701394473805,0.07058828017290901,5,5,108,4030.0,0.4167849123477936,17.0
2022-05-11,111,4791,P-open,0.4,10,0.002979746729124923,3.2332400413927656e-05,0.002887611542982979,0.30705878313849955,-0.01764701394473805,0.30705878313849955,10,10,108,4030.0,0.4167849123477936,17.0
2022-05-11,111,4791,P-open,0.4,20,0.006756073857169676,3.2332400413927656e-05,0.006036677947959786,0.8176470363841337,-0.01764701394473805,0.7041176066679113,20,19,108,4030.0,0.4167849123477936,17.0
2022-05-11,111,4791,P-open,0.4,30,0.006756073857169676,3.2332400413927656e-05,0.0028378366633983795,0.8176470363841337,-0.01764701394473805,0.17058821285472198,30,28,108,4030.0,0.4167849123477936,17.0
