date,fold,strategy_label,paired_trade_id,bar_entry,side,strike,contract_idx,delta_at_entry,spread_at_entry,context_spread_at_entry,entry_mid,trigger_vwap_dist_min_prior,trigger_vwap_dist_now,first15_acceptance_at_entry,bar_delta_at_entry,bar_exit,exit_mid,bars_held,exit_reason,gross_pct,spread_cost_pct,net_pct,net_pnl_dollars,vix_regime_at_entry,predicted_net_pct,score_rank_in_day,n_candidates_in_day
2024-12-19,0,strategy,-1,114,C,5910.0,195,0.5231439471244812,0.019999999552965164,0.05183098465204239,17.600000381469727,0.0,0.000604640634264797,-1.0,0.3263888955116272,120,18.0,6,time_stop,0.022727250560256557,0.006360000157356262,0.016367250402900296,28.806361333465574,0.33000001311302185,0.008375796123471366,1,142
2024-12-20,0,strategy,-1,30,C,5850.0,255,0.49750083684921265,0.056328125298023224,0.14989085495471954,19.200000762939453,0.0,0.00047676957910880446,-0.02095353789627552,0.3091602921485901,36,27.579999923706055,6,target_first15,0.436458272279967,0.00848000020980835,0.42797827207015865,821.7183150268555,0.33000001311302185,-0.0060163527661845715,1,160
2024-12-23,0,strategy,-1,119,C,5935.0,152,0.47203364968299866,0.023333333432674408,0.0670304000377655,9.899999618530273,0.0,0.0007044752710498869,-0.9568567276000977,-0.31707316637039185,120,9.5,1,time_stop,-0.0404040034286038,0.006,-0.0464040034286038,-45.93996162414551,-0.33000001311302185,0.00022245155884857755,1,138
2024-12-24,0,strategy,-1,77,C,6020.0,175,0.4769420921802521,0.06847826391458511,0.1855670064687729,4.599999904632568,0.0,0.0035199816338717937,1.0,-0.7005987763404846,78,4.900000095367432,1,target_first15,0.06521743412053967,0.006,0.05921743412053967,27.240019130706788,-0.33000001311302185,-0.005526702585880056,1,90
2024-12-26,0,strategy,-1,90,C,6035.0,169,0.47617456316947937,0.06159999966621399,0.1617647111415863,7.5,0.0,0.001358059816993773,1.0,-0.7081544995307922,91,8.399999618530273,1,target_first15,0.11999994913736979,0.006,0.11399994913736979,85.49996185302734,-0.33000001311302185,0.001174490626192165,1,175
2024-12-27,0,strategy,-1,94,P,5955.0,200,-0.5100272297859192,0.06300000101327896,0.1420765072107315,15.0,0.0,-0.0036543430760502815,-1.0,-0.8957746624946594,95,15.100000381469727,1,target_first15,0.006666692097981771,0.006,0.0006666920979817711,1.0000381469726567,-0.33000001311302185,-0.023029312320269203,1,98
2024-12-30,0,strategy,-1,72,C,5890.0,132,0.4946252107620239,0.04948275908827782,0.1466905176639557,14.5,0.0,0.0006682520033791661,-0.6229549646377563,0.48461538553237915,78,11.369999885559082,6,stop_vwap,-0.21586207685799436,0.006,-0.22186207685799436,-321.70001144409184,-0.33000001311302185,-0.0039947039022735125,1,164
2024-12-31,0,strategy,-1,34,C,5925.0,205,0.4886167049407959,0.035573769360780716,0.11231712996959686,18.299999237060547,0.0,0.00018560209718998522,0.27507755160331726,-0.791208803653717,36,16.5,2,stop_vwap,-0.09836061814774552,0.008,-0.10636061814774553,-194.63992309570312,-0.33000001311302185,0.002669972482435313,1,178
2025-01-02,0,strategy,-1,86,C,5905.0,143,0.5149269700050354,0.03736486658453941,0.10740992426872253,14.800000190734863,0.0,-0.0010832230327650905,0.10100413113832474,0.14399999380111694,87,13.800000190734863,1,stop_vwap,-0.06756756669679118,0.006,-0.07356756669679118,-108.88000011444092,-0.33000001311302185,0.001213006189668119,1,134
2025-01-03,0,strategy,-1,64,C,5910.0,175,0.4911535680294037,0.03804347664117813,0.1149425283074379,13.800000190734863,0.0,0.0006853240192867815,0.26483678817749023,0.08368200808763504,93,18.899999618530273,29,target_first15,0.3695651708193078,0.006,0.3635651708193078,501.71994266510006,-0.33000001311302185,0.0011018002735617698,1,160
2025-01-06,0,strategy,-1,75,C,6010.0,167,0.525170624256134,0.05157894641160965,0.15909090638160706,9.5,0.0,0.0018228581175208092,1.0,0.954356849193573,76,9.390000343322754,1,target_first15,-0.0115789112291838,0.006,-0.0175789112291838,-16.69996566772461,-0.33000001311302185,0.000468789317337179,1,162
2025-01-07,0,strategy,-1,119,C,5955.0,139,0.5020822286605835,0.05129310488700867,0.14345991611480713,11.600000381469727,0.0,-0.0013872673735022545,-1.0,-0.5338541865348816,120,8.699999809265137,1,stop_vwap,-0.2500000411066502,0.006,-0.2560000411066502,-296.9600574493408,-0.33000001311302185,-0.00453161744694628,1,88
2025-01-08,0,strategy,-1,109,C,5905.0,140,0.4975437819957733,0.019999999552965164,0.029197080060839653,13.699999809265137,0.0,0.0008666717330925167,0.2032710313796997,0.75,110,15.5,1,target_first15,0.13138687706532273,0.006,0.12538687706532273,171.78001918792725,-0.33000001311302185,0.00640843123394154,1,178
2025-01-10,0,strategy,-1,68,C,5850.0,179,0.4808879792690277,0.03370370343327522,0.09580838680267334,13.5,0.0,0.0007474566227756441,-1.0,0.4009900987148285,73,11.779999732971191,5,stop_vwap,-0.12740742718731915,0.006,-0.13340742718731916,-180.10002670288085,-0.33000001311302185,-0.002601286322217516,1,170
2025-01-13,0,strategy,-1,64,C,5790.0,122,0.496803879737854,0.02664516121149063,0.07356608659029007,15.5,0.0,0.000552650133613497,0.9678042531013489,-0.8071428537368774,65,16.200000762939453,1,target_first15,0.045161339544480844,0.006360000157356262,0.03880133938712458,60.1420760500431,0.33000001311302185,5.548988929599047e-05,1,180
