date,fold,strategy_label,bar,side_intended,reason
2025-09-29,3,control_A,23,C,skipped_no_contracts_at_bar
2025-10-01,3,control_A,18,C,skipped_context_spread
2025-10-15,3,control_A,21,P,skipped_no_contracts_at_bar
2025-10-17,3,control_A,19,C,skipped_no_contracts_at_bar
2025-10-21,3,control_A,22,C,skipped_no_contracts_at_bar
2025-10-29,3,control_A,37,P,gated_iv_percentile
2025-10-30,3,control_A,30,P,skipped_context_spread
2025-11-03,3,control_A,55,C,gated_iv_percentile
2025-11-05,3,control_A,52,C,skipped_context_spread
2025-11-12,3,control_A,92,C,gated_iv_percentile
2025-11-13,3,control_A,82,C,gated_iv_percentile
2025-11-14,3,control_A,75,C,skipped_context_spread
2025-11-18,3,control_A,47,P,gated_iv_percentile
2025-11-26,3,control_A,30,C,gated_iv_percentile
2025-11-25,3,control_B,32,P,skipped_context_spread
2025-11-21,3,control_B,87,P,gated_vrp
2025-10-06,3,control_B,30,P,skipped_context_spread
2025-11-21,3,control_B,40,C,gated_vrp
2025-11-21,3,control_B,33,P,gated_vrp
2025-10-02,3,control_B,102,C,gated_iv_percentile
2025-11-21,3,control_B,61,P,gated_vrp
2025-09-23,3,control_B,35,C,skipped_context_spread
2025-11-21,3,control_B,106,C,gated_vrp
2025-10-29,3,control_B,56,C,gated_iv_percentile
2025-11-05,3,control_B,93,P,skipped_context_spread
2025-09-17,3,control_B,84,P,gated_iv_percentile
2025-09-22,3,control_B,81,C,skipped_context_spread
2025-10-13,3,control_B,86,C,gated_iv_percentile
2025-12-12,4,strategy,120,P,zero_hold
2026-02-20,4,strategy,120,C,zero_hold
2026-03-02,4,strategy,120,P,zero_hold
2025-12-05,4,control_A,105,P,gated_iv_percentile
2025-12-08,4,control_A,61,P,gated_iv_percentile
2025-12-10,4,control_A,18,C,skipped_no_contracts_at_bar
2025-12-15,4,control_A,40,P,gated_iv_percentile
2025-12-17,4,control_A,88,C,gated_iv_percentile
2025-12-18,4,control_A,27,C,skipped_no_contracts_at_bar
2025-12-22,4,control_A,92,P,skipped_no_delta_contract
2025-12-23,4,control_A,86,C,skipped_context_spread
2026-01-02,4,control_A,72,P,skipped_context_spread
2026-01-05,4,control_A,106,C,skipped_no_delta_contract
2026-01-06,4,control_A,85,P,gated_iv_percentile
2026-01-13,4,control_A,34,P,gated_iv_percentile
2026-01-15,4,control_A,74,P,skipped_context_spread
2026-01-16,4,control_A,16,P,skipped_no_contracts_at_bar
2026-01-28,4,control_A,65,C,gated_iv_percentile
2026-01-29,4,control_A,23,C,gated_iv_percentile
2026-02-04,4,control_A,43,C,skipped_context_spread
2026-02-06,4,control_A,53,P,skipped_context_spread
2026-02-11,4,control_A,17,C,skipped_no_contracts_at_bar
2026-02-12,4,control_A,17,P,gated_iv_percentile
2026-02-11,4,control_B,44,P,gated_iv_percentile
2025-12-18,4,control_B,67,P,skipped_context_spread
2026-02-12,4,control_B,65,C,gated_iv_percentile
2026-01-08,4,control_B,103,P,skipped_context_spread
2025-12-12,4,control_B,32,P,gated_iv_percentile
2026-02-20,4,control_B,33,C,skipped_context_spread
2025-12-24,4,control_B,101,P,skipped_no_delta_contract
2025-12-16,4,control_B,55,C,gated_iv_percentile
2026-01-16,4,control_B,30,C,gated_iv_percentile
2025-12-08,4,control_B,74,P,gated_iv_percentile
2025-12-16,4,control_B,34,C,skipped_context_spread
2026-01-28,4,control_B,106,C,gated_iv_percentile
2026-02-03,4,control_B,30,C,gated_iv_percentile
