date,fold,strategy_label,paired_trade_id,bar_entry,side,strike,contract_idx,delta_at_entry,spread_at_entry,context_spread_at_entry,entry_mid,trigger_vwap_dist_min_prior,trigger_vwap_dist_now,first15_acceptance_at_entry,bar_delta_at_entry,bar_exit,exit_mid,bars_held,exit_reason,gross_pct,spread_cost_pct,net_pct,net_pnl_dollars,vix_regime_at_entry,predicted_net_pct,score_rank_in_day,n_candidates_in_day
2025-03-20,1,strategy,-1,106,C,5700.0,183,0.49477827548980713,0.04532374069094658,0.12328767031431198,13.899999618530273,0.0,0.003656507469713688,1.0,-0.6059479713439941,107,13.420000076293945,1,target_first15,-0.0345323421157821,0.006,-0.0405323421157821,-56.33995399475097,-0.33000001311302185,-0.002724434376895633,1,178
2025-03-21,1,strategy,-1,66,C,5620.0,202,0.5152488946914673,0.050193049013614655,0.1347150206565857,18.1299991607666,0.0,0.0003769451577682048,0.194609597325325,-0.39329269528388977,69,16.170000076293945,3,stop_vwap,-0.10810806261448169,0.006360000157356262,-0.11446806277183795,-207.53058819880005,0.33000001311302185,-0.005018589822503233,1,180
2025-03-25,1,strategy,-1,44,C,5775.0,136,0.4933881163597107,0.06862745434045792,0.1818181872367859,10.199999809265137,0.0,0.00018154049757868052,0.036866359412670135,-0.42716050148010254,59,13.800000190734863,15,target_first15,0.3529412204694041,0.008,0.3449412204694041,351.84003829956055,-0.33000001311302185,-0.004578770098479195,1,180
2025-03-26,1,strategy,-1,86,C,5755.0,141,0.5175696611404419,0.07065116614103317,0.1857081800699234,10.75,0.0,-0.0014715181896463037,-1.0,-0.8181818127632141,87,10.899999618530273,1,stop_vwap,0.013953452886537064,0.006,0.007953452886537064,8.549961853027344,-0.33000001311302185,-0.0047000655735689985,1,162
2025-03-27,1,strategy,-1,40,C,5700.0,133,0.49317091703414917,0.07000000029802322,0.18487395346164703,16.5,0.0,0.0010672725038602948,1.0,-0.9663394093513489,41,17.899999618530273,1,target_first15,0.08484846172910748,0.008,0.07684846172910748,126.79996185302733,-0.33000001311302185,-0.005437032437857251,1,176
2025-03-31,1,strategy,-1,46,C,5525.0,205,0.4957871437072754,0.04929577559232712,0.1315789520740509,21.299999237060547,0.0,0.0017879456281661987,0.7268518805503845,-0.9817629456520081,47,21.3700008392334,1,target_first15,0.0032864603136254365,0.00848000020980835,-0.005193539896182913,-11.062239582633957,0.33000001311302185,-0.01173544120477505,1,178
2025-04-01,1,strategy,-1,70,C,5595.0,146,0.4960061311721802,0.03735955059528351,0.11143694818019867,17.799999237060547,0.0,0.0014191657537594438,0.3801169693470001,0.08363636583089828,71,20.0,1,target_first15,0.12359555377726839,0.006360000157356262,0.11723555361991213,208.67927649908066,0.33000001311302185,0.002507425633035966,1,172
2025-04-02,1,strategy,-1,92,C,5640.0,166,0.4793263375759125,0.03750000149011612,0.10703667253255844,16.799999237060547,0.0,0.004731746856123209,1.0,-0.18478260934352875,93,18.299999237060547,1,target_first15,0.08928571834045221,0.006360000157356262,0.08292571818309595,139.315200220871,0.33000001311302185,-0.008689606619124976,1,180
2025-04-22,1,strategy,-1,65,C,5245.0,189,0.5133174061775208,0.028400953859090805,0.07925407588481903,20.950000762939453,0.0,0.0028522242791950703,1.0,-0.4752475321292877,66,21.100000381469727,1,target_first15,0.007159886065284672,0.0144,-0.007240113934715328,-15.168039245605469,1.0,-0.005427618052312828,1,166
2025-04-25,1,strategy,-1,83,C,5490.0,260,0.47963061928749084,0.04254143685102463,0.10784313827753067,18.100000381469727,0.0,0.001232451875694096,-0.06131451204419136,0.9136363863945007,86,13.279999732971191,3,stop_vwap,-0.2662983727576667,0.006360000157356262,-0.272658372915023,-493.5116653772831,0.33000001311302185,0.004715118688913636,1,150
2025-04-28,1,strategy,-1,32,C,5520.0,212,0.5125654935836792,0.05301980301737785,0.15797625482082367,20.200000762939453,0.0,-0.0030524542089551687,-1.0,0.6313645839691162,33,21.700000762939453,1,stop_vwap,0.07425742293792487,0.00848000020980835,0.06577742272811651,132.87039892921445,0.33000001311302185,-0.004170745432233507,1,158
2025-04-29,1,strategy,-1,101,C,5540.0,203,0.5019813776016235,0.06031446531414986,0.1599532961845398,15.899999618530273,0.0,0.002243758412078023,1.0,-0.7780172228813171,102,17.0,1,target_first15,0.06918241558872476,0.006360000157356262,0.0628224154313685,99.88763813939096,0.33000001311302185,-0.0061379655148378134,1,174
2025-04-30,1,strategy,-1,94,C,5495.0,240,0.5150623321533203,0.029954954981803894,0.08816705644130707,22.200000762939453,0.0,0.005040742456912994,0.87189781665802,0.9336870312690735,95,22.700000762939453,1,target_first15,0.02252252174849908,0.006360000157356262,0.016162521591142818,35.88079916543959,0.33000001311302185,-0.001572788142810159,1,42
2025-05-01,1,strategy,-1,42,C,5615.0,213,0.5125105977058411,0.04587378725409508,0.12949639558792114,20.600000381469727,0.0,-0.0006973127601668239,-0.2961876690387726,-0.5503079891204834,45,26.299999237060547,3,target_first15,0.27669896844847286,0.00848000020980835,0.26821896823866453,552.5310848033905,0.33000001311302185,-0.002733222945759588,1,176
2025-05-02,1,strategy,-1,34,C,5660.0,275,0.49932152032852173,0.0649193525314331,0.17402270436286926,18.600000381469727,0.0,-0.00023868749849498272,0.013438735157251358,-0.6809917092323303,44,24.0,10,target_first15,0.2903225541817746,0.00848000020980835,0.2818425539719663,524.2271611392976,0.33000001311302185,-0.003653188916105991,1,180
2025-05-05,1,strategy,-1,36,C,5645.0,196,0.4981021285057068,0.06774193793535233,0.1764705926179886,15.5,0.0,-0.000256622995948419,-0.11900191754102707,-0.9967213273048401,37,18.200000762939453,1,target_first15,0.17419359760899697,0.00848000020980835,0.16571359739918862,256.85607596874235,0.33000001311302185,-0.00485465148998551,1,174
2025-05-06,1,strategy,-1,41,C,5605.0,168,0.5231078863143921,0.033136095851659775,0.09937888383865356,16.899999618530273,0.0,0.0009836883982643485,0.22204214334487915,0.2604166567325592,48,20.5,7,target_first15,0.2130177788597373,0.00848000020980835,0.20453777864992895,345.66883811588286,0.33000001311302185,-0.0025313366103199915,1,180
2025-05-07,1,strategy,-1,82,C,5620.0,218,0.4950571060180664,0.031264692544937134,0.0873563215136528,21.270000457763672,0.0,-0.001229970483109355,-0.3890634775161743,-0.963942289352417,83,20.0,1,stop_vwap,-0.059708529874531076,0.006360000157356262,-0.06606853003188734,-140.52776640220165,0.33000001311302185,0.007487145822662364,1,114
