Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 149,833
Architecture: v4 momentum-aware two-head (gate+dir) with trend-following loss
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Momentum loss weight: 1.5x
Label smoothing: gate=0.05 dir=0.05

step 01650 ( 18.9%) | loss: 1.127929 | trade:0.55 call:0.73 put:0.27 | ATM:0.57 OTM:0.43 mom:0.66 | lr: 1.50e-04 | left: 195s
step 01700 ( 19.5%) | loss: 1.115076 | trade:0.49 call:0.76 put:0.24 | ATM:0.57 OTM:0.43 mom:0.77 | lr: 1.50e-04 | left: 193s
step 01750 ( 20.1%) | loss: 1.037031 | trade:0.51 call:0.73 put:0.27 | ATM:0.59 OTM:0.41 mom:0.61 | lr: 1.50e-04 | left: 192s
step 01800 ( 20.7%) | loss: 1.090295 | trade:0.45 call:0.76 put:0.24 | ATM:0.58 OTM:0.42 mom:0.63 | lr: 1.50e-04 | left: 190s
step 01850 ( 21.3%) | loss: 1.052227 | trade:0.56 call:0.72 put:0.28 | ATM:0.54 OTM:0.46 mom:0.64 | lr: 1.50e-04 | left: 189s
step 01900 ( 21.8%) | loss: 1.040545 | trade:0.50 call:0.73 put:0.27 | ATM:0.54 OTM:0.46 mom:0.66 | lr: 1.50e-04 | left: 188s
step 01950 ( 22.4%) | loss: 1.057198 | trade:0.51 call:0.71 put:0.29 | ATM:0.52 OTM:0.48 mom:0.68 | lr: 1.50e-04 | left: 186s
step 02000 ( 23.0%) | loss: 1.017885 | trade:0.50 call:0.76 put:0.24 | ATM:0.59 OTM:0.41 mom:0.66 | lr: 1.50e-04 | left: 185s
step 02050 ( 23.6%) | loss: 1.054743 | trade:0.51 call:0.74 put:0.26 | ATM:0.57 OTM:0.43 mom:0.65 | lr: 1.50e-04 | left: 183s
step 02100 ( 24.1%) | loss: 1.014364 | trade:0.50 call:0.77 put:0.23 | ATM:0.55 OTM:0.45 mom:0.76 | lr: 1.50e-04 | left: 182s
step 02150 ( 24.7%) | loss: 1.010433 | trade:0.49 call:0.73 put:0.27 | ATM:0.54 OTM:0.46 mom:0.69 | lr: 1.50e-04 | left: 181s
step 02200 ( 25.3%) | loss: 1.003493 | trade:0.55 call:0.69 put:0.31 | ATM:0.45 OTM:0.55 mom:0.59 | lr: 1.50e-04 | left: 179s
