day,bar_index,direction,pnl,fold_idx,sigma_pos,side_conf,original_direction
2024-12-19,36,put,-1139.5475946690824,0,-2.5418474674224854,0.15355058014392853,put
2024-12-23,41,put,-1047.6509833489106,0,-2.4872992038726807,0.15560282766819,put
2024-12-24,44,put,-1123.6434789597988,0,1.9702850580215454,0.24540822207927704,put
2024-12-26,104,put,-437.4000283390284,0,2.3412911891937256,0.20845253765583038,put
2024-12-27,38,put,-358.4572304263711,0,-1.83571457862854,0.16239245235919952,put
2024-12-30,44,call,2776.3098355431357,0,-0.33985042572021484,0.10537633299827576,call
2024-12-31,49,put,1862.5567787982336,0,0.42969340085983276,0.1326247602701187,put
2025-01-03,51,put,-1026.149997250239,0,-2.332561492919922,0.13179315626621246,put
2025-01-06,39,put,1870.302910045468,0,2.076950788497925,0.18316292762756348,put
2025-01-07,35,put,1027.2171402590543,0,-1.793851375579834,0.20289118587970734,put
2025-01-10,33,put,-1075.5590165550943,0,-1.6675922870635986,0.2848782539367676,put
2025-01-14,30,put,-959.5453261361649,0,-2.012725830078125,0.14208462834358215,put
2025-01-15,48,put,-599.2000184759497,0,2.1095027923583984,0.2452314794063568,put
2025-01-16,40,put,-350.18747707456356,0,-1.0116307735443115,1.0,put
2025-01-17,70,put,-823.6890881174266,0,3.358682870864868,0.19295628368854523,put
2025-01-21,111,put,-1031.5350489839748,0,1.0550857782363892,0.15305592119693756,put
2025-01-22,45,put,-503.20157241561196,0,2.3664891719818115,0.2549264430999756,put
2025-01-23,103,put,-832.7499896585941,0,1.9041801691055298,1.0,put
2025-01-24,112,put,1728.6999816365542,0,-0.6663736701011658,0.22863532602787018,put
2025-01-27,54,put,48.059992051815726,0,1.1999295949935913,0.19039864838123322,put
2025-01-28,51,put,-1126.0500024204453,0,1.507125735282898,0.16387858986854553,put
2025-01-29,71,put,1077.164330906408,0,0.3689660429954529,0.14803734421730042,put
2025-01-30,120,put,-997.4363612375814,0,-0.3586569130420685,0.20096872746944427,put
2025-01-31,40,put,2154.2750190891325,0,2.7467236518859863,0.24828435480594635,put
2025-02-04,49,put,-661.9364558970082,0,2.2263376712799072,0.27437371015548706,put
2025-02-05,34,put,-1047.4777393412032,0,-2.850431442260742,0.1867344081401825,put
2025-02-06,45,put,-56.633766656607975,0,2.2054686546325684,0.22481070458889008,put
2025-02-07,87,put,-247.04046541532404,0,-1.3079675436019897,0.1930544376373291,put
2025-02-10,77,put,-320.59999994337556,0,2.053433895111084,0.24340759217739105,put
2025-02-11,74,put,-534.7014948949218,0,2.7717127799987793,0.2352263331413269,put
2025-02-13,73,put,-308.12998822040856,0,2.4943981170654297,0.2533566355705261,put
2025-02-14,87,put,-323.8079302859587,0,1.1836390495300293,0.2606881260871887,put
2025-02-18,89,put,342.2585563801229,0,0.5858351588249207,0.1744527965784073,put
2025-02-20,34,put,-847.3128515243302,0,-1.0929900407791138,0.21434837579727173,put
2025-02-21,48,put,4902.916540103973,0,-1.2509297132492065,0.12839221954345703,put
2025-02-24,36,put,-1040.358089474081,0,-2.027578353881836,0.25870588421821594,put
2025-02-25,33,put,-964.162241393357,0,-1.7575215101242065,0.1990341693162918,put
2025-02-26,43,put,4149.979153363104,0,2.2038049697875977,0.23332388699054718,put
2025-02-27,33,put,-1148.3958317190409,0,-1.4230479001998901,0.259942889213562,put
2025-03-03,33,put,439.132466140258,0,-1.3053719997406006,0.22480396926403046,put
2025-03-04,30,put,-1113.6181826500876,0,-2.9062857627868652,0.23493240773677826,put
2025-03-05,120,put,-1164.1249998230487,0,-2.0042800903320312,0.11080043017864227,put
2025-03-07,71,put,-1152.477901525631,0,-2.0859665870666504,0.20102857053279877,put
2025-03-10,85,put,183.0000133961439,0,-2.1859378814697266,0.13182051479816437,put
2025-03-11,35,put,-338.79903598296863,0,-1.9669320583343506,0.23212696611881256,put
2025-03-12,71,put,-851.4483232457062,0,-2.2227776050567627,0.17903830111026764,put
2025-03-13,30,put,1326.058077626701,0,-1.5876917839050293,0.19182173907756805,put
2025-03-14,53,put,-1129.2424953725933,0,-0.01822664402425289,0.10205589234828949,put
2025-03-18,31,put,-759.6929579528224,0,-1.629845142364502,0.1635005921125412,put
2025-03-19,35,put,202.02183332059195,0,1.9071305990219116,0.18786482512950897,put
2025-03-20,32,put,282.56255776435137,1,2.2253353595733643,0.11276960372924805,put
2025-03-21,90,put,-865.9147912141378,1,3.502016067504883,0.11109422892332077,put
2025-03-24,79,put,-183.6045096731999,1,1.4451323747634888,0.09079106152057648,put
2025-03-26,118,put,3042.9098851477356,1,-1.8888819217681885,0.09292426705360413,put
2025-03-28,43,put,2411.7546018238336,1,-1.9494794607162476,0.18142607808113098,put
2025-03-31,64,put,-931.7170564646001,1,2.1171040534973145,0.11448776721954346,put
2025-04-01,67,call,608.1615272920318,1,-0.13299982249736786,0.14439630508422852,call
2025-04-03,106,put,-640.291627616932,1,-0.7774359583854675,0.1557641476392746,put
2025-04-08,35,put,5639.379740733538,1,2.336311101913452,0.29082992672920227,put
2025-04-10,32,call,-745.2585125565529,1,-1.5198287963867188,0.2861265242099762,call
2025-04-14,79,put,320.83546965835103,1,0.9984878897666931,0.11643736064434052,put
2025-04-16,115,put,6083.002401593694,1,2.876359224319458,0.16039390861988068,put
2025-04-17,52,call,152.89283082058716,1,-1.6875765323638916,0.1568884551525116,call
2025-04-21,32,put,2481.0937730520964,1,-2.031301259994507,0.12812966108322144,put
2025-04-22,40,put,-282.590998271869,1,2.0173821449279785,0.10180651396512985,put
2025-04-23,91,put,-341.65624399855733,1,-0.5907391905784607,1.0,put
2025-04-24,74,put,-1062.86413038522,1,1.1245090961456299,0.1256650686264038,put
2025-04-29,35,put,-918.2457750034666,1,2.263456344604492,1.0,put
2025-05-02,71,put,-1124.3154199517767,1,0.42322540283203125,1.0,put
2025-05-06,34,call,-616.5274838231368,1,-0.5283095836639404,0.10088623315095901,call
2025-05-07,89,put,-45.834944956215494,1,-1.2427775859832764,0.09868400543928146,put
2025-05-08,119,put,-895.6527988794777,1,1.5657124519348145,1.0,put
2025-05-13,44,put,-897.6176098716609,1,2.337444543838501,1.0,put
2025-05-15,31,put,-1068.0731033357977,1,2.9071850776672363,1.0,put
2025-05-16,30,put,-1112.2132922859987,1,0.12275456637144089,1.0,put
2025-05-21,99,put,4388.699927526712,1,3.097710132598877,0.08410054445266724,put
2025-05-23,35,put,-1160.5349979364873,1,2.03300404548645,0.04918525367975235,put
2025-05-29,32,call,-1109.8697909536459,1,-0.5342174172401428,0.08592139184474945,call
2025-06-02,93,put,-931.3964104162663,1,0.7904026508331299,1.0,put
2025-06-03,37,put,-1054.1666651368141,1,-1.4389320611953735,1.0,put
2025-06-05,72,put,-508.7097219265781,1,1.1437629461288452,1.0,put
2025-06-06,96,put,114.1014827141843,1,0.5697450041770935,1.0,put
2025-06-09,69,put,-829.0218619463227,1,1.1444038152694702,0.08946479111909866,put
2025-06-10,51,put,-684.9582522116536,1,1.046840786933899,0.12172313034534454,put
2025-06-12,92,put,-271.0630645839212,1,1.7665183544158936,1.0,put
2025-06-13,113,put,-229.44318812700735,1,1.603385090827942,1.0,put
2025-06-16,41,put,99.34672067882191,2,1.3941107988357544,1.1223012208938599,put
2025-06-17,35,put,1617.7883507382783,2,1.0835206508636475,1.3523640632629395,put
2025-06-18,31,put,-339.2746110750331,2,0.9405552744865417,1.1627545356750488,put
2025-06-20,49,put,1595.3666287789742,2,-1.2785502672195435,1.2091548442840576,put
2025-06-23,110,put,-606.899961116165,2,0.8431656360626221,1.064866542816162,put
2025-06-24,46,put,-1017.6415460469589,2,-0.6034668684005737,1.2636719942092896,put
2025-06-25,39,put,826.1630452953133,2,-0.6342403292655945,1.3046950101852417,put
2025-06-26,38,put,-982.8857786149646,2,0.7640751600265503,1.3070049285888672,put
2025-06-27,66,put,160.65521473778847,2,0.7614918351173401,1.1448984146118164,put
2025-06-30,33,put,-161.31443407866792,2,-0.649537980556488,1.2761436700820923,put
2025-07-01,39,put,-844.2410965271825,2,0.36841103434562683,1.1433298587799072,call
2025-07-02,32,put,-887.390464443744,2,1.630769968032837,1.2480679750442505,put
2025-07-03,32,put,-786.9993260094186,2,2.2442564964294434,1.1552581787109375,put
2025-07-07,36,put,2296.8101506264506,2,-0.9233781695365906,1.3026964664459229,put
2025-07-08,71,put,-420.7821978203731,2,0.7058772444725037,1.3430559635162354,put
2025-07-09,34,put,751.675713091384,2,0.35493284463882446,1.3851007223129272,put
2025-07-10,33,put,-987.5220394672498,2,-1.3544031381607056,1.1956359148025513,put
2025-07-11,37,put,-876.0332542615471,2,1.6437432765960693,1.3605307340621948,put
2025-07-14,39,put,-1106.8381972226725,2,0.34087538719177246,1.297537922859192,put
2025-07-15,39,put,277.1592351698638,2,-1.1461389064788818,1.1879764795303345,put
2025-07-16,34,put,-827.5871089027698,2,-1.498886227607727,1.221884846687317,put
2025-07-17,37,put,-1074.2590643108035,2,1.178697109222412,1.2301061153411865,put
2025-07-18,38,put,757.2927392800716,2,-1.5713424682617188,1.2924652099609375,put
2025-07-21,37,put,-646.7000185318291,2,1.3280951976776123,1.1988816261291504,put
2025-07-22,97,put,-495.27186916582286,2,0.5011650323867798,1.2428076267242432,put
2025-07-23,36,put,-945.2084237724806,2,-0.9791474938392639,1.2831401824951172,put
2025-07-24,34,put,-631.3749904092402,2,0.8527928590774536,1.4149278402328491,put
2025-07-25,36,put,-1068.1201931929281,2,0.6029601693153381,1.3292784690856934,put
2025-07-28,33,put,848.7983436371026,2,0.5109401941299438,1.3789628744125366,put
2025-07-29,31,put,1696.052278852631,2,-0.7038742303848267,1.3143236637115479,put
2025-07-30,34,put,-557.6000090703368,2,-0.9066775441169739,1.3683598041534424,put
2025-07-31,37,put,4762.57849990805,2,1.8110796213150024,1.372606635093689,put
2025-08-01,50,put,147.65908715873957,2,0.3564283549785614,1.2831356525421143,put
2025-08-04,36,put,-904.5462677521948,2,1.5322470664978027,1.2603485584259033,put
2025-08-05,33,put,-104.88547873206235,2,-1.704147458076477,1.1577205657958984,put
2025-08-06,50,put,-1175.912497243782,2,0.05689099058508873,1.3635107278823853,put
2025-08-07,33,put,3676.0296420556733,2,-0.5110270977020264,1.3230040073394775,put
2025-08-08,34,put,-897.4226044893394,2,1.9352240562438965,1.2365856170654297,put
2025-08-11,30,put,73.90281759559956,2,1.2240245342254639,1.3432278633117676,put
2025-08-12,64,put,-1157.4117262306459,2,0.6944040060043335,1.3697562217712402,put
2025-08-13,38,put,997.4435947916296,2,0.2583364248275757,1.381885290145874,put
2025-08-14,36,put,-773.7336207114022,2,1.5433729887008667,1.3978333473205566,put
2025-08-15,36,put,-892.1440824452093,2,-0.8665928244590759,1.2952358722686768,put
2025-08-18,38,put,-215.0675052908355,2,-0.28302741050720215,1.3118090629577637,put
2025-08-19,31,put,2417.6187464743853,2,1.092242956161499,1.3892443180084229,put
2025-08-20,33,put,-956.4343426554034,2,-0.9417030215263367,1.0244510173797607,put
2025-08-21,46,put,243.405965009752,2,2.4206383228302,1.3018438816070557,put
2025-08-22,39,put,-1073.1920015411379,2,1.2319916486740112,1.0271673202514648,put
2025-08-25,38,put,-433.10367108501754,2,2.2656784057617188,1.4041368961334229,put
2025-08-26,31,put,-624.9852691593661,2,0.7542539238929749,1.2798042297363281,put
2025-08-27,34,put,-1019.9916255467741,2,1.0850577354431152,1.4004948139190674,put
2025-08-28,39,put,-962.5529885944543,2,-0.6709058880805969,1.3343867063522339,put
2025-08-29,31,put,-65.5602525978557,2,-1.5113095045089722,1.1387522220611572,put
2025-09-02,39,put,-425.4862011734977,2,1.2552878856658936,1.4322271347045898,put
2025-09-03,35,put,412.00970901563335,2,-1.0123170614242554,1.2960872650146484,put
2025-09-04,32,put,-1088.7701834973855,2,-0.9908106327056885,1.4225585460662842,put
2025-09-05,38,put,3388.6655559714886,2,-2.245779037475586,1.095517873764038,put
2025-09-08,34,put,276.32225778538225,2,-0.7006157636642456,1.3567248582839966,put
2025-09-09,33,put,-942.4087515114248,2,-1.9462555646896362,1.31660795211792,put
2025-09-10,36,put,1154.044659601309,2,2.416764974594116,1.393398404121399,put
2025-09-11,63,put,-965.8500101432205,3,1.8277088403701782,1.4111688137054443,put
2025-09-12,32,put,-785.4219828485251,3,1.3323992490768433,1.3998990058898926,put
2025-09-15,39,put,-638.8399918562174,3,0.022398794069886208,1.4094136953353882,put
2025-09-16,56,put,-526.4987143956039,3,-1.2302950620651245,1.099376916885376,put
2025-09-17,99,put,13.22001224264502,3,-0.9162790179252625,1.4603581428527832,put
2025-09-19,30,put,-886.624969796882,3,0.363211065530777,1.3589446544647217,put
2025-09-22,39,put,-1009.1086259526504,3,1.9656362533569336,1.3410329818725586,put
2025-09-23,51,put,2927.9361672475934,3,-1.712991714477539,1.382338523864746,put
2025-09-24,78,put,2223.699981748313,3,0.013537315651774406,1.2257682085037231,put
2025-09-25,69,put,2078.5594552901844,3,1.73582923412323,1.3726904392242432,put
2025-09-26,108,put,-1065.9911685191028,3,-0.826264500617981,1.4778633117675781,put
2025-09-29,33,put,501.52596475183964,3,-0.4606342911720276,1.3367923498153687,put
2025-09-30,31,put,-190.0833354894486,3,1.4914170503616333,1.3945655822753906,put
