Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 152,489
Architecture: v5 three-head (gate+dir+size) + position state
Training from scratch (v5: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.0003 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Size loss weight: 0.3

step 01700 ( 18.7%) | loss: 1.280786 | trade:0.37 call:0.65 put:0.35 | ATM:0.52 OTM:0.48 | size:0.51 | lr: 3.00e-04 | left: 195s
step 01750 ( 19.2%) | loss: 1.211358 | trade:0.31 call:0.62 put:0.38 | ATM:0.60 OTM:0.40 | size:0.51 | lr: 3.00e-04 | left: 194s
step 01800 ( 19.8%) | loss: 1.200483 | trade:0.36 call:0.66 put:0.34 | ATM:0.54 OTM:0.46 | size:0.52 | lr: 3.00e-04 | left: 193s
step 01850 ( 20.3%) | loss: 1.231928 | trade:0.36 call:0.67 put:0.33 | ATM:0.51 OTM:0.49 | size:0.52 | lr: 3.00e-04 | left: 191s
step 01900 ( 20.9%) | loss: 1.231199 | trade:0.30 call:0.66 put:0.34 | ATM:0.54 OTM:0.46 | size:0.51 | lr: 3.00e-04 | left: 190s
step 01950 ( 21.4%) | loss: 1.205134 | trade:0.33 call:0.66 put:0.34 | ATM:0.57 OTM:0.43 | size:0.52 | lr: 3.00e-04 | left: 189s
step 02000 ( 21.9%) | loss: 1.200846 | trade:0.33 call:0.68 put:0.32 | ATM:0.57 OTM:0.43 | size:0.52 | lr: 3.00e-04 | left: 188s
step 02050 ( 22.1%) | loss: 1.188527 | trade:0.35 call:0.68 put:0.32 | ATM:0.53 OTM:0.47 | size:0.52 | lr: 3.00e-04 | left: 187s
step 02100 ( 22.3%) | loss: 1.201395 | trade:0.37 call:0.68 put:0.32 | ATM:0.57 OTM:0.43 | size:0.51 | lr: 3.00e-04 | left: 186s
step 02150 ( 22.6%) | loss: 1.196809 | trade:0.31 call:0.68 put:0.32 | ATM:0.62 OTM:0.38 | size:0.51 | lr: 3.00e-04 | left: 186s
step 02200 ( 22.8%) | loss: 1.183884 | trade:0.36 call:0.68 put:0.32 | ATM:0.53 OTM:0.47 | size:0.52 | lr: 3.00e-04 | left: 185s
step 02250 ( 23.0%) | loss: 1.153780 | trade:0.34 call:0.66 put:0.34 | ATM:0.57 OTM:0.43 | size:0.51 | lr: 3.00e-04 | left: 185s
step 02300 ( 23.3%) | loss: 1.193796 | trade:0.39 call:0.60 put:0.40 | ATM:0.56 OTM:0.44 | size:0.51 | lr: 3.00e-04 | left: 184s
step 02350 ( 23.5%) | loss: 1.162550 | trade:0.32 call:0.62 put:0.38 | ATM:0.54 OTM:0.46 | size:0.52 | lr: 3.00e-04 | left: 184s
step 02400 ( 23.7%) | loss: 1.118468 | trade:0.38 call:0.65 put:0.35 | ATM:0.56 OTM:0.44 | size:0.51 | lr: 3.00e-04 | left: 183s
step 02450 ( 24.1%) | loss: 1.198290 | trade:0.29 call:0.61 put:0.39 | ATM:0.53 OTM:0.47 | size:0.51 | lr: 3.00e-04 | left: 182s
step 02500 ( 24.3%) | loss: 1.151289 | trade:0.33 call:0.65 put:0.35 | ATM:0.63 OTM:0.37 | size:0.51 | lr: 3.00e-04 | left: 182s
step 02550 ( 24.5%) | loss: 1.125072 | trade:0.40 call:0.59 put:0.41 | ATM:0.64 OTM:0.36 | size:0.51 | lr: 3.00e-04 | left: 181s
step 02600 ( 24.8%) | loss: 1.156990 | trade:0.32 call:0.65 put:0.35 | ATM:0.62 OTM:0.38 | size:0.52 | lr: 3.00e-04 | left: 181s
step 02650 ( 25.3%) | loss: 1.129507 | trade:0.33 call:0.58 put:0.42 | ATM:0.57 OTM:0.43 | size:0.51 | lr: 3.00e-04 | left: 179s
step 02700 ( 25.8%) | loss: 1.181738 | trade:0.37 call:0.55 put:0.45 | ATM:0.54 OTM:0.46 | size:0.52 | lr: 3.00e-04 | left: 178s
step 02750 ( 26.4%) | loss: 1.123983 | trade:0.36 call:0.67 put:0.33 | ATM:0.61 OTM:0.39 | size:0.51 | lr: 3.00e-04 | left: 177s
step 02800 ( 26.9%) | loss: 1.131511 | trade:0.34 call:0.64 put:0.36 | ATM:0.59 OTM:0.41 | size:0.52 | lr: 3.00e-04 | left: 175s
step 02850 ( 27.5%) | loss: 1.123959 | trade:0.36 call:0.70 put:0.30 | ATM:0.50 OTM:0.50 | size:0.51 | lr: 3.00e-04 | left: 174s
step 02900 ( 27.8%) | loss: 1.135002 | trade:0.38 call:0.59 put:0.41 | ATM:0.59 OTM:0.41 | size:0.51 | lr: 3.00e-04 | left: 173s
step 02950 ( 28.0%) | loss: 1.104810 | trade:0.31 call:0.69 put:0.31 | ATM:0.58 OTM:0.42 | size:0.51 | lr: 3.00e-04 | left: 173s
