date,fold,strategy_label,paired_trade_id,bar_entry,side,strike,contract_idx,delta_at_entry,spread_at_entry,context_spread_at_entry,entry_mid,trigger_vwap_dist_min_prior,trigger_vwap_dist_now,first15_acceptance_at_entry,bar_delta_at_entry,bar_exit,exit_mid,bars_held,exit_reason,gross_pct,spread_cost_pct,net_pct,net_pnl_dollars,vix_regime_at_entry,predicted_net_pct,score_rank_in_day,n_candidates_in_day,coverage,argmax_pred,threshold_used
2024-12-19,0,strategy,-1,114,C,5910.0,195,0.5231439471244812,0.019999999552965164,0.05183098465204239,17.600000381469727,0.0,0.000604640634264797,-1.0,0.3263888955116272,120,18.0,6,time_stop,0.022727250560256557,0.006360000157356262,0.016367250402900296,28.806361333465574,0.33000001311302185,0.008375796123471365,1,142,0.4,0.008375796123471365,-0.0008131050771793668
2024-12-23,0,strategy,-1,119,C,5935.0,152,0.47203364968299866,0.023333333432674408,0.0670304000377655,9.899999618530273,0.0,0.0007044752710498869,-0.9568567276000977,-0.31707316637039185,120,9.5,1,time_stop,-0.0404040034286038,0.006,-0.0464040034286038,-45.93996162414551,-0.33000001311302185,0.0002032874332067514,1,138,0.4,0.0002032874332067514,-0.0008131050771793668
2024-12-26,0,strategy,-1,90,C,6035.0,169,0.47617456316947937,0.06159999966621399,0.1617647111415863,7.5,0.0,0.001358059816993773,1.0,-0.7081544995307922,91,8.399999618530273,1,target_first15,0.11999994913736979,0.006,0.11399994913736979,85.49996185302734,-0.33000001311302185,0.0011827771387540086,1,175,0.4,0.0011827771387540086,-0.0008131050771793668
2024-12-31,0,strategy,-1,34,C,5925.0,205,0.4886167049407959,0.035573769360780716,0.11231712996959686,18.299999237060547,0.0,0.00018560209718998522,0.27507755160331726,-0.791208803653717,36,16.5,2,stop_vwap,-0.09836061814774552,0.008,-0.10636061814774553,-194.63992309570312,-0.33000001311302185,0.002669972482435313,1,178,0.4,0.002669972482435313,-0.0008131050771793668
2025-01-02,0,strategy,-1,86,C,5905.0,143,0.5149269700050354,0.03736486658453941,0.10740992426872253,14.800000190734863,0.0,-0.0010832230327650905,0.10100413113832474,0.14399999380111694,87,13.800000190734863,1,stop_vwap,-0.06756756669679118,0.006,-0.07356756669679118,-108.88000011444092,-0.33000001311302185,0.0012130061896681184,1,134,0.4,0.0012130061896681184,-0.0008131050771793668
2025-01-03,0,strategy,-1,64,C,5910.0,175,0.4911535680294037,0.03804347664117813,0.1149425283074379,13.800000190734863,0.0,0.0006853240192867815,0.26483678817749023,0.08368200808763504,93,18.899999618530273,29,target_first15,0.3695651708193078,0.006,0.3635651708193078,501.71994266510006,-0.33000001311302185,0.0011035160509555073,1,160,0.4,0.0011035160509555073,-0.0008131050771793668
2025-01-06,0,strategy,-1,75,C,6010.0,167,0.525170624256134,0.05157894641160965,0.15909090638160706,9.5,0.0,0.0018228581175208092,1.0,0.954356849193573,76,9.390000343322754,1,target_first15,-0.0115789112291838,0.006,-0.0175789112291838,-16.69996566772461,-0.33000001311302185,0.00046346956832657535,1,162,0.4,0.00046346956832657535,-0.0008131050771793668
2025-01-08,0,strategy,-1,109,C,5905.0,140,0.4975437819957733,0.019999999552965164,0.029197080060839653,13.699999809265137,0.0,0.0008666717330925167,0.2032710313796997,0.75,110,15.5,1,target_first15,0.13138687706532273,0.006,0.12538687706532273,171.78001918792725,-0.33000001311302185,0.00640843123394154,1,178,0.4,0.00640843123394154,-0.0008131050771793668
2025-01-13,0,strategy,-1,64,C,5790.0,122,0.496803879737854,0.02664516121149063,0.07356608659029007,15.5,0.0,0.000552650133613497,0.9678042531013489,-0.8071428537368774,65,16.200000762939453,1,target_first15,0.045161339544480844,0.006360000157356262,0.03880133938712458,60.1420760500431,0.33000001311302185,5.528262795184246e-05,1,180,0.4,5.528262795184246e-05,-0.0008131050771793668
2025-01-14,0,strategy,-1,45,C,5865.0,155,0.5039198398590088,0.020723683759570122,0.06101695075631142,15.199999809265137,0.0,0.0007924041128717363,0.012820512987673283,0.9951691031455994,51,12.600000381469727,6,stop_vwap,-0.17105259608033577,0.008,-0.17905259608033577,-272.1599426269532,-0.33000001311302185,0.004639640349820581,1,172,0.4,0.004639640349820581,-0.0008131050771793668
