[2026-03-21 02:45:53] Signal handlers installed
[2026-03-21 02:45:53] Loop starting: hours=5.0, max_experiments=100
[2026-03-21 02:45:53] phase=startup | rss_mb=778.9 | vmsize_kb=17351608 | vmrss_kb=697992 | cgroup_mb=1243 | pids=7 | disk_used_gb=2608.9 | disk_free_gb=4319.8
[2026-03-21 02:48:45] phase=pre_train_1 | rss_mb=778.9 | vmsize_kb=17353656 | vmrss_kb=700296 | cgroup_mb=1242 | pids=6 | disk_used_gb=2608.9 | disk_free_gb=4319.8
[2026-03-21 02:53:00] phase=post_train_1 | rss_mb=778.9 | vmsize_kb=17427404 | vmrss_kb=700296 | cgroup_mb=1245 | pids=6 | disk_used_gb=2609.0 | disk_free_gb=4319.6
[2026-03-21 02:53:00] phase=post_exp_1 | rss_mb=778.9 | vmsize_kb=17427404 | vmrss_kb=700296 | cgroup_mb=1246 | pids=6 | disk_used_gb=2609.0 | disk_free_gb=4319.6
[2026-03-21 02:53:00] phase=pre_train_2 | rss_mb=778.9 | vmsize_kb=17427404 | vmrss_kb=700296 | cgroup_mb=1247 | pids=6 | disk_used_gb=2609.0 | disk_free_gb=4319.6
[2026-03-21 02:57:16] phase=post_train_2 | rss_mb=778.9 | vmsize_kb=17427404 | vmrss_kb=700296 | cgroup_mb=1253 | pids=10 | disk_used_gb=2609.4 | disk_free_gb=4319.3
[2026-03-21 02:57:16] phase=post_exp_2 | rss_mb=778.9 | vmsize_kb=17427404 | vmrss_kb=700296 | cgroup_mb=1251 | pids=8 | disk_used_gb=2609.4 | disk_free_gb=4319.3
[2026-03-21 02:57:16] phase=pre_train_3 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1250 | pids=8 | disk_used_gb=2609.4 | disk_free_gb=4319.3
[2026-03-21 02:57:21] phase=post_train_3 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1250 | pids=8 | disk_used_gb=2609.4 | disk_free_gb=4319.3
[2026-03-21 03:00:13] phase=pre_train_3 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1250 | pids=8 | disk_used_gb=2609.4 | disk_free_gb=4319.3
[2026-03-21 03:04:29] phase=post_train_3 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1246 | pids=6 | disk_used_gb=2609.7 | disk_free_gb=4318.9
[2026-03-21 03:04:29] phase=post_exp_3 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1246 | pids=6 | disk_used_gb=2609.7 | disk_free_gb=4318.9
[2026-03-21 03:04:29] phase=pre_train_4 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1247 | pids=6 | disk_used_gb=2609.7 | disk_free_gb=4318.9
[2026-03-21 03:08:45] phase=post_train_4 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1249 | pids=7 | disk_used_gb=2609.9 | disk_free_gb=4318.8
[2026-03-21 03:08:45] phase=post_exp_4 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1248 | pids=7 | disk_used_gb=2609.9 | disk_free_gb=4318.8
[2026-03-21 03:08:45] phase=pre_train_5 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1249 | pids=7 | disk_used_gb=2609.9 | disk_free_gb=4318.8
[2026-03-21 03:08:50] phase=post_train_5 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1250 | pids=8 | disk_used_gb=2609.9 | disk_free_gb=4318.8
[2026-03-21 03:11:42] phase=pre_train_5 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1251 | pids=8 | disk_used_gb=2610.0 | disk_free_gb=4318.7
[2026-03-21 03:15:58] phase=post_train_5 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1247 | pids=6 | disk_used_gb=2610.0 | disk_free_gb=4318.7
[2026-03-21 03:15:58] phase=post_exp_5 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1246 | pids=6 | disk_used_gb=2610.0 | disk_free_gb=4318.7
[2026-03-21 03:15:58] phase=pre_train_6 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1247 | pids=6 | disk_used_gb=2610.0 | disk_free_gb=4318.6
[2026-03-21 03:20:15] phase=post_train_6 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1247 | pids=6 | disk_used_gb=2610.1 | disk_free_gb=4318.5
[2026-03-21 03:20:15] phase=post_exp_6 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1247 | pids=6 | disk_used_gb=2610.1 | disk_free_gb=4318.5
[2026-03-21 03:20:15] phase=pre_train_7 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1248 | pids=6 | disk_used_gb=2610.1 | disk_free_gb=4318.5
[2026-03-21 03:24:31] phase=post_train_7 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1250 | pids=8 | disk_used_gb=2610.1 | disk_free_gb=4318.5
[2026-03-21 03:24:31] phase=post_exp_7 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1250 | pids=8 | disk_used_gb=2610.1 | disk_free_gb=4318.5
[2026-03-21 03:24:31] phase=pre_train_8 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1251 | pids=8 | disk_used_gb=2610.1 | disk_free_gb=4318.5
[2026-03-21 03:28:47] phase=post_train_8 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1248 | pids=6 | disk_used_gb=2610.1 | disk_free_gb=4318.5
[2026-03-21 03:28:47] phase=post_exp_8 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1247 | pids=6 | disk_used_gb=2610.1 | disk_free_gb=4318.5
[2026-03-21 03:28:47] phase=pre_train_9 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1248 | pids=6 | disk_used_gb=2610.1 | disk_free_gb=4318.5
[2026-03-21 03:33:02] phase=post_train_9 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1248 | pids=6 | disk_used_gb=2610.2 | disk_free_gb=4318.4
[2026-03-21 03:33:02] phase=post_exp_9 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=698416 | cgroup_mb=1248 | pids=6 | disk_used_gb=2610.2 | disk_free_gb=4318.4
[2026-03-21 03:33:02] phase=pre_train_10 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=699184 | cgroup_mb=1249 | pids=6 | disk_used_gb=2610.2 | disk_free_gb=4318.4
[2026-03-21 03:37:18] phase=post_train_10 | rss_mb=778.9 | vmsize_kb=17425524 | vmrss_kb=699184 | cgroup_mb=1249 | pids=6 | disk_used_gb=2610.3 | disk_free_gb=4318.3
