fold_idx,day,entry_bar,exit_bar,direction,exit_pnl,trigger,bars_held,max_prob
0,2024-12-19,36,126,put,-880.4250092866018,time_of_day_90,90,
0,2024-12-20,85,178,call,4609.24984978986,time_of_day_90,93,
0,2024-12-23,41,131,put,-1016.2500376948811,time_of_day_90,90,
0,2024-12-24,44,134,put,-1072.4250054113568,time_of_day_90,90,
0,2024-12-26,104,194,put,-433.55003759651896,time_of_day_90,90,
0,2024-12-27,38,128,put,-175.24998201065273,time_of_day_90,90,
0,2024-12-30,44,134,call,1622.199924993515,time_of_day_90,90,
0,2024-12-31,49,139,put,595.72499770966,time_of_day_90,90,
0,2025-01-03,51,141,put,-999.7499991103194,time_of_day_90,90,
0,2025-01-06,39,129,put,-814.8000096465871,time_of_day_90,90,
0,2025-01-07,35,125,put,819.2498859087257,time_of_day_90,90,
0,2025-01-08,80,170,call,-382.5000477558423,time_of_day_90,90,
0,2025-01-10,33,123,put,-209.47497258181863,time_of_day_90,90,
0,2025-01-13,30,120,call,-481.3500433645608,time_of_day_90,90,
0,2025-01-14,30,120,put,-45.25005768480581,time_of_day_90,90,
0,2025-01-15,48,138,put,1578.800076429546,time_of_day_90,90,
0,2025-01-16,40,130,put,-453.99995957687497,time_of_day_90,90,
0,2025-01-17,70,160,put,-550.0499633673628,time_of_day_90,90,
0,2025-01-21,111,201,put,-796.2249535066793,time_of_day_90,90,
0,2025-01-22,45,135,put,-443.7249909395325,time_of_day_90,90,
0,2025-01-23,103,193,put,-283.2999800041318,time_of_day_90,90,
0,2025-01-24,112,202,put,184.2999435223639,time_of_day_90,90,
0,2025-01-27,54,144,put,591.375118218461,time_of_day_90,90,
0,2025-01-28,51,141,put,-370.99996789477973,time_of_day_90,90,
0,2025-01-29,71,161,put,154.59996188580988,time_of_day_90,90,
0,2025-01-30,120,210,put,-491.0000017769863,time_of_day_90,90,
0,2025-01-31,40,130,put,-318.82496176794785,time_of_day_90,90,
0,2025-02-04,49,139,put,-373.4999821194876,time_of_day_90,90,
0,2025-02-05,34,124,put,-964.7499539479526,time_of_day_90,90,
0,2025-02-06,45,135,put,449.32494121560075,time_of_day_90,90,
0,2025-02-07,87,177,put,51.650045168288706,time_of_day_90,90,
