Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 147,370
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating + VIX regime robustness + stop prevention + FULL STOPPED P&L CONSISTENCY + feature noise injection + MAXIMUM CONSERVATIVE GATE BIAS + ADAPTIVE EXIT QUALITY PREDICTOR + MICROSTRUCTURE EXIT TIMING
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.5x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5
VIX regime weights: vix_regime=0.2, vix_consistency=0.1
Direction-side loss: dir_side=0.4
Stop prevention: stop_prevention=0.3
Feature noise injection: std=0.05
NEW: Exit quality prediction: exit_quality=0.4, microstructure_exit=0.3
CRITICAL: Training exclusively on STOPPED P&L to align with evaluation reality
MAXIMUM CONSERVATIVE GATE BIAS: NO_TRADE=+1.2, TRADE=-1.2 for ultra-selectivity

step 01450 ( 17.8%) | loss: 1.618135 | trade:0.28 call:0.71 put:0.29 | ATM:0.49 OTM:0.51 | exit_qual:0.748| lr: 1.50e-04 | left: 197s
step 01500 ( 18.4%) | loss: 1.629915 | trade:0.29 call:0.59 put:0.41 | ATM:0.50 OTM:0.50 | exit_qual:0.748| lr: 1.50e-04 | left: 196s
step 01550 ( 19.0%) | loss: 1.601570 | trade:0.30 call:0.68 put:0.32 | ATM:0.50 OTM:0.50 | exit_qual:0.754| lr: 1.50e-04 | left: 194s
step 01600 ( 19.7%) | loss: 1.625411 | trade:0.23 call:0.62 put:0.38 | ATM:0.58 OTM:0.42 | exit_qual:0.730| lr: 1.50e-04 | left: 193s
step 01650 ( 20.3%) | loss: 1.531201 | trade:0.30 call:0.67 put:0.33 | ATM:0.51 OTM:0.49 | exit_qual:0.755| lr: 1.50e-04 | left: 191s
step 01700 ( 20.9%) | loss: 1.518475 | trade:0.24 call:0.66 put:0.34 | ATM:0.59 OTM:0.41 | exit_qual:0.732| lr: 1.50e-04 | left: 190s
step 01750 ( 21.5%) | loss: 1.479744 | trade:0.31 call:0.63 put:0.37 | ATM:0.52 OTM:0.48 | exit_qual:0.752| lr: 1.50e-04 | left: 188s
step 01800 ( 22.1%) | loss: 1.489633 | trade:0.30 call:0.60 put:0.40 | ATM:0.56 OTM:0.44 | exit_qual:0.759| lr: 1.50e-04 | left: 187s
step 01850 ( 22.7%) | loss: 1.450494 | trade:0.25 call:0.60 put:0.40 | ATM:0.59 OTM:0.41 | exit_qual:0.735| lr: 1.50e-04 | left: 185s
step 01900 ( 23.4%) | loss: 1.470451 | trade:0.27 call:0.70 put:0.30 | ATM:0.58 OTM:0.42 | exit_qual:0.735| lr: 1.50e-04 | left: 184s
